ir-850-ctr,ia-850-ctr,ir-850-ctr-test,iir-850-ctr,iia-850-ctr,iir-850-ctr-test
26764,0.0037112,59554,613,0.004275,613
25682,0.0037189,57727,643,0.0041984,643
24769,0.0036815,55821,626,0.0044003,626
23799,0.0036823,54132,637,0.0044385,637
22942,0.0036559,51942,635,0.0045573,635
22083,0.0036459,50024,661,0.0045093,661
21216,0.0036552,48158,656,0.0046489,656
20601,0.0035743,46278,696,0.0045256,696
19744,0.0036093,44406,723,0.0044856,723
18971,0.003624,42842,751,0.0044457,751
18263,0.0036245,41312,781,0.004401,781
17514,0.0036585,39592,780,0.004519,780
16821,0.0036813,38084,765,0.0047152,765
16362,0.0036037,36451,813,0.0045813,813
15579,0.0036985,35124,860,0.0044666,860
15127,0.0036399,33824,863,0.0045703,863
14581,0.0036408,32527,862,0.0046963,862
14289,0.0035186,31364,920,0.004542,920
13378,0.0037419,30163,935,0.0045956,935
12792,0.0038062,28881,945,0.0046745,945
12313,0.0038215,27876,923,0.0049066,923
11907,0.003804,26764,982,0.0047621,982
11430,0.0038415,25682,1010,0.0047677,1010
10995,0.0038646,24769,1040,0.0047685,1040
10632,0.0038514,23799,1128,0.0045364,1128
10212,0.003887,22942,1149,0.0045849,1149
9822,0.0039137,22083,1176,0.0046129,1176
9454,0.0039358,21216,1169,0.0047765,1169
9175,0.0039027,20601,1271,0.0045277,1271
8856,0.003908,19744,1281,0.0046284,1281
8467,0.0039777,18971,1254,0.0048702,1254
8213,0.0039518,18263,1379,0.0045623,1379
7879,0.0039996,17514,1366,0.00475,1366
7582,0.0040276,16821,1351,0.0049516,1351
7284,0.0040668,16362,1524,0.0045139,1524
7042,0.0040661,15579,1503,0.0047279,1503
6771,0.0041008,15127,1577,0.0046412,1577
6529,0.0041179,14581,1613,0.0046803,1613
6321,0.0041107,14289,1704,0.0045593,1704
6025,0.0042005,13378,1703,0.0047158,1703
5853,0.0041734,12792,1822,0.0045298,1822
5636,0.0042011,12313,1806,0.0047318,1806
5406,0.0042526,11907,1929,0.004552,1929
5196,0.0042917,11430,1926,0.0047209,1926
4993,0.0043325,10995,2030,0.0046087,2030
4832,0.0043316,10632,2124,0.0045346,2124
4591,0.0044391,10212,2193,0.0045303,2193
4445,0.0044361,9822,2218,0.0046372,2218
4286,0.0044576,9454,2326,0.0045506,2326
4105,0.004518,9175,2435,0.0044731,2435
3988,0.0044971,8856,2516,0.0044665,2516
3854,0.004507,8467,2614,0.0044302,2614
3704,0.0045482,8213,2687,0.0044529,2687
3550,0.0046049,7879,2790,0.0044205,2790
3424,0.0046263,7582,2923,0.004338,2923
3356,0.0045601,7284,3033,0.0043093,3033
3177,0.0046843,7042,3154,0.0042684,3154
3104,0.0046368,6771,3233,0.00431,3233
2907,0.0048183,6529,3343,0.0043025,3343
2864,0.0047265,6321,3471,0.0042716,3471
2742,0.0047888,6025,3624,0.0042084,3624
2658,0.0047853,5853,3725,0.0042374,3725
2624,0.0046874,5636,3874,0.0041976,3874
2551,0.004671,5406,4071,0.0040958,4071
2426,0.004768,5196,4125,0.0042136,4125
2362,0.0047446,4993,4337,0.0041083,4337
2304,0.0047126,4832,4453,0.0041484,4453
2199,0.0047906,4591,4568,0.0041961,4568
2175,0.0046909,4445,4788,0.0041095,4788
2076,0.0047684,4286,4925,0.0041421,4925
2042,0.0046984,4105,5133,0.0040917,5133
1951,0.0047707,3988,5327,0.0040691,5327
1878,0.0048066,3854,5488,0.0040949,5488
1841,0.0047552,3704,5759,0.0040005,5759
1784,0.0047598,3550,5877,0.0040915,5877
1790,0.0046022,3424,6062,0.0041134,6062
1708,0.00468,3356,6420,0.003957,6420
1677,0.0046259,3177,6550,0.0040552,6550
1570,0.0047907,3104,6835,0.004,6835
1568,0.0046596,2907,7085,0.0039917,7085
1503,0.004716,2864,7412,0.0039193,7412
1469,0.004685,2742,7669,0.0039255,7669
1467,0.00456,2658,7922,0.0039451,7922
1411,0.0046016,2624,8246,0.0039105,8246
1338,0.0047051,2551,8568,0.0038897,8568
1353,0.0045297,2426,8859,0.0039066,8859
1345,0.0044315,2362,9239,0.0038602,9239
1284,0.0045052,2304,9551,0.0038815,9551
1223,0.0045882,2199,9976,0.0038249,9976
1201,0.0045429,2175,10357,0.003816,10357
1206,0.0044071,2076,10703,0.0038451,10703
1187,0.0043557,2042,11108,0.0038422,11108
1111,0.0045087,1951,11628,0.0037712,11628
1091,0.0044667,1878,11961,0.0038441,11961
1091,0.0043535,1841,12432,0.0038343,12432
1032,0.004462,1784,12927,0.0038225,12927
1031,0.0043547,1790,13326,0.0038867,13326
1023,0.0042764,1708,14025,0.0037742,14025
964,0.0043981,1677,14526,0.003802,14526
936,0.0044039,1570,,,14925
945,0.0042614,1568,,,15471
891,0.0043794,1503,,,15998
940,0.0040771,1469,,,16704
895,0.0041573,1467,,,17292
835,0.0043122,1411,,,18004
828,0.0042426,1338,,,18704
840,0.0040925,1353,,,19530
,,1345,,,20249
,,1284,,,20992
,,1223,,,21761
,,1201,,,22642
,,1206,,,23510
,,1187,,,24381
,,1111,,,25187
,,1091,,,26275
,,1091,,,27239
,,1032,,,28345
,,1031,,,29455
,,1023,,,30527
,,964,,,31680
,,936,,,32844
,,945,,,34225
,,891,,,35512
,,940,,,36867
,,895,,,38103
,,835,,,39315
,,828,,,40749
,,840,,,42011
