ir,ia,iir,iia,,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,i-lookup-750c,ii-lookup-750c,i-lookup-800l,ii-lookup-800l,i-lookup-690r,ii-lookup-690r
5.96E+04,0.13957,613,0.42679,,61143,5.68E+02,61699,850,59065,957,,1,0.68629,1,1.5751E-06,1,#N/A
5.77E+04,0.13957,643,0.36188,,58891,6.03E+02,59314,915,56895,1042,,0.90766,0.68301,0.90766,#N/A,0.90766,#N/A
5.58E+04,0.13957,626,0.53294,,5.69E+04,5.64E+02,57300,917,54829,1077,,0.90766,0.68301,0.90766,#N/A,0.90766,#N/A
5.41E+04,0.13957,637,0.56534,,5.48E+04,6.29E+02,55596,958,52805,1119,,0.93901,0.81855,0.90766,#N/A,0.90766,#N/A
5.19E+04,0.13957,635,0.66592,,5.27E+04,5.93E+02,53384,950,50883,1154,,0.90766,0.96188,0.90766,#N/A,0.90766,#N/A
5.00E+04,0.13957,661,0.6253,,5.08E+04,6.50E+02,51356,1018,48849,1149,,0.90766,0.79042,0.90766,#N/A,0.90766,#N/A
4.82E+04,0.13957,656,0.74357,,4.89E+04,6.23E+02,49468,1014,46931,1198,,0.90766,0.84417,0.90766,#N/A,0.90766,#N/A
4.63E+04,0.13957,696,0.63906,,4.72E+04,6.63E+02,47618,1034,44915,1231,,0.90766,0.80905,0.90766,#N/A,0.90766,#N/A
4.44E+04,0.13957,723,0.60517,,4.53E+04,6.28E+02,45840,1050,43333,1272,,0.90766,0.80905,0.90766,#N/A,0.90766,#N/A
4.28E+04,0.13957,751,0.57137,,4.37E+04,6.94E+02,44039,1096,41534,1317,,0.90766,0.78286,0.90766,#N/A,0.90766,#N/A
4.13E+04,0.13957,781,0.53351,,4.21E+04,7.08E+02,42415,1078,39866,1328,,0.90766,0.84489,0.90766,#N/A,0.90766,#N/A
3.96E+04,0.13957,780,0.63351,,4.04E+04,7.55E+02,40747,1140,38201,1372,,0.90766,1,0.90766,0.44157,0.90766,#N/A
3.81E+04,0.13957,765,0.79967,,3.87E+04,6.79E+02,39013,1132,36699,1396,,0.90766,0.64826,0.90766,0.44157,0.90766,#N/A
3.65E+04,0.13957,813,0.68629,,3.73E+04,7.33E+02,37537,1164,35125,1463,,0.90766,1,0.90766,0.44157,0.90766,#N/A
3.51E+04,0.13957,860,0.58908,,3.60E+04,7.99E+02,36219,1218,33761,1495,,0.90766,0.82395,0.90766,0.44157,0.90766,#N/A
3.38E+04,0.13957,863,0.67692,,3.45E+04,7.95E+02,34708,1214,32291,1587,,0.90766,0.85164,0.90766,0.44157,0.90766,#N/A
3.25E+04,0.13957,862,0.78374,,3.32E+04,7.88E+02,33378,1268,31055,1646,,0.90766,0.938,0.90766,0.44157,0.90766,#N/A
3.14E+04,0.13957,920,0.65299,,3.20E+04,8.10E+02,32240,1311,29739,1671,,0.90766,0.83369,0.90766,0.44157,0.90766,#N/A
3.02E+04,0.13957,935,0.69838,,3.08E+04,8.41E+02,30912,1368,28494,1742,,0.90766,0.88165,0.90766,0.44157,0.90766,#N/A
2.89E+04,0.13957,945,0.76521,,2.97E+04,8.61E+02,29723,1398,27297,1749,,0.90766,0.8818,0.90766,0.44157,0.90766,#N/A
2.79E+04,0.13957,923,0.96188,,2.87E+04,8.80E+02,28720,1411,26296,1817,,0.90766,0.8818,0.90766,0.44157,0.90766,#N/A
2.68E+04,0.14816,982,0.83941,,2.75E+04,9.36E+02,27617,1457,25010,1868,,0.90766,0.79899,0.90766,0.44157,0.90766,#N/A
2.57E+04,0.1541,1010,0.84417,,2.64E+04,9.20E+02,26495,1506,24000,1916,,0.90766,0.78432,0.90766,0.44157,0.90766,#N/A
2.48E+04,0.12531,1040,0.84489,,2.55E+04,9.35E+02,25504,1561,22959,1921,,0.90766,0.96889,0.90766,0.44157,0.90766,#N/A
2.38E+04,0.12598,1128,0.64826,,2.45E+04,9.97E+02,24476,1573,22065,2100,,0.90766,0.96889,0.90766,0.44157,0.90766,#N/A
2.29E+04,0.10565,1149,0.68934,,2.37E+04,1.00E+03,23598,1599,21114,2110,,0.90766,0.96889,0.90766,0.44157,0.90766,#N/A
2.21E+04,0.097976,1176,0.71308,,2.28E+04,1.03E+03,22659,1653,20280,2244,,0.90766,0.82744,0.90766,0.037913,0.93901,#N/A
