ir,ia,iir,iia,i-lookup-690r,ii-lookup-690r,ir-690-r-test,iir-690-r-test,ir-750-c-test,iir-750-c-test,ir-800-l-test,iir-800-l-test,,iknee-a-690-test,iiknee-a-690-test,iknee-n-690-test,iiknee-n-690-test,,iknee-a-750-test,iiknee-a-750-test,iknee-n-750-test,iiknee-n-750-test,,iknee-a-690-lookup,iiknee-a-690-lookup
2.68E+04,0.14816,613,0.42679,0.14438,#N/A,61143,5.68E+02,61699,850,59065,957,,39236,2979,41871,2942,,,,,,,0.14438,0.67354
2.57E+04,0.1541,643,0.36188,0.14438,#N/A,58891,6.03E+02,59314,915,56895,1042,,38123,3031,40825,2966,,,,,,,0.14438,0.67354
2.48E+04,0.12531,626,0.53294,0.14438,#N/A,5.69E+04,5.64E+02,57300,917,54829,1077,,37463,3104,39882,2986,,,,,,,0.14438,0.67354
2.38E+04,0.12598,637,0.56534,0.14438,0.53294,5.48E+04,6.29E+02,55596,958,52805,1119,,36683,3168,39117,3041,,,,,,,0.14438,0.75829
2.29E+04,0.10565,635,0.66592,0.14438,#N/A,5.27E+04,5.93E+02,53384,950,50883,1154,,35892,3241,38494,3147,,,,,,,0.14438,0.75829
2.21E+04,0.097976,661,0.6253,0.14438,0.66592,5.08E+04,6.50E+02,51356,1018,48849,1149,,35277,3179,37730,3205,,,,,,,0.14438,0.75829
2.12E+04,0.10509,656,0.74357,0.14438,0.42679,4.89E+04,6.23E+02,49468,1014,46931,1198,,34594,3340,37126,3205,,,,,,,0.14438,0.75829
2.06E+04,0.042859,696,0.63906,0.14438,0.74357,4.72E+04,6.63E+02,47618,1034,44915,1231,,33842,3247,36313,3205,,,,,,,0.14438,0.7452
1.97E+04,0.069801,723,0.60517,0.14438,0.53294,4.53E+04,6.28E+02,45840,1050,43333,1272,,33076,3330,35609,3303,,,,,,,0.14438,0.75829
1.90E+04,0.081114,751,0.57137,0.14438,0.74357,4.37E+04,6.94E+02,44039,1096,41534,1317,,32382,3385,34969,3271,,,,,,,0.14438,0.7452
1.83E+04,0.081498,781,0.53351,0.14438,0.63906,4.21E+04,7.08E+02,42415,1078,39866,1328,,31649,3464,34009,3328,,,,,,,0.14438,0.7452
1.75E+04,0.10762,780,0.63351,0.14438,0.57137,4.04E+04,7.55E+02,40747,1140,38201,1372,,30764,3446,33257,3408,,,,,,,0.14438,0.72809
1.68E+04,0.12516,765,0.79967,0.14438,0.74357,3.87E+04,6.79E+02,39013,1132,36699,1396,,30139,3481,32412,3419,,,,,,,0.14438,0.7452
