AC,TSI,PI,,,
0.3730752,93.88884202,1.3,,,
0.4147575,94.0166725,1.4,,,
0.374452,94.06244051,1.5,,,
0.4401799,94.09280776,1.5,,,
0.4479657,94.13775024,1.5,,,
0.4394915,94.14890748,1.5,,,
0.4310174,94.25258713,1.4,,,
0.4557514,94.31151047,1.5,,,
0.3815494,94.31992036,1.5,,,
0.3730753,94.32920608,1.5,,,
0.380861,94.42368013,1.5,,,
0.3893352,94.57139969,1.5,,,
0.4310174,94.54734648,1.4,,,
0.4472773,94.5580162,1.4,,,
0.4140692,94.61108704,1.6,,,
0.3568153,94.64776306,1.6,,,
0.3391788,94.63819657,1.8,,,
0.380861,94.61643525,1.9,,,
0.3242956,94.66296464,1.8,,,
0.2246712,94.7839348,1.8,,,
0.216197,94.78958816,1.7,,,
0.2917758,94.85247271,1.6,,,
0.3978093,94.9044365,1.6,,,
0.3801727,94.91430969,1.5,,,
0.3144448,94.84951554,1.5,,,
0.3059707,94.8102913,1.5,,,
0.3059707,94.74479676,1.5,,,
0.2890225,94.6070404,1.5,,,
0.2981849,94.5595749,1.5,,,
0.2727625,94.64379273,1.4,,,
0.3059706,94.64225235,1.4,,,
0.335737,94.6076187,1.5,,,
0.3116914,94.67282714,1.5,,,
0.2622232,94.64817124,1.5,,,
0.2615351,94.66749496,1.5,,,
0.286269,94.66668624,1.5,,,
0.2940547,94.66552277,1.5,,,
0.3045939,94.64790421,1.4,,,
0.3123797,94.63329468,1.5,,,
0.3364253,94.62293474,1.4,,,
0.3336721,94.61607436,1.3,,,
0.2913013,94.63891677,1.3,,,
0.3584059,94.55944671,1.2,,,
0.4156598,94.58475724,1.2,,,
0.4417705,94.50880204,1.2,,,
0.4997125,94.48248978,1.1,,,
0.4905503,94.41645126,1.1,,,
0.5244465,94.35050965,1.1,,,
0.4997127,94.30812911,1.1,,,
0.2722881,94.34725417,1.3,,,
0.1316695,94.39398192,1.5,,,
0.074416,94.41397475,1.6,,,
0.0822017,94.39925995,1.7,,,
0.1154096,94.39795456,1.7,,,
0.1486179,94.27175522,1.7,,,
0.1584688,94.26962051,1.7,,,
0.249619,94.24789886,1.7,,,
0.3831399,94.1880783,1.7,,,
0.4085624,94.19083098,1.7,,,
0.4445238,94.17603149,1.7,,,
0.4933035,94.11222304,1.8,,,
0.4275756,94.11728819,1.8,,,
0.3682568,94.12568893,1.8,,,
0.2601581,94.05679397,1.6,,,
0.2029044,93.97960205,1.7,,,
0.1781704,94.00946808,1.6,,,
0.1131311,93.97938463,1.6,,,
0.0558772,93.92102738,1.6,,,
0.0982478,93.89035264,1.6,,,
0.1823006,93.95882949,1.5,,,
0.2480285,93.94625319,1.5,,,
0.23108,93.83192597,1.6,,,
0.2565027,93.87612611,1.6,,,
0.2324569,93.91804582,1.5,,,
0.2161972,93.87794875,1.5,,,
0.166729,93.91383515,1.4,,,
0.1010011,94.00473481,1.3,,,
0.125735,93.99313583,1.3,,,
0.1016893,93.97569884,1.3,,,
0.0522213,94.05466233,1.3,,,
0.0522213,94.0383873,1.3,,,
0.0769555,94.08927077,1.2,,,
0.1030662,94.13108064,1.2,,,
0.0868063,94.13852846,1.3,,,
0.0705464,94.11996231,1.2,,,
0.0542865,94.14913331,1.2,,,
0.112917,94.20409317,1.2,,,
0.187119,94.21971587,1.2,,,
0.1793333,94.23290939,1.2,,,
0.2210155,94.28446121,1.2,,,
0.1793332,94.27474289,1.2,,,
0.1213912,94.26000214,1.2,,,
0.112917,94.30974732,1.3,,,
0.0874946,94.31663362,1.3,,,
0.0790205,94.35363846,1.3,,,
0.0797089,94.36120376,1.3,,,
0.137651,94.38899995,1.3,,,
0.2535354,94.39405213,1.3,,,
0.2210155,94.3555504,1.3,,,
0.2464379,94.36289444,1.3,,,
0.2633861,94.40285951,1.3,,,
0.2626978,94.39997406,1.3,,,
0.2294897,94.41112365,1.3,,,
0.1962816,94.34410248,1.2,,,
0.1305536,94.38171465,1.2,,,
0.0231435,94.38312683,1.2,,,
0.0263246,94.37044983,1.2,,,
0.0595326,94.32794495,1.3,,,
0.0517469,94.4187111,1.3,,,
0.0185388,94.47614821,1.4,,,
0.0563515,94.47390977,1.4,,,
0.1383394,94.4855034,1.4,,,
0.1962814,94.49445112,1.4,,,
0.2718602,94.52374419,1.4,,,
0.2718604,94.48381195,1.4,,,
0.3213283,94.50053939,1.4,,,
0.3206398,94.57310866,1.4,,,
0.279646,94.58677748,1.4,,,
0.2704835,94.62489167,1.4,,,
0.2281129,94.69373245,1.4,,,
0.1793334,94.73566362,1.4,,,
0.2281129,94.74965744,1.3,,,
0.2697953,94.84512099,1.3,,,
0.2945293,94.88507462,1.3,,,
0.3101008,94.96567004,1.3,,,
0.327049,94.98471526,1.3,,,
0.3680428,95.01865157,1.3,,,
0.3765171,95.04612656,1.3,,,
0.3680429,95.0358612,1.4,,,
0.368043,95.06013566,1.4,,,
0.3687313,95.11408463,1.4,,,
0.4090367,95.15951308,1.4,,,
0.4259849,95.19933395,1.3,,,
