AC,O2Hb,HHB,HTb,HB_diff,TSI,PI
0.3730752,-0.18938829,-0.03381392,-0.2233022,-0.15557438,93.88884202,1.3
0.4147575,-0.12622402,-0.02197243,-0.14829643,-0.10425158,94.0166725,1.4
0.374452,-0.08612029,0.01069945,-0.07552084,-0.09681974,94.06244051,1.5
0.4401799,-0.15543967,0.06984015,-0.08569954,-0.22527983,94.09280776,1.5
0.4479657,-0.15667404,0.10001178,-0.05676227,-0.25668582,94.13775024,1.5
0.4394915,-0.04195528,0.1422098,0.10015452,-0.18416508,94.14890748,1.5
0.4310174,0.02776042,0.17299637,0.20065677,-0.14523593,94.25258713,1.4
0.4557514,0.07647593,0.21454442,0.29092035,-0.1380685,94.31151047,1.5
0.3815494,0.14081043,0.2548648,0.39557523,-0.11405437,94.31992036,1.5
0.3730753,0.23645172,0.29440502,0.53075675,-0.05795325,94.32920608,1.5
0.380861,0.19175006,0.33047001,0.52212007,-0.13871996,94.42368013,1.5
0.3893352,0.16131206,0.31225258,0.47346464,-0.15094053,94.57139969,1.5
0.4310174,0.15480811,0.3145329,0.469241,-0.15972481,94.54734648,1.4
0.4472773,0.16559655,0.33624085,0.5017374,-0.17064427,94.5580162,1.4
0.4140692,0.11063104,0.32322418,0.43375524,-0.21259313,94.61108704,1.6
0.3568153,0.15343139,0.28102834,0.43435973,-0.12759696,94.64776306,1.6
0.3391788,0.29168792,0.25379686,0.54538475,0.03789104,94.63819657,1.8
0.380861,0.50914071,0.24723052,0.75627124,0.26191019,94.61643525,1.9
0.3242956,0.64112117,0.20775487,0.84877607,0.4333663,94.66296464,1.8
0.2246712,0.79795192,0.19100479,0.9888567,0.60694712,94.7839348,1.8
0.216197,1.02254959,0.17768502,1.20013462,0.84486457,94.78958816,1.7
0.2917758,1.18043425,0.16651319,1.34684746,1.01392108,94.85247271,1.6
0.3978093,1.25534138,0.10286436,1.35810576,1.15247701,94.9044365,1.6
0.3801727,1.3076437,0.03099696,1.33854065,1.27664673,94.91430969,1.5
0.3144448,1.45611194,-0.02870399,1.42730795,1.48481592,94.84951554,1.5
0.3059707,1.54368277,-0.10528958,1.4382932,1.64897238,94.8102913,1.5
0.3059707,1.54230138,-0.19911989,1.34308153,1.74142128,94.74479676,1.5
0.2890225,1.57080733,-0.28813457,1.28257278,1.8589419,94.6070404,1.5
0.2981849,1.64262149,-0.36684296,1.27567858,2.00946449,94.5595749,1.5
0.2727625,1.61460479,-0.466629,1.14787581,2.08123377,94.64379273,1.4
0.3059706,1.63124696,-0.56337974,1.06776722,2.19462669,94.64225235,1.4
0.335737,1.71329892,-0.63378198,1.0794169,2.34708093,94.6076187,1.5
0.3116914,1.75994468,-0.70281649,1.05702817,2.46276116,94.67282714,1.5
0.2622232,1.85649287,-0.78169994,1.07469294,2.63819287,94.64817124,1.5
0.2615351,1.89940484,-0.86132087,1.03798396,2.76072571,94.66749496,1.5
0.286269,1.90642874,-0.95130067,0.95502809,2.8577294,94.66668624,1.5
0.2940547,1.96637914,-1.03774506,0.9285341,3.00412422,94.66552277,1.5
0.3045939,2.13032871,-1.10202415,1.02820452,3.23235285,94.64790421,1.4
0.3123797,2.24503811,-1.1804776,1.06446055,3.4255157,94.63329468,1.5
0.3364253,2.35521378,-1.24884465,1.10626914,3.60405837,94.62293474,1.4
0.3336721,2.55724943,-1.3094833,1.2476661,3.86673273,94.61607436,1.3
0.2913013,2.59388534,-1.40134841,1.19243691,3.99523369,94.63891677,1.3
0.3584059,2.51525637,-1.48848765,1.02666875,4.00374397,94.55944671,1.2
0.4156598,2.40836616,-1.58101253,0.82725363,3.98937871,94.58475724,1.2
0.4417705,2.38980868,-1.67136983,0.71833882,4.06117847,94.50880204,1.2
0.4997125,2.34509764,-1.75595625,0.58904137,4.10105387,94.48248978,1.1
0.4905503,2.29740998,-1.83270164,0.46460834,4.13011166,94.41645126,1.1
0.5244465,2.28964089,-1.90135096,0.38818994,4.19099187,94.35050965,1.1
0.4997127,2.3776034,-1.94833505,0.42916833,4.32593838,94.30812911,1.1
0.2722881,2.45876513,-1.98018958,0.4784756,4.43895473,94.34725417,1.3
0.1316695,2.51052151,-2.00513307,0.50528842,4.51565456,94.39398192,1.5
0.074416,2.62468484,-2.03666263,0.58792228,4.66134753,94.41397475,1.6
0.0822017,2.60035923,-2.08676193,0.51349733,4.6871211,94.39925995,1.7
0.1154096,2.54713126,-2.13777372,0.40925757,4.68490506,94.39795456,1.7
0.1486179,2.52308094,-2.18117211,0.34180886,4.70425311,94.27175522,1.7
0.1584688,2.44072296,-2.21857205,0.22205088,4.65929495,94.26962051,1.7
0.249619,2.35593898,-2.23472909,0.12110984,4.59066802,94.24789886,1.7
0.3831399,2.31920355,-2.24564051,0.07346296,4.56484389,94.1880783,1.7
0.4085624,2.34210504,-2.25027116,0.09173382,4.59237608,94.19083098,1.7
0.4445238,2.31455339,-2.25845475,0.05599867,4.5730081,94.17603149,1.7
0.4933035,2.31116375,-2.26066503,0.05039873,4.57182861,94.11222304,1.8
0.4275756,2.31001967,-2.24836834,0.06155124,4.55838794,94.11728819,1.8
0.3682568,2.25123012,-2.25409653,-0.00296647,4.50532651,94.12568893,1.8
0.2601581,2.18062419,-2.24633528,-0.06581115,4.42695948,94.05679397,1.6
0.2029044,2.18273201,-2.23517882,-0.05254683,4.41791071,93.97960205,1.7
0.1781704,2.08244525,-2.22720747,-0.14486222,4.30965275,94.00946808,1.6
0.1131311,2.00018212,-2.22215661,-0.2220745,4.22233882,93.97938463,1.6
0.0558772,1.98447293,-2.20305397,-0.21868109,4.18752699,93.92102738,1.6
0.0982478,1.94938953,-2.17375997,-0.22447042,4.1231495,93.89035264,1.6
0.1823006,1.85439379,-2.15744756,-0.30315374,4.01184136,93.95882949,1.5
0.2480285,1.78356003,-2.13516186,-0.35170185,3.91872189,93.94625319,1.5
0.23108,1.80740385,-2.09678919,-0.28948531,3.90419308,93.83192597,1.6
0.2565027,1.78581022,-2.06032917,-0.27461896,3.84613935,93.87612611,1.6
0.2324569,1.7358864,-2.03093006,-0.29514364,3.76681647,93.91804582,1.5
0.2161972,1.7341488,-1.99293483,-0.25888606,3.72708368,93.87794875,1.5
0.166729,1.67701129,-1.95845755,-0.28154626,3.63546888,93.91383515,1.4
0.1010011,1.59106175,-1.94276772,-0.35180598,3.53382951,94.00473481,1.3
0.125735,1.53252615,-1.92224483,-0.38981867,3.454771,93.99313583,1.3
0.1016893,1.53763667,-1.87815382,-0.34061715,3.41579048,93.97569884,1.3
0.0522213,1.48544597,-1.84371151,-0.35836555,3.3291575,94.05466233,1.3
0.0522213,1.51868018,-1.79758531,-0.27900511,3.31626547,94.0383873,1.3
0.0769555,1.53141743,-1.74852113,-0.21720373,3.27993859,94.08927077,1.2
0.1030662,1.51271019,-1.70202726,-0.18941706,3.21473743,94.13108064,1.2
0.0868063,1.52375262,-1.65406827,-0.13041563,3.17782089,94.13852846,1.3
0.0705464,1.46004231,-1.61898583,-0.15904353,3.07902817,94.11996231,1.2
0.0542865,1.41639458,-1.57734257,-0.16104801,2.99373723,94.14913331,1.2
0.112917,1.32075796,-1.55655703,-0.2358991,2.87731496,94.20409317,1.2
0.187119,1.22709149,-1.52796545,-0.30097398,2.75505695,94.21971587,1.2
0.1793333,1.21800252,-1.48824252,-0.27034002,2.70624505,94.23290939,1.2
0.2210155,1.15818508,-1.4587734,-0.30068829,2.61695845,94.28446121,1.2
0.1793332,1.17030284,-1.4247863,-0.25458345,2.59508909,94.27474289,1.2
0.1213912,1.19767397,-1.38085283,-0.18327887,2.5785268,94.26000214,1.2
0.112917,1.19234023,-1.35009362,-0.15785342,2.54243387,94.30974732,1.3
0.0874946,1.27158396,-1.30820308,-0.03671912,2.57978703,94.31663362,1.3
0.0790205,1.24618765,-1.28400472,-0.03791709,2.53019232,94.35363846,1.3
0.0797089,1.27039705,-1.25680605,0.01349098,2.52720309,94.36120376,1.3
0.137651,1.25984114,-1.23271275,0.02702839,2.49255391,94.38899995,1.3
0.2535354,1.20583934,-1.22227622,-0.01653691,2.4281156,94.39405213,1.3
0.2210155,1.23478903,-1.20013826,0.03455076,2.43492727,94.3555504,1.3
0.2464379,1.27752519,-1.18368363,0.0937416,2.46120884,94.36289444,1.3
0.2633861,1.28824481,-1.1636509,0.12449392,2.45189575,94.40285951,1.3
0.2626978,1.29523066,-1.15420463,0.140926,2.44943522,94.39997406,1.3
0.2294897,1.30906458,-1.13866253,0.17030203,2.4477271,94.41112365,1.3
0.1962816,1.35681636,-1.12056766,0.23614872,2.47738405,94.34410248,1.2
0.1305536,1.35333652,-1.10490305,0.24833349,2.45823954,94.38171465,1.2
0.0231435,1.36201716,-1.09435161,0.26756553,2.45636873,94.38312683,1.2
0.0263246,1.39025708,-1.06941577,0.32074132,2.45967282,94.37044983,1.2
0.0595326,1.45942208,-1.052031,0.40729109,2.51145312,94.32794495,1.3
0.0517469,1.45559805,-1.04474253,0.41075553,2.50034062,94.4187111,1.3
0.0185388,1.43883495,-1.03121816,0.40751679,2.47005309,94.47614821,1.4
0.0563515,1.51477924,-1.00941283,0.50526644,2.52419205,94.47390977,1.4
0.1383394,1.55263745,-0.99124791,0.56128953,2.54388538,94.4855034,1.4
0.1962814,1.57382276,-0.97743356,0.59628918,2.55125637,94.49445112,1.4
0.2718602,1.56173112,-0.97064512,0.59098596,2.53237623,94.52374419,1.4
0.2718604,1.60639003,-0.9676098,0.63868018,2.57399976,94.48381195,1.4
0.3213283,1.62736881,-0.95882116,0.66844763,2.58618995,94.50053939,1.4
0.3206398,1.62283499,-0.94873475,0.67400023,2.57156974,94.57310866,1.4
0.279646,1.62198759,-0.94928733,0.67260024,2.57127494,94.58677748,1.4
0.2704835,1.67244069,-0.94573446,0.72660624,2.61817516,94.62489167,1.4
0.2281129,1.72882569,-0.93831355,0.79041214,2.66713924,94.69373245,1.4
0.1793334,1.77552357,-0.92579695,0.84962665,2.70132051,94.73566362,1.4
0.2281129,1.83380987,-0.91224521,0.92146471,2.74605512,94.74965744,1.3
0.2697953,1.89280599,-0.90149136,0.99121463,2.79429734,94.84512099,1.3
0.2945293,1.95867161,-0.90419185,1.05437971,2.86286343,94.88507462,1.3
0.3101008,1.94715197,-0.90355174,1.04350024,2.8507037,94.96567004,1.3
0.327049,1.94799941,-0.90299918,1.04490021,2.85099853,94.98471526,1.3
0.3680428,1.93080187,-0.879976,1.05072586,2.81077783,95.01865157,1.3
0.3765171,1.93572727,-0.86046087,1.07516645,2.79618812,95.04612656,1.3
0.3680429,2.01946201,-0.78955634,1.22980572,2.80901836,95.0358612,1.4
0.368043,2.10042666,-0.70578508,1.39454159,2.80621174,95.06013566,1.4
0.3687313,2.22454048,-0.59550779,1.62893272,2.82004828,95.11408463,1.4
0.4090367,2.34540236,-0.48409032,1.86121199,2.82949262,95.15951308,1.4
0.4259849,2.4796376,-0.38840754,2.09113006,2.86804516,95.19933395,1.3
0.3758288,2.61907368,-0.26650871,2.35246497,2.88558239,95.26243286,1.3
0.417511,2.70906313,-0.16380988,2.54515324,2.87287301,95.32964859,1.2
0.4175109,2.80214548,-0.0460515,2.75599396,2.84819696,95.37092668,1.2
0.4429333,2.91167283,0.0905819,3.00215474,2.82109091,95.40989532,1.2
0.4585049,3.01767288,0.22165458,3.23922743,2.79601831,95.46112441,1.2
0.3687312,3.21670315,0.38893448,3.6055376,2.82776868,95.43859099,1.2
0.4252968,3.43906934,0.54208494,3.98105431,2.89698444,95.43516999,1.2
0.4415566,3.62052715,0.6229106,4.24333782,2.99761661,95.48281404,1.2
0.4252967,3.79756277,0.67639753,4.47386044,3.12116531,95.51041641,1.2
0.3998743,4.04261939,0.7595659,4.80208525,3.28305348,95.4310112,1.1
0.4154459,4.20321469,0.85450351,5.05761819,3.34871119,95.42475356,1.1
0.4069719,4.33213763,0.96139532,5.29343296,3.37074233,95.38623733,1.1
0.4564397,4.4854291,1.07928612,5.56461507,3.40614286,95.2663269,1.1
0.4649139,4.67898311,1.21364906,5.8925322,3.46533414,95.12063065,1.1
0.5235443,4.78887609,1.33910844,6.12788454,3.44976765,95.02067948,1.1
0.5567526,4.93928108,1.44696536,6.38614636,3.49231578,94.91489181,1.1
0.5970582,5.2087749,1.54280787,6.75148276,3.66596703,94.64274445,1.1
0.588584,5.36838512,1.6338425,7.00212758,3.73454267,94.55706634,1.1
0.5299534,5.49096313,1.7268149,7.21767807,3.76414827,94.46566774,1.1
0.5221678,5.67636141,1.82325269,7.49951405,3.85310871,94.14032058,1.1
0.5235444,5.87568375,1.91735762,7.79294133,3.95832603,94.1141594,1.1
0.4676672,6.07688598,2.03714358,8.1139297,4.03974239,94.0196869,1.1
0.4449984,6.33452072,2.18557582,8.51999665,4.1489449,93.68963166,1.1
0.4880575,6.57809352,2.33299044,8.91098384,4.24510317,93.62483139,1.2
0.6243316,6.68917795,2.46737851,9.15645676,4.22179952,93.64492493,1.3
0.6786184,6.8779706,2.62635235,9.50422298,4.25161824,93.37048875,1.3
0.7965676,7.14002744,2.80212326,9.94205082,4.33790422,93.02671051,1.4
0.8416916,7.22644682,2.93836171,10.16470842,4.28808509,93.07862626,1.5
1.0097973,7.33251578,3.07110957,10.40352536,4.26140603,93.0209671,1.5
1.0698046,7.51381921,3.22846064,10.74217959,4.28535848,92.88675462,1.5
1.0796553,7.54710545,3.35613801,10.90314341,4.19096743,92.91441497,1.5
1.1149286,7.61898109,3.47963222,11.09851342,4.13934883,92.78686218,1.6
1.115617,7.75571594,3.61607306,11.37168884,4.13964286,92.59751433,1.6
1.1254678,7.74159455,3.73403166,11.47552643,4.00756284,92.70725096,1.7
0.9743101,7.75376443,3.84956987,11.60323449,3.90419451,92.70348894,1.7
1.3945747,7.88603424,3.99777234,11.88370667,3.88826193,92.49385376,1.8
1.4660232,8.03046456,4.14086157,12.17122622,3.88960302,92.32929383,1.9
1.5551085,8.13037367,4.28426595,12.41453962,3.84610777,92.2348236,1.9
