intralipid,ink,minR1R2,690us,a690,label
72,0,4169,0.826552807,0.000556593,0
90,0,3684,1.023845563,0.000574254,0
117,0,2845,1.313182187,0.000600156,0
126,0,2695,1.407913987,0.000608636,0
144,0,2510,1.594874888,0.000625373,0
72,0.4,3592,0.826385184,0.003689807,
72,0.8,2428,0.826217628,0.00682175,
72,1.2,1808,0.82605014,0.009952423,
72,1.6,1483,0.82588272,0.013081828,
72,2,1306,0.825715368,0.016209964,
72,2.4,1179,0.825548083,0.019336833,
72,2.8,1006,0.825380867,0.022462435,
90,0.4,2967,1.023639806,0.00367913,
90,0.8,1844,1.023434132,0.006782757,
90,1.2,1279,1.023228541,0.009885138,
90,1.5,1236,1.023074401,0.012211106,
90,1.6,1228,1.023023032,0.012986273,
90,2,1069,1.022817605,0.016086162,
90,2.4,986,1.022612262,0.019184806,
90,2.8,980,1.022407,0.022282207,
90,3,961,1.0223044,0.023830441,
117,0.8,1590,1.312661548,0.006725573,
117,1.6,1072,1.312141321,0.012846135,
117,2.4,920,1.311621507,0.018961848,
117,2.8,902,1.311361754,0.022017888,
126,1.6,995,1.406802988,0.012800252,
144,0.4,1715,1.594562841,0.003648227,
144,0.8,1072,1.594250915,0.006669899,
144,1.2,1042,1.593939112,0.009690389,
144,1.6,941,1.593627431,0.012709697,
144,2,923,1.593315871,0.015727825,
144,2.4,906,1.593004433,0.018744773,
144,2.8,862,1.592693117,0.021760542,
