intralipid,ink,minR1R2,690us,a690,label
72,0,4169,0.826552807,0.000556593,0
72,0.4,2419,0.918287181,0.006332997,1
72,0.8,1651,0.918100991,0.009252951,1
72,1.2,1312,0.917914877,0.01217172,1
72,1.6,1161,0.917728838,0.015089306,2
72,2,1044,0.917542875,0.018005709,2
72,2.4,984,0.917356987,0.020920929,2
72,2.8,965,0.917171174,0.023834968,2
90,0,3684,1.023845563,0.000574254,0
90,0.4,1996,1.137478418,0.006302329,1
90,0.8,1415,1.137249871,0.00919619,1
90,1.2,1152,1.137021416,0.012088888,1
90,1.6,1051,1.136793053,0.014980424,2
90,2,933,1.136564781,0.017870798,2
90,2.4,937,1.136336601,0.02076001,2
90,2.8,929,1.136108512,0.023648062,2
117,0,2845,1.313182187,0.000600156,0
117,0.4,1590,1.458931375,0.006257341,1
117,0.8,1148,1.458642163,0.009112927,1
117,1.2,1046,1.458353065,0.01196738,1
117,1.6,990,1.458064082,0.014820701,2
117,2,937,1.457775214,0.017672891,2
117,2.4,919,1.45748646,0.02052395,2
117,2.8,888,1.45719782,0.023373879,2
126,0,2695,1.407913987,0.000608636,0
126,0.4,1482,1.564178771,0.006242608,1
126,0.8,1158,1.563870072,0.00908566,1
126,1.2,1013,1.563561494,0.011927588,1
126,1.6,910,1.563253039,0.014768395,2
126,2,917,1.562944705,0.01760808,2
126,2.4,900,1.562636492,0.020446644,2
126,2.8,896,1.562328402,0.023284088,2
72,0.4,3592,0.826385184,0.003689807,
72,0.8,2428,0.826217628,0.00682175,
72,1.2,1808,0.82605014,0.009952423,
72,1.6,1483,0.82588272,0.013081828,
72,2,1306,0.825715368,0.016209964,
72,2.4,1179,0.825548083,0.019336833,
72,2.8,1006,0.825380867,0.022462435,
90,0.4,2967,1.023639806,0.00367913,
90,0.8,1844,1.023434132,0.006782757,
90,1.2,1279,1.023228541,0.009885138,
90,1.5,1236,1.023074401,0.012211106,
90,1.6,1228,1.023023032,0.012986273,
90,2,1069,1.022817605,0.016086162,
90,2.4,986,1.022612262,0.019184806,
90,2.8,980,1.022407,0.022282207,
90,3,961,1.0223044,0.023830441,
117,0.8,1590,1.312661548,0.006725573,
117,1.6,1072,1.312141321,0.012846135,
117,2.4,920,1.311621507,0.018961848,
117,2.8,902,1.311361754,0.022017888,
126,1.6,995,1.406802988,0.012800252,
144,0.4,1715,1.594562841,0.003648227,
144,0.8,1072,1.594250915,0.006669899,
144,1.2,1042,1.593939112,0.009690389,
144,1.6,941,1.593627431,0.012709697,
144,2,923,1.593315871,0.015727825,
144,2.4,906,1.593004433,0.018744773,
144,2.8,862,1.592693117,0.021760542,
144,0,2510,1.594874888,0.000625373,
144,0.4,1368,1.771893597,0.006213528,
144,0.8,1078,1.771546982,0.009031837,
144,1.2,979,1.771200503,0.011849044,
144,1.6,946,1.77085416,0.014665147,
144,2,865,1.770507952,0.017480149,
144,2.4,896,1.770161879,0.020294049,
144,2.8,883,1.769815942,0.023106848,
