intralipid,ink,minR1R2,690us,a690,y_norm,class_actual,y_pred(15),class_pred,actual,predict,
72,0,4169,0.826552807,0.000556593,0,0,0,0,negative,detected,TN
72,0.4,2419,0.918287181,0.006332997,0.248144641,0,0.252247834,0,negative,detected,TN
72,0.8,1651,0.918100991,0.009252951,0.373580974,0,0.284305619,0,negative,detected,TN
72,1.2,1312,0.917914877,0.01217172,0.498966401,0,0.478452651,1,negative,detected,TN
72,1.6,1161,0.917728838,0.015089306,0.624301009,1,0.481826849,1,positive,undetected,FN
72,2,1044,0.917542875,0.018005709,0.749584797,1,0.69966319,1,positive,detected,TP
72,2.4,984,0.917356987,0.020920929,0.874817765,1,0.76966433,1,positive,detected,TP
72,2.8,965,0.917171174,0.023834968,1,1,1,1,positive,detected,TP
72,0.4,3592,0.826385184,0.003689807,0.134597625,,,,negative,detected,TN
72,0.8,2428,0.826217628,0.00682175,0.269140651,,,,negative,detected,TN
72,1.2,1808,0.82605014,0.009952423,0.403629119,,,,negative,detected,TN
2,1.6,1483,0.82588272,0.013081828,0.538063117,,,,negative,detected,TN
72,2,1306,0.825715368,0.016209964,0.6724426,,,,positive,detected,TP
72,2.4,1179,0.825548083,0.019336833,0.806767655,,,,positive,detected,TP
72,2.8,1006,0.825380867,0.022462435,0.941038281,,,,positive,detected,TP
90,0,3684,1.023845563,0.000574254,0.000758687,0,0,0,,,
90,0.4,1996,1.137478418,0.006302329,0.246827195,0,0.200892774,0,0.857142857,,
90,0.8,1415,1.137249871,0.00919619,0.371142616,0,0.490925812,0,1,,
90,1.2,1152,1.137021416,0.012088888,0.495408077,0,0.481826849,1,,#DIV/0!,
90,1.6,1051,1.136793053,0.014980424,0.619623621,1,0.685735802,1,,0.142857143,
90,2,933,1.136564781,0.017870798,0.743789246,1,0.879971044,1,,,
90,2.4,937,1.136336601,0.02076001,0.867904955,1,0.879971044,1,,,
90,2.8,929,1.136108512,0.023648062,0.991970831,,,1,,,
117,0,2845,1.313182187,0.000600156,0.001871394,TP,6,Sensitivity,,,
117,0.4,1590,1.458931375,0.006257341,0.244894586,FN,1,Specificity,,,
117,0.8,1148,1.458642163,0.009112927,0.367565777,TN,8,Positive likelihood ratio,,,
117,1.2,1046,1.458353065,0.01196738,0.490188297,FP,0,Negative likelihood ratio,,,
117,1.6,990,1.458064082,0.014820701,0.612762188,,,,,,
117,2,937,1.457775214,0.017672891,0.735287493,,,,,,
117,2.4,919,1.45748646,0.02052395,0.857764212,,,,,,
117,2.8,888,1.45719782,0.023373879,0.980192389,,,,,,
126,0,2695,1.407913987,0.000608636,0.00223568,,,,,,
126,0.4,1482,1.564178771,0.006242608,0.244261681,,,,,,
126,0.8,1158,1.563870072,0.00908566,0.366394433,,,,,,
126,1.2,1013,1.563561494,0.011927588,0.488478899,,,,,,
126,1.6,910,1.563253039,0.014768395,0.61051521,,,,,,
126,2,917,1.562944705,0.01760808,0.732503321,,,,,,
126,2.4,900,1.562636492,0.020446644,0.854443276,,,,,,
126,2.8,896,1.562328402,0.023284088,0.976335118,,,,,,
144,0,2510,1.594874888,0.000625373,0.002954674,,,,,,
144,0.4,1368,1.771893597,0.006213528,0.243012453,,,,,,
144,0.8,1078,1.771546982,0.009031837,0.364082287,,,,,,
144,1.2,979,1.771200503,0.011849044,0.485104781,,,,,,
144,1.6,946,1.77085416,0.014665147,0.606079849,,,,,,
144,2,865,1.770507952,0.017480149,0.72700762,,,,,,
144,2.4,896,1.770161879,0.020294049,0.847888051,,,,,,
144,2.8,883,1.769815942,0.023106848,0.968721184,,,,,,
90,0.4,2967,1.023639806,0.00367913,0.134138959,,,,,,
90,0.8,1844,1.023434132,0.006782757,0.267465577,,,,,,
90,1.2,1279,1.023228541,0.009885138,0.400738668,,,,,,
90,1.5,1236,1.023074401,0.012211106,0.500658358,,,,,,
90,1.6,1228,1.023023032,0.012986273,0.533958234,,,,,,
90,2,1069,1.022817605,0.016086162,0.667124273,,,,,,
90,2.4,986,1.022612262,0.019184806,0.800236829,,,,,,
90,2.8,980,1.022407,0.022282207,0.933295988,,,,,,
90,3,961,1.0223044,0.023830441,0.999805528,,,,,,
117,0.8,1590,1.312661548,0.006725573,0.265009048,,,,,,
117,1.6,1072,1.312141321,0.012846135,0.52793814,,,,,,
117,2.4,920,1.311621507,0.018961848,0.790658927,,,,,,
117,2.8,902,1.311361754,0.022017888,0.921941287,,,,,,
126,1.6,995,1.406802988,0.012800252,0.525967083,,,,,,
144,0.4,1715,1.594562841,0.003648227,0.132811418,,,,,,
144,0.8,1072,1.594250915,0.006669899,0.262617386,,,,,,
144,1.2,1042,1.593939112,0.009690389,0.392372578,,,,,,
144,1.6,941,1.593627431,0.012709697,0.522076992,,,,,,
144,2,923,1.593315871,0.015727825,0.651730716,,,,,,
144,2.4,906,1.593004433,0.018744773,0.781333749,,,,,,
144,2.8,862,1.592693117,0.021760542,0.910886134,,,,,,
