intralipid,ink,minR1R2,690us,a690,label
72,0.4,2419,0.918287181,0.006332997,1
72,0.8,1651,0.918100991,0.009252951,1
72,1.2,1312,0.917914877,0.01217172,1
72,1.6,1161,0.917728838,0.015089306,2
72,2,1044,0.917542875,0.018005709,2
72,2.4,984,0.917356987,0.020920929,2
72,2.8,965,0.917171174,0.023834968,2
90,0.4,1996,1.137478418,0.006302329,1
90,0.8,1415,1.137249871,0.00919619,1
90,1.2,1152,1.137021416,0.012088888,1
90,1.6,1051,1.136793053,0.014980424,2
90,2,933,1.136564781,0.017870798,2
90,2.4,937,1.136336601,0.02076001,2
90,2.8,929,1.136108512,0.023648062,2
117,0.4,1590,1.458931375,0.006257341,1
117,0.8,1148,1.458642163,0.009112927,1
117,1.2,1046,1.458353065,0.01196738,1
117,1.6,990,1.458064082,0.014820701,2
117,2,937,1.457775214,0.017672891,2
117,2.4,919,1.45748646,0.02052395,2
117,2.8,888,1.45719782,0.023373879,2
126,0.4,1482,1.564178771,0.006242608,1
126,0.8,1158,1.563870072,0.00908566,1
126,1.2,1013,1.563561494,0.011927588,1
126,1.6,910,1.563253039,0.014768395,2
126,2,917,1.562944705,0.01760808,2
126,2.4,900,1.562636492,0.020446644,2
126,2.8,896,1.562328402,0.023284088,2
144,0.4,1368,1.771893597,0.006213528,1
144,0.8,1078,1.771546982,0.009031837,1
144,1.2,979,1.771200503,0.011849044,1
144,1.6,946,1.77085416,0.014665147,2
144,2,865,1.770507952,0.017480149,2
144,2.4,896,1.770161879,0.020294049,2
144,2.8,883,1.769815942,0.023106848,2
