690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,si690
1,1,1,1,0.00011306,0,0,0,1,0.00011306,0,0,0,0.61192,
0.96262,0.96086,0.96294,0.96889,0.0011023,0.0010862,0.0013055,0.00072467,1,-0.0041266,-4.80E-05,0.0055312,0.01073097,0.45262,
0.92916,0.92781,0.92598,0.93643,0,0.0011196,0.0008477,0.00031402,1,-0.00335017,-0.003875,0.003425,0.01266592,0.51234,
0.89459,0.89984,0.89443,0.90767,0.0018371,0.0018048,0.0020006,0.00057974,1,-0.00521342,0.0004242,0.0006451,0.01324194,0.36889,
0.85947,0.86354,0.86185,0.87038,0.00081965,0.0016711,0.0011868,0.00053143,1,-0.00797515,-0.00517,0.0002706,0.00844603,0.53217,
0.82853,0.83026,0.8281,0.83772,0.0024307,0.0028074,0.0017293,0.0011595,1,-0.0098311,-0.0067114,-0.0028578,0.0064421,0.38878,
0.79692,0.79927,0.79921,0.80595,0.0016676,0.0027406,0.0020175,0.0010387,1,-0.0107241,-0.0072701,-0.0018256,0.0052674,0.55337,
0.7681,0.76891,0.76571,0.77393,0.0027981,0.0030748,0.0030009,0.0020049,1,-0.0098315,-0.0091001,-0.0053086,0.0012267,0.42388,
0.73756,0.73973,0.73758,0.74206,0.0018089,0.0033421,0.0035264,0.0026571,1,-0.0131833,-0.0096461,-0.0067334,-0.0031682,0.53739,
0.71104,0.71018,0.70934,0.71542,0.0036743,0.0041108,0.0037299,0.0033335,1,-0.0094627,-0.0120897,-0.0080713,-0.001152,0.418,
0.68327,0.68353,0.68138,0.68937,0.00407,0.00381,0.0042385,0.0040582,1,-0.0151463,-0.0117313,-0.0093489,-0.0024429,0.53392,
0.65552,0.65615,0.65498,0.66008,0.0053984,0.0048461,0.0053405,0.004034,1,-0.0144215,-0.013079,-0.0094454,-0.0049351,0.47226,
0.62832,0.6277,0.63019,0.6344,0.0032503,0.0047124,0.0051201,0.0036717,1,-0.0196619,-0.0160367,-0.0105014,-0.0078183,0.50282,
0.60499,0.60347,0.60429,0.6066,0.0047766,0.0052472,0.0053575,0.0048312,1,-0.0173621,-0.0185034,-0.0130767,-0.0115289,0.41617,
0.58333,0.58184,0.58232,0.584,0.006642,0.0061495,0.0056457,0.0059665,1,-0.0149209,-0.0142933,-0.0118857,-0.008148,0.51576,
0.5575,0.55705,0.55693,0.56186,0.0065289,0.0060827,0.0063408,0.0060389,1,-0.0209805,-0.0186941,-0.0175252,-0.0132371,0.50619,
0.53602,0.53522,0.53405,0.53978,0.0063311,0.0069851,0.0078497,0.0060148,1,-0.0228089,-0.0207499,-0.0177703,-0.0127402,0.52246,
0.51679,0.51654,0.51497,0.51997,0.0069529,0.0077036,0.0084092,0.0074158,1,-0.0217081,-0.0193424,-0.0139048,-0.0106922,0.44038,
0.49617,0.49475,0.49237,0.49952,0.0078291,0.0086561,0.0080532,0.0077782,1,-0.0245309,-0.0241669,-0.0191468,-0.0130448,0.59262,
0.47788,0.47524,0.47559,0.47769,0.0083943,0.0091574,0.0086805,0.0080197,1,-0.0210087,-0.0205756,-0.0188295,-0.0156973,0.52575,
0.46139,0.45878,0.45655,0.46058,0.0089313,0.0093747,0.0095282,0.0074883,1,-0.0223107,-0.0196223,-0.0182548,-0.0151247,0.59665,
0.44235,0.44067,0.43909,0.44164,0.010514,0.010143,0.01002,0.0089135,1,-0.023573,-0.020589,-0.018338,-0.0171435,0.57617,
0.42396,0.42226,0.41977,0.42322,0.010062,0.010962,0.01063,0.0095898,1,-0.024245,-0.020812,-0.02172,-0.0188252,0.63852,
0.40854,0.406,0.40509,0.40767,0.010486,0.011881,0.011495,0.010315,1,-0.024762,-0.020118,-0.019259,-0.015917,0.57944,
0.39218,0.38913,0.38853,0.39116,0.012238,0.012082,0.01241,0.01244,1,-0.028859,-0.024659,-0.022896,-0.018459,0.63261,
0.37792,0.37472,0.37273,0.37656,0.012323,0.012516,0.013529,0.012947,1,-0.025997,-0.02249,-0.019925,-0.016837,0.57917,
0.36331,0.35931,0.35774,0.36194,0.013086,0.013419,0.014038,0.0136,1,-0.026741,-0.025987,-0.022076,-0.017717,0.54837,
0.34821,0.34608,0.34283,0.34717,0.01416,0.014288,0.01492,0.013431,1,-0.026439,-0.020678,-0.021795,-0.01788,0.54423,
0.33629,0.33379,0.33181,0.3367,0.015828,0.01524,0.016344,0.015894,1,-0.024583,-0.023568,-0.018997,-0.012456,0.59409,
0.322,0.32048,0.31765,0.32211,0.016082,0.016761,0.016734,0.016136,1,-0.028879,-0.024265,-0.020617,-0.016406,0.60066,
0.30834,0.30605,0.30404,0.30894,0.01563,0.015875,0.016361,0.015484,1,-0.030801,-0.026144,-0.025865,-0.019877,0.60776,
0.29736,0.29479,0.29424,0.29689,0.017834,0.018215,0.01887,0.018503,1,-0.028869,-0.025651,-0.02078,-0.01746,0.56269,
0.28605,0.28219,0.2819,0.28413,0.018795,0.018365,0.019345,0.018189,1,-0.029367,-0.028309,-0.025035,-0.021844,0.53852,
0.27392,0.27083,0.27035,0.27233,0.019191,0.019752,0.020311,0.017827,1,-0.029896,-0.025985,-0.025575,-0.024672,0.54962,
0.26474,0.26256,0.25971,0.26452,0.021085,0.021156,0.02182,0.022006,1,-0.02883,-0.026735,-0.025747,-0.019559,0.4951,
0.25261,0.25085,0.24964,0.25118,0.021904,0.022359,0.022396,0.021499,1,-0.029051,-0.024488,-0.024124,-0.022417,0.53371,
0.24507,0.24195,0.24266,0.24349,0.02312,0.023512,0.024583,0.023286,1,-0.02848,-0.026579,-0.022647,-0.020825,0.45668,
