690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,d690,d750,d800,d850,ai690,
1,1,1,1,0.00011306,0,0,0,1,1.00011306,1,1,1,0.61192,
0.96262,0.96086,0.96294,0.96889,0.0011023,0.0010862,0.0013055,0.00072467,1,0.9637223,0.9619462,0.9642455,0.96961467,0.45262,
0.92916,0.92781,0.92598,0.93643,0,0.0011196,0.0008477,0.00031402,1,0.92916,0.9289296,0.9268277,0.93674402,0.51234,
0.89459,0.89984,0.89443,0.90767,0.0018371,0.0018048,0.0020006,0.00057974,1,0.8964271,0.9016448,0.8964306,0.90824974,0.36889,
0.85947,0.86354,0.86185,0.87038,0.00081965,0.0016711,0.0011868,0.00053143,1,0.86028965,0.8652111,0.8630368,0.87091143,0.53217,
0.82853,0.83026,0.8281,0.83772,0.0024307,0.0028074,0.0017293,0.0011595,1,0.8309607,0.8330674,0.8298293,0.8388795,0.38878,
0.79692,0.79927,0.79921,0.80595,0.0016676,0.0027406,0.0020175,0.0010387,1,0.7985876,0.8020106,0.8012275,0.8069887,0.55337,
0.7681,0.76891,0.76571,0.77393,0.0027981,0.0030748,0.0030009,0.0020049,1,0.7708981,0.7719848,0.7687109,0.7759349,0.42388,
0.73756,0.73973,0.73758,0.74206,0.0018089,0.0033421,0.0035264,0.0026571,1,0.7393689,0.7430721,0.7411064,0.7447171,0.53739,
0.71104,0.71018,0.70934,0.71542,0.0036743,0.0041108,0.0037299,0.0033335,1,0.7147143,0.7142908,0.7130699,0.7187535,0.418,
0.68327,0.68353,0.68138,0.68937,0.00407,0.00381,0.0042385,0.0040582,1,0.68734,0.68734,0.6856185,0.6934282,0.53392,
0.65552,0.65615,0.65498,0.66008,0.0053984,0.0048461,0.0053405,0.004034,1,0.6609184,0.6609961,0.6603205,0.664114,0.47226,
0.62832,0.6277,0.63019,0.6344,0.0032503,0.0047124,0.0051201,0.0036717,1,0.6315703,0.6324124,0.6353101,0.6380717,0.50282,
0.60499,0.60347,0.60429,0.6066,0.0047766,0.0052472,0.0053575,0.0048312,1,0.6097666,0.6087172,0.6096475,0.6114312,0.41617,
0.58333,0.58184,0.58232,0.584,0.006642,0.0061495,0.0056457,0.0059665,1,0.589972,0.5879895,0.5879657,0.5899665,0.51576,
0.5575,0.55705,0.55693,0.56186,0.0065289,0.0060827,0.0063408,0.0060389,1,0.5640289,0.5631327,0.5632708,0.5678989,0.50619,
0.53602,0.53522,0.53405,0.53978,0.0063311,0.0069851,0.0078497,0.0060148,1,0.5423511,0.5422051,0.5418997,0.5457948,0.52246,
0.51679,0.51654,0.51497,0.51997,0.0069529,0.0077036,0.0084092,0.0074158,1,0.5237429,0.5242436,0.5233792,0.5273858,0.44038,
0.49617,0.49475,0.49237,0.49952,0.0078291,0.0086561,0.0080532,0.0077782,1,0.5039991,0.5034061,0.5004232,0.5072982,0.59262,
0.47788,0.47524,0.47559,0.47769,0.0083943,0.0091574,0.0086805,0.0080197,1,0.4862743,0.4843974,0.4842705,0.4857097,0.52575,
