690i,750i,800i,850i,690ii,750ii,800ii,850ii,label,ai690
1,1,1,1,0.00011306,0,0,0,1,0.61192
0.96262,0.96086,0.96294,0.96889,0.0011023,0.0010862,0.0013055,0.00072467,1,0.45262
0.92916,0.92781,0.92598,0.93643,0,0.0011196,0.0008477,0.00031402,1,0.51234
0.89459,0.89984,0.89443,0.90767,0.0018371,0.0018048,0.0020006,0.00057974,1,0.36889
0.85947,0.86354,0.86185,0.87038,0.00081965,0.0016711,0.0011868,0.00053143,1,0.53217
0.82853,0.83026,0.8281,0.83772,0.0024307,0.0028074,0.0017293,0.0011595,1,0.38878
0.79692,0.79927,0.79921,0.80595,0.0016676,0.0027406,0.0020175,0.0010387,1,0.55337
0.7681,0.76891,0.76571,0.77393,0.0027981,0.0030748,0.0030009,0.0020049,1,0.42388
0.73756,0.73973,0.73758,0.74206,0.0018089,0.0033421,0.0035264,0.0026571,1,0.53739
0.71104,0.71018,0.70934,0.71542,0.0036743,0.0041108,0.0037299,0.0033335,1,0.418
0.68327,0.68353,0.68138,0.68937,0.00407,0.00381,0.0042385,0.0040582,1,0.53392
0.65552,0.65615,0.65498,0.66008,0.0053984,0.0048461,0.0053405,0.004034,1,0.47226
0.62832,0.6277,0.63019,0.6344,0.0032503,0.0047124,0.0051201,0.0036717,1,0.50282
0.60499,0.60347,0.60429,0.6066,0.0047766,0.0052472,0.0053575,0.0048312,1,0.41617
0.58333,0.58184,0.58232,0.584,0.006642,0.0061495,0.0056457,0.0059665,1,0.51576
0.5575,0.55705,0.55693,0.56186,0.0065289,0.0060827,0.0063408,0.0060389,1,0.50619
0.53602,0.53522,0.53405,0.53978,0.0063311,0.0069851,0.0078497,0.0060148,1,0.52246
0.51679,0.51654,0.51497,0.51997,0.0069529,0.0077036,0.0084092,0.0074158,1,0.44038
0.49617,0.49475,0.49237,0.49952,0.0078291,0.0086561,0.0080532,0.0077782,1,0.59262
0.47788,0.47524,0.47559,0.47769,0.0083943,0.0091574,0.0086805,0.0080197,1,0.52575
0.46139,0.45878,0.45655,0.46058,0.0089313,0.0093747,0.0095282,0.0074883,1,0.59665
0.44235,0.44067,0.43909,0.44164,0.010514,0.010143,0.01002,0.0089135,1,0.57617
0.42396,0.42226,0.41977,0.42322,0.010062,0.010962,0.01063,0.0095898,1,0.63852
0.40854,0.406,0.40509,0.40767,0.010486,0.011881,0.011495,0.010315,1,0.57944
0.39218,0.38913,0.38853,0.39116,0.012238,0.012082,0.01241,0.01244,1,0.63261
0.37792,0.37472,0.37273,0.37656,0.012323,0.012516,0.013529,0.012947,1,0.57917
0.36331,0.35931,0.35774,0.36194,0.013086,0.013419,0.014038,0.0136,1,0.54837
0.34821,0.34608,0.34283,0.34717,0.01416,0.014288,0.01492,0.013431,1,0.54423
0.33629,0.33379,0.33181,0.3367,0.015828,0.01524,0.016344,0.015894,1,0.59409
0.322,0.32048,0.31765,0.32211,0.016082,0.016761,0.016734,0.016136,1,0.60066
0.30834,0.30605,0.30404,0.30894,0.01563,0.015875,0.016361,0.015484,1,0.60776
0.29736,0.29479,0.29424,0.29689,0.017834,0.018215,0.01887,0.018503,1,0.56269
0.28605,0.28219,0.2819,0.28413,0.018795,0.018365,0.019345,0.018189,1,0.53852
0.27392,0.27083,0.27035,0.27233,0.019191,0.019752,0.020311,0.017827,1,0.54962
0.26474,0.26256,0.25971,0.26452,0.021085,0.021156,0.02182,0.022006,1,0.4951
0.25261,0.25085,0.24964,0.25118,0.021904,0.022359,0.022396,0.021499,1,0.53371
0.24507,0.24195,0.24266,0.24349,0.02312,0.023512,0.024583,0.023286,1,0.45668
0.2341,0.23128,0.22952,0.23419,0.025042,0.025567,0.025092,0.024156,1,0.48879
0.23054,0.22574,0.22329,0.22922,0.026483,0.027222,0.027499,0.026354,1,0.31696
0.21508,0.21157,0.21108,0.2137,0.026992,0.026938,0.027652,0.02633,1,0.50717
0.2071,0.20343,0.20414,0.20373,0.027698,0.028943,0.029602,0.029204,1,0.48731
0.19774,0.19383,0.19538,0.19557,0.030355,0.030848,0.031551,0.028818,1,0.52298
0.18904,0.18748,0.18684,0.18866,0.031062,0.031784,0.031874,0.031789,1,0.55016
0.18239,0.17921,0.18034,0.18053,0.033719,0.034106,0.033637,0.031717,1,0.51981
0.17485,0.17225,0.17232,0.17313,0.034369,0.034842,0.035688,0.034229,1,0.53004
0.16874,0.16584,0.16752,0.16694,0.038495,0.03785,0.038401,0.036499,1,0.50008
0.16167,0.15975,0.16073,0.15979,0.038043,0.039888,0.0403,0.038166,1,0.51477
0.15371,0.15254,0.15222,0.15315,0.040417,0.040824,0.041826,0.03877,1,0.57506
0.14869,0.14637,0.14684,0.14689,0.041943,0.043197,0.043572,0.041379,1,0.53267
0.143,0.14073,0.14156,0.14213,0.04737,0.045386,0.046488,0.044012,1,0.52554
0.1387,0.13536,0.13672,0.1367,0.048727,0.048043,0.048624,0.045968,1,0.47085
0.13157,0.12927,0.13076,0.13008,0.048896,0.049865,0.050099,0.048336,1,0.54177
0.12599,0.12338,0.12504,0.12575,0.051864,0.051887,0.052914,0.050099,1,0.55869
0.12081,0.11852,0.11978,0.12007,0.053616,0.054878,0.054643,0.052587,1,0.56792
0.11684,0.11401,0.11358,0.11501,0.055397,0.056315,0.057813,0.0558,1,0.53119
0.11037,0.1091,0.11075,0.10993,0.058421,0.059924,0.059848,0.058457,1,0.61938
0.10743,0.10521,0.10608,0.10581,0.063028,0.062331,0.063662,0.06138,1,0.54963
0.10227,0.099747,0.10088,0.1012,0.064667,0.065255,0.065443,0.063288,1,0.59521
0.098023,0.095923,0.096229,0.097078,0.06837,0.067979,0.069376,0.065945,1,0.60513
0.094339,0.091722,0.092732,0.093536,0.072073,0.071655,0.073208,0.069037,1,0.59415
0.089957,0.087915,0.089099,0.088496,0.074842,0.074229,0.075089,0.072733,1,0.62824
0.086588,0.084468,0.085007,0.085567,0.077838,0.078072,0.078972,0.075173,1,0.61597
0.083136,0.080743,0.081527,0.081872,0.08106,0.082584,0.081651,0.078772,1,0.61556
0.079999,0.07669,0.079455,0.077955,0.085583,0.085258,0.085787,0.083531,1,0.60443
0.075634,0.07303,0.075092,0.074379,0.087278,0.087647,0.088568,0.084835,1,0.67384
0.073028,0.07065,0.072291,0.070923,0.091999,0.092443,0.09418,0.089956,1,0.64582
0.068148,0.066958,0.06842,0.068181,0.096266,0.09627,0.096977,0.092758,1,0.76925
0.066372,0.064529,0.065754,0.064077,0.10209,0.1008,0.10147,0.095536,1,0.7015
0.061941,0.060705,0.061221,0.061591,0.10333,0.10432,0.10539,0.10085,1,0.81854
0.05975,0.058342,0.058946,0.058884,0.10932,0.1086,0.11039,0.10416,1,0.79117
0.057543,0.055355,0.056553,0.055802,0.11249,0.11276,0.11441,0.10918,1,0.7707
0.05502,0.05286,0.054872,0.053809,0.11729,0.11768,0.11929,0.11387,1,0.77932
0.051518,0.050497,0.051476,0.051527,0.12148,0.12306,0.12409,0.11776,1,0.87047
0.049775,0.048692,0.049201,0.048973,0.12803,0.1281,0.12968,0.12431,1,0.83407
0.046539,0.045508,0.046315,0.046351,0.13145,0.13305,0.13473,0.12716,1,0.92446
0.045194,0.0439,0.045194,0.044205,0.13716,0.13882,0.13945,0.13162,1,0.86681
0.043153,0.041717,0.042325,0.043047,0.1446,0.1439,0.14525,0.14027,1,0.87282
0.04068,0.039567,0.040661,0.039999,0.15028,0.151,0.15096,0.14341,1,0.92374
0.039319,0.037582,0.039116,0.038756,0.15534,0.15589,0.15696,0.1503,1,0.8823
0.036481,0.035169,0.036672,0.035402,0.16076,0.16261,0.16337,0.15634,1,0.98343
0.036331,0.034267,0.03533,0.034669,0.16865,0.1699,0.16996,0.16423,1,0.83753
0.033028,0.031788,0.032801,0.032592,0.17377,0.17593,0.17688,0.17044,1,1
0.032232,0.031116,0.031782,0.031162,0.18072,0.1828,0.18461,0.17655,1,0.92289
0.030638,0.030361,0.030967,0.030583,0.19013,0.19159,0.19192,0.18438,1,0.93093
0.029626,0.028473,0.029507,0.02934,0.19728,0.20056,0.19992,0.19216,1,0.88367
0.027834,0.027275,0.027826,0.027211,0.20358,0.20668,0.20818,0.19919,1,0.92387
0.026506,0.025224,0.025585,0.026121,0.2104,0.21458,0.2151,0.20837,1,0.92011
