pixel#,reflectance1,absorption1,reflectance2,absorption2
1,4.60E-05,1,6.18E-07,0
2,4.40E-05,0.975134687,6.24E-07,0.009250142
3,4.25E-05,0.935436052,6.16E-07,0.026839422
4,4.11E-05,0.896216301,6.86E-07,0.003823816
5,3.94E-05,0.872521838,6.93E-07,0.013113449
6,3.78E-05,0.84736621,6.79E-07,0.033295993
7,3.63E-05,0.822703281,6.94E-07,0.039069061
8,3.48E-05,0.799808389,7.91E-07,0.00813264
9,3.32E-05,0.786946421,7.93E-07,0.020592605
10,3.19E-05,0.765913963,8.09E-07,0.027078059
11,3.05E-05,0.750168748,8.24E-07,0.034719982
12,2.91E-05,0.739546242,8.57E-07,0.034446727
13,2.79E-05,0.725655541,8.63E-07,0.046143632
14,2.68E-05,0.705160115,9.45E-07,0.028128482
15,2.56E-05,0.6958561,8.83E-07,0.066492154
16,2.45E-05,0.684415069,9.99E-07,0.036774462
17,2.35E-05,0.672152005,1.03E-06,0.039877799
18,2.26E-05,0.656350156,1.07E-06,0.03930843
19,2.17E-05,0.639912132,1.13E-06,0.034411792
20,2.08E-05,0.628801769,1.18E-06,0.034187565
21,2.00E-05,0.613563903,1.25E-06,0.027105171
22,1.91E-05,0.609299783,1.23E-06,0.049108422
23,1.84E-05,0.596686971,1.25E-06,0.05760387
24,1.77E-05,0.58382866,1.37E-06,0.039635854
25,1.70E-05,0.573941318,1.40E-06,0.045348337
26,1.64E-05,0.554788698,1.43E-06,0.053125707
27,1.57E-05,0.549013752,1.52E-06,0.04467282
28,1.52E-05,0.534568568,1.58E-06,0.045972588
29,1.47E-05,0.514175068,1.64E-06,0.047320283
30,1.42E-05,0.503830031,1.71E-06,0.046252285
31,1.36E-05,0.499633876,1.77E-06,0.048790846
32,1.31E-05,0.484914077,1.87E-06,0.044879001
33,1.25E-05,0.481869864,1.86E-06,0.062288298
34,1.21E-05,0.469000447,2.00E-06,0.050385273
35,1.18E-05,0.447991711,2.11E-06,0.046043296
