s9,a9,is9,aa9,p2_s9_t,p2_is9_t,
60182,0.6789,1023,0,59770,1328,p1
57486,0.7685,1074,0.1183,57339,1318,p0
54998,0.539,1051,0.6969,55157,1308,
52824,0,1038,0.7924,53045,1358,
50310,0.4138,1058,0.7435,51027,1351,
48043,0.6369,1108,0.7483,48994,1388,
45933,0.8059,1103,0.4098,47099,1407,
43747,0.093,1072,0.5978,45222,1414,
41743,0.8127,1095,1,43202,1398,
39715,0.4548,1134,0.5012,41537,1434,
38022,0.7415,1140,0.3142,39859,1462,
36195,0.4842,1140,0.1088,38074,1486,
34448,0.7566,1138,0.6191,36488,1458,
32816,0.6002,1173,0.2684,35140,1484,
31397,0.6686,1180,0.1567,33760,1513,
29847,0.7616,1175,0.7354,32373,1554,
28474,0.3273,1203,0.1227,31036,1559,
27176,0.5422,1199,0.2325,29837,1552,
25996,0.3642,1227,0.2146,28745,1608,
24845,0.4531,1256,0.2094,27469,1639,
23724,0.3895,1243,0.4045,26656,1685,
22487,0.6108,1266,0.2819,25551,1670,
21493,0.4982,1291,0.2739,24544,1708,
20535,0.5207,1308,0.3047,23612,1729,
19549,0.6708,1333,0.4394,22635,1758,
18678,0.2822,1386,0.4621,21842,1824,
17824,0.4914,1357,0.2993,21103,1814,
17003,0.4653,1400,0.4676,20259,1835,
16370,0.5137,1441,0.5,19763,1879,
15699,0.5227,1449,0.5145,18989,1916,
14979,0.4953,1439,0.4679,18195,1951,
14303,0.4079,1505,0.4151,17640,1971,
13712,0.4022,1483,0.4401,16970,2021,
13132,0.4417,1535,0.3827,16389,2078,
12644,0.3927,1536,0.4126,15873,2073,
11994,0.7334,1547,0.4018,15354,2142,
11604,0.3503,1599,0.4257,14830,2198,
11106,0.2641,1624,0.4022,14328,2226,
10909,0.8337,1686,0.446,14116,2319,
10177,0.4856,1694,0.3804,13356,2324,
9746,0.6993,1750,0.4229,12903,2398,
9402,0.435,1775,0.4432,12429,2391,
9063,0.5433,1813,0.3703,12033,2460,
