690i,ua,690ii,uaa,u1i,u2i,u3i,u4i,u5i,u6i,u7i,u8i,u9i,u10i,u11i,u12i,u1ii,u2ii,u3ii,u4ii,u5ii,u6ii,u7ii,u8ii,u9ii,u10ii,u11ii,u12ii,h1i,h2i,h3i,h4i,h5i,h6i,h7i,h8i,h9i,h10i,h11i,h12i,h1ii,h2ii,h3ii,h4ii,h5ii,h6ii,h7ii,h8ii,h9ii,h10ii,h11ii,h12ii
62114,0.2654,1539,0.1264,45064,45728,47203,51721,48752,59256,58958,60470,59849,56071,62295,60752,1049,1036,1023,1103,1073,1239,1445,1375,1375,1459,1436,1445,56910,63317,63753,63680,61652,62474,62974,58601,63623,63896,61017,62117,1098,1155,1152,1330,1261,1385,1239,1407,1352,1468,1298,1356
59827,0.2654,1539,0,43237,44067,45263,49936,47384,57107,57074,58152,57881,54220,59486,58586,980,1027,1053,1070,1072,1216,1463,1387,1387,1467,1444,1421,54954,60151,60678,61267,59539,59782,59817,56680,61077,62009,58756,59217,1113,1265,1164,1337,1266,1405,1243,1454,1377,1490,1323,1331
57844,0.2654,1533,0.3734,41316,42612,43519,48154,46088,54995,55277,56360,56053,52366,57390,56418,1030,1035,1041,1102,1092,1228,1477,1388,1388,1480,1474,1480,52809,57819,57887,58418,57520,57945,57616,55005,58221,58310,56826,57048,1119,1219,1152,1352,1295,1405,1255,1442,1371,1510,1307,1360
55736,0.2654,1573,0.0488,39667,41063,41674,46575,44941,53285,53569,54604,54369,50711,55821,54690,1040,1012,1052,1088,1106,1240,1477,1414,1414,1526,1512,1501,50899,55868,55823,56696,55768,56222,55888,53474,56608,56405,55234,55145,1117,1272,1181,1381,1266,1434,1285,1468,1417,1543,1374,1347
53660,0.2654,1577,0.397,37859,39340,39747,44779,43401,51173,51663,52611,52208,48744,53869,52755,1038,1044,1074,1075,1097,1277,1506,1474,1474,1502,1495,1516,48808,53858,53762,54734,53853,54298,53869,51573,54727,54354,53187,53172,1117,1261,1205,1416,1334,1475,1335,1489,1438,1557,1359,1405
51755,0.2654,1593,0.1378,36208,37761,37980,43232,42100,49233,50075,50867,50482,47029,52014,50922,1049,1055,1163,1107,1104,1298,1510,1478,1478,1542,1503,1508,46982,51856,51727,52946,51967,52586,52021,49956,52928,52413,51479,51270,1118,1260,1197,1435,1306,1516,1298,1516,1448,1575,1380,1393
49887,0.2654,1603,0.4256,34646,36280,36393,41598,40749,47475,48294,48971,48717,45363,50448,49082,1079,1039,1091,1152,1161,1266,1541,1490,1490,1563,1551,1531,45118,50058,49755,51185,50281,50944,50169,48278,51214,50722,49764,49518,1144,1284,1188,1447,1359,1486,1350,1559,1478,1615,1414,1429
48131,0.2654,1623,0.2846,33194,34865,34782,39906,39271,45694,46717,47280,46967,43682,48830,47348,1024,1065,1083,1142,1123,1300,1552,1492,1492,1572,1565,1546,43202,48201,47787,49531,48561,49341,48257,46641,49453,48985,48129,47802,1126,1316,1221,1436,1355,1542,1361,1574,1470,1587,1445,1426
46295,0.2654,1592,0.6316,31629,33510,33339,38562,38058,43946,44974,45708,45376,42123,47265,45586,1086,1080,1092,1172,1164,1306,1579,1508,1508,1570,1583,1563,41426,46418,45901,47948,46803,47610,46576,45039,47915,47150,46461,46027,1134,1307,1227,1469,1354,1527,1340,1554,1521,1655,1445,1482
44680,0.2654,1641,0.3291,30339,32198,31839,37133,36720,42279,43455,44191,43708,40595,45788,43965,1089,1087,1108,1162,1140,1275,1559,1513,1513,1624,1632,1592,39844,44718,44281,46199,45358,46186,44945,43488,46143,45561,44748,44346,1174,1318,1253,1500,1387,1553,1397,1577,1526,1685,1457,1465
43007,0.2654,1655,0.3644,29058,30862,30548,35723,35484,40816,42103,42699,42249,39118,44317,42355,1115,1087,1130,1174,1172,1321,1594,1566,1566,1654,1660,1627,38041,43083,42739,44635,43877,44674,43265,42104,44701,44035,43404,42936,1184,1354,1224,1502,1413,1566,1389,1607,1553,1714,1494,1488
