690i,ua,690ii,uaa,u1i,u2i,u3i,u4i,u5i,u6i,u7i,u8i,u9i,u10i,u1ii,u2ii,u3ii,u4ii,u5ii,u6ii,u7ii,u8ii,u9ii,u10ii,h1i,h2i,h3i,h4i,h5i,h6i,h7i,h8i,h9i,h10i,h1ii,h2ii,h3ii,h4ii,h5ii,h6ii,h7ii,h8ii,h9ii,h10ii
62114,0.2654,1539,0.1264,47425,57231,56774,57048,56473,53668,54515,50504,51788,48991,1344,1353,1346,1272,1168,1192,1142,1162,1278,1226,52517,58382,63207,63310,59151,61750,57958,59434,57705,49489,1534,1315,1439,1575,1584,1432,1411,1321,1371,1392
59827,0.2654,1539,0,45757,55369,54889,55079,54562,51736,52453,48787,49986,47265,1381,1361,1336,1268,1167,1209,1150,1194,1245,1229,50762,56258,60329,60254,57051,59349,55864,57426,55845,47931,1552,1326,1478,1620,1604,1458,1431,1367,1354,1379
57844,0.2654,1533,0.3734,43989,53386,53030,53212,52550,49903,50527,47059,48382,45702,1425,1415,1364,1288,1160,1243,1133,1168,1306,1258,49035,54386,58209,58224,55225,57328,53934,55294,53956,46410,1563,1378,1497,1641,1596,1481,1439,1386,1394,1411
55736,0.2654,1573,0.0488,42498,51700,51323,51352,50755,48104,48618,45452,46893,44123,1412,1390,1374,1323,1216,1213,1132,1220,1263,1274,47412,52751,56336,56357,53465,55509,52114,53223,52451,44896,1572,1350,1488,1657,1625,1524,1482,1347,1394,1426
53660,0.2654,1577,0.397,40686,49714,49396,49514,48763,46255,46923,43705,44990,42468,1441,1437,1407,1325,1170,1243,1142,1212,1305,1287,45862,50739,54322,54246,51541,53481,50050,51143,50500,43401,1558,1346,1540,1680,1662,1528,1481,1355,1418,1436
51755,0.2654,1593,0.1378,39057,48048,47639,47692,46838,44549,45120,42092,43324,41010,1444,1436,1421,1335,1186,1296,1149,1249,1295,1257,44324,48987,52459,52267,49808,51571,48128,49306,48578,41948,1568,1363,1549,1687,1673,1538,1516,1402,1404,1457
49887,0.2654,1603,0.4256,37581,46365,45987,45930,45084,42811,43347,40619,41826,39476,1492,1447,1467,1324,1238,1281,1229,1227,1354,1312,42802,47329,50812,50543,48084,49787,46349,47277,47122,40584,1641,1390,1539,1741,1678,1573,1482,1415,1455,1511
48131,0.2654,1623,0.2846,36272,44499,44443,44302,43436,41237,41721,39150,40352,37996,1487,1499,1458,1376,1285,1255,1174,1285,1391,1290,41385,45695,49052,48799,46432,48107,44678,45480,45360,39163,1632,1408,1580,1719,1698,1574,1518,1459,1437,1546
46295,0.2654,1592,0.6316,34810,42864,42745,42558,41631,39595,40060,37582,38925,36749,1509,1490,1481,1385,1221,1307,1208,1264,1365,1304,39910,44149,47279,47094,44742,46437,42886,43610,43719,37808,1657,1428,1607,1766,1724,1540,1521,1449,1492,1483
44680,0.2654,1641,0.3291,33452,41279,41214,41103,40062,38146,38494,36312,37464,35329,1526,1520,1473,1412,1253,1299,1253,1308,1345,1367,38559,42550,45715,45484,43183,44642,41341,41929,42249,36561,1694,1407,1594,1762,1752,1548,1571,1467,1524,1527
43007,0.2654,1655,0.3644,32199,39733,39751,39538,38569,36669,37134,34863,36234,34173,1545,1528,1525,1418,1273,1406,1233,1299,1431,1359,37456,41044,44208,43854,41845,43201,39752,40255,40780,35428,1712,1375,1608,1785,1782,1609,1563,1520,1528,1588
41319,0.2654,1686,0.2124,31039,38355,38310,38031,37103,35225,35700,33613,34849,32867,1565,1571,1497,1395,1340,1361,1282,1297,1391,1378,36155,39574,42612,42304,40441,41644,38192,38569,39401,34037,1707,1453,1652,1830,1819,1632,1593,1476,1548,1595
39715,0.2654,1645,0.7958,29836,36903,37006,36716,35583,33931,34334,32360,33648,31767,1599,1592,1575,1489,1288,1379,1279,1325,1426,1411,35082,38281,41148,40918,39110,40014,36773,37099,38043,33063,1763,1464,1642,1848,1814,1634,1629,1527,1536,1577
38314,0.2654,1704,0.5862,28822,35585,35728,35298,34280,32554,33034,31256,32582,30694,1605,1585,1568,1469,1312,1410,1269,1359,1433,1388,33862,37020,39854,39469,37727,38626,35426,35781,36679,31935,1788,1457,1704,1898,1841,1628,1650,1534,1602,1617
36967,0.2654,1728,0.3352,27803,34369,34522,34127,33044,31274,31899,30057,31416,29689,1631,1627,1590,1541,1341,1431,1306,1369,1466,1459,32851,35767,38604,38284,36423,37399,34062,34427,35472,30841,1773,1520,1712,1898,1846,1662,1654,1548,1574,1633
35450,0.2654,1763,0.4835,26798,33148,33286,32837,31810,30096,30782,28959,30099,28727,1679,1648,1593,1498,1335,1427,1322,1401,1474,1433,31759,34525,37295,36967,35328,35901,32894,32851,34274,29912,1789,1515,1769,1889,1922,1696,1669,1567,1583,1639
34143,0.2654,1743,0.6532,25930,31943,32143,31616,30528,28934,29669,27929,29189,27734,1711,1648,1621,1549,1359,1486,1340,1419,1490,1463,30768,33401,36015,35754,34183,34729,31621,31738,33094,28957,1826,1542,1748,1965,1929,1764,1708,1624,1660,1656
32981,0.2654,1762,0.6613,25035,30811,31068,30532,29457,27833,28626,27015,28343,26866,1729,1672,1643,1530,1368,1468,1340,1432,1541,1459,29925,32211,35020,34612,33113,33374,30536,30565,32094,27956,1822,1538,1789,2003,1954,1747,1726,1600,1671,1719
31735,0.2654,1789,0.624,24180,29710,29886,29511,28401,26868,27535,26068,27323,26011,1728,1699,1676,1594,1376,1480,1350,1441,1576,1542,28959,31254,33828,33450,31974,32317,29447,29374,31045,27197,1859,1577,1801,2014,2009,1783,1721,1661,1726,1724
30638,0.2654,1814,0.6512,23406,28668,28840,28379,27327,25788,26606,25126,26454,25087,1771,1745,1715,1556,1415,1515,1397,1466,1548,1530,28078,30161,32736,32419,31132,31128,28338,28319,30045,26294,1908,1560,1812,2074,2009,1760,1752,1651,1667,1801
29632,0.2654,1821,0.6871,22666,27819,27970,27472,26386,24955,25686,24319,25573,24449,1795,1774,1718,1623,1453,1561,1404,1494,1601,1554,27375,29315,31707,31353,30114,30134,27409,27356,29112,25501,1959,1598,1826,2050,2033,1810,1789,1710,1749,1789
28487,0.2654,1879,0.5378,21865,26847,26814,26456,25478,23943,24703,23394,24690,23580,1833,1807,1764,1622,1469,1563,1424,1517,1643,1570,26453,28170,30623,30300,29154,28850,26314,26318,28144,24637,1926,1593,1888,2113,2074,1837,1796,1742,1767,1843
27379,0.2654,1863,0.7579,21104,25902,26035,25587,24570,23053,23916,22495,23901,22845,1837,1827,1773,1647,1468,1562,1423,1551,1662,1573,25609,27314,29749,29286,28246,27899,25388,25236,27230,23913,1981,1592,1873,2106,2096,1836,1820,1730,1838,1845
26454,0.2654,1882,0.8238,20463,25010,25051,24602,23822,22182,22998,21728,23106,22239,1872,1851,1801,1687,1510,1615,1443,1562,1659,1627,24985,26513,28780,28412,27290,26885,24647,24424,26318,23216,1996,1653,1863,2167,2120,1891,1822,1760,1887,1884
25477,0.2654,1953,0.6599,19670,24177,24146,23581,22835,21249,22193,21011,22416,21422,1885,1863,1846,1685,1516,1658,1492,1538,1733,1647,24103,25649,27917,27545,26464,25876,23754,23496,25442,22475,2010,1664,1930,2194,2146,1899,1851,1780,1846,1885
24609,0.2654,1947,0.7902,19013,23427,23329,22942,21977,20556,21402,20318,21639,20839,1901,1878,1851,1727,1549,1671,1528,1584,1729,1694,23510,24812,27019,26664,25635,24962,22851,22706,24690,21756,2036,1683,1995,2198,2235,1920,1919,1858,1923,1980
23740,0.2654,1985,0.8078,18374,22624,22486,22032,21244,19751,20615,19594,20968,20179,1906,1921,1869,1782,1533,1714,1528,1600,1745,1692,22865,23975,26209,25872,24847,24040,22127,21928,23820,21122,2054,1695,1991,2283,2189,1960,1963,1824,1931,1975
22822,0.2654,2015,0.7781,17724,21832,21756,21220,20546,19068,19880,18935,20325,19607,1954,1898,1905,1765,1564,1740,1582,1634,1774,1729,22106,23302,25291,25002,24125,23150,21353,21149,23088,20486,2095,1726,2028,2280,2294,1960,1958,1836,1974,2012
22083,0.4807,2053,0.6617,17140,21130,21069,20496,19884,18373,19214,18307,19723,19099,1958,2008,1926,1825,1594,1769,1650,1674,1809,1772,21474,22565,24584,24308,23417,22439,20810,20516,22528,20006,2140,1731,2049,2324,2316,1993,2009,1871,1999,2054
21247,0.4905,2087,0.7728,16691,20539,20445,19859,19264,17757,18553,17814,19208,18539,2053,2055,1960,1857,1613,1746,1611,1702,1859,1772,20871,21936,23808,23554,22841,21713,20051,19747,21808,19273,2198,1778,2098,2374,2370,2093,2021,1914,2043,2118
20479,0.5008,2126,1,16048,19767,19658,19190,18553,17094,17939,17023,18484,18007,2018,2044,2024,1828,1646,1838,1627,1690,1898,1793,20262,21207,22890,22747,22097,20811,19356,19023,21024,18794,2147,1797,2135,2407,2408,2071,2037,1916,2062,2139
19755,0.4572,2142,0.8128,15498,19240,18949,18409,17929,16554,17289,16469,17924,17500,2049,2084,2020,1886,1638,1846,1676,1764,1918,1830,19642,20641,22331,22070,21415,20270,18703,18354,20441,18141,2245,1835,2173,2439,2421,2105,2053,1980,2106,2171
19075,0.4351,2177,0.8266,14891,18512,18396,17727,17243,15882,16629,15895,17380,16989,2112,2099,2110,1912,1671,1897,1703,1767,1903,1868,19120,19862,21569,21313,20749,19372,18103,17716,19852,17633,2252,1801,2173,2496,2483,2140,2100,1996,2130,2197
18361,0.4492,2208,0.9281,14356,17937,17729,17165,16696,15467,16017,15320,16784,16524,2107,2141,2086,1921,1727,1896,1709,1832,1970,1928,18496,19385,20909,20718,20182,18915,17573,17125,19184,17093,2240,1822,2213,2525,2495,2177,2167,2079,2155,2212
17791,0.3957,2258,0.8162,14042,17431,17201,16604,16284,14971,15583,14907,16430,16097,2128,2182,2163,2036,1781,1965,1718,1815,2055,1948,17995,18873,20468,20112,19693,18294,17073,16713,18730,16620,2342,1869,2300,2579,2525,2230,2214,2044,2208,2265
17076,0.4381,2303,0.8643,13457,16841,16654,16117,15705,14344,14901,14354,15870,15595,2150,2267,2171,2043,1749,1985,1786,1861,2055,1976,17439,18193,19740,19482,19024,17679,16474,16078,18041,16100,2343,1891,2297,2604,2597,2217,2201,2080,2254,2361
16594,0.3612,2318,0.8621,13076,16303,16159,15539,15261,13964,14444,14027,15448,15281,2207,2257,2287,2049,1788,2067,1840,1931,2137,1979,17020,17756,19180,18964,18533,17169,16055,15503,17547,15706,2405,1933,2363,2674,2625,2257,2253,2120,2282,2392
15949,0.3969,2402,0.7727,12587,15810,15679,15024,14652,13418,13862,13467,15010,14880,2195,2316,2303,2073,1881,2099,1868,1939,2161,2080,16585,17260,18623,18388,18062,16624,15464,15034,17021,15214,2476,1984,2373,2711,2665,2287,2271,2186,2313,2399
15730,0.2221,2449,0.7549,12451,15642,15591,14939,14608,13414,13734,13382,14902,14770,2263,2375,2338,2149,1930,2149,1925,2041,2177,2130,16429,17039,18525,18272,17927,16446,15330,14954,16884,15136,2517,2026,2486,2780,2772,2379,2365,2243,2390,2493
14815,0.4207,2483,0.86,11702,14799,14725,14046,13803,12680,13000,12574,14169,14052,2265,2363,2423,2151,1891,2133,1923,2015,2214,2114,15615,16177,17451,17365,16982,15502,14448,14100,15957,14305,2528,2055,2485,2805,2808,2362,2356,2236,2398,2536
14316,0.4025,2490,0.9438,11298,14263,14239,13603,13429,12152,12435,12139,13707,13720,2292,2434,2415,2212,1955,2182,1966,2045,2256,2186,15086,15684,16956,16817,16485,15083,14057,13606,15490,13902,2549,2065,2530,2860,2806,2366,2398,2267,2435,2589
13756,0.4416,2588,0.7927,10959,13865,13762,13169,12990,11828,12059,11847,13387,13324,2311,2428,2454,2206,1973,2256,2031,2076,2322,2218,14686,15231,16368,16268,16030,14621,13627,13241,15038,13462,2627,2077,2531,2904,2868,2403,2425,2306,2480,2629
13234,0.472,2615,0.8846,10562,13453,13317,12749,12590,11400,11675,11446,12983,12937,2359,2481,2524,2239,2047,2291,1977,2079,2336,2282,14291,14764,15981,15790,15628,14231,13220,12827,14554,13084,2618,2097,2591,2956,2896,2443,2482,2346,2519,2667
12847,0.4428,2723,0.7552,10228,13100,13007,12392,12238,11041,11256,11051,12703,12662,2378,2572,2562,2298,2084,2333,2082,2192,2372,2373,13957,14365,15443,15343,15112,13819,12875,12460,14151,12699,2691,2129,2678,3006,2957,2498,2544,2398,2598,2737
12400,0.4556,2753,0.8614,9861,12687,12668,12047,11814,10750,10861,10673,12343,12346,2422,2625,2576,2360,2074,2400,2090,2205,2436,2362,13497,13955,15060,14971,14755,13438,12535,12034,13746,12332,2758,2167,2704,3103,2998,2564,2558,2456,2620,2781
