R	ua
0.00010611	0.61192
0.0001022	0.45262
9.87E-05	0.51234
9.51E-05	0.36889
9.14E-05	0.53217
8.82E-05	0.38878
8.49E-05	0.55337
8.19E-05	0.42388
7.87E-05	0.53739
7.59E-05	0.418
7.30E-05	0.53392
7.01E-05	0.47226
6.72E-05	0.50282
6.48E-05	0.41617
6.25E-05	0.51576
5.98E-05	0.50619
5.76E-05	0.52246
5.56E-05	0.44038
5.34E-05	0.59262
5.15E-05	0.52575
4.98E-05	0.59665
4.78E-05	0.57617
4.59E-05	0.63852
4.43E-05	0.57944
4.26E-05	0.63261
4.11E-05	0.57917
3.95E-05	0.54837
3.80E-05	0.54423
3.67E-05	0.59409
3.52E-05	0.60066
3.38E-05	0.60776
3.26E-05	0.56269
3.15E-05	0.53852
3.02E-05	0.54962
2.92E-05	0.4951
2.80E-05	0.53371
2.72E-05	0.45668
2.60E-05	0.48879
2.57E-05	0.31696
2.40E-05	0.50717
2.32E-05	0.48731
2.22E-05	0.52298
2.13E-05	0.55016
2.06E-05	0.51981
1.98E-05	0.53004
1.92E-05	0.50008
1.85E-05	0.51477
1.76E-05	0.57506
1.71E-05	0.53267
1.65E-05	0.52554
1.61E-05	0.47085
1.53E-05	0.54177
1.47E-05	0.55869
1.42E-05	0.56792
1.38E-05	0.53119
1.31E-05	0.61938
1.28E-05	0.54963
1.22E-05	0.59521
1.18E-05	0.60513
1.14E-05	0.59415
1.10E-05	0.62824
1.06E-05	0.61597
1.02E-05	0.61556
9.91E-06	0.60443
9.46E-06	0.67384
9.18E-06	0.64582
8.67E-06	0.76925
8.49E-06	0.7015
8.02E-06	0.81854
7.80E-06	0.79117
7.56E-06	0.7707
7.30E-06	0.77932
6.93E-06	0.87047
6.75E-06	0.83407
6.41E-06	0.92446
6.27E-06	0.86681
6.06E-06	0.87282
5.80E-06	0.92374
5.66E-06	0.8823
5.36E-06	0.98343
5.35E-06	0.83753
5.00E-06	1
4.92E-06	0.92289
4.75E-06	0.93093
4.65E-06	0.88367
4.46E-06	0.92387
4.32E-06	0.92011
4.31E-06	0.78632
4.05E-06	0.92065
4.02E-06	0.80978
3.83E-06	0.87799
3.75E-06	0.83644
3.70E-06	0.75546
3.47E-06	0.89304
3.44E-06	0.7983
3.35E-06	0.78015
3.24E-06	0.78825
3.23E-06	0.66774
3.09E-06	0.72117
2.98E-06	0.74433
2.97E-06	0.63603
2.86E-06	0.6613
2.78E-06	0.65479
2.74E-06	0.59435
2.67E-06	0.57393
2.59E-06	0.57208
2.56E-06	0.51125
2.58E-06	0.36834
2.43E-06	0.48067
2.35E-06	0.49742
2.29E-06	0.48483
2.35E-06	0.27927
2.22E-06	0.38263
2.12E-06	0.43303
2.10E-06	0.37275
2.13E-06	0.2103
2.02E-06	0.29657
2.00E-06	0.23001
1.92E-06	0.26847
1.91E-06	0.18984
1.88E-06	0.15612
1.86E-06	0.10562
1.81E-06	0.097508
1.73E-06	0.14396
1.75E-06	0.014495
1.69E-06	0.051908
1.67E-06	0
1.55E-06	0.14939
