Rx,d,Rt
0.00010611,1,0.00013003
0.0001022,2,0.00012371
9.87E-05,3,0.00011774
9.51E-05,4,0.00011212
9.14E-05,5,0.0001068
8.82E-05,6,0.00010178
8.49E-05,7,9.70E-05
8.19E-05,8,9.25E-05
7.87E-05,9,8.83E-05
7.59E-05,10,8.43E-05
7.30E-05,11,8.05E-05
7.01E-05,12,7.68E-05
6.72E-05,13,7.34E-05
6.48E-05,14,7.02E-05
6.25E-05,15,6.71E-05
5.98E-05,16,6.42E-05
5.76E-05,17,6.14E-05
5.56E-05,18,5.87E-05
5.34E-05,19,5.62E-05
5.15E-05,20,5.38E-05
4.98E-05,21,5.16E-05
4.78E-05,22,4.94E-05
4.59E-05,23,4.74E-05
4.43E-05,24,4.54E-05
4.26E-05,25,4.35E-05
4.11E-05,26,4.18E-05
3.95E-05,27,4.01E-05
3.80E-05,28,3.85E-05
3.67E-05,29,3.69E-05
3.52E-05,30,3.54E-05
3.38E-05,31,3.40E-05
3.26E-05,32,3.27E-05
3.15E-05,33,3.14E-05
3.02E-05,34,3.02E-05
2.92E-05,35,2.90E-05
2.80E-05,36,2.79E-05
2.72E-05,37,2.68E-05
2.60E-05,38,2.58E-05
2.57E-05,39,2.48E-05
2.40E-05,40,2.39E-05
2.32E-05,41,2.30E-05
2.22E-05,42,2.21E-05
2.13E-05,43,2.13E-05
2.06E-05,44,2.05E-05
1.98E-05,45,1.98E-05
1.92E-05,46,1.90E-05
1.85E-05,47,1.84E-05
1.76E-05,48,1.77E-05
1.71E-05,49,1.71E-05
1.65E-05,50,1.64E-05
1.61E-05,51,1.59E-05
1.53E-05,52,1.53E-05
1.47E-05,53,1.47E-05
1.42E-05,54,1.42E-05
1.38E-05,55,1.37E-05
1.31E-05,56,1.32E-05
1.28E-05,57,1.28E-05
1.22E-05,58,1.23E-05
1.18E-05,59,1.19E-05
1.14E-05,60,1.15E-05
1.10E-05,61,1.11E-05
1.06E-05,62,1.07E-05
1.02E-05,63,1.04E-05
9.91E-06,64,1.00E-05
9.46E-06,65,9.67E-06
9.18E-06,66,9.35E-06
8.67E-06,67,9.04E-06
8.49E-06,68,8.73E-06
8.02E-06,69,8.44E-06
7.80E-06,70,8.16E-06
7.56E-06,71,7.90E-06
7.30E-06,72,7.64E-06
6.93E-06,73,7.39E-06
6.75E-06,74,7.14E-06
6.41E-06,75,6.91E-06
6.27E-06,76,6.69E-06
6.06E-06,77,6.47E-06
5.80E-06,78,6.26E-06
5.66E-06,79,6.06E-06
5.36E-06,80,5.87E-06
5.35E-06,81,5.68E-06
5.00E-06,82,5.50E-06
4.92E-06,83,5.33E-06
4.75E-06,84,5.16E-06
4.65E-06,85,5.00E-06
4.46E-06,86,4.84E-06
4.32E-06,87,4.69E-06
4.31E-06,88,4.54E-06
4.05E-06,89,4.40E-06
4.02E-06,90,4.26E-06
3.83E-06,91,4.13E-06
3.75E-06,92,4.01E-06
3.70E-06,93,3.88E-06
3.47E-06,94,3.76E-06
3.44E-06,95,3.65E-06
3.35E-06,96,3.54E-06
3.24E-06,97,3.43E-06
3.23E-06,98,3.33E-06
3.09E-06,99,3.23E-06
2.98E-06,100,3.13E-06
2.97E-06,101,3.03E-06
2.86E-06,102,2.94E-06
2.78E-06,103,2.86E-06
2.74E-06,104,2.77E-06
2.67E-06,105,2.69E-06
2.59E-06,106,2.61E-06
2.56E-06,107,2.53E-06
2.58E-06,108,2.46E-06
2.43E-06,109,2.38E-06
2.35E-06,110,2.31E-06
2.29E-06,111,2.25E-06
2.35E-06,112,2.18E-06
2.22E-06,113,2.12E-06
2.12E-06,114,2.06E-06
2.10E-06,115,2.00E-06
2.13E-06,116,1.94E-06
2.02E-06,117,1.88E-06
2.00E-06,118,1.83E-06
1.92E-06,119,1.78E-06
1.91E-06,120,1.72E-06
1.88E-06,121,1.67E-06
1.86E-06,122,1.63E-06
1.81E-06,123,1.58E-06
1.73E-06,124,1.54E-06
1.75E-06,125,1.49E-06
1.69E-06,126,1.45E-06
1.67E-06,127,1.41E-06
1.55E-06,128,1.37E-06
