ir,ia,iir,iia,,r_p13_p0_s9,ir_p13_p0_s9,r_p13_p1_s9,ir_p13_p1_s9
1.06E-04,0.61192,1.64E-06,0.12195,690-c,2.67E-05,4.47E-08,1.30E-07,2.69E-05
1.02E-04,0.45262,1.74E-06,0,,2.55E-05,8.95E-08,1.75E-07,2.57E-05
9.87E-05,0.51234,1.63E-06,0.36342,,2.44E-05,8.23E-08,1.67E-07,2.46E-05
9.51E-05,0.36889,1.81E-06,0.048993,,2.35E-05,3.58E-09,1.71E-07,2.36E-05
9.14E-05,0.53217,1.71E-06,0.38802,,2.24E-05,4.74E-08,1.78E-07,2.24E-05
8.82E-05,0.38878,1.87E-06,0.13709,,2.15E-05,6.71E-08,2.11E-07,2.14E-05
8.49E-05,0.55337,1.80E-06,0.41752,,2.07E-05,1.45E-07,1.99E-07,2.04E-05
8.19E-05,0.42388,1.91E-06,0.28141,,1.98E-05,1.25E-07,2.01E-07,1.95E-05
7.87E-05,0.53739,1.81E-06,0.61928,,1.89E-05,8.14E-08,1.79E-07,1.85E-05
7.59E-05,0.418,2.00E-06,0.32634,,1.81E-05,8.68E-08,2.49E-07,1.76E-05
7.30E-05,0.53392,2.04E-06,0.36156,,1.74E-05,1.41E-07,2.41E-07,1.69E-05
7.01E-05,0.47226,2.18E-06,0.21477,,1.66E-05,8.68E-08,2.56E-07,1.60E-05
6.72E-05,0.50282,1.96E-06,0.78243,,1.58E-05,1.97E-07,2.48E-07,1.52E-05
6.48E-05,0.41617,2.11E-06,0.57981,,1.53E-05,1.25E-07,2.68E-07,1.45E-05
6.25E-05,0.51576,2.30E-06,0.33684,,1.46E-05,1.32E-07,2.81E-07,1.39E-05
5.98E-05,0.50619,2.29E-06,0.48191,,1.40E-05,1.71E-07,2.71E-07,1.32E-05
5.76E-05,0.52246,2.27E-06,0.64772,,1.33E-05,1.07E-07,3.13E-07,1.25E-05
5.56E-05,0.44038,2.34E-06,0.65658,,1.28E-05,1.92E-07,3.09E-07,1.19E-05
5.34E-05,0.59262,2.42E-06,0.62137,,1.23E-05,2.09E-07,3.20E-07,1.14E-05
5.15E-05,0.52575,2.48E-06,0.64887,,1.17E-05,1.66E-07,3.43E-07,1.09E-05
4.98E-05,0.59665,2.54E-06,0.68472,,1.13E-05,2.35E-07,3.21E-07,1.04E-05
4.78E-05,0.57617,2.70E-06,0.54073,,1.07E-05,1.76E-07,3.64E-07,9.82E-06
4.59E-05,0.63852,2.65E-06,0.75565,,1.03E-05,1.50E-07,3.85E-07,9.37E-06
4.43E-05,0.57944,2.70E-06,0.82078,,9.89E-06,1.96E-07,4.27E-07,8.95E-06
4.26E-05,0.63261,2.87E-06,0.66259,,9.51E-06,2.30E-07,4.26E-07,8.49E-06
4.11E-05,0.57917,2.88E-06,0.79033,,9.10E-06,2.63E-07,4.78E-07,8.09E-06
3.95E-05,0.54837,2.96E-06,0.8085,,8.67E-06,2.43E-07,4.32E-07,7.70E-06
3.80E-05,0.54423,3.07E-06,0.78086,,8.31E-06,2.69E-07,5.11E-07,7.34E-06
3.67E-05,0.59409,3.24E-06,0.66883,,8.06E-06,2.91E-07,5.16E-07,7.04E-06
3.52E-05,0.60066,3.27E-06,0.77795,,7.73E-06,2.85E-07,4.92E-07,6.72E-06
3.38E-05,0.60776,3.22E-06,1,,7.33E-06,2.75E-07,5.33E-07,6.42E-06
3.26E-05,0.56269,3.45E-06,0.8192,,7.07E-06,3.17E-07,5.78E-07,6.11E-06
3.15E-05,0.53852,3.54E-06,0.83392,,6.78E-06,3.27E-07,5.51E-07,5.83E-06
3.02E-05,0.54962,3.58E-06,0.93381,,6.47E-06,3.42E-07,5.97E-07,5.57E-06
2.92E-05,0.4951,3.78E-06,0.82629,,6.26E-06,3.79E-07,6.17E-07,5.36E-06
2.80E-05,0.53371,3.86E-06,0.87429,,5.95E-06,3.94E-07,6.02E-07,5.05E-06
2.72E-05,0.45668,3.98E-06,0.87345,,5.75E-06,3.93E-07,6.23E-07,4.86E-06
2.60E-05,0.48879,4.18E-06,0.78786,,5.53E-06,4.19E-07,6.86E-07,4.66E-06
2.57E-05,0.31696,4.33E-06,0.77186,,5.46E-06,4.39E-07,7.16E-07,4.55E-06
2.40E-05,0.50717,4.38E-06,0.8754,,5.08E-06,4.54E-07,7.47E-07,4.23E-06
2.32E-05,0.48731,4.45E-06,0.95826,,4.84E-06,4.69E-07,7.70E-07,4.03E-06
2.22E-05,0.52298,4.72E-06,0.81274,,4.67E-06,4.56E-07,7.97E-07,3.87E-06
