ir,ia,ir690_ctr,ir690_left,ir690_right,iir,iia,iir690_ctr,iir690_left,iir690_right
1.64E-06,0.66355,1.64E-06,0.00010562,1.67E-06,0.00010611,0.1187,0.00010611,1.54E-06,0.00011253
1.74E-06,0.66355,1.74E-06,0.00010154,1.74E-06,0.0001022,0,0.0001022,1.76E-06,0.00011185
1.63E-06,0.66355,1.63E-06,9.80E-05,1.83E-06,9.87E-05,0.35611,9.87E-05,1.75E-06,0.00010331
1.81E-06,0.66355,1.81E-06,9.43E-05,1.65E-06,9.51E-05,0.049147,9.51E-05,1.91E-06,0.0001002
1.71E-06,0.66355,1.71E-06,9.06E-05,1.67E-06,9.14E-05,0.38142,9.14E-05,1.92E-06,9.63E-05
1.87E-06,0.66355,1.87E-06,8.70E-05,1.81E-06,8.82E-05,0.13659,8.82E-05,1.91E-06,9.30E-05
1.80E-06,0.66355,1.80E-06,8.35E-05,1.78E-06,8.49E-05,0.41156,8.49E-05,2.05E-06,8.98E-05
1.91E-06,0.66355,1.91E-06,8.02E-05,1.99E-06,8.19E-05,0.27907,8.19E-05,2.03E-06,8.66E-05
1.81E-06,0.66355,1.81E-06,7.68E-05,1.78E-06,7.87E-05,0.61024,7.87E-05,2.14E-06,8.34E-05
2.00E-06,0.66355,2.00E-06,7.37E-05,2.12E-06,7.59E-05,0.32435,7.59E-05,2.25E-06,8.04E-05
2.04E-06,0.66355,2.04E-06,7.08E-05,2.01E-06,7.30E-05,0.35949,7.30E-05,2.23E-06,7.77E-05
2.18E-06,0.66355,2.18E-06,6.78E-05,2.10E-06,7.01E-05,0.21655,7.01E-05,2.29E-06,7.48E-05
1.96E-06,0.66355,1.96E-06,6.49E-05,2.13E-06,6.72E-05,0.77259,6.72E-05,2.32E-06,7.22E-05
2.11E-06,0.66355,2.11E-06,6.22E-05,2.14E-06,6.48E-05,0.57511,6.48E-05,2.48E-06,6.96E-05
2.30E-06,0.66355,2.30E-06,5.97E-05,2.26E-06,6.25E-05,0.3381,6.25E-05,2.60E-06,6.73E-05
2.29E-06,0.66355,2.29E-06,5.71E-05,2.16E-06,5.98E-05,0.48076,5.98E-05,2.72E-06,6.47E-05
2.27E-06,0.66355,2.27E-06,5.50E-05,2.32E-06,5.76E-05,0.64373,5.76E-05,2.75E-06,6.24E-05
2.34E-06,0.66355,2.34E-06,5.26E-05,2.31E-06,5.56E-05,0.65316,5.56E-05,2.80E-06,6.04E-05
2.42E-06,0.66355,2.42E-06,5.05E-05,2.36E-06,5.34E-05,0.61947,5.34E-05,3.13E-06,5.81E-05
2.48E-06,0.66355,2.48E-06,4.83E-05,2.46E-06,5.15E-05,0.64714,5.15E-05,3.03E-06,5.60E-05
2.54E-06,0.66355,2.54E-06,4.65E-05,2.48E-06,4.98E-05,0.68301,4.98E-05,3.02E-06,5.41E-05
2.70E-06,0.66355,2.70E-06,4.44E-05,2.50E-06,4.78E-05,0.54288,4.78E-05,3.26E-06,5.21E-05
2.65E-06,0.66355,2.65E-06,4.25E-05,2.64E-06,4.59E-05,0.75401,4.59E-05,3.34E-06,5.03E-05
2.70E-06,0.66355,2.70E-06,4.08E-05,2.54E-06,4.43E-05,0.81855,4.43E-05,3.31E-06,4.85E-05
2.87E-06,0.66355,2.87E-06,3.91E-05,2.72E-06,4.26E-05,0.66457,4.26E-05,3.68E-06,4.67E-05
2.88E-06,0.66355,2.88E-06,3.74E-05,2.81E-06,4.11E-05,0.79042,4.11E-05,3.71E-06,4.53E-05
2.96E-06,0.66355,2.96E-06,3.60E-05,2.89E-06,3.95E-05,0.80905,3.95E-05,3.89E-06,4.37E-05
3.07E-06,0.66355,3.07E-06,3.43E-05,2.90E-06,3.80E-05,0.78286,3.80E-05,3.90E-06,4.19E-05
3.24E-06,0.66355,3.24E-06,3.31E-05,3.07E-06,3.67E-05,0.67407,3.67E-05,4.03E-06,4.06E-05
3.27E-06,0.66355,3.27E-06,3.17E-05,3.24E-06,3.52E-05,0.78177,3.52E-05,4.31E-06,3.95E-05
3.22E-06,0.66355,3.22E-06,3.01E-05,3.13E-06,3.38E-05,1,3.38E-05,4.53E-06,3.77E-05
3.45E-06,0.66355,3.45E-06,2.89E-05,3.23E-06,3.26E-05,0.82395,3.26E-05,4.60E-06,3.67E-05
3.54E-06,0.62861,3.54E-06,2.75E-05,3.25E-06,3.15E-05,0.83929,3.15E-05,4.62E-06,3.55E-05
3.58E-06,0.63685,3.58E-06,2.64E-05,3.24E-06,3.02E-05,0.938,3.02E-05,4.90E-06,3.40E-05
3.78E-06,0.58111,3.78E-06,2.55E-05,3.44E-06,2.92E-05,0.83369,2.92E-05,5.17E-06,3.31E-05
3.86E-06,0.61633,3.86E-06,2.43E-05,3.47E-06,2.80E-05,0.88165,2.80E-05,5.25E-06,3.21E-05
3.98E-06,0.53876,3.98E-06,2.34E-05,3.63E-06,2.72E-05,0.8818,2.72E-05,5.37E-06,3.10E-05
4.18E-06,0.56777,4.18E-06,2.24E-05,3.72E-06,2.60E-05,0.79899,2.60E-05,5.43E-06,3.00E-05
4.33E-06,0.66355,4.33E-06,2.19E-05,3.89E-06,2.57E-05,0.78432,2.57E-05,6.02E-06,2.97E-05
4.38E-06,0.58121,4.38E-06,2.03E-05,3.86E-06,2.40E-05,0.88672,2.40E-05,5.86E-06,2.80E-05
4.45E-06,0.55968,4.45E-06,1.96E-05,4.03E-06,2.32E-05,0.96889,2.32E-05,6.07E-06,2.71E-05
4.72E-06,0.59235,4.72E-06,1.88E-05,4.00E-06,2.22E-05,0.82744,2.22E-05,6.41E-06,2.62E-05
4.79E-06,0.61679,4.79E-06,1.79E-05,4.13E-06,2.13E-05,0.91742,2.13E-05,6.46E-06,2.55E-05
5.07E-06,0.58519,5.07E-06,1.73E-05,4.22E-06,2.06E-05,0.79663,2.06E-05,6.68E-06,2.45E-05
5.13E-06,0.5932,5.13E-06,1.65E-05,4.28E-06,1.98E-05,0.90029,1.98E-05,6.94E-06,2.38E-05
5.55E-06,0.56208,5.55E-06,1.58E-05,4.50E-06,1.92E-05,0.65041,1.92E-05,7.07E-06,2.30E-05
5.51E-06,0.57452,5.51E-06,1.54E-05,4.56E-06,1.85E-05,0.87112,1.85E-05,7.33E-06,2.24E-05
5.75E-06,0.63143,5.75E-06,1.46E-05,4.59E-06,1.76E-05,0.81408,1.76E-05,7.71E-06,2.15E-05
