ir690,ir750,ir800,ir850,ia,ia690,ia750,ia800,ia8500,tir690_ctr,tir690_left,tir690_right,iir690,iir750,iir800,iir850,iia,iia690,iia750,iia800,iia8500,tii690_ctr,tii690_left,tii690_right
62114,62670,60711,60525,0.66355,,,,,62114,60032,65108,1539,1821,1916,1584,0.1187,,,,,1539,1572,1546
59827,60250,58493,58663,0.66355,,,,,59827,57772,64706,1539,1851,1958,1579,0,,,,,1539,1553,1561
57844,58269,56349,56790,0.66355,,,,,57844,55644,59862,1533,1886,1964,1595,0.35611,,,,,1533,1612,1614
55736,56540,54466,55076,0.66355,,,,,55736,53651,58095,1573,1902,2007,1581,0.049147,,,,,1573,1620,1557
53660,54368,52587,52926,0.66355,,,,,53660,51504,55892,1577,1934,1999,1619,0.38142,,,,,1577,1628,1589
51755,52299,50558,50967,0.66355,,,,,51755,49600,53976,1593,1961,1990,1604,0.13659,,,,,1593,1653,1603
49887,50448,48893,49138,0.66355,,,,,49887,47631,52187,1603,1994,2044,1636,0.41156,,,,,1603,1666,1633
48131,48578,46900,47238,0.66355,,,,,48131,45718,50362,1623,1994,2082,1656,0.27907,,,,,1623,1683,1685
46295,46804,45247,45370,0.66355,,,,,46295,43924,48566,1592,2014,2117,1687,0.61024,,,,,1592,1699,1626
44680,44986,43567,43789,0.66355,,,,,44680,42097,46774,1641,2043,2112,1698,0.32435,,,,,1641,1763,1699
43007,43362,41920,42259,0.66355,,,,,43007,40467,45253,1655,2025,2142,1728,0.35949,,,,,1655,1753,1665
41319,41678,40349,40523,0.66355,,,,,41319,38804,43621,1686,2071,2191,1711,0.21655,,,,,1686,1801,1717
39715,39979,38924,39050,0.66355,,,,,39715,37206,42116,1645,2098,2213,1731,0.77259,,,,,1645,1807,1717
38314,38508,37403,37422,0.66355,,,,,38314,35806,40650,1704,2135,2232,1784,0.57511,,,,,1704,1798,1716
36967,37148,36067,36053,0.66355,,,,,36967,34390,39310,1728,2147,2207,1789,0.3381,,,,,1728,1857,1739
35450,35676,34611,34792,0.66355,,,,,35450,32936,37852,1763,2182,2287,1831,0.48076,,,,,1763,1893,1746
34143,34333,33250,33482,0.66355,,,,,34143,31616,36556,1743,2223,2363,1817,0.64373,,,,,1743,1914,1788
32981,33192,32123,32316,0.66355,,,,,32981,30466,35376,1762,2263,2393,1872,0.65316,,,,,1762,1975,1765
31735,31860,30788,31111,0.66355,,,,,31735,29240,34115,1789,2316,2368,1883,0.61947,,,,,1789,2002,1804
30638,30676,29805,29834,0.66355,,,,,30638,28023,32882,1814,2351,2410,1898,0.64714,,,,,1814,2041,1808
29632,29661,28671,28817,0.66355,,,,,29632,26925,31821,1821,2352,2448,1864,0.68301,,,,,1821,2076,1850
28487,28560,27645,27707,0.66355,,,,,28487,25753,30653,1879,2400,2479,1925,0.54288,,,,,1879,2112,1832
27379,27438,26507,26625,0.66355,,,,,27379,24724,29672,1863,2449,2515,1953,0.75401,,,,,1863,2151,1899
26454,26451,25646,25716,0.66355,,,,,26454,23795,28679,1882,2508,2570,1987,0.81855,,,,,1882,2173,1889
25477,25432,24680,24755,0.66355,,,,,25477,22775,27631,1953,2529,2633,2084,0.66457,,,,,1953,2222,1930
24609,24545,23740,23889,0.66355,,,,,24609,21882,26824,1947,2546,2690,2096,0.79042,,,,,1947,2265,1961
23740,23617,22868,23041,0.66355,,,,,23740,20983,25888,1985,2611,2731,2134,0.80905,,,,,1985,2295,1963
22822,22803,21982,22166,0.66355,,,,,22822,20159,24905,2015,2655,2775,2119,0.78286,,,,,2015,2355,2008
22083,22033,21312,21530,0.66355,,,,,22083,19380,24143,2053,2691,2838,2200,0.67407,,,,,2053,2368,2042
21247,21247,20503,20698,0.66355,,,,,21247,18617,23497,2087,2807,2886,2235,0.78177,,,,,2087,2428,2104
20479,20423,19756,19980,0.66355,,,,,20479,17812,22487,2126,2809,2919,2263,1,,,,,2126,2480,2068
19755,19675,19117,19210,0.66355,,,,,19755,17156,21887,2142,2887,3005,2326,0.82395,,,,,2142,2560,2086
19075,18908,18391,18462,0.62861,,,,,19075,16390,21190,2177,2897,3034,2314,0.83929,,,,,2177,2579,2084
18361,18233,17728,17786,0.63685,,,,,18361,15761,20416,2208,2997,3108,2316,0.938,,,,,2208,2661,2146
17791,17712,17084,17310,0.58111,,,,,17791,15172,19831,2258,3064,3180,2472,0.83369,,,,,2258,2705,2159
17076,17014,16507,16543,0.61633,,,,,17076,14537,19259,2303,3152,3230,2467,0.88165,,,,,2303,2763,2170
16594,16444,16068,16063,0.53876,,,,,16594,14093,18628,2318,3193,3331,2513,0.8818,,,,,2318,2793,2228
15949,15810,15310,15533,0.56777,,,,,15949,13424,18093,2402,3332,3377,2565,0.79899,,,,,2402,2865,2277
15730,15468,14939,15237,0.66355,,,,,15730,13297,17901,2449,3427,3515,2652,0.78432,,,,,2449,2955,2335
14815,14621,14236,14342,0.58121,,,,,14815,12329,16967,2483,3426,3540,2667,0.88672,,,,,2483,3015,2333
14316,14107,13809,13738,0.55968,,,,,14316,11914,16435,2490,3528,3637,2768,0.96889,,,,,2490,3061,2391
13756,13526,13297,13263,0.59235,,,,,13756,11498,15892,2588,3646,3756,2756,0.82744,,,,,2588,3111,2353
13234,13141,12796,12859,0.61679,,,,,13234,10976,15478,2615,3704,3777,2881,0.91742,,,,,2615,3202,2401
12847,12651,12427,12396,0.58519,,,,,12847,10690,14942,2723,3857,3895,2892,0.79663,,,,,2723,3266,2428
12400,12234,11962,11968,0.5932,,,,,12400,10279,14566,2753,3908,4023,3003,0.90029,,,,,2753,3353,2462
11982,11793,11629,11555,0.56208,,,,,11982,9838,14088,2849,4038,4133,3047,0.65041,,,,,2849,3386,2525
11561,11427,11234,11140,0.57452,,,,,11561,9535,13723,2838,4165,4250,3121,0.87112,,,,,2838,3467,2568
11115,11022,10767,10784,0.63143,,,,,11115,9226,13215,2956,4255,4374,3180,0.81408,,,,,2956,3599,2571
10825,10658,10462,10428,0.58835,,,,,10825,8865,12975,3022,4409,4489,3300,0.8474,,,,,3022,3673,2656
10443,10275,10112,10110,0.57966,,,,,10443,8552,12620,3175,4501,4622,3370,0.53244,,,,,3175,3748,2660
10178,9942,9821,9785,0.52469,,,,,10178,8245,12227,3217,4654,4742,3445,0.59509,,,,,3217,3863,2741
9780,9603,9502,9428,0.59208,,,,,9780,8001,11897,3255,4795,4861,3575,0.7649,,,,,3255,3926,2795
9448,9248,9169,9178,0.60693,,,,,9448,7705,11501,3364,4920,5031,3652,0.69815,,,,,3364,4061,2821
9153,8969,8876,8861,0.61431,,,,,9153,7488,11210,3443,5116,5150,3772,0.74177,,,,,3443,4125,2917
8891,8671,8488,8541,0.57698,,,,,8891,7224,10909,3483,5179,5314,3882,0.78838,,,,,3483,4222,2914
8503,8374,8323,8245,0.6613,,,,,8503,7058,10595,3592,5397,5436,3994,0.74094,,,,,3592,4275,3002
8299,8110,8021,7976,0.5919,,,,,8299,6758,10287,3728,5514,5634,4088,0.58404,,,,,3728,4405,3058
8025,7814,7752,7742,0.63479,,,,,8025,6589,10065,3823,5726,5776,4204,0.66019,,,,,3823,4525,3121
7765,7577,7474,7496,0.643,,,,,7765,6407,9752,3950,5885,6004,4310,0.59255,,,,,3950,4639,3163
7517,7295,7242,7262,0.63091,,,,,7517,6183,9523,4055,6079,6204,4412,0.5363,,,,,4055,4741,3283
7276,7086,7051,6989,0.66269,,,,,7276,6036,9214,4176,6256,6338,4588,0.55262,,,,,4176,4824,3309
7054,6857,6791,6798,0.64939,,,,,7054,5841,8959,4263,6467,6548,4670,0.56096,,,,,4263,4977,3452
6876,6660,6616,6611,0.64767,,,,,6876,5713,8795,4407,6767,6736,4849,0.56213,,,,,4407,5118,3467
6643,6369,6450,6337,0.63554,,,,,6643,5536,8513,4523,6883,6936,5002,0.4906,,,,,4523,5210,3539
6415,6181,6228,6162,0.70176,,,,,6415,5400,8284,4618,7061,7135,5091,0.60138,,,,,4618,5335,3602
6218,5996,6023,5919,0.67326,,,,,6218,5236,8053,4745,7308,7426,5263,0.53577,,,,,4745,5493,3715
5942,5789,5813,5776,0.79203,,,,,5942,5150,7813,4914,7555,7609,5397,0.50807,,,,,4914,5619,3753
5837,5643,5658,5537,0.72495,,,,,5837,4947,7635,5122,7828,7876,5514,0.40457,,,,,5122,5808,3868
5589,5429,5410,5410,0.83753,,,,,5589,4816,7413,5185,8058,8126,5753,0.56186,,,,,5185,5923,3945
5450,5278,5269,5244,0.80975,,,,,5450,4681,7228,5390,8307,8414,5883,0.46863,,,,,5390,6111,4075
5326,5105,5137,5072,0.7887,,,,,5326,4605,7026,5511,8565,8660,6100,0.53528,,,,,5511,6282,4155
5153,4932,5017,4934,0.79596,,,,,5153,4516,6836,5660,8838,8927,6273,0.52483,,,,,5660,6409,4251
4956,4802,4831,4814,0.88341,,,,,4956,4408,6653,5822,9174,9224,6448,0.55496,,,,,5822,6535,4357
4828,4669,4674,4641,0.84695,,,,,4828,4283,6495,6031,9453,9531,6696,0.47838,,,,,6031,6730,4483
4670,4512,4541,4524,0.9337,,,,,4670,4236,6347,6189,9786,9866,6851,0.56265,,,,,6189,6925,4608
4578,4403,4464,4387,0.87663,,,,,4578,4068,6171,6380,10120,10133,7025,0.54737,,,,,6380,7136,4713
4433,4248,4273,4297,0.88144,,,,,4433,4058,5997,6621,10402,10453,7361,0.46594,,,,,6621,7340,4876
4308,4141,4199,4142,0.92987,,,,,4308,3953,5813,6846,10851,10814,7515,0.47485,,,,,6846,7469,5034
4209,4003,4091,4052,0.88862,,,,,4209,3866,5680,7008,11127,11151,7783,0.52006,,,,,7008,7723,5156
4072,3890,3981,3889,0.98585,,,,,4072,3772,5514,7234,11563,11563,8067,0.55873,,,,,7234,7906,5285
4021,3793,3860,3804,0.84319,,,,,4021,3695,5401,7471,11957,11910,8352,0.50654,,,,,7471,8160,5429
3873,3693,3762,3733,1,,,,,3873,3643,5264,7703,12369,12369,8660,0.57765,,,,,7703,8351,5637
3768,3595,3645,3592,0.9242,,,,,3768,3576,5088,7892,12723,12768,8856,0.58566,,,,,7892,8617,5782
3687,3564,3612,3573,0.93107,,,,,3687,3473,4977,8240,13264,13214,9195,0.5121,,,,,8240,8855,6003
3623,3446,3523,3497,0.88429,,,,,3623,3473,4897,8490,13798,13683,9514,0.53703,,,,,8490,9091,6223
3534,3392,3443,3391,0.92243,,,,,3534,3341,4723,8732,14183,14189,9824,0.60357,,,,,8732,9399,6381
3460,3273,3317,3333,0.9179,,,,,3460,3276,4588,8979,14662,14603,10210,0.66203,,,,,8979,9658,6634
3414,3187,3267,3236,0.78716,,,,,3414,3242,4518,9333,15186,15071,10483,0.58209,,,,,9333,9908,6836
3288,3159,3169,3154,0.91671,,,,,3288,3214,4415,9705,15804,15722,10931,0.56129,,,,,9705,10261,7142
3273,3086,3175,3132,0.80827,,,,,3273,3200,4366,10047,16409,16199,11314,0.5631,,,,,10047,10618,7463
3167,2996,3077,3034,0.87365,,,,,3167,3129,4191,10365,16932,16793,11661,0.59906,,,,,10365,10914,7631
3120,2947,3002,3002,0.83252,,,,,3120,3058,4114,10723,17468,17294,12068,0.61325,,,,,10723,11250,7958
3069,2878,2978,2888,0.75315,,,,,3069,3011,3971,11145,18216,17989,12565,0.58746,,,,,11145,11626,8314
2957,2824,2874,2834,0.88588,,,,,2957,2929,3895,11457,18760,18568,12917,0.58746,,,,,11457,11911,8563
2940,2807,2841,2799,0.79318,,,,,2940,2902,3803,11754,19508,19264,13390,0.58746,,,,,11754,12343,8885
2883,2729,2744,2738,0.77481,,,,,2883,2868,3710,12188,20097,19947,13881,0.58746,,,,,12188,12712,9222
2805,2651,2725,2729,0.78194,,,,,2805,2832,3617,12552,20785,20585,14265,0.58746,,,,,12552,13115,9620
2825,2624,2660,2671,0.66428,,,,,2825,2835,3555,13019,21680,21464,14988,0.58746,,,,,13019,13636,10050
2738,2576,2673,2633,0.71541,,,,,2738,2778,3493,13557,22447,22205,15482,0.58746,,,,,13557,14023,10575
2696,2549,2575,2548,0.73717,,,,,2696,2695,3344,13916,23158,22886,15903,0.58746,,,,,13916,14486,10901
2648,2484,2530,2505,0.63141,,,,,2648,2642,3305,14376,23863,23678,16408,0.58746,,,,,14376,14892,11298
2614,2474,2494,2468,0.65525,,,,,2614,2674,3233,14859,24743,24499,16963,0.58746,,,,,14859,15388,11752
2555,2402,2493,2422,0.64826,,,,,2555,2617,3141,15360,25671,25319,17657,0.58746,,,,,15360,15879,12252
2533,2316,2485,2422,0.58897,,,,,2533,2549,3105,15926,26610,26185,18247,0.58746,,,,,15926,16441,12820
2491,2311,2364,2363,0.56852,,,,,2491,2549,3004,16525,27440,27265,18956,0.58746,,,,,16525,17005,13368
2474,2340,2347,2318,0.56609,,,,,2474,2518,2940,17102,28446,28199,19684,0.58746,,,,,17102,17641,13868
2413,2275,2323,2293,0.50645,,,,,2413,2481,2895,17639,29622,29197,20470,0.58746,,,,,17639,18251,14561
2411,2244,2283,2271,0.36721,,,,,2411,2428,2793,18374,30708,30265,21175,0.58746,,,,,18374,18908,15308
2364,2233,2235,2249,0.47557,,,,,2364,2416,2759,18936,31805,31352,21957,0.58746,,,,,18936,19503,15895
2301,2173,2237,2172,0.49122,,,,,2301,2371,2730,19605,32974,32539,22710,0.58746,,,,,19605,20084,16530
2294,2138,2211,2178,0.47842,,,,,2294,2350,2644,20333,34197,33777,23619,0.58746,,,,,20333,20937,17409
2308,2119,2204,2161,0.27847,,,,,2308,2336,2636,21100,35406,34934,24465,0.58746,,,,,21100,21644,18018
2215,2085,2176,2125,0.37815,,,,,2215,2273,2569,21842,36742,36339,25319,0.58746,,,,,21842,22336,18727
2208,2095,2139,2096,0.42646,,,,,2208,2226,2506,22651,38022,37464,26172,0.58746,,,,,22651,23056,19631
2175,2028,2091,2058,0.36745,,,,,2175,2227,2420,23406,39412,38860,27242,0.58746,,,,,23406,23938,20414
2169,2011,2083,2031,0.20937,,,,,2169,2234,2378,24263,40849,40326,28179,0.58746,,,,,24263,24702,21266
2135,2013,2024,2002,0.29249,,,,,2135,2180,2355,25174,42415,41578,29315,0.58746,,,,,25174,25646,22200
2113,1950,2021,1990,0.22742,,,,,2113,2144,2309,25998,44027,43101,30414,0.58746,,,,,25998,26482,23181
2083,1949,2020,1997,0.2642,,,,,2083,2133,2236,26958,45420,44640,31501,0.58746,,,,,26958,27455,24092
2064,1888,1967,1925,0.18744,,,,,2064,2096,2225,27954,47173,46407,32641,0.58746,,,,,27954,28364,25211
2046,1898,1947,1899,0.15423,,,,,2046,2096,2196,28996,48940,48037,33807,0.58746,,,,,28996,29312,26161
2013,1938,1946,1889,0.10477,,,,,2013,2044,2115,30017,50694,49741,35169,0.58746,,,,,30017,30379,27300
2006,1880,1924,1855,0.096422,,,,,2006,2061,2071,31219,52694,51493,36476,0.58746,,,,,31219,31529,28476
1932,1831,1898,1873,0.14098,,,,,1932,2004,2051,32349,54291,53382,37800,0.58746,,,,,32349,32723,29576
1964,1852,1876,1848,0.014977,,,,,1964,2002,2047,33395,56148,55246,39056,0.58746,,,,,33395,33796,30773
1922,1791,1856,1785,0.050789,,,,,1922,1985,1972,34536,57839,57170,40265,0.58746,,,,,34536,34974,32109
1924,1813,1823,1791,0,,,,,1924,1976,1953,35904,59755,59045,41712,0.58746,,,,,35904,36257,33510
1864,1737,1811,1812,0.14438,,,,,1864,1910,1902,36917,61664,60900,42983,0.58746,,,,,36917,37576,34747
60084,60776,60080,60604,0.74396,,,,,,,,1540,1883,1972,1621,1,,,,,,,
57757,58673,57868,58630,0.74396,,,,,,,,1573,1950,2015,1614,0.64816,,,,,,,
55771,56927,55815,56744,0.74396,,,,,,,,1584,2015,2063,1633,0.75167,,,,,,,
53691,54925,53778,54867,0.74396,,,,,,,,1625,1981,2092,1692,0.55678,,,,,,,
51637,52780,51854,52699,0.74396,,,,,,,,1626,2030,2125,1671,0.63395,,,,,,,
