ir690,ia,ir6902,ia2,tir690_ctr,tir690_ctr2,tir690_left,tir690_right,iir690,iia,iir6902,iia2,tii690_ctr,tii690_ctr2,tii690_left,tii690_right
19075,0.62861,1.38E-05,0.0040844,62114,1.13E-04,60032,65108,1539,0.1187,1.67E-06,0.0029279,1539,1.67E-06,1572,1546
18361,0.63685,1.32E-05,0.0041244,59827,1.12E-04,57772,64706,1539,0,1.74E-06,0.002881,1539,1.74E-06,1553,1561
17791,0.58111,1.28E-05,0.0041257,57844,1.03E-04,55644,59862,1533,0.35611,1.83E-06,0.0028219,1533,1.83E-06,1612,1614
17076,0.61633,1.24E-05,0.0041118,55736,1.00E-04,53651,58095,1573,0.049147,1.65E-06,0.0031783,1573,1.65E-06,1620,1557
16594,0.53876,1.21E-05,0.0040897,53660,9.63E-05,51504,55892,1577,0.38142,1.67E-06,0.0032263,1577,1.67E-06,1628,1589
15949,0.56777,1.17E-05,0.0040998,51755,9.30E-05,49600,53976,1593,0.13659,1.81E-06,0.0030686,1593,1.81E-06,1653,1603
15730,0.66355,1.13E-05,0.0041137,49887,8.98E-05,47631,52187,1603,0.41156,1.78E-06,0.0031874,1603,1.78E-06,1666,1633
14815,0.58121,1.10E-05,0.0040871,48131,8.66E-05,45718,50362,1623,0.27907,1.99E-06,0.0029601,1623,1.99E-06,1683,1685
14316,0.55968,1.06E-05,0.0041035,46295,8.34E-05,43924,48566,1592,0.61024,1.78E-06,0.003364,1592,1.78E-06,1699,1626
13756,0.59235,1.03E-05,0.0040968,44680,8.04E-05,42097,46774,1641,0.32435,2.12E-06,0.0029227,1641,2.12E-06,1763,1699
13234,0.61679,1.00E-05,0.0040913,43007,7.77E-05,40467,45253,1655,0.35949,2.01E-06,0.0031676,1655,2.01E-06,1753,1665
12847,0.58519,9.72E-06,0.0040755,41319,7.48E-05,38804,43621,1686,0.21655,2.10E-06,0.0031127,1686,2.10E-06,1801,1717
12400,0.5932,9.42E-06,0.0040768,39715,7.22E-05,37206,42116,1645,0.77259,2.13E-06,0.0031546,1645,2.13E-06,1807,1717
11982,0.56208,9.16E-06,0.0040619,38314,6.96E-05,35806,40650,1704,0.57511,2.14E-06,0.0032305,1704,2.14E-06,1798,1716
11561,0.57452,8.78E-06,0.004128,36967,6.73E-05,34390,39310,1728,0.3381,2.26E-06,0.0031407,1728,2.26E-06,1857,1739
11115,0.63143,8.54E-06,0.0041098,35450,6.47E-05,32936,37852,1763,0.48076,2.16E-06,0.0033674,1763,2.16E-06,1893,1746
10825,0.58835,8.30E-06,0.0040956,34143,6.24E-05,31616,36556,1743,0.64373,2.32E-06,0.0032357,1743,2.32E-06,1914,1788
10443,0.57966,8.02E-06,0.0041158,32981,6.04E-05,30466,35376,1762,0.65316,2.31E-06,0.0033403,1762,2.31E-06,1975,1765
10178,0.52469,7.84E-06,0.0040804,31735,5.81E-05,29240,34115,1789,0.61947,2.36E-06,0.0033568,1789,2.36E-06,2002,1804
9780,0.59208,7.58E-06,0.0040966,30638,5.60E-05,28023,32882,1814,0.64714,2.46E-06,0.0033226,1814,2.46E-06,2041,1808
9448,0.60693,7.28E-06,0.0041506,29632,5.41E-05,26925,31821,1821,0.68301,2.48E-06,0.003389,1821,2.48E-06,2076,1850
9153,0.61431,7.07E-06,0.0041494,28487,5.21E-05,25753,30653,1879,0.54288,2.50E-06,0.0034499,1879,2.50E-06,2112,1832
8891,0.57698,6.93E-06,0.004097,27379,5.03E-05,24724,29672,1863,0.75401,2.64E-06,0.0033653,1863,2.64E-06,2151,1899
8503,0.6613,6.60E-06,0.0041904,26454,4.85E-05,23795,28679,1882,0.81855,2.54E-06,0.0036002,1882,2.54E-06,2173,1889
8299,0.5919,6.39E-06,0.0042077,25477,4.67E-05,22775,27631,1953,0.66457,2.72E-06,0.0034704,1953,2.72E-06,2222,1930
8025,0.63479,6.23E-06,0.004181,24609,4.53E-05,21882,26824,1947,0.79042,2.81E-06,0.0034572,1947,2.81E-06,2265,1961
7765,0.643,6.08E-06,0.0041583,23740,4.37E-05,20983,25888,1985,0.80905,2.89E-06,0.0034613,1985,2.89E-06,2295,1963
7517,0.63091,6.04E-06,0.0040412,22822,4.19E-05,20159,24905,2015,0.78286,2.90E-06,0.0035533,2015,2.90E-06,2355,2008
7276,0.66269,5.65E-06,0.0042282,22083,4.06E-05,19380,24143,2053,0.67407,3.07E-06,0.0034558,2053,3.07E-06,2368,2042
7054,0.64939,5.54E-06,0.0041825,21247,3.95E-05,18617,23497,2087,0.78177,3.24E-06,0.0033721,2087,3.24E-06,2428,2104
6876,0.64767,5.28E-06,0.0042724,20479,3.77E-05,17812,22487,2126,1,3.13E-06,0.0036045,2126,3.13E-06,2480,2068
6643,0.63554,5.16E-06,0.0042429,19755,3.67E-05,17156,21887,2142,0.82395,3.23E-06,0.0035991,2142,3.23E-06,2560,2086
6415,0.70176,5.02E-06,0.0042336,19075,3.55E-05,16390,21190,2177,0.83929,3.25E-06,0.0036837,2177,3.25E-06,2579,2084
6218,0.67326,4.86E-06,0.0042527,18361,3.40E-05,15761,20416,2208,0.938,3.24E-06,0.0038036,2208,3.24E-06,2661,2146
5942,0.79203,4.69E-06,0.0042772,17791,3.31E-05,15172,19831,2258,0.83369,3.44E-06,0.0037033,2258,3.44E-06,2705,2159
5837,0.72495,4.55E-06,0.0042839,17076,3.21E-05,14537,19259,2303,0.88165,3.47E-06,0.0037817,2303,3.47E-06,2763,2170
5589,0.83753,4.49E-06,0.0042144,16594,3.10E-05,14093,18628,2318,0.8818,3.63E-06,0.0037272,2318,3.63E-06,2793,2228
5450,0.80975,4.21E-06,0.0043849,15949,3.00E-05,13424,18093,2402,0.79899,3.72E-06,0.0037502,2402,3.72E-06,2865,2277
5326,0.7887,4.17E-06,0.0042883,15730,2.97E-05,13297,17901,2449,0.78432,3.89E-06,0.0037043,2449,3.89E-06,2955,2335
5153,0.79596,4.01E-06,0.0043379,14815,2.80E-05,12329,16967,2483,0.88672,3.86E-06,0.0038491,2483,3.86E-06,3015,2333
4956,0.88341,3.85E-06,0.0043926,14316,2.71E-05,11914,16435,2490,0.96889,4.03E-06,0.0038124,2490,4.03E-06,3061,2391
4828,0.84695,3.76E-06,0.0043736,13756,2.62E-05,11498,15892,2588,0.82744,4.00E-06,0.003962,2588,4.00E-06,3111,2353
4670,0.9337,3.58E-06,0.0044673,13234,2.55E-05,10976,15478,2615,0.91742,4.13E-06,0.0039684,2615,4.13E-06,3202,2401
4578,0.87663,3.51E-06,0.0044278,12847,2.45E-05,10690,14942,2723,0.79663,4.22E-06,0.0040126,2723,4.22E-06,3266,2428
4433,0.88144,3.45E-06,0.0043731,12400,2.38E-05,10279,14566,2753,0.90029,4.28E-06,0.0040851,2753,4.28E-06,3353,2462
4308,0.92987,3.23E-06,0.0045436,11982,2.30E-05,9838,14088,2849,0.65041,4.50E-06,0.0040071,2849,4.50E-06,3386,2525
4209,0.88862,3.16E-06,0.0045197,11561,2.24E-05,9535,13723,2838,0.87112,4.56E-06,0.0040884,2838,4.56E-06,3467,2568
4072,0.98585,3.12E-06,0.0044395,11115,2.15E-05,9226,13215,2956,0.81408,4.59E-06,0.0042054,2956,4.59E-06,3599,2571
4021,0.84319,2.96E-06,0.0045479,10825,2.10E-05,8865,12975,3022,0.8474,4.77E-06,0.0041861,3022,4.77E-06,3673,2656
3873,1,2.98E-06,0.0044079,10443,2.05E-05,8552,12620,3175,0.53244,4.91E-06,0.0042013,3175,4.91E-06,3748,2660
3768,0.9242,2.85E-06,0.0044686,10178,1.97E-05,8245,12227,3217,0.59509,5.05E-06,0.0042236,3217,5.05E-06,3863,2741
3687,0.93107,2.80E-06,0.0044342,9780,1.92E-05,8001,11897,3255,0.7649,5.24E-06,0.0042082,3255,5.24E-06,3926,2795
3623,0.88429,2.60E-06,0.0046225,9448,1.84E-05,7705,11501,3364,0.69815,5.28E-06,0.0043261,3364,5.28E-06,4061,2821
3534,0.92243,2.57E-06,0.0045638,9153,1.80E-05,7488,11210,3443,0.74177,5.66E-06,0.0041631,3443,5.66E-06,4125,2917
3460,0.9179,2.44E-06,0.004656,8891,1.74E-05,7224,10909,3483,0.78838,5.55E-06,0.0044149,3483,5.55E-06,4222,2914
3414,0.78716,2.39E-06,0.0046177,8503,1.69E-05,7058,10595,3592,0.74094,5.86E-06,0.004315,3592,5.86E-06,4275,3002
3288,0.91671,2.19E-06,0.0048741,8299,1.63E-05,6758,10287,3728,0.58404,5.93E-06,0.0044199,3728,5.93E-06,4405,3058
3273,0.80827,2.27E-06,0.0046147,8025,1.60E-05,6589,10065,3823,0.66019,6.26E-06,0.0043319,3823,6.26E-06,4525,3121
3167,0.87365,2.18E-06,0.0046564,7765,1.55E-05,6407,9752,3950,0.59255,6.38E-06,0.004402,3950,6.38E-06,4639,3163
3120,0.83252,2.05E-06,0.0048089,7517,1.50E-05,6183,9523,4055,0.5363,6.71E-06,0.0043291,4055,6.71E-06,4741,3283
3069,0.75315,1.97E-06,0.0048524,7276,1.45E-05,6036,9214,4176,0.55262,6.80E-06,0.0044356,4176,6.80E-06,4824,3309
2957,0.88588,1.89E-06,0.0049098,7054,1.40E-05,5841,8959,4263,0.56096,7.11E-06,0.0043855,4263,7.11E-06,4977,3452
2940,0.79318,1.95E-06,0.0046737,6876,1.38E-05,5713,8795,4407,0.56213,7.22E-06,0.004484,4407,7.22E-06,5118,3467
2883,0.77481,1.82E-06,0.0048214,6643,1.32E-05,5536,8513,4523,0.4906,7.38E-06,0.0045528,4523,7.38E-06,5210,3539
2805,0.78194,1.73E-06,0.0049166,6415,1.28E-05,5400,8284,4618,0.60138,7.53E-06,0.0046365,4618,7.53E-06,5335,3602
2825,0.66428,1.67E-06,0.0049671,6218,1.24E-05,5236,8053,4745,0.53577,7.90E-06,0.0045726,4745,7.90E-06,5493,3715
2738,0.71541,,,5942,1.21E-05,5150,7813,4914,0.50807,8.13E-06,0.0046115,4914,8.13E-06,5619,3753
2696,0.73717,,,5837,1.17E-05,4947,7635,5122,0.40457,8.32E-06,0.0046825,5122,8.32E-06,5808,3868
2648,0.63141,,,5589,1.13E-05,4816,7413,5185,0.56186,8.54E-06,0.0047405,5185,8.54E-06,5923,3945
2614,0.65525,,,5450,1.10E-05,4681,7228,5390,0.46863,8.95E-06,0.0046834,5390,8.95E-06,6111,4075
2555,0.64826,,,5326,1.06E-05,4605,7026,5511,0.53528,9.16E-06,0.0047631,5511,9.16E-06,6282,4155
2533,0.58897,,,5153,1.03E-05,4516,6836,5660,0.52483,9.46E-06,0.0047877,5660,9.46E-06,6409,4251
2491,0.56852,,,4956,1.00E-05,4408,6653,5822,0.55496,9.79E-06,0.0048061,5822,9.79E-06,6535,4357
2474,0.56609,,,4828,9.72E-06,4283,6495,6031,0.47838,1.01E-05,0.0048142,6031,1.01E-05,6730,4483
2413,0.50645,,,4670,9.42E-06,4236,6347,6189,0.56265,1.04E-05,0.0048663,6189,1.04E-05,6925,4608
2411,0.36721,,,4578,9.16E-06,4068,6171,6380,0.54737,1.08E-05,0.0048793,6380,1.08E-05,7136,4713
2364,0.47557,,,4433,8.78E-06,4058,5997,6621,0.46594,1.12E-05,0.0049212,6621,1.12E-05,7340,4876
2301,0.49122,,,4308,8.54E-06,3953,5813,6846,0.47485,1.18E-05,0.0048381,6846,1.18E-05,7469,5034
2294,0.47842,,,4209,8.30E-06,3866,5680,7008,0.52006,1.21E-05,0.0048945,7008,1.21E-05,7723,5156
2308,0.27847,,,4072,8.02E-06,3772,5514,7234,0.55873,1.25E-05,0.0049371,7234,1.25E-05,7906,5285
2215,0.37815,,,4021,7.84E-06,3695,5401,7471,0.50654,1.29E-05,0.0049682,7471,1.29E-05,8160,5429
2208,0.42646,,,3873,7.58E-06,3643,5264,7703,0.57765,1.35E-05,0.004941,7703,1.35E-05,8351,5637
2175,0.36745,,,3768,7.28E-06,3576,5088,7892,0.58566,1.39E-05,0.0049913,7892,1.39E-05,8617,5782
