O2Hb,HHB,THb,HB_diff,TSI
-0.0338607,-0.0220676,-0.0560284,-0.0117931,93.7216568
-0.0416465,-0.0108411,-0.0525876,-0.0308054,93.7730408
-0.0995887,-0.0160167,-0.1157053,-0.083572,93.8655472
-0.1575308,-0.0211923,-0.1788231,-0.1363386,94.0094147
-0.2161613,-0.0431201,-0.2593814,-0.1730412,93.8800964
-0.2988375,-0.0481206,-0.3470581,-0.2507168,93.931488
-0.3815136,-0.0531212,-0.4347348,-0.3283925,93.9819565
-0.3235715,-0.0479456,-0.371617,-0.2756259,93.9950333
-0.0253866,-0.0165419,-0.0420285,-0.0088447,93.8142014
-0.0084384,-0.0054904,-0.0140288,-0.002948,93.8943405
-0.0663805,-0.010666,-0.0771465,-0.0557145,94.0238571
-0.1158486,-0.0103159,-0.1262644,-0.1055327,94.0094147
-0.1829532,-0.0377695,-0.2208226,-0.1451837,94.1279831
-0.2741035,-0.0482957,-0.3224992,-0.2258077,94.087738
-0.3567796,-0.0532962,-0.4101759,-0.3034834,94.0969543
-0.3073116,-0.0536464,-0.361058,-0.2536652,94.0482864
-0.0084384,-0.0054904,-0.0140288,-0.002948,93.9327011
0.0579779,0.0052109,0.0630888,0.052767,93.8943405
0.0000357,0.0000353,-0.0000289,0.0000004,94.0511093
-0.0416465,-0.0108411,-0.0525876,-0.0308054,94.0102386
-0.1158486,-0.0103159,-0.1262644,-0.1055327,94.0997849
-0.1985247,-0.0153164,-0.2139411,-0.1832083,94.0997849
-0.2571552,-0.0372442,-0.2944995,-0.219911,94.1134796
-0.2734151,-0.0315434,-0.3050585,-0.2418717,94.1503372
0.0254581,0.0166125,0.0419707,0.0088456,93.9728394
0.1010369,0.0495919,0.1505287,0.051445,93.973053
0.0268348,0.0501171,0.0768519,-0.0232823,93.9959183
-0.0226332,0.0504673,0.027734,-0.0731005,94.073288
-0.1053094,0.0454667,-0.0599426,-0.1507761,94.1356812
-0.1879855,0.0404662,-0.1476193,-0.2284517,94.1356812
-0.2876099,0.0244142,-0.2632957,-0.3120241,94.2618713
-0.361812,0.0249394,-0.3369725,-0.3867514,94.1212845
-0.079887,0.0620439,-0.0179431,-0.1419309,94.0608215
0.0783679,0.1000238,0.1782917,-0.0216559,93.9834518
0.0041659,0.100549,0.1046149,-0.0963832,94.0059738
-0.061562,0.1066,0.0449379,-0.168162,94.0192261
-0.1279783,0.0958987,-0.0321797,-0.223877,94.0470276
-0.2276027,0.0798467,-0.1478561,-0.3074494,94.0816345
-0.3024931,0.0636196,-0.2389735,-0.3661127,94.2111053
-0.3851693,0.0586191,-0.3266502,-0.4437883,94.2121811
-0.1364524,0.0903729,-0.0461795,-0.2268254,94.033905
0.0627964,0.1224769,0.1851733,-0.0596805,93.9587402
0.0211141,0.1116005,0.1326146,-0.0904864,94.0608215
-0.0446138,0.1176515,0.0729377,-0.1622653,94.108902
-0.1025559,0.1124759,0.0098199,-0.2150318,94.1854019
-0.1852321,0.1074753,-0.0778568,-0.2927074,94.2236023
-0.2763824,0.0969491,-0.1795333,-0.3733315,94.2236023
-0.3760068,0.0808971,-0.2952097,-0.4569039,94.2705612
-0.1442382,0.1015995,-0.0427387,-0.2458377,94.0997849
0.0634847,0.1392292,0.2026139,-0.0757445,94.0222931
0.0224908,0.1451051,0.1674959,-0.1226142,94.0732117
-0.0107173,0.1397544,0.1289371,-0.1504717,94.073288
-0.0686595,0.1345788,0.0658194,-0.2032383,94.14711
-0.1428615,0.135104,-0.0078575,-0.2779655,94.1213684
-0.2177519,0.118877,-0.0989749,-0.3366289,94.2737198
-0.2919539,0.1194022,-0.1726518,-0.4113561,94.3461914
-0.0022432,0.1452801,0.142937,-0.1475233,94.1350021
0.1390635,0.1722085,0.311172,-0.0331451,94.073288
0.0895955,0.1725587,0.2620541,-0.0829632,94.2236023
0.0563873,0.167208,0.2234953,-0.1108207,94.2345963
0.0062309,0.1508059,0.1569368,-0.1445749,94.2364349
-0.0764452,0.1458054,0.0692601,-0.2222506,94.2851486
-0.1506473,0.1463306,-0.0044167,-0.2969778,94.2851486
-0.2248493,0.1468558,-0.0780935,-0.3717051,94.3571777
0.0733356,0.1782595,0.2514951,-0.1049239,94.172554
