
Experiment data,16-07-2019,11:10:39

Collected Light Intensity
Intensity:,234,216,192,255,255,214,192,255,
Integration time: ,12381
Wavelength,i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient
 ,62288,61276,60035,58261,3424,3599,3589,3376,3275,
 ,59234,59015,57491,55878,3405,3597,3592,3422,3290,
 ,56921,56716,55124,53769,3405,3574,3586,3405,3314,
 ,54827,54766,52908,51756,3433,3605,3616,3385,3289,
 ,52526,52418,50668,49486,3434,3626,3572,3455,3300,
 ,50451,50371,48599,47178,3331,3616,3667,3416,3251,
 ,48449,48400,46588,45165,3426,3648,3580,3437,3244,
 ,46402,46427,44445,43227,3442,3599,3588,3397,3244,
 ,44423,44237,42644,40962,3429,3634,3594,3418,3261,
 ,42478,42409,40641,39345,3400,3579,3618,3381,3212,
 ,40869,40818,38822,37527,3351,3651,3597,3429,3221,
 ,39127,38949,37242,35759,3395,3628,3634,3397,3193,
 ,37438,37264,35475,34019,3372,3674,3635,3380,3181,
 ,35922,35786,33956,32483,3423,3643,3636,3379,3163,
 ,34453,34284,32570,31052,3407,3615,3621,3397,3153,
 ,33015,32838,31137,29667,3424,3644,3653,3407,3168,
 ,31539,31440,29722,28252,3423,3669,3673,3408,3125,
 ,30391,30214,28459,27094,3389,3676,3658,3382,3123,
 ,29159,28938,27214,25843,3412,3698,3659,3382,3123,
 ,27983,27809,26145,24797,3459,3722,3693,3451,3129,
 ,27001,26751,25040,23816,3430,3720,3681,3446,3121,
 ,25771,25731,23915,22649,3460,3771,3718,3449,3113,
 ,24814,24678,23046,21719,3461,3770,3735,3432,3060,
 ,23737,23635,22035,20808,3462,3798,3772,3416,3057,
 ,22883,22757,21166,19954,3457,3836,3789,3422,3054,
 ,22004,21923,20316,19130,3502,3813,3822,3498,3065,
 ,21164,21130,19509,18349,3471,3877,3825,3457,3058,
 ,20345,20201,18701,17572,3509,3876,3847,3484,3051,
 ,19695,19608,18120,17036,3510,3906,3877,3428,3039,
 ,19016,18849,17417,16429,3524,3973,3876,3520,3080,
 ,18240,18085,16734,15624,3517,3959,3893,3514,3001,
 ,17563,17396,16045,15116,3526,3981,3957,3507,3016,
 ,16882,16769,15498,14429,3574,4049,3973,3551,2994,
 ,16247,16143,15005,13918,3589,4062,3978,3555,2985,
 ,15810,15665,14447,13483,3644,4096,4083,3552,3015,
 ,15216,15052,13885,12877,3625,4134,4059,3582,2949,
 ,14797,14606,13435,12440,3669,4174,4113,3603,3007,
 ,14162,14184,12872,12037,3730,4199,4130,3649,3006,
 ,14055,13750,12653,11850,3733,4293,4294,3758,3022,
 ,13183,13142,12043,11055,3745,4331,4278,3708,2923,
 ,12797,12611,11644,10850,3789,4330,4315,3701,2925,
 ,12349,12157,11264,10403,3776,4366,4287,3633,2914,
 ,11939,11807,10949,10035,3818,4399,4359,3783,2885,
 ,11567,11410,10530,9711,3859,4512,4417,3808,2923,
 ,11201,11081,10239,9350,3841,4554,4502,3814,2862,
 ,10764,10727,9888,9090,3931,4624,4583,3836,2891,
 ,10527,10362,9614,8853,3972,4703,4624,3873,2872,
 ,10244,10077,9356,8570,3978,4775,4707,3920,2877,
 ,9923,9763,9071,8325,4033,4826,4774,4005,2831,
 ,9620,9513,8791,8103,4088,4887,4903,4048,2901,
 ,9319,9281,8532,7892,4153,4981,4956,4117,2868,
 ,9086,8961,8278,7647,4210,5086,5057,4107,2859,
 ,8811,8777,8063,7375,4228,5163,5087,4188,2839,
 ,8671,8485,7825,7222,4304,5259,5204,4297,2912,
 ,8355,8281,7602,7067,4359,5347,5352,4280,2795,
 ,8183,8007,7388,6820,4372,5475,5377,4366,2854,
 ,7945,7863,7243,6612,4518,5590,5537,4428,2827,
 ,7728,7624,7014,6483,4560,5666,5643,4553,2854,
 ,7498,7389,6826,6300,4645,5806,5732,4585,2811,
 ,7314,7216,6700,6152,4641,5930,5881,4649,2826,
 ,7135,7060,6487,6012,4759,6012,6091,4756,2815,
 ,7048,6884,6377,5848,4823,6194,6124,4819,2796,
 ,6834,6753,6204,5772,4991,6391,6318,4927,2815,
 ,6623,6604,6035,5589,4997,6520,6394,5054,2790,
 ,6444,6378,5923,5477,5069,6673,6626,5116,2775,
 ,6290,6248,5820,5312,5232,6779,6766,5211,2783,
 ,6169,6070,5674,5216,5326,6996,6924,5326,2782,
 ,6031,5929,5541,5134,5430,7206,7157,5463,2726,
 ,5894,5822,5435,4966,5503,7336,7258,5537,2797,
 ,5801,5682,5288,4900,5636,7479,7501,5634,2755,
 ,5638,5549,5192,4808,5861,7730,7735,5797,2770,
 ,5489,5403,5071,4710,5860,7966,7900,5929,2750,
 ,5370,5331,5004,4619,5997,8130,8102,6078,2778,
 ,5284,5282,4921,4549,6185,8405,8363,6274,2732,
 ,5155,5118,4768,4449,6282,8584,8548,6360,2719,
 ,5077,4995,4704,4329,6423,8867,8829,6519,2756,
 ,4970,4927,4618,4314,6519,9106,9109,6757,2738,
 ,4863,4820,4497,4229,6745,9433,9386,6884,2749,
 ,4815,4728,4453,4141,6914,9689,9683,7139,2706,
 ,4727,4675,4358,4069,7060,9968,9999,7263,2746,
 ,4622,4588,4296,4047,7213,10264,10296,7501,2689,
 ,4563,4521,4285,3997,7396,10556,10612,7709,2725,
 ,4446,4417,4142,3944,7684,10933,10912,7969,2723,
 ,4411,4321,4106,3839,7877,11289,11321,8141,2703,
 ,4318,4318,4068,3858,8047,11721,11607,8510,2732,
 ,4279,4215,4025,3735,8363,12059,12087,8756,2708,
 ,4176,4159,3925,3717,8523,12474,12404,8943,2692,
 ,4101,4106,3864,3646,8758,12817,12864,9224,2707,
 ,4067,4042,3819,3664,9030,13315,13375,9593,2737,
 ,4044,4008,3769,3600,9368,13833,13861,9952,2707,
 ,3944,3919,3781,3528,9583,14276,14317,10313,2691,
 ,3929,3867,3718,3502,9880,14690,14766,10646,2664,
 ,3870,3864,3676,3471,10208,15248,15460,11044,2708,
 ,3800,3789,3632,3426,10478,15828,16000,11420,2666,
 ,3725,3733,3619,3410,10873,16438,16540,11792,2672,
 ,3692,3693,3550,3352,11135,16988,17158,12178,2697,
 ,3655,3619,3512,3312,11550,17634,17790,12749,2663,
 ,3632,3659,3487,3307,12073,18397,18580,13368,2663,
 ,3606,3586,3457,3272,12463,19166,19383,13836,2704,
 ,3556,3531,3417,3213,12790,19748,19936,14249,2670,
 ,3501,3508,3369,3187,13251,20463,20886,14790,2653,
 ,3447,3449,3359,3222,13722,21127,21586,15361,2689,
 ,3463,3423,3349,3166,14197,22095,22524,16004,2684,
 ,3433,3398,3289,3135,14779,22938,23516,16611,2649,
 ,3363,3384,3303,3141,15359,23900,24477,17325,2668,
 ,3371,3351,3257,3123,15878,24879,25422,18073,2671,
 ,3335,3359,3264,3088,16542,25970,26591,18917,2681,
 ,3333,3319,3236,3137,17245,27109,27660,19757,2681,
 ,3298,3280,3253,3066,17840,28239,28995,20631,2679,
 ,3227,3296,3216,3056,18543,29313,30055,21524,2656,
