PI1,O2Hb1,TSI1,TSIFT1,PI2,O2Hb2,TSI2,TSIFT2
0.614285714,0.126494142,0.518549897,0.964790615,0.762122598,0.495938281,0.520894176,0.896009847
0.664285714,0.120617156,0.520550445,0.966270068,0.789569991,0.495977793,0.525156674,0.891935797
0.664285714,0.119807315,0.521450667,0.966288925,0.817017383,0.501952096,0.517520821,0.88585844
0.685714286,0.122939867,0.521221075,0.965613581,0.817017383,0.507309152,0.519384815,0.8833894
0.692857143,0.129413409,0.519206916,0.963312685,0.826166514,0.505746455,0.52373474,0.883836291
0.7,0.140457364,0.514486419,0.960446334,0.871912168,0.498741929,0.530025617,0.887350453
0.785714286,0.151141629,0.512853649,0.958341767,0.881061299,0.495846794,0.53549808,0.888288369
0.785714286,0.159039723,0.520093812,0.956395773,0.899359561,0.506688069,0.536490642,0.882985276
0.857142857,0.162099072,0.529918949,0.955569699,0.899359561,0.520062872,0.545249642,0.87605398
0.857142857,0.169754551,0.533531749,0.954036784,0.899359561,0.523539931,0.557453534,0.874724234
0.857142857,0.169420576,0.538136647,0.952876146,0.908508692,0.52390058,0.564372583,0.873621878
0.857142857,0.164980548,0.533859832,0.951853702,0.908508692,0.523776293,0.576208563,0.875334047
0.785714286,0.162795781,0.528161791,0.948685787,0.853613907,0.51733633,0.586632362,0.878641087
0.857142857,0.161127711,0.527918492,0.945335767,0.89021043,0.503761447,0.594548298,0.884328787
0.785714286,0.158269241,0.526725158,0.944831617,0.871912168,0.487867247,0.592152414,0.889153871
0.785714286,0.159556752,0.529716669,0.944255188,0.871912168,0.485202369,0.581335251,0.888117444
0.785714286,0.161818667,0.530070464,0.943023838,0.862763038,0.488666257,0.570426238,0.882623852
0.785714286,0.156751521,0.536848413,0.943991317,0.871912168,0.482412244,0.56224259,0.883070002
0.785714286,0.155136689,0.543958796,0.945687561,0.862763038,0.470334557,0.556155335,0.886521168
0.857142857,0.151364612,0.55791745,0.950097779,0.899359561,0.473812576,0.550755105,0.883595098
0.857142857,0.144244889,0.563778068,0.954767093,0.908508692,0.484704262,0.549735081,0.876331371
0.857142857,0.139446075,0.570312154,0.95727533,0.908508692,0.491459256,0.552148474,0.873917391
0.857142857,0.141231221,0.572989663,0.9571717,0.908508692,0.499123419,0.554069509,0.871260034
0.857142857,0.141695582,0.57173631,0.956636135,0.908508692,0.516345871,0.556583406,0.860473458
0.857142857,0.139629699,0.564404178,0.957570616,0.908508692,0.521705803,0.564167249,0.856813728
0.857142857,0.146332546,0.56690607,0.955417342,0.908508692,0.525337324,0.568825724,0.855179754
0.928571429,0.150399571,0.561749732,0.953009605,0.908508692,0.531669047,0.580042084,0.854062208
0.928571429,0.152610055,0.559401344,0.95236724,1,0.534377272,0.584103575,0.852398568
0.928571429,0.153833729,0.563495827,0.953086597,1,0.527096871,0.588849979,0.856458104
0.928571429,0.145249526,0.561552463,0.955266529,0.89021043,0.528166607,0.590542647,0.856144497
0.928571429,0.137712027,0.561221641,0.958142309,1,0.536795494,0.59212203,0.851935757
0.928571429,0.138943258,0.562153623,0.957550194,1,0.528148289,0.60125417,0.857352569
0.928571429,0.163091301,0.559294629,0.950386745,1,0.511942893,0.61644198,0.866600796
0.928571429,0.167238187,0.561238653,0.949548051,0.908508692,0.511229618,0.619281533,0.86614595
0.928571429,0.170487815,0.563951988,0.947820434,0.752973468,0.500153898,0.630662278,0.871987211
0.928571429,0.171133995,0.564037342,0.946816805,0.899359561,0.464840904,0.642074112,0.893207634
0.928571429,0.167595168,0.559541424,0.945623127,0.835315645,0.446505018,0.644961048,0.904285347
0.928571429,0.162036137,0.559849659,0.945547782,0.698078683,0.448525349,0.629000602,0.898108056
0.928571429,0.139718921,0.557903085,0.952736347,0.688929552,0.45488856,0.596147303,0.885951882
0.928571429,0.114105491,0.550575208,0.959907619,0.652333028,0.454878619,0.566955294,0.881056548
0.928571429,0.098685348,0.54064922,0.964939781,0.643183898,0.463274373,0.544003659,0.873316957
0.928571429,0.089097411,0.534020233,0.968775156,0.661482159,0.472829786,0.534500891,0.865077665
0.928571429,0.083054052,0.531414938,0.973056609,0.661482159,0.4771383,0.530714251,0.862171891
0.857142857,0.081974077,0.526278545,0.97577997,0.679780421,0.474242206,0.527968461,0.864906721
0.857142857,0.079979588,0.530425771,0.976269999,0.762122598,0.484368289,0.524639571,0.862547782
0.857142857,0.092546112,0.537771984,0.972992195,0.817017383,0.493196299,0.528551262,0.859019855
0.857142857,0.110022777,0.543713229,0.967878389,0.871912168,0.494771205,0.545587172,0.85818476
0.785714286,0.116855107,0.554876882,0.966084753,0.862763038,0.494784375,0.559369639,0.857959515
0.785714286,0.122321875,0.564575924,0.964262873,0.908508692,0.511852365,0.573646577,0.849262462
0.785714286,0.129416782,0.570156285,0.961647835,0.908508692,0.530044687,0.590426244,0.842297143
0.785714286,0.138389102,0.574247458,0.95896684,0.908508692,0.525013916,0.622207506,0.851087619
0.857142857,0.144837832,0.580309882,0.956824559,0.908508692,0.487480511,0.665929673,0.877411988
0.857142857,0.149802114,0.582867069,0.956061251,0.798719122,0.43910583,0.700864571,0.907086126
0.857142857,0.164554309,0.59284164,0.952028004,0.643183898,0.389550295,0.710322269,0.930719818
0.857142857,0.181242001,0.602229991,0.948257063,0.542543458,0.325689596,0.719078753,0.952735484
0.857142857,0.174333427,0.607767156,0.95054536,0.524245197,0.259813716,0.713179227,0.970817655
0.857142857,0.16302385,0.616879976,0.95314469,0.387008234,0.204993311,0.691619452,0.982673959
0.857142857,0.149097515,0.621450185,0.954267677,0.387008234,0.163332549,0.663059035,0.99014628
0.857142857,0.133077774,0.61072067,0.95505295,0.414455627,0.140697489,0.634848521,0.994054456
0.857142857,0.113637184,0.578076342,0.957454367,0.405306496,0.132714103,0.602991608,0.99848845
0.857142857,0.093791224,0.546337808,0.959089347,0.396157365,0.14641423,0.570970809,1
0.928571429,0.079628027,0.531141111,0.9620703,0.396157365,0.186281084,0.526197327,0.991815711
0.928571429,0.077488939,0.526031938,0.963196457,0.396157365,0.230401857,0.494031557,0.971530355
