O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
-3.0055132,-0.4519025,72.7233505,99.9737396,-0.1074708,0.1207313,73.4115906,99.7843857
-0.7341725,-0.1025889,72.6973801,99.9660339,-0.5423744,0.0439909,73.4225464,99.7875061
0.1506762,0.029035,72.6001587,99.9624252,-1.0957159,-0.0732574,73.3874054,99.7923126
-0.4349395,-0.0767504,72.607811,99.9645462,-1.4983453,-0.1614608,73.3467102,99.7972107
-0.9343915,-0.130565,72.7025528,99.9671555,-1.9332489,-0.2382012,73.4011002,99.8042984
-1.468309,-0.2051679,72.7051468,99.9689941,-2.4026179,-0.33573,73.3222275,99.8101044
-2.1034317,-0.3098845,72.7129364,99.9707108,-2.5188646,-0.3439866,73.4065933,99.8144531
-2.5038698,-0.3658367,72.7642822,99.9725342,-0.5101001,0.032528,73.5190048,99.8057175
-2.8892665,-0.443646,72.7669067,99.9738235,0.6072418,0.1806651,73.3656006,99.7934952
-1.7525005,-0.2528636,72.9216766,99.9702072,0.38979,0.1422948,73.3412781,99.7803268
0.1506762,0.029035,72.8089828,99.9641342,0.2218451,0.1028558,73.338562,99.7773209
0.098978,-0.0021474,72.7174377,99.9634705,-0.2647567,-0.0050671,73.2624435,99.7797318
-0.6674328,-0.0932636,72.8194733,99.9664383,-0.8503724,-0.1108524,73.2705231,99.7860184
-1.1518433,-0.1689353,72.8679047,99.9686279,-1.2852761,-0.1875929,73.3167953,99.7917328
-1.8859799,-0.2715143,72.8838272,99.9706879,-1.7374123,-0.2747275,73.3712692,99.7983246
-2.5038698,-0.3658367,72.8485031,99.9729233,-2.2390556,-0.3607933,73.2921524,99.8061676
-2.9387734,-0.4425772,72.7590485,99.9740524,-2.1873574,-0.3296109,73.4093399,99.8075485
-3.2552392,-0.4788099,72.8591232,99.9752884,-0.2475239,0.0053271,73.4980316,99.7999954
-1.3671038,-0.1750543,72.9136734,99.9705811,0.3186678,0.0684671,73.2978439,99.7850418
-0.0000359,-0.0000099,72.765831,99.9641495,0.0000108,-0.0000168,73.2678223,99.7767029
-0.4994879,-0.0538245,72.7710419,99.9658661,-0.1829755,-0.0175988,73.357605,99.7757263
-1.0506382,-0.1388216,72.8221054,99.9684219,-0.736317,-0.134847,73.3222275,99.7806702
-1.5500902,-0.1926363,72.8785095,99.9696655,-1.2724258,-0.2417011,73.3303909,99.7863312
-2.1529386,-0.3088157,72.8432083,99.9720764,-1.6405897,-0.3091162,73.3331146,99.794075
-2.6351578,-0.3522363,72.8485031,99.9733353,-2.0754933,-0.3858567,73.3849869,99.8009109
-3.0205545,-0.4300455,72.8103943,99.9743042,-2.4953554,-0.4844542,73.3030167,99.8072357
-2.8848839,-0.3791436,72.9431152,99.9740753,-1.0183172,-0.1502914,73.6011581,99.7989044
-0.7492139,-0.0807319,72.8573303,99.9682617,0.5166956,0.064192,73.3819427,99.7848434
-0.1140912,0.0239847,72.8115997,99.9644775,0.4154904,0.0340784,73.3167953,99.7702713
-0.7987209,-0.0796631,72.8194733,99.9670563,0.2303128,-0.0157548,73.3167953,99.7667007
-1.199159,-0.1356153,72.8221054,99.9684219,-0.2045908,-0.0924953,73.2813187,99.7696304
-1.7503092,-0.2206124,72.7893524,99.9705582,-0.8569462,-0.207606,73.2921524,99.7763901
-2.4004734,-0.3034719,72.8918152,99.9725723,-1.2768084,-0.3062035,73.2948685,99.7843094
