O2Hb1,HHB1,TSI1,TSIFT1,O2Hb2,HHB2,TSI2,TSIFT2
20.5492439,12.6264992,70.9476624,99.8822327,24.5823154,12.8785658,71.5250702,99.5481796
21.6849136,12.8011551,70.9336929,99.862236,24.3648624,12.8401957,71.5311584,99.5523758
22.1273384,12.8669672,70.8631287,99.8537064,24.088192,12.7815714,71.5032578,99.5590515
21.8345299,12.8140745,70.8672562,99.858429,23.8868771,12.7374697,71.4722824,99.5660324
21.5848045,12.7871675,70.9364853,99.8649216,23.669426,12.6990995,71.510849,99.5760117
21.3178463,12.7498665,70.9378738,99.8700485,23.4347401,12.6503353,71.4502869,99.5844345
21.0002842,12.6975079,70.94207,99.8749695,23.3766174,12.6462069,71.5138931,99.5910187
20.800066,12.6695318,70.9788208,99.8792114,24.3810005,12.8344641,71.6098404,99.5802612
20.6073666,12.6306267,70.9802246,99.8820953,24.9396706,12.9085321,71.4911499,99.5615845
21.1757488,12.726018,71.1000061,99.8730011,24.8309441,12.8893471,71.4692688,99.5418777
22.1273384,12.8669672,71.0210876,99.8578796,24.746973,12.869628,71.4677582,99.5374603
22.1014881,12.8513765,70.9535751,99.8566055,24.5036716,12.8156662,71.4087296,99.5402679
21.7182827,12.8058186,71.0267487,99.8632889,24.2108631,12.7627735,71.413208,99.549263
21.476078,12.7679825,71.0619431,99.8690491,23.993412,12.7244034,71.4472733,99.5577316
21.1090107,12.7166929,71.0705185,99.8741455,23.7673435,12.6808367,71.4858856,99.5666885
20.800066,12.6695318,71.0423889,99.8797607,23.5165215,12.6378031,71.4251785,99.5781555
20.582613,12.6311617,70.9760056,99.8829956,23.5423717,12.6533947,71.5154114,99.5810394
20.4243813,12.6130447,71.0480957,99.8858185,24.5122871,12.8208637,71.5898285,99.5708847
21.3684483,12.7649231,71.0956955,99.8734741,24.7953835,12.8524332,71.4367676,99.54879
22.0519829,12.8524446,70.9887466,99.8575211,24.636055,12.8181915,71.4117126,99.5360794
21.8022556,12.8255377,70.9915619,99.8619003,24.5445614,12.8094006,71.4783173,99.5346222
21.52668,12.7830391,71.0281677,99.8679581,24.2678909,12.7507763,71.4502869,99.54142
21.2769547,12.7561321,71.0676575,99.8715591,23.9998379,12.6973495,71.4548035,99.549263
20.9755306,12.6980419,71.0395355,99.8767548,23.8157558,12.6636419,71.4563065,99.5604172
20.7344208,12.6763315,71.0423889,99.8812943,23.5983028,12.6252718,71.4934692,99.5702972
20.5417233,12.6374273,71.0127487,99.8834763,23.3883724,12.5759726,71.4311829,99.5793152
20.6095581,12.662878,71.1115494,99.8831635,24.1268921,12.7430544,71.6638565,99.5693817
21.677393,12.8120842,71.0562363,99.8671646,24.8943977,12.850296,71.5002289,99.5488663
21.9949551,12.8644428,71.0224991,99.8581543,24.8437958,12.8352394,71.4472733,99.5267487
21.6526394,12.8126183,71.0267487,99.8644333,24.7512074,12.8103228,71.4472733,99.5216827
21.4524212,12.7846422,71.0281677,99.8679581,24.5337543,12.7719526,71.4191895,99.5254517
21.1768456,12.7421436,71.0014267,99.8728485,24.2075768,12.7143974,71.4251785,99.5347824
20.8517628,12.7007141,71.0748215,99.878067,23.9976463,12.6650982,71.4266815,99.5461121
20.6343117,12.662344,71.0438156,99.8810959,23.7801933,12.6267281,71.4296799,99.5556259
20.4254761,12.6291704,71.0141678,99.8848038,23.5293732,12.5836954,71.4356918,99.567688
21.0197086,12.7401533,71.1645966,99.8780441,23.4551125,12.5852985,71.498024,99.5723953
22.0035706,12.8696394,71.0196686,99.8594284,24.5757408,12.7818117,71.5311584,99.5565338
21.9960499,12.8805676,71.0224991,99.8564682,25.1602612,12.8714714,71.4072342,99.5304794
21.6537361,12.8287439,71.0590897,99.8637848,25.0256863,12.8366957,71.3850784,99.5095901
21.4449005,12.7955713,71.0281677,99.8674698,24.8922062,12.8180447,71.4176941,99.5087509
