pixel#,intensity1,depth1,reflection1,absorption1,intensity2,depth2,reflection2,absorption2,D,iii,rrr,aaa
1,1,25.77394213,0.000376197,0.138004958,0.000113055,74.65508251,4.48541E-05,0.234893814,1.6924,1.000113055,0.000421051,0.372898772
2,0.962623027,26.158833,0.000365212,0.138004958,0.001102287,74.27019164,4.53201E-05,0.112257248,1.6924,0.963725314,0.000410532,0.250262206
3,0.929163001,26.54372387,0.000354701,0.138004958,0,73.88530077,4.57935E-05,0.470565296,1.6924,0.929163001,0.000400494,0.608570254
4,0.894590961,26.92861474,0.000344637,0.138004958,0.001837144,73.5004099,4.62744E-05,0.159762629,1.6924,0.896428105,0.000390912,0.297767587
5,0.859471212,27.3135056,0.000334996,0.138004958,0.000819649,73.11551903,4.67628E-05,0.49203127,1.6924,0.860290861,0.000381759,0.630036228
6,0.828533966,27.69839647,0.000325754,0.138004958,0.002430683,72.73062816,4.7259E-05,0.245358067,1.6924,0.830964649,0.000373013,0.383363025
7,0.796916234,28.08328734,0.000316888,0.138004958,0.001667562,72.34573729,4.77632E-05,0.517878379,1.6924,0.798583795,0.000364652,0.655883337
8,0.768103434,28.46817821,0.00030838,0.138004958,0.002798112,71.96084642,4.82755E-05,0.384606913,1.6924,0.770901546,0.000356656,0.522611871
9,0.737564522,28.85306908,0.00030021,0.138004958,0.00180888,71.57595555,4.8796E-05,0.707644743,1.6924,0.739373402,0.000349006,0.845649701
10,0.71104214,29.23795995,0.000292361,0.138004958,0.003674288,71.19106468,4.93251E-05,0.425496903,1.6924,0.714716429,0.000341686,0.563501862
11,0.683274966,29.62285082,0.000284815,0.138004958,0.004069981,70.80617382,4.98627E-05,0.458044631,1.6924,0.687344947,0.000334678,0.596049589
12,0.65552439,30.00774169,0.000277557,0.138004958,0.005398378,70.42128295,5.04093E-05,0.314295063,1.6924,0.660922767,0.000327967,0.452300021
13,0.628321522,30.39263256,0.000270574,0.138004958,0.003250332,70.03639208,5.09648E-05,0.8532055,1.6924,0.631571854,0.000321539,0.991210458
14,0.604985809,30.77752343,0.000263851,0.138004958,0.004776575,69.65150121,5.15296E-05,0.661079224,1.6924,0.609762384,0.00031538,0.799084182
15,0.583326418,31.1624143,0.000257375,0.138004958,0.006641983,69.26661034,5.21038E-05,0.427727335,1.6924,0.589968401,0.000309479,0.565732293
16,0.55750112,31.54730517,0.000251135,0.138004958,0.006528928,68.88171947,5.26877E-05,0.56444503,1.6924,0.564030048,0.000303822,0.702449988
17,0.536024298,31.93219603,0.000245118,0.138004958,0.006331082,68.4968286,5.32814E-05,0.718658,1.6924,0.54235538,0.0002984,0.856662958
18,0.516788103,32.3170869,0.000239316,0.138004958,0.006952884,68.11193773,5.38853E-05,0.724689075,1.6924,0.523740987,0.000293201,0.862694033
19,0.496174337,32.70197777,0.000233717,0.138004958,0.007829061,67.72704686,5.44994E-05,0.689448751,1.6924,0.504003398,0.000288217,0.82745371
20,0.477884184,33.08686864,0.000228312,0.138004958,0.008394336,67.34215599,5.51242E-05,0.712758841,1.6924,0.48627852,0.000283437,0.850763799
21,0.461386533,33.47175951,0.000223093,0.138004958,0.008931347,66.95726512,5.57597E-05,0.743647103,1.6924,0.47031788,0.000278853,0.881652061
22,0.442349505,33.85665038,0.000218051,0.138004958,0.010514118,66.57237425,5.64063E-05,0.606789267,1.6924,0.452863622,0.000274457,0.744794226
23,0.423959768,34.24154125,0.000213177,0.138004958,0.010061898,66.18748339,5.70642E-05,0.803961056,1.6924,0.434021666,0.000270241,0.941966014
24,0.408540937,34.62643212,0.000208465,0.138004958,0.010485854,65.80259252,5.77336E-05,0.860944152,1.6924,0.419026791,0.000266199,0.99894911
25,0.392176063,35.01132299,0.000203908,0.138719437,0.012238207,65.41770165,5.8415E-05,0.712441346,1.6924,0.40441427,0.000262323,0.851160784
26,0.377919039,35.39621386,0.000199499,0.113225133,0.012322998,65.03281078,5.91084E-05,0.827088131,1.6924,0.390242037,0.000258607,0.940313263
27,0.363313472,35.78110473,0.000195231,0.106499109,0.01308612,64.64791991,5.98143E-05,0.840595568,1.6924,0.376399592,0.000255045,0.947094677
28,0.348209988,36.16599559,0.000191098,0.122445227,0.014160142,64.26302904,6.05329E-05,0.812172513,1.6924,0.362370131,0.000251631,0.93461774
29,0.336293174,36.55088646,0.000187095,0.086496416,0.015827704,63.87813817,6.12645E-05,0.706311627,1.6924,0.352120878,0.00024836,0.792808042
30,0.322002954,36.93577733,0.000183217,0.111139239,0.016082078,63.4932473,6.20095E-05,0.802951488,1.6924,0.338085032,0.000245227,0.914090727
31,0.30834343,37.3206682,0.000179458,0.13573391,0.015629858,63.10835643,6.27681E-05,1,1.6924,0.323973288,0.000242226,1.13573391
32,0.29735606,37.70555907,0.000175814,0.113775176,0.017834431,62.72346556,6.35407E-05,0.833450627,1.6924,0.315190491,0.000239355,0.947225804
33,0.286053344,38.09044994,0.000172279,0.109507283,0.018795399,62.33857469,6.43277E-05,0.8431029,1.6924,0.304848742,0.000236607,0.952610183
34,0.273920765,38.47534081,0.00016885,0.13602181,0.019191091,61.95368383,6.51295E-05,0.929140734,1.6924,0.293111856,0.00023398,1.065162544
35,0.264742494,38.86023168,0.000165523,0.10336667,0.021084763,61.56879296,6.59462E-05,0.828575049,1.6924,0.285827257,0.000231469,0.931941719
36,0.252609915,39.24512255,0.000162292,0.153600932,0.021904412,61.18390209,6.67785E-05,0.867746382,1.6924,0.274514327,0.000229071,1.021347314
37,0.245074771,39.63001342,0.000159156,0.1,0.023119754,60.79901122,6.76266E-05,0.862860549,1.6924,0.268194524,0.000226782,0.962860549
38,0.234103998,40.01490429,0.000156109,0.142922064,0.025041689,60.41412035,6.8491E-05,0.781848245,1.6924,0.259145687,0.0002246,0.924770309
39,0.230535593,40.39979515,0.000153149,0.14,0.026483141,60.02922948,6.9372E-05,0.763242791,1.6924,0.257018733,0.000222521,0.903242791
40,0.215083567,40.78468602,0.000150273,0.187629607,0.026991888,59.64433861,7.02702E-05,0.85155096,1.6924,0.242075455,0.000220543,1.039180566
41,0.207100297,41.16957689,0.000147477,0.182925607,0.027698482,59.25944774,7.11859E-05,0.92050685,1.6924,0.234798779,0.000218662,1.103432457
42,0.197739457,41.55446776,0.000144758,0.22854686,0.030355275,58.87455687,7.21196E-05,0.78647509,1.6924,0.228094732,0.000216877,1.015021951
43,0.189042506,41.93935863,0.000142113,0.26611847,0.031061869,58.489666,7.30718E-05,0.862384968,1.6924,0.220104375,0.000215185,1.128503438
44,0.182387014,42.3242495,0.000139541,0.25065898,0.033718663,58.10477513,7.4043E-05,0.746938089,1.6924,0.216105677,0.000213584,0.997597069
45,0.17485187,42.70914037,0.000137037,0.272044654,0.034368729,57.71988427,7.50337E-05,0.834878979,1.6924,0.209220599,0.000212071,1.106923633
46,0.168744087,43.09403124,0.000134601,0.256000899,0.038495238,57.3349934,7.60444E-05,0.601612154,1.6924,0.207239325,0.000210645,0.857613053
47,0.161673665,43.47892211,0.000132228,0.280851,0.038043017,56.95010253,7.70757E-05,0.796043598,1.6924,0.199716683,0.000209304,1.076894598
48,0.153706992,43.86381298,0.000129918,0.347680956,0.040417173,56.56521166,7.81281E-05,0.738161721,1.6924,0.194124165,0.000208047,1.085842677
49,0.148694627,44.24870385,0.000127668,0.319094579,0.041943416,56.18032079,7.92022E-05,0.761623261,1.6924,0.190638043,0.000206871,1.080717839
50,0.143001776,44.63359472,0.000125476,0.322817345,0.047370057,55.79542992,8.02986E-05,0.468941599,1.6924,0.190371833,0.000205775,0.791758944
51,0.138703092,45.01848558,0.00012334,0.281610523,0.048726718,55.41053905,8.14179E-05,0.519823448,1.6924,0.18742981,0.000204758,0.801433971
52,0.131566281,45.40337645,0.000121258,0.357844033,0.0488963,55.02564818,8.25608E-05,0.666870594,1.6924,0.180462581,0.000203819,1.024714627
53,0.12598961,45.78826732,0.000119228,0.383243703,0.051863995,54.64075731,8.37279E-05,0.599661006,1.6924,0.177853605,0.000202956,0.98290471
54,0.120811273,46.17315819,0.000117249,0.401206238,0.053616348,54.25586644,8.49199E-05,0.631719093,1.6924,0.174427621,0.000202169,1.032925331
55,0.116844534,46.55804906,0.000115319,0.375629654,0.055396964,53.87097557,8.61376E-05,0.666005946,1.6924,0.172241498,0.000201456,1.0416356
56,0.110371612,46.94293993,0.000113436,0.467498107,0.058421187,53.4860847,8.73817E-05,0.615937818,1.6924,0.168792799,0.000200817,1.083435925
57,0.107433902,47.3278308,0.000111598,0.410279169,0.063028179,53.10119384,8.86529E-05,0.467248146,1.6924,0.17046208,0.000200251,0.877527314
58,0.102272161,47.71272167,0.000109805,0.4617263,0.064667477,52.71630297,8.9952E-05,0.527976295,1.6924,0.166939638,0.000199758,0.989702594
59,0.098023269,48.09761254,0.000108055,0.479249764,0.068370029,52.3314121,9.128E-05,0.45926727,1.6924,0.166393298,0.000199335,0.938517033
60,0.094338683,48.48250341,0.000106347,0.476749525,0.072072581,51.94652123,9.26375E-05,0.400574775,1.6924,0.166411265,0.000198984,0.8773243
61,0.089957013,48.86739428,0.000104678,0.51683645,0.07484243,51.56163036,9.40256E-05,0.407005247,1.6924,0.164799443,0.000198704,0.923841697
62,0.086587774,49.25228514,0.000103049,0.512679832,0.077838388,51.17673949,9.5445E-05,0.405998317,1.6924,0.164426162,0.000198494,0.918678149
63,0.08313555,49.63717601,0.000101457,0.519586328,0.081060456,50.79184862,9.68969E-05,0.398335766,1.6924,0.164196006,0.000198354,0.917922094
64,0.079998672,50.02206688,9.99018E-05,0.516027387,0.085582657,50.40695775,9.83821E-05,0.325457462,1.6924,0.16558133,0.000198284,0.841484849
65,0.075633599,50.40695775,9.83821E-05,0.589307581,0.087278483,50.02206688,9.99018E-05,0.415126911,1.6924,0.162912082,0.000198284,1.004434493
66,0.073027834,50.79184862,9.68969E-05,0.569301773,0.09199853,49.63717601,0.000101457,0.347407718,1.6924,0.165026364,0.000198354,0.91670949
67,0.068148247,51.17673949,9.5445E-05,0.693817567,0.096266358,49.25228514,0.000103049,0.313205953,1.6924,0.164414604,0.000198494,1.00702352
68,0.066372342,51.56163036,9.40256E-05,0.635718788,0.102088692,48.86739428,0.000104678,0.211212176,1.6924,0.168461034,0.000198704,0.846930964
69,0.061940881,51.94652123,9.26375E-05,0.75385711,0.103332297,48.48250341,0.000106347,0.340921517,1.6924,0.165273178,0.000198984,1.094778627
70,0.059750046,52.3314121,9.128E-05,0.734111607,0.109324214,48.09761254,0.000108055,0.248168554,1.6924,0.169074259,0.000199335,0.982280161
71,0.057542613,52.71630297,8.9952E-05,0.720653957,0.112489754,47.71272167,0.000109805,0.296458961,1.6924,0.170032368,0.000199758,1.017112918
72,0.055019834,53.10119384,8.86529E-05,0.734875977,0.117294593,47.3278308,0.000111598,0.276366419,1.6924,0.172314427,0.000200251,1.011242396
73,0.051517817,53.4860847,8.73817E-05,0.82797706,0.121477629,46.94293993,0.000113436,0.291573722,1.6924,0.172995446,0.000200817,1.119550782
74,0.049775107,53.87097557,8.61376E-05,0.798927558,0.128034821,46.55804906,0.000115319,0.213023569,1.6924,0.177809928,0.000201456,1.011951127
75,0.046538647,54.25586644,8.49199E-05,0.8910525,0.131454736,46.17315819,0.000117249,0.274898364,1.6924,0.177993382,0.000202169,1.165950864
76,0.045194271,54.64075731,8.37279E-05,0.841416906,0.137164015,45.78826732,0.000119228,0.249455503,1.6924,0.182358285,0.000202956,1.090872409
77,0.043152811,55.02564818,8.25608E-05,0.852549922,0.144597383,45.40337645,0.000121258,0.166205177,1.6924,0.187750194,0.000203819,1.018755099
78,0.040679823,55.41053905,8.14179E-05,0.906697476,0.150278398,45.01848558,0.00012334,0.161336302,1.6924,0.190958221,0.000204758,1.068033778
79,0.039318849,55.79542992,8.02986E-05,0.871988795,0.155337611,44.63359472,0.000125476,0.187496359,1.6924,0.19465646,0.000205775,1.059485155
80,0.036480722,56.18032079,7.92022E-05,0.974219802,0.160764252,44.24870385,0.000127668,0.207375972,1.6924,0.197244974,0.000206871,1.181595774
81,0.036331347,56.56521166,7.81281E-05,0.83840102,0.16864984,43.86381298,0.000129918,0.148656389,1.6924,0.204981188,0.000208047,0.987057409
82,0.033028497,56.95010253,7.70757E-05,1,0.17376558,43.47892211,0.000132228,0.195446624,1.6924,0.206794078,0.000209304,1.195446624
83,0.03223183,57.3349934,7.60444E-05,0.930397453,0.180718465,43.09403124,0.000134601,0.187601607,1.6924,0.212950295,0.000210645,1.117999059
84,0.030638496,57.71988427,7.50337E-05,0.942704823,0.190130296,42.70914037,0.000137037,0.109867943,1.6924,0.220768792,0.000212071,1.052572767
85,0.029626064,58.10477513,7.4043E-05,0.901200444,0.197281027,42.3242495,0.000139541,0.115751743,1.6924,0.226907091,0.000213584,1.016952187
86,0.027833563,58.489666,7.30718E-05,0.944571838,0.203583844,41.93935863,0.000142113,0.156242886,1.6924,0.231417407,0.000215185,1.100814724
87,0.026505784,58.87455687,7.21196E-05,0.945087519,0.21039541,41.55446776,0.000144758,0.188977003,1.6924,0.236901194,0.000216877,1.134064522
88,0.026389603,59.25944774,7.11859E-05,0.817952675,0.221503067,41.16957689,0.000147477,0.104978971,1.6924,0.24789267,0.000218662,0.922931646
89,0.023916615,59.64433861,7.02702E-05,0.953645812,0.231367118,40.78468602,0.000150273,0.070285573,1.6924,0.255283733,0.000220543,1.023931385
90,0.023634462,60.02922948,6.9372E-05,0.848542636,0.240976795,40.39979515,0.000153149,0.054139183,1.6924,0.264611258,0.000222521,0.902681818
91,0.021858558,60.41412035,6.8491E-05,0.91938024,0.249936407,40.01490429,0.000156109,0.065954788,1.6924,0.271794965,0.0002246,0.985335027
92,0.021045294,60.79901122,6.76266E-05,0.881990904,0.259998304,39.63001342,0.000159156,0.058974297,1.6924,0.281043598,0.000226782,0.940965202
93,0.020580571,61.18390209,6.67785E-05,0.805041719,0.272575676,39.24512255,0.000162292,0,1.6924,0.293156247,0.000229071,0.805041719
94,0.018406334,61.56879296,6.59462E-05,0.944739256,0.280856957,38.86023168,0.000165523,0.058997071,1.6924,0.299263291,0.000231469,1.003736327
