i690,ii690
57637,2319
55368,2350
53274,2312
51363,2321
49296,2299
47358,2309
45485,2323
43536,2315
41780,2299
40045,2293
38548,2325
36918,2286
35546,2294
33974,2271
32689,2276
31275,2297
30034,2279
28879,2280
27743,2281
26491,2260
25553,2283
24454,2261
23512,2245
22469,2265
21615,2256
20708,2300
19890,2246
18999,2277
18283,2274
17545,2281
16803,2218
16228,2231
15545,2287
14871,2249
14366,2274
13670,2278
13153,2283
12715,2264
12439,2320
11690,2266
11138,2279
10869,2277
10409,2288
9947,2314
9606,2278
9286,2280
8870,2275
8592,2307
8265,2353
8003,2347
7712,2328
7447,2341
7172,2345
6966,2357
6752,2372
6480,2388
6234,2407
6112,2393
5886,2453
5665,2417
5531,2473
5312,2482
5159,2491
5002,2487
4829,2493
4684,2541
4565,2560
4420,2623
4310,2613
4189,2619
4052,2686
3977,2676
3828,2695
3752,2757
3645,2815
3573,2812
3469,2861
3326,2875
3331,2994
3224,3012
3160,3041
3087,3098
3011,3119
2952,3176
2864,3261
2835,3305
2797,3362
2726,3460
2655,3526
2631,3594
2565,3664
2512,3709
2508,3858
2449,3951
2425,4038
2374,4156
2322,4245
2288,4435
2286,4513
2223,4676
2205,4785
2175,4966
2089,5202
2090,5361
2056,5544
2075,5799
2027,6059
1989,6274
1977,6553
1981,6814
1915,7199
1867,7517
1862,7833
1878,8289
1846,8583
1827,9096
1794,9608
1808,10098
1740,10670
1782,11300
1739,11891
1743,12609
1708,13322
1699,14096
1681,14887
1683,15682
1638,16597
1638,17586
,
i690,ii690
57158,5720
55294,5722
53645,5716
52247,5760
50375,5725
48712,5743
47178,5768
45685,5801
44222,5837
42864,5792
41598,5871
40133,5915
38977,5906
37873,5967
36828,5975
35683,5972
34602,6027
33667,6046
32740,6073
31840,6043
30936,6146
30122,6166
29236,6155
28447,6218
27584,6261
26897,6252
26136,6272
25301,6312
24661,6346
23979,6401
23201,6385
22609,6431
21846,6460
21158,6494
20754,6492
19994,6493
19449,6544
18926,6509
18814,6725
17698,6636
17228,6645
16757,6712
16328,6695
15893,6750
15409,6838
15041,6832
14670,6942
14352,7025
14028,6993
13686,7082
13335,7175
13116,7248
12836,7318
12623,7455
12326,7499
12110,7592
11885,7688
11771,7759
11471,7861
11299,7823
11143,8050
10935,8146
10798,8220
10705,8280
10530,8411
10339,8532
10182,8596
10081,8672
9912,8825
9777,8958
9614,9065
9546,9167
9417,9336
9252,9437
9087,9545
9046,9702
8903,9822
8794,9972
8702,10134
8613,10305
8483,10417
8374,10549
8267,10810
8225,10994
8089,11237
7978,11447
7871,11513
7722,11719
7769,12037
7644,12379
7544,12475
7451,12698
7375,13002
7317,13244
7219,13536
7162,13878
7043,14203
6995,14602
6995,15021
6852,15242
6859,15598
6719,15976
6706,16418
6603,16862
6659,17300
6534,17745
6493,18295
6504,18853
6393,19350
6323,19936
6327,20690
6240,21242
6241,21846
6185,22541
6145,23255
6090,24041
6086,24854
5974,25779
5979,26752
5951,27671
5892,28680
5889,29803
5863,30936
5894,32184
5749,33438
5766,34606
5727,35966
5714,37181
