pixel,reflectance1,reflectance2
,1,1.7522E-05
,0.959886286,0
,0.924324607,0.000420529
,0.888152502,0.001454329
,0.852329212,0.002172732
,0.818232555,0.001752203
,0.784763765,0.002540695
,0.754538954,0.001944946
,0.724087413,0.004065112
,0.693496346,0.004713427
,0.667003854,0.00431042
,0.639307951,0.005063868
,0.614297923,0.005782271
,0.588276331,0.005904925
,0.566039381,0.006588285
,0.543157124,0.007657129
,0.522454959,0.008060136
,0.504892129,0.009356766
,0.485567783,0.010408088
,0.465981827,0.011056403
,0.449465441,0.0113718
,0.431867729,0.011757285
,0.418647645,0.01335179
,0.401730122,0.013684709
,0.387917052,0.015033905
,0.374226067,0.01568222
,0.36283726,0.017224159
,0.348378883,0.017837431
,0.337896995,0.0196422
,0.325391981,0.021482014
,0.315171704,0.021832454
,0.301986501,0.023374393
,0.290527931,0.024338105
,0.282051729,0.025494559
,0.271918656,0.026983932
,0.263459895,0.028403217
,0.2523327,0.028823746
,0.246402846,0.032258065
,0.236618588,0.033817526
,0.228822575,0.035727427
,0.221340496,0.037024058
,0.214137468,0.038583519
,0.206114725,0.040861383
,0.199469801,0.042420844
,0.193086489,0.043437122
,0.185761376,0.046678698
,0.179814082,0.04867621
,0.173797025,0.051304515
,0.16900082,0.05384521
,0.1643267,0.056578648
,0.159164239,0.059049254
,0.153391353,0.061221987
,0.148577707,0.063569939
,0.143572213,0.065409753
,0.139822453,0.068668851
,0.135828523,0.071752729
,0.131171844,0.0754674
,0.126794217,0.079094461
,0.122102656,0.08149498
,0.119242374,0.085945577
,0.116260007,0.08864397
,0.111446361,0.091710326
,0.108115179,0.095144644
,0.104313096,0.100313644
,0.101609781,0.102801773
,0.097877461,0.107795553
,0.096046183,0.111440136
,0.09269756,0.116100997
,0.089348937,0.119027177
,0.085355006,0.123109811
,0.08404695,0.128944648
,0.080942498,0.133412767
,0.077576434,0.138809553
,0.074768474,0.143014841
,0.071786107,0.14842915
,0.069919947,0.154088767
,0.067094546,0.159625729
,0.064286586,0.165565699
,0.062385545,0.171155228
,0.059612467,0.17737555
,0.057624222,0.183455696
,0.054258158,0.190657251
,0.05267105,0.197806241
,0.051293231,0.204201784
,0.048991053,0.213523506
,0.047700438,0.221881516
,0.045101767,0.228855286
,0.042869351,0.237476126
,0.041718262,0.248059435
,0.039293999,0.256347357
,0.037706891,0.264337404
,0.036555802,0.274412574
,0.035387272,0.284662964
,0.03299789,0.295474059
,0.032038649,0.308230099
,0.03020737,0.318585621
,0.028899315,0.332585727
,0.027783107,0.345516988
,0.02574254,0.354505791
,0.025254199,0.371326944
,0.024992588,0.384065462
,0.023143869,0.398748927
,0.022027661,0.415272205
,0.021277709,0.429324876
,0.018905768,0.447092218
,0.0168652,0.461915859
,0.017632593,0.480173819
,0.016324537,0.498782219
,0.015278093,0.518932558
,0.014249089,0.5408351
,0.013045677,0.558427222
,0.011807384,0.579979324
,0.011284162,0.601671602
,0.010167954,0.622943351
,0.00959241,0.647596853
,0.009034306,0.672092657
,0.007115824,0.697359429
,0.006889094,0.723134341
,0.006104261,0.753377372
,0.006435635,0.783480226
,0.004098575,0.809745755
,0.003575353,0.83795623
,0.002877723,0.872229328
,0.001970804,0.90187661
,0.001935923,0.933819278
,0,0.967549193
,0.000819715,1
,0.000819715,1
