pixel,reflectance1,reflectance2,absorption1,absorption2
1,1,1.7522E-05,,
2,0.959886286,0,,
3,0.924324607,0.000420529,,
4,0.888152502,0.001454329,,
5,0.852329212,0.002172732,,
6,0.818232555,0.001752203,,
7,0.784763765,0.002540695,,
8,0.754538954,0.001944946,,
9,0.724087413,0.004065112,,
10,0.693496346,0.004713427,,
11,0.667003854,0.00431042,,
12,0.639307951,0.005063868,,
13,0.614297923,0.005782271,,
14,0.588276331,0.005904925,,
15,0.566039381,0.006588285,,
16,0.543157124,0.007657129,,
17,0.522454959,0.008060136,,
18,0.504892129,0.009356766,,
19,0.485567783,0.010408088,,
20,0.465981827,0.011056403,,
21,0.449465441,0.0113718,,
22,0.431867729,0.011757285,,
23,0.418647645,0.01335179,,
24,0.401730122,0.013684709,,
25,0.387917052,0.015033905,,
26,0.374226067,0.01568222,,
27,0.36283726,0.017224159,,
28,0.348378883,0.017837431,,
29,0.337896995,0.0196422,,
30,0.325391981,0.021482014,,
31,0.315171704,0.021832454,,
32,0.301986501,0.023374393,,
33,0.290527931,0.024338105,,
34,0.282051729,0.025494559,,
35,0.271918656,0.026983932,,
36,0.263459895,0.028403217,,
37,0.2523327,0.028823746,,
38,0.246402846,0.032258065,,
39,0.236618588,0.033817526,,
40,0.228822575,0.035727427,,
41,0.221340496,0.037024058,,
42,0.214137468,0.038583519,,
43,0.206114725,0.040861383,,
44,0.199469801,0.042420844,,
45,0.193086489,0.043437122,,
46,0.185761376,0.046678698,,
47,0.179814082,0.04867621,,
48,0.173797025,0.051304515,,
49,0.16900082,0.05384521,,
50,0.1643267,0.056578648,,
51,0.159164239,0.059049254,,
52,0.153391353,0.061221987,,
53,0.148577707,0.063569939,,
54,0.143572213,0.065409753,,
55,0.139822453,0.068668851,,
56,0.135828523,0.071752729,,
57,0.131171844,0.0754674,,
58,0.126794217,0.079094461,,
59,0.122102656,0.08149498,,
60,0.119242374,0.085945577,,
61,0.116260007,0.08864397,,
62,0.111446361,0.091710326,,
63,0.108115179,0.095144644,,
64,0.104313096,0.100313644,,
65,0.101609781,0.102801773,,
66,0.097877461,0.107795553,,
67,0.096046183,0.111440136,,
68,0.09269756,0.116100997,,
69,0.089348937,0.119027177,,
70,0.085355006,0.123109811,,
71,0.08404695,0.128944648,,
72,0.080942498,0.133412767,,
73,0.077576434,0.138809553,,
74,0.074768474,0.143014841,,
75,0.071786107,0.14842915,,
76,0.069919947,0.154088767,,
77,0.067094546,0.159625729,,
78,0.064286586,0.165565699,,
79,0.062385545,0.171155228,,
80,0.059612467,0.17737555,,
81,0.057624222,0.183455696,,
82,0.054258158,0.190657251,,
83,0.05267105,0.197806241,,
84,0.051293231,0.204201784,,
85,0.048991053,0.213523506,,
86,0.047700438,0.221881516,,
87,0.045101767,0.228855286,,
88,0.042869351,0.237476126,,
89,0.041718262,0.248059435,,
90,0.039293999,0.256347357,,
91,0.037706891,0.264337404,,
92,0.036555802,0.274412574,,
93,0.035387272,0.284662964,,
94,0.03299789,0.295474059,,
95,0.032038649,0.308230099,,
96,0.03020737,0.318585621,,
97,0.028899315,0.332585727,,
98,0.027783107,0.345516988,,
99,0.02574254,0.354505791,,
100,0.025254199,0.371326944,,
101,0.024992588,0.384065462,,
102,0.023143869,0.398748927,,
103,0.022027661,0.415272205,,
104,0.021277709,0.429324876,,
105,0.018905768,0.447092218,,
106,0.0168652,0.461915859,,
107,0.017632593,0.480173819,,
108,0.016324537,0.498782219,,
109,0.015278093,0.518932558,,
110,0.014249089,0.5408351,,
111,0.013045677,0.558427222,,
112,0.011807384,0.579979324,,
113,0.011284162,0.601671602,,
114,0.010167954,0.622943351,,
115,0.00959241,0.647596853,,
116,0.009034306,0.672092657,,
117,0.007115824,0.697359429,,
118,0.006889094,0.723134341,,
119,0.006104261,0.753377372,,
120,0.006435635,0.783480226,,
121,0.004098575,0.809745755,,
122,0.003575353,0.83795623,,
123,0.002877723,0.872229328,,
124,0.001970804,0.90187661,,
125,0.001935923,0.933819278,,
126,0,0.967549193,,
127,0.000819715,1,,
128,0.000819715,1,,
