pixel,reflectance1,reflectance2,absorption1,absorption2
1,4.86241E-05,6.40214E-07,,
2,4.67151E-05,6.3962E-07,,
3,4.50227E-05,6.53886E-07,,
4,4.33013E-05,6.88958E-07,,
5,4.15965E-05,7.1333E-07,,
6,3.99738E-05,6.99064E-07,,
7,3.8381E-05,7.25814E-07,,
8,3.69426E-05,7.05603E-07,,
9,3.54935E-05,7.7753E-07,,
10,3.40376E-05,7.99524E-07,,
11,3.27769E-05,7.85852E-07,,
12,3.14588E-05,8.11413E-07,,
13,3.02686E-05,8.35785E-07,,
14,2.90302E-05,8.39946E-07,,
15,2.7972E-05,8.6313E-07,,
16,2.6883E-05,8.99391E-07,,
17,2.58978E-05,9.13063E-07,,
18,2.5062E-05,9.57052E-07,,
19,2.41423E-05,9.92718E-07,,
20,2.32102E-05,1.01471E-06,,
21,2.24242E-05,1.02541E-06,,
22,2.15867E-05,1.03849E-06,,
23,2.09576E-05,1.09258E-06,,
24,2.01525E-05,1.10388E-06,,
25,1.94951E-05,1.14965E-06,,
26,1.88436E-05,1.17165E-06,,
27,1.83016E-05,1.22396E-06,,
28,1.76135E-05,1.24476E-06,,
29,1.71147E-05,1.30599E-06,,
30,1.65196E-05,1.36841E-06,,
31,1.60332E-05,1.38029E-06,,
32,1.54057E-05,1.43261E-06,,
33,1.48604E-05,1.4653E-06,,
34,1.4457E-05,1.50453E-06,,
35,1.39748E-05,1.55506E-06,,
36,1.35722E-05,1.60321E-06,,
37,1.30427E-05,1.61748E-06,,
38,1.27605E-05,1.73399E-06,,
39,1.22948E-05,1.78689E-06,,
40,1.19238E-05,1.85169E-06,,
41,1.15678E-05,1.89568E-06,,
42,1.1225E-05,1.94858E-06,,
43,1.08432E-05,2.02586E-06,,
44,1.05269E-05,2.07876E-06,,
45,1.02232E-05,2.11324E-06,,
46,9.87456E-06,2.22321E-06,,
47,9.59152E-06,2.29098E-06,,
48,9.30517E-06,2.38015E-06,,
49,9.07692E-06,2.46634E-06,,
50,8.85448E-06,2.55907E-06,,
51,8.6088E-06,2.64289E-06,,
52,8.33407E-06,2.7166E-06,,
53,8.10499E-06,2.79625E-06,,
54,7.86678E-06,2.85867E-06,,
55,7.68833E-06,2.96924E-06,,
56,7.49825E-06,3.07386E-06,,
57,7.27664E-06,3.19988E-06,,
58,7.06831E-06,3.32293E-06,,
59,6.84504E-06,3.40437E-06,,
60,6.70892E-06,3.55536E-06,,
61,6.56699E-06,3.6469E-06,,
62,6.33791E-06,3.75093E-06,,
63,6.17938E-06,3.86744E-06,,
64,5.99844E-06,4.0428E-06,,
65,5.86979E-06,4.12721E-06,,
66,5.69217E-06,4.29663E-06,,
67,5.60502E-06,4.42027E-06,,
68,5.44566E-06,4.57839E-06,,
69,5.28629E-06,4.67766E-06,,
70,5.09622E-06,4.81617E-06,,
71,5.03397E-06,5.01412E-06,,
72,4.88623E-06,5.1657E-06,,
73,4.72604E-06,5.34879E-06,,
74,4.59241E-06,5.49145E-06,,
75,4.45048E-06,5.67514E-06,,
76,4.36167E-06,5.86714E-06,,
77,4.22721E-06,6.05499E-06,,
78,4.09358E-06,6.2565E-06,,
79,4.00311E-06,6.44613E-06,,
80,3.87114E-06,6.65716E-06,,
81,3.77652E-06,6.86343E-06,,
82,3.61633E-06,7.10774E-06,,
83,3.5408E-06,7.35027E-06,,
84,3.47523E-06,7.56725E-06,,
85,3.36567E-06,7.88349E-06,,
86,3.30425E-06,8.16704E-06,,
87,3.18057E-06,8.40363E-06,,
88,3.07433E-06,8.69609E-06,,
89,3.01955E-06,9.05513E-06,,
90,2.90418E-06,9.33631E-06,,
91,2.82865E-06,9.60737E-06,,
92,2.77387E-06,9.94918E-06,,
93,2.71826E-06,1.02969E-05,,
94,2.60455E-06,1.06637E-05,,
95,2.5589E-06,1.10964E-05,,
96,2.47175E-06,1.14478E-05,,
97,2.4095E-06,1.19227E-05,,
98,2.35638E-06,1.23614E-05,,
99,2.25927E-06,1.26664E-05,,
100,2.23603E-06,1.3237E-05,,
101,2.22358E-06,1.36692E-05,,
102,2.1356E-06,1.41673E-05,,
103,2.08248E-06,1.47279E-05,,
104,2.04679E-06,1.52046E-05,,
105,1.93391E-06,1.58074E-05,,
106,1.8368E-06,1.63103E-05,,
107,1.87332E-06,1.69297E-05,,
108,1.81107E-06,1.7561E-05,,
109,1.76127E-06,1.82446E-05,,
110,1.7123E-06,1.89877E-05,,
111,1.65503E-06,1.95845E-05,,
112,1.5961E-06,2.03156E-05,,
113,1.5712E-06,2.10516E-05,,
114,1.51808E-06,2.17732E-05,,
115,1.49069E-06,2.26096E-05,,
116,1.46413E-06,2.34406E-05,,
117,1.37283E-06,2.42978E-05,,
118,1.36204E-06,2.51722E-05,,
119,1.32469E-06,2.61982E-05,,
120,1.34046E-06,2.72195E-05,,
121,1.22924E-06,2.81106E-05,,
122,1.20434E-06,2.90676E-05,,
123,1.17114E-06,3.02303E-05,,
124,1.12798E-06,3.12361E-05,,
125,1.12632E-06,3.23198E-05,,
126,1.03418E-06,3.34641E-05,,
127,1.07319E-06,3.4565E-05,,
128,1.07319E-06,3.4565E-05,,
