i690,i750,i800,i850,ii690,ii750,ii800,ii850,Ambient,a690,aa690,patient 13-slice4-unhealthy
57678,58264,57866,48048,3465,3664,3635,3414,3379,0.1574,0.2255,
55625,56241,55718,46299,3458,3700,3645,3435,3402,0.1574,0.1835,
53507,54388,53577,44621,3459,3685,3655,3431,3394,0.1574,0.3714,
51777,52657,51405,43005,3468,3730,3715,3444,3400,0.1574,0.2808,
49608,50482,49428,41081,3518,3780,3701,3477,3421,0.1574,0.3691,
47745,48592,47450,39315,3495,3721,3713,3457,3429,0.1574,0.0938,
46157,46762,45546,37806,3512,3761,3751,3496,3396,0.1574,0.1598,
44228,45028,43620,36195,3514,3797,3758,3466,3414,0.1574,0.0648,
42504,43100,41873,34678,3569,3786,3789,3481,3380,0.1574,0.2632,
40959,41496,40202,33118,3539,3757,3746,3486,3396,0.1574,0.0815,
39432,40175,38565,31859,3543,3807,3759,3492,3410,0.1574,0.3474,
37862,38325,37030,30340,3561,3874,3813,3495,3413,0.1574,0.2546,
36458,36790,35448,29098,3557,3864,3764,3534,3429,0.1574,0.626,
35142,35394,34142,27898,3579,3892,3809,3501,3443,0.1574,0.0673,
33791,34102,32681,26629,3566,3882,3858,3532,3387,0.1574,0.1139,
32419,32766,31297,25644,3611,3924,3823,3553,3464,0.1574,0.5732,
31221,31488,30063,24496,3609,3938,3838,3566,3435,0.1574,0.1077,
30117,30362,28810,23563,3640,3939,3926,3571,3457,0.1574,0.5756,
28994,29219,27637,22614,3654,4003,3892,3560,3472,0.1574,0.0564,
27962,28165,26644,21684,3641,4025,3941,3529,3446,0.1574,0.7718,
27020,27168,25686,20815,3685,4024,3958,3562,3450,0.1574,0.776,
25893,26067,24528,19933,3647,4022,3949,3609,3424,0.1574,0,
24967,25082,23570,19187,3649,4027,3950,3585,3468,0.1574,0.1686,
24093,24130,22675,18478,3692,4060,3994,3560,3468,0.1574,0.6762,
23255,23222,21835,17669,3657,4076,4007,3614,3482,0.1574,0.3032,
22413,22475,20925,17007,3701,4136,4061,3615,3452,0.1574,0.2441,
21606,21566,20138,16355,3713,4180,4065,3618,3469,0.1574,0.7302,
20827,20760,19381,15668,3706,4177,4082,3650,3487,0.1574,0.2333,
20168,20181,18667,15225,3746,4202,4093,3637,3484,0.1574,0.0564,
19507,19536,17974,14663,3713,4213,4165,3646,3457,0.1574,0.6713,
18791,18708,17315,14024,3698,4254,4167,3651,3461,0.1574,0.9313,
18129,18090,16600,13544,3749,4299,4167,3680,3457,0.1574,0.5176,
17434,17589,16086,13057,3798,4351,4162,3715,3475,0.1574,0.7593,
16896,16874,15563,12614,3826,4359,4210,3655,3495,0.1574,1,
16465,16432,14970,12260,3813,4400,4272,3712,3472,0.1574,0.9435,
15843,15726,14453,11735,3820,4420,4318,3745,3488,0.1574,0.1312,
15410,15415,14054,11383,3837,4498,4319,3730,3513,0.1574,0.7212,
14876,14870,13505,11032,3894,4500,4396,3803,3500,0.1574,0.2201,
14758,14483,13207,10870,3930,4632,4497,3816,3557,0.1574,0.9044,
