pixel,reflectance1,reflectance2,absorption1,absorption2,side,mm
1,3.44E-05,1.87E-07,0.199227878,0.526974364,0,patient 10
2,3.44E-05,2.01E-07,0.199227878,0.466424634,0,
3,3.22E-05,1.89E-07,0.199227878,0.639055486,0,
4,3.02E-05,1.61E-07,0.199227878,1,0,
5,2.89E-05,2.03E-07,0.199227878,0.648401331,0,
6,2.77E-05,2.22E-07,0.199227878,0.552936329,0,
7,2.65E-05,2.09E-07,0.199227878,0.732813894,0,
8,2.53E-05,2.34E-07,0.199227878,0.598795686,0,
9,2.42E-05,2.70E-07,0.199227878,0.403090328,0,
10,2.30E-05,2.50E-07,0.199227878,0.615922392,0,
11,2.19E-05,2.48E-07,0.199227878,0.698773868,0,
12,2.10E-05,2.86E-07,0.199227878,0.505377013,0,
13,2.01E-05,3.06E-07,0.199227878,0.444497541,0,
14,1.91E-05,3.01E-07,0.199227878,0.550066811,0,
15,1.83E-05,3.27E-07,0.199227878,0.463861764,0,
16,1.75E-05,3.49E-07,0.199227878,0.410101532,0,
17,1.66E-05,3.65E-07,0.199227878,0.395987443,0,
18,1.59E-05,3.52E-07,0.199227878,0.540538488,0,
19,1.51E-05,3.62E-07,0.199227878,0.560926414,0,
20,1.45E-05,4.02E-07,0.199227878,0.427007783,0,
21,1.39E-05,4.31E-07,0.199227878,0.367562725,0,
22,1.31E-05,3.82E-07,0.199227878,0.684373969,0,
23,1.26E-05,4.28E-07,0.199227878,0.534471432,0,
24,1.20E-05,4.64E-07,0.199227878,0.44589615,0,
25,1.15E-05,4.75E-07,0.199227878,0.477531228,0,
26,1.10E-05,5.05E-07,0.199227878,0.428643462,0,
27,1.04E-05,5.05E-07,0.199227878,0.50775165,0,
28,9.95E-06,5.45E-07,0.199227878,0.431196746,0,
29,9.54E-06,5.50E-07,0.199227878,0.4912243,0,
30,9.11E-06,5.76E-07,0.199227878,0.475921315,0,
31,8.66E-06,5.80E-07,0.199227878,0.54392336,0,
32,8.34E-06,6.13E-07,0.199227878,0.510044637,0,
33,7.90E-06,6.38E-07,0.199227878,0.507456182,0,
34,7.58E-06,6.73E-07,0.199227878,0.476422854,0,
35,7.25E-06,6.94E-07,0.199227878,0.495822836,0,
36,6.91E-06,6.87E-07,0.199227878,0.602956675,0,
37,6.61E-06,7.99E-07,0.168076785,0.358320203,0,
38,6.28E-06,7.50E-07,0.200585637,0.585684492,0,
39,6.08E-06,8.35E-07,0.073055813,0.434217712,0,
40,5.68E-06,8.51E-07,0.249088169,0.479746957,0,
41,5.47E-06,9.24E-07,0.171546013,0.384983146,0,
42,5.25E-06,9.41E-07,0.134978003,0.431581107,0,
43,4.99E-06,9.66E-07,0.162329108,0.463517057,0,
44,4.75E-06,1.05E-06,0.182151257,0.371998639,0,
45,4.51E-06,1.08E-06,0.232023304,0.392173444,0,
46,4.35E-06,1.11E-06,0.155420284,0.414978514,0,
47,4.18E-06,1.21E-06,0.095615434,0.305423475,0,
48,3.94E-06,1.21E-06,0.214244437,0.401946367,0,
49,3.79E-06,1.29E-06,0.158071595,0.340808646,0,
50,3.60E-06,1.35E-06,0.199362718,0.338311369,0,
51,3.45E-06,1.39E-06,0.17240709,0.364911803,0,
52,3.29E-06,1.46E-06,0.185935729,0.346641233,0,
53,3.11E-06,1.49E-06,0.270112483,0.381807744,0,
54,3.04E-06,1.59E-06,0.105175285,0.335101049,0,
55,2.85E-06,1.67E-06,0.252920742,0.301889293,0,
56,2.71E-06,1.69E-06,0.304523306,0.377857022,0,
57,2.62E-06,1.80E-06,0.218392859,0.326356941,0,
58,2.49E-06,1.89E-06,0.283314085,0.300623917,0,
59,2.39E-06,1.94E-06,0.254810752,0.334523328,0,
60,2.27E-06,2.05E-06,0.28547868,0.301405578,0,
