intensity,uaa,left,right
1539,0.1264,60032,65108
1539,0,57772,64706
1533,0.3734,55644,59862
1573,0.0488,53651,58095
1577,0.397,51504,55892
1593,0.1378,49600,53976
1603,0.4256,47631,52187
1623,0.2846,45718,50362
1592,0.6316,43924,48566
1641,0.3291,42097,46774
1655,0.3644,40467,45253
1686,0.2124,38804,43621
1645,0.7958,37206,42116
1704,0.5862,35806,40650
1728,0.3352,34390,39310
1763,0.4835,32936,37852
1743,0.6532,31616,36556
1762,0.6613,30466,35376
1789,0.624,29240,34115
1814,0.6512,28023,32882
1821,0.6871,26925,31821
1879,0.5378,25753,30653
1863,0.7579,24724,29672
1882,0.8238,23795,28679
1953,0.6599,22775,27631
1947,0.7902,21882,26824
1985,0.8078,20983,25888
2015,0.7781,20159,24905
2053,0.6617,19380,24143
2087,0.7728,18617,23497
2126,1,17812,22487
2142,0.8128,17156,21887
2177,0.8266,16390,21190
2208,0.9281,15761,20416
2258,0.8162,15172,19831
2303,0.8643,14537,19259
2318,0.8621,14093,18628
2402,0.7727,13424,18093
2449,0.7549,13297,17901
2483,0.86,12329,16967
2490,0.9438,11914,16435
2588,0.7927,11498,15892
2615,0.8846,10976,15478
2723,0.7552,10690,14942
2753,0.8614,10279,14566
2849,0.5966,9838,14088
2838,0.8254,9535,13723
2956,0.7628,9226,13215
3022,0.7949,8865,12975
3175,0.462,8552,12620
3217,0.5248,8245,12227
3255,0.6998,8001,11897
3364,0.6269,7705,11501
3443,0.6696,7488,11210
3483,0.7154,7224,10909
3592,0.6626,7058,10595
3728,0.4952,6758,10287
3823,0.5717,6589,10065
3950,0.4977,6407,9752
4055,0.4356,6183,9523
4176,0.4493,6036,9214
4263,0.4547,5841,8959
4407,0.4525,5713,8795
4523,0.3742,5536,8513
4618,0.4865,5400,8284
4745,0.4143,5236,8053
4914,0.3817,5150,7813
5122,0.2698,4947,7635
5185,0.4303,4816,7413
5390,0.3291,4681,7228
5511,0.3948,4605,7026
5660,0.3799,4516,6836
5822,0.4073,4408,6653
6031,0.3232,4283,6495
6189,0.407,4236,6347
6380,0.3867,4068,6171
6621,0.2974,4058,5997
6846,0.3023,3953,5813
7008,0.3449,3866,5680
7234,0.3806,3772,5514
7471,0.3215,3695,5401
7703,0.3909,3643,5264
7892,0.3943,3576,5088
8240,0.3127,3473,4977
8490,0.3336,3473,4897
8732,0.3977,3341,4723
8979,0.4533,3276,4588
9333,0.3647,3242,4518
9705,0.3376,3214,4415
10047,0.3339,3200,4366
10365,0.3656,3129,4191
10723,0.3745,3058,4114
