intensity,ua,left,right,ctr
62114,0.2654,60032,65108,62114
59827,0.2654,57772,64706,59827
57844,0.2654,55644,59862,57844
55736,0.2654,53651,58095,55736
53660,0.2654,51504,55892,53660
51755,0.2654,49600,53976,51755
49887,0.2654,47631,52187,49887
48131,0.2654,45718,50362,48131
46295,0.2654,43924,48566,46295
44680,0.2654,42097,46774,44680
43007,0.2654,40467,45253,43007
41319,0.2654,38804,43621,41319
39715,0.2654,37206,42116,39715
38314,0.2654,35806,40650,38314
36967,0.2654,34390,39310,36967
35450,0.2654,32936,37852,35450
34143,0.2654,31616,36556,34143
32981,0.2654,30466,35376,32981
31735,0.2654,29240,34115,31735
30638,0.2654,28023,32882,30638
29632,0.2654,26925,31821,29632
28487,0.2654,25753,30653,28487
27379,0.2654,24724,29672,27379
26454,0.2654,23795,28679,26454
25477,0.2654,22775,27631,25477
24609,0.2654,21882,26824,24609
23740,0.2654,20983,25888,23740
22822,0.2654,20159,24905,22822
22083,0.4807,19380,24143,22083
21247,0.4905,18617,23497,21247
20479,0.5008,17812,22487,20479
19755,0.4572,17156,21887,19755
19075,0.4351,16390,21190,19075
18361,0.4492,15761,20416,18361
17791,0.3957,15172,19831,17791
17076,0.4381,14537,19259,17076
16594,0.3612,14093,18628,16594
15949,0.3969,13424,18093,15949
15730,0.2221,13297,17901,15730
14815,0.4207,12329,16967,14815
14316,0.4025,11914,16435,14316
13756,0.4416,11498,15892,13756
13234,0.472,10976,15478,13234
12847,0.4428,10690,14942,12847
12400,0.4556,10279,14566,12400
11982,0.4268,9838,14088,11982
11561,0.444,9535,13723,11561
11115,0.5083,9226,13215,11115
10825,0.4665,8865,12975,10825
10443,0.4611,8552,12620,10443
10178,0.4066,8245,12227,10178
9780,0.4817,8001,11897,9780
9448,0.501,7705,11501,9448
9153,0.5124,7488,11210,9153
8891,0.4762,7224,10909,8891
8503,0.5691,7058,10595,8503
8299,0.4988,6758,10287,8299
8025,0.5476,6589,10065,8025
7765,0.5595,6407,9752,7765
7517,0.5498,6183,9523,7517
7276,0.5866,6036,9214,7276
7054,0.5755,5841,8959,7054
6876,0.5767,5713,8795,6876
6643,0.5667,5536,8513,6643
6415,0.64,5400,8284,6415
6218,0.6125,5236,8053,6218
5942,0.7416,5150,7813,5942
5837,0.673,4947,7635,5837
5589,0.7955,4816,7413,5589
5450,0.7686,4681,7228,5450
5326,0.7487,4605,7026,5326
5153,0.759,4516,6836,5153
4956,0.8547,4408,6653,4956
4828,0.8183,4283,6495,4828
4670,0.9132,4236,6347,4670
4578,0.8548,4068,6171,4578
4433,0.8623,4058,5997,4433
