intensity,750,800,850,ua,left,right,ctr
62114,62670,60711,60525,0.2654,60032,65108,62114
59827,60250,58493,58663,0.2654,57772,64706,59827
57844,58269,56349,56790,0.2654,55644,59862,57844
55736,56540,54466,55076,0.2654,53651,58095,55736
53660,54368,52587,52926,0.2654,51504,55892,53660
51755,52299,50558,50967,0.2654,49600,53976,51755
49887,50448,48893,49138,0.2654,47631,52187,49887
48131,48578,46900,47238,0.2654,45718,50362,48131
46295,46804,45247,45370,0.2654,43924,48566,46295
44680,44986,43567,43789,0.2654,42097,46774,44680
43007,43362,41920,42259,0.2654,40467,45253,43007
41319,41678,40349,40523,0.2654,38804,43621,41319
39715,39979,38924,39050,0.2654,37206,42116,39715
38314,38508,37403,37422,0.2654,35806,40650,38314
36967,37148,36067,36053,0.2654,34390,39310,36967
35450,35676,34611,34792,0.2654,32936,37852,35450
34143,34333,33250,33482,0.2654,31616,36556,34143
32981,33192,32123,32316,0.2654,30466,35376,32981
31735,31860,30788,31111,0.2654,29240,34115,31735
30638,30676,29805,29834,0.2654,28023,32882,30638
29632,29661,28671,28817,0.2654,26925,31821,29632
28487,28560,27645,27707,0.2654,25753,30653,28487
27379,27438,26507,26625,0.2654,24724,29672,27379
26454,26451,25646,25716,0.2654,23795,28679,26454
25477,25432,24680,24755,0.2654,22775,27631,25477
24609,24545,23740,23889,0.2654,21882,26824,24609
23740,23617,22868,23041,0.2654,20983,25888,23740
22822,22803,21982,22166,0.2654,20159,24905,22822
22083,22033,21312,21530,0.4807,19380,24143,22083
21247,21247,20503,20698,0.4905,18617,23497,21247
20479,20423,19756,19980,0.5008,17812,22487,20479
19755,19675,19117,19210,0.4572,17156,21887,19755
19075,18908,18391,18462,0.4351,16390,21190,19075
18361,18233,17728,17786,0.4492,15761,20416,18361
17791,17712,17084,17310,0.3957,15172,19831,17791
17076,17014,16507,16543,0.4381,14537,19259,17076
16594,16444,16068,16063,0.3612,14093,18628,16594
15949,15810,15310,15533,0.3969,13424,18093,15949
15730,15468,14939,15237,0.2221,13297,17901,15730
14815,14621,14236,14342,0.4207,12329,16967,14815
14316,14107,13809,13738,0.4025,11914,16435,14316
13756,13526,13297,13263,0.4416,11498,15892,13756
13234,13141,12796,12859,0.472,10976,15478,13234
12847,12651,12427,12396,0.4428,10690,14942,12847
12400,12234,11962,11968,0.4556,10279,14566,12400
11982,11793,11629,11555,0.4268,9838,14088,11982
11561,11427,11234,11140,0.444,9535,13723,11561
11115,11022,10767,10784,0.5083,9226,13215,11115
10825,10658,10462,10428,0.4665,8865,12975,10825
10443,10275,10112,10110,0.4611,8552,12620,10443
10178,9942,9821,9785,0.4066,8245,12227,10178
9780,9603,9502,9428,0.4817,8001,11897,9780
9448,9248,9169,9178,0.501,7705,11501,9448
9153,8969,8876,8861,0.5124,7488,11210,9153
8891,8671,8488,8541,0.4762,7224,10909,8891
8503,8374,8323,8245,0.5691,7058,10595,8503
8299,8110,8021,7976,0.4988,6758,10287,8299
8025,7814,7752,7742,0.5476,6589,10065,8025
7765,7577,7474,7496,0.5595,6407,9752,7765
7517,7295,7242,7262,0.5498,6183,9523,7517
7276,7086,7051,6989,0.5866,6036,9214,7276
7054,6857,6791,6798,0.5755,5841,8959,7054
6876,6660,6616,6611,0.5767,5713,8795,6876
6643,6369,6450,6337,0.5667,5536,8513,6643
6415,6181,6228,6162,0.64,5400,8284,6415
6218,5996,6023,5919,0.6125,5236,8053,6218
5942,5789,5813,5776,0.7416,5150,7813,5942
5837,5643,5658,5537,0.673,4947,7635,5837
5589,5429,5410,5410,0.7955,4816,7413,5589
5450,5278,5269,5244,0.7686,4681,7228,5450
5326,5105,5137,5072,0.7487,4605,7026,5326
5153,4932,5017,4934,0.759,4516,6836,5153
4956,4802,4831,4814,0.8547,4408,6653,4956
4828,4669,4674,4641,0.8183,4283,6495,4828
4670,4512,4541,4524,0.9132,4236,6347,4670
4578,4403,4464,4387,0.8548,4068,6171,4578
4433,4248,4273,4297,0.8623,4058,5997,4433
4308,4141,4199,4142,0.9162,3953,5813,4308
4209,4003,4091,4052,0.8745,3866,5680,4209
4072,3890,3981,3889,0.9805,3772,5514,4072
4021,3793,3860,3804,0.8305,3695,5401,4021
3873,3693,3762,3733,1,3643,5264,3873
3768,3595,3645,3592,0.9212,3576,5088,3768
3687,3564,3612,3573,0.9307,3473,4977,3687
3623,3446,3523,3497,0.8828,3473,4897,3623
3534,3392,3443,3391,0.9255,3341,4723,3534
3460,3273,3317,3333,0.9227,3276,4588,3460
3414,3187,3267,3236,0.7851,3242,4518,3414
3288,3159,3169,3154,0.9254,3214,4415,3288
3273,3086,3175,3132,0.8114,3200,4366,3273
3167,2996,3077,3034,0.8832,3129,4191,3167
3120,2947,3002,3002,0.8411,3058,4114,3120
3069,2878,2978,2888,0.7581,3011,3971,3069
2957,2824,2874,2834,0.9017,2929,3895,2957
2940,2807,2841,2799,0.8044,2902,3803,2940
2883,2729,2744,2738,0.7865,2868,3710,2883
2805,2651,2725,2729,0.7958,2832,3617,2805
2825,2624,2660,2671,0.6717,2835,3555,2825
2738,2576,2673,2633,0.728,2778,3493,2738
2696,2549,2575,2548,0.7529,2695,3344,2696
2648,2484,2530,2505,0.6415,2642,3305,2648
2614,2474,2494,2468,0.6685,2674,3233,2614
