intensity,750,800,850,ua,left,right,ctr
1.06E-04,,,,0.00415,0.00010562,0.00011253,1.06E-04
1.02E-04,,,,0.00415,0.00010154,0.00011185,1.02E-04
9.87E-05,,,,0.00415,9.80E-05,0.00010331,9.87E-05
9.51E-05,,,,0.00415,9.43E-05,0.0001002,9.51E-05
9.14E-05,,,,0.00415,9.06E-05,9.63E-05,9.14E-05
8.82E-05,,,,0.00415,8.70E-05,9.30E-05,8.82E-05
8.49E-05,,,,0.00415,8.35E-05,8.98E-05,8.49E-05
8.19E-05,,,,0.00415,8.02E-05,8.66E-05,8.19E-05
7.87E-05,,,,0.00415,7.68E-05,8.34E-05,7.87E-05
7.59E-05,,,,0.00415,7.37E-05,8.04E-05,7.59E-05
7.30E-05,,,,0.00415,7.08E-05,7.77E-05,7.30E-05
7.01E-05,,,,0.00415,6.78E-05,7.48E-05,7.01E-05
6.72E-05,,,,0.00415,6.49E-05,7.22E-05,6.72E-05
6.48E-05,,,,0.00415,6.22E-05,6.96E-05,6.48E-05
6.25E-05,,,,0.00415,5.97E-05,6.73E-05,6.25E-05
5.98E-05,,,,0.00415,5.71E-05,6.47E-05,5.98E-05
5.76E-05,,,,0.00415,5.50E-05,6.24E-05,5.76E-05
5.56E-05,,,,0.00415,5.26E-05,6.04E-05,5.56E-05
5.34E-05,,,,0.00415,5.05E-05,5.81E-05,5.34E-05
5.15E-05,,,,0.00415,4.83E-05,5.60E-05,5.15E-05
4.98E-05,,,,0.00415,4.65E-05,5.41E-05,4.98E-05
4.78E-05,,,,0.00415,4.44E-05,5.21E-05,4.78E-05
4.59E-05,,,,0.00415,4.25E-05,5.03E-05,4.59E-05
4.43E-05,,,,0.00415,4.08E-05,4.85E-05,4.43E-05
4.26E-05,,,,0.00415,3.91E-05,4.67E-05,4.26E-05
4.11E-05,,,,0.00415,3.74E-05,4.53E-05,4.11E-05
3.95E-05,,,,0.00415,3.60E-05,4.37E-05,3.95E-05
3.80E-05,,,,0.00415,3.43E-05,4.19E-05,3.80E-05
3.67E-05,,,,0.0043668,3.31E-05,4.06E-05,3.67E-05
3.52E-05,,,,0.0043767,3.17E-05,3.95E-05,3.52E-05
3.38E-05,,,,0.004387,3.01E-05,3.77E-05,3.38E-05
3.26E-05,,,,0.0043431,2.89E-05,3.67E-05,3.26E-05
3.15E-05,,,,0.0043209,2.75E-05,3.55E-05,3.15E-05
3.02E-05,,,,0.0043351,2.64E-05,3.40E-05,3.02E-05
