intensity,ua,intenL
62114,0.2654,60084
59827,0.2654,57757
57844,0.2654,55771
55736,0.2654,53691
53660,0.2654,51637
51755,0.2654,49609
49887,0.2654,47660
48131,0.2654,45848
46295,0.2654,43911
44680,0.2654,42163
43007,0.2654,40600
41319,0.2654,38929
39715,0.2654,37254
38314,0.2654,35812
36967,0.2654,34367
35450,0.2654,32903
34143,0.2654,31743
32981,0.2654,30418
31735,0.2654,29145
30638,0.2654,27976
29632,0.2654,27010
28487,0.2654,25830
27379,0.2654,24772
26454,0.2654,23842
25477,0.2654,22814
24609,0.2654,21874
23740,0.2654,21087
22822,0.2654,20171
22083,0.4807,19518
21247,0.4905,18675
20479,0.5008,17818
19755,0.4572,17131
19075,0.4351,16369
18361,0.4492,15781
17791,0.3957,15183
17076,0.4381,14571
16594,0.3612,14042
15949,0.3969,13496
15730,0.2221,13220
14815,0.4207,12367
14316,0.4025,11961
13756,0.4416,11466
13234,0.472,11011
12847,0.4428,10680
12400,0.4556,10241
11982,0.4268,9824
11561,0.444,9584
11115,0.5083,9144
10825,0.4665,8885
10443,0.4611,8529
10178,0.4066,8199
9780,0.4817,7993
9448,0.501,7750
9153,0.5124,7466
8891,0.4762,7248
8503,0.5691,7022
8299,0.4988,6832
8025,0.5476,6590
7765,0.5595,6386
7517,0.5498,6182
7276,0.5866,6020
7054,0.5755,5865
6876,0.5767,5675
6643,0.5667,5557
6415,0.64,5410
6218,0.6125,5282
5942,0.7416,5094
5837,0.673,4998
5589,0.7955,4862
5450,0.7686,4747
5326,0.7487,4591
5153,0.759,4477
4956,0.8547,4358
4828,0.8183,4332
4670,0.9132,4196
4578,0.8548,4166
4433,0.8623,4015
4308,0.9162,3971
4209,0.8745,3881
4072,0.9805,3788
4021,0.8305,3710
3873,1,3611
3768,0.9212,3576
3687,0.9307,3586
3623,0.8828,3454
3534,0.9255,3368
3460,0.9227,3312
3414,0.7851,3246
3288,0.9254,3190
3273,0.8114,3125
3167,0.8832,3115
3120,0.8411,3073
3069,0.7581,3006
2957,0.9017,2969
2940,0.8044,2931
2883,0.7865,2892
2805,0.7958,2814
2825,0.6717,2785
2738,0.728,2791
2696,0.7529,2682
2648,0.6415,2679
2614,0.6685,2638
2555,0.6626,2628
2533,0.6007,2599
2491,0.5804,2513
2474,0.5792,2496
2413,0.5169,2481
2411,0.3694,2444
2364,0.4867,2417
2301,0.5049,2357
2294,0.4926,2366
2308,0.28,2329
2215,0.388,2300
2208,0.441,2258
2175,0.3791,2227
2169,0.2113,2182
2135,0.3015,2180
2113,0.2331,2142
2083,0.2736,2175
2064,0.1927,2107
2046,0.1583,2081
2013,0.1066,2056
2006,0.0988,2052
1932,0.1476,2022
1964,0.0139,1977
1922,0.0533,1989
1924,0,1947
1864,0.1556,1940
