i690,i750,i800,i850,ua,intenL
62114,62670,60711,60525,0.2654,60084
59827,60250,58493,58663,0.2654,57757
57844,58269,56349,56790,0.2654,55771
55736,56540,54466,55076,0.2654,53691
53660,54368,52587,52926,0.2654,51637
51755,52299,50558,50967,0.2654,49609
49887,50448,48893,49138,0.2654,47660
48131,48578,46900,47238,0.2654,45848
46295,46804,45247,45370,0.2654,43911
44680,44986,43567,43789,0.2654,42163
43007,43362,41920,42259,0.2654,40600
41319,41678,40349,40523,0.2654,38929
39715,39979,38924,39050,0.2654,37254
38314,38508,37403,37422,0.2654,35812
36967,37148,36067,36053,0.2654,34367
35450,35676,34611,34792,0.2654,32903
34143,34333,33250,33482,0.2654,31743
32981,33192,32123,32316,0.2654,30418
31735,31860,30788,31111,0.2654,29145
30638,30676,29805,29834,0.2654,27976
29632,29661,28671,28817,0.2654,27010
28487,28560,27645,27707,0.2654,25830
27379,27438,26507,26625,0.2654,24772
26454,26451,25646,25716,0.2654,23842
25477,25432,24680,24755,0.2654,22814
24609,24545,23740,23889,0.2654,21874
23740,23617,22868,23041,0.2654,21087
22822,22803,21982,22166,0.2654,20171
22083,22033,21312,21530,0.4807,19518
21247,21247,20503,20698,0.4905,18675
20479,20423,19756,19980,0.5008,17818
19755,19675,19117,19210,0.4572,17131
19075,18908,18391,18462,0.4351,16369
18361,18233,17728,17786,0.4492,15781
17791,17712,17084,17310,0.3957,15183
17076,17014,16507,16543,0.4381,14571
16594,16444,16068,16063,0.3612,14042
15949,15810,15310,15533,0.3969,13496
15730,15468,14939,15237,0.2221,13220
14815,14621,14236,14342,0.4207,12367
14316,14107,13809,13738,0.4025,11961
13756,13526,13297,13263,0.4416,11466
13234,13141,12796,12859,0.472,11011
12847,12651,12427,12396,0.4428,10680
12400,12234,11962,11968,0.4556,10241
11982,11793,11629,11555,0.4268,9824
11561,11427,11234,11140,0.444,9584
11115,11022,10767,10784,0.5083,9144
10825,10658,10462,10428,0.4665,8885
10443,10275,10112,10110,0.4611,8529
10178,9942,9821,9785,0.4066,8199
9780,9603,9502,9428,0.4817,7993
9448,9248,9169,9178,0.501,7750
9153,8969,8876,8861,0.5124,7466
8891,8671,8488,8541,0.4762,7248
8503,8374,8323,8245,0.5691,7022
8299,8110,8021,7976,0.4988,6832
8025,7814,7752,7742,0.5476,6590
7765,7577,7474,7496,0.5595,6386
7517,7295,7242,7262,0.5498,6182
7276,7086,7051,6989,0.5866,6020
7054,6857,6791,6798,0.5755,5865
6876,6660,6616,6611,0.5767,5675
6643,6369,6450,6337,0.5667,5557
6415,6181,6228,6162,0.64,5410
6218,5996,6023,5919,0.6125,5282
5942,5789,5813,5776,0.7416,5094
5837,5643,5658,5537,0.673,4998
5589,5429,5410,5410,0.7955,4862
5450,5278,5269,5244,0.7686,4747
5326,5105,5137,5072,0.7487,4591
5153,4932,5017,4934,0.759,4477
4956,4802,4831,4814,0.8547,4358
4828,4669,4674,4641,0.8183,4332
4670,4512,4541,4524,0.9132,4196
4578,4403,4464,4387,0.8548,4166
4433,4248,4273,4297,0.8623,4015
4308,4141,4199,4142,0.9162,3971
4209,4003,4091,4052,0.8745,3881
4072,3890,3981,3889,0.9805,3788
4021,3793,3860,3804,0.8305,3710
3873,3693,3762,3733,1,3611
3768,3595,3645,3592,0.9212,3576
3687,3564,3612,3573,0.9307,3586
3623,3446,3523,3497,0.8828,3454
3534,3392,3443,3391,0.9255,3368
3460,3273,3317,3333,0.9227,3312
3414,3187,3267,3236,0.7851,3246
3288,3159,3169,3154,0.9254,3190
3273,3086,3175,3132,0.8114,3125
3167,2996,3077,3034,0.8832,3115
3120,2947,3002,3002,0.8411,3073
3069,2878,2978,2888,0.7581,3006
2957,2824,2874,2834,0.9017,2969
2940,2807,2841,2799,0.8044,2931
2883,2729,2744,2738,0.7865,2892
2805,2651,2725,2729,0.7958,2814
2825,2624,2660,2671,0.6717,2785
2738,2576,2673,2633,0.728,2791
2696,2549,2575,2548,0.7529,2682
2648,2484,2530,2505,0.6415,2679
2614,2474,2494,2468,0.6685,2638
2555,2402,2493,2422,0.6626,2628
2533,2316,2485,2422,0.6007,2599
2491,2311,2364,2363,0.5804,2513
2474,2340,2347,2318,0.5792,2496
2413,2275,2323,2293,0.5169,2481
2411,2244,2283,2271,0.3694,2444
2364,2233,2235,2249,0.4867,2417
2301,2173,2237,2172,0.5049,2357
2294,2138,2211,2178,0.4926,2366
2308,2119,2204,2161,0.28,2329
2215,2085,2176,2125,0.388,2300
2208,2095,2139,2096,0.441,2258
2175,2028,2091,2058,0.3791,2227
2169,2011,2083,2031,0.2113,2182
2135,2013,2024,2002,0.3015,2180
2113,1950,2021,1990,0.2331,2142
2083,1949,2020,1997,0.2736,2175
2064,1888,1967,1925,0.1927,2107
2046,1898,1947,1899,0.1583,2081
2013,1938,1946,1889,0.1066,2056
2006,1880,1924,1855,0.0988,2052
1932,1831,1898,1873,0.1476,2022
1964,1852,1876,1848,0.0139,1977
1922,1791,1856,1785,0.0533,1989
1924,1813,1823,1791,0,1947
1864,1737,1811,1812,0.1556,1940
