intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,64701,60827,64045,61263,59331,61529,64386,60470
59827,0.2654,61159,58588,60951,58865,57087,58909,61680,58171
57844,0.2654,58489,56512,58557,56693,54945,56611,58748,56099
55736,0.2654,56327,54618,56736,54646,52983,54659,56888,54197
53660,0.2654,54021,52510,54423,52526,50615,52420,54758,52082
51755,0.2654,51915,50554,52435,50410,48644,50327,52901,50155
49887,0.2654,49820,48780,50479,48350,46683,48408,51031,48326
48131,0.2654,47790,46813,48703,46644,44824,46541,49247,46522
46295,0.2654,45754,45000,46725,44621,42990,44580,47618,44711
44680,0.2654,43940,43291,45090,42958,41340,42706,45858,43016
43007,0.2654,42151,41628,43196,41296,39650,41072,44209,41422
41319,0.2654,40466,40083,41688,39603,38029,39364,42685,39934
39715,0.2654,38673,38447,40051,38070,36486,37811,41192,38301
38314,0.2654,36992,37048,38503,36624,34908,36294,39802,36690
36967,0.2654,35545,35602,37126,35090,33681,34834,38384,35272
35450,0.2654,34021,34180,35648,33716,32291,33338,36966,33907
34143,0.2654,32419,32895,34263,32439,31083,32111,35558,32528
32981,0.2654,31167,31656,32885,31243,29971,30812,34403,31333
31735,0.2654,29818,30651,31661,29971,28824,29590,32893,30237
30638,0.2654,28591,29267,30440,28673,27720,28357,31796,28945
29632,0.2654,27460,28365,29230,27699,26734,27449,30644,27927
28487,0.2654,26271,27208,28118,26459,25745,26110,29415,26782
27379,0.2654,25206,26196,26986,25500,24768,25196,28337,25724
26454,0.2654,24124,25191,26008,24491,23912,24298,27248,24747
25477,0.2654,23018,24246,25052,23542,22979,23363,26199,23830
24609,0.2654,22170,23429,24127,22663,22203,22503,25213,22893
23740,0.2654,21256,22567,23174,21815,21411,21517,24167,22097
22822,0.2654,20472,21770,22392,21038,20624,20771,23348,21217
22083,0.4807,19696,20950,21618,20308,19989,20011,22476,20445
21247,0.4905,18911,20292,20806,19581,19334,19366,21751,19743
20479,0.5008,18076,19416,19950,18861,18628,18563,20917,18951
19755,0.4572,17444,18745,19290,18177,17973,17896,20111,18254
19075,0.4351,16718,18123,18572,17441,17315,17223,19264,17591
18361,0.4492,16081,17430,17804,16916,16793,16668,18520,16919
17791,0.3957,15498,16744,17299,16376,16257,16227,18044,16442
17076,0.4381,14882,16109,16678,15800,15669,15581,17283,15813
16594,0.3612,14360,15669,16147,15201,15202,15111,16804,15253
15949,0.3969,13761,15055,15614,14707,14700,14544,16184,14773
15730,0.2221,13585,14907,15419,14647,14548,14320,15929,14608
14815,0.4207,12705,13942,14521,13740,13613,13550,15054,13753
14316,0.4025,12259,13447,14066,13292,13288,13109,14601,13243
13756,0.4416,11801,12958,13523,12850,12747,12725,13990,12864
13234,0.472,11304,12498,13198,12436,12315,12339,13534,12529
12847,0.4428,10919,12118,12627,12052,11987,11917,13098,12080
12400,0.4556,10528,11675,12331,11671,11612,11537,12732,11658
11982,0.4268,10154,11276,11949,11293,11237,11209,12263,11259
11561,0.444,9815,10836,11544,10897,10857,10848,11899,10882
11115,0.5083,9389,10477,11167,10557,10506,10550,11494,10620
10825,0.4665,9065,10104,10899,10292,10221,10273,11186,10318
10443,0.4611,8784,9773,10495,9935,9951,9947,10859,10021
10178,0.4066,8495,9443,10123,9663,9704,9702,10513,9641
9780,0.4817,8187,9088,9891,9394,9326,9496,10201,9458
9448,0.501,7912,8795,9549,9121,9120,9130,9869,9182
9153,0.5124,7639,8547,9281,8864,8831,8887,9580,8913
8891,0.4762,7389,8205,8987,8538,8649,8655,9312,8683
8503,0.5691,7164,7980,8711,8313,8387,8409,9068,8402
8299,0.4988,6933,7773,8463,8032,8209,8213,8741,8138
8025,0.5476,6721,7413,8204,7794,7957,8036,8511,7951
7765,0.5595,6585,7266,7972,7532,7700,7792,8316,7724
7517,0.5498,6329,7086,7735,7391,7524,7606,8072,7544
7276,0.5866,6184,6839,7529,7208,7355,7364,7852,7311
7054,0.5755,6012,6641,7302,6949,7153,7253,7653,7110
6876,0.5767,5848,6465,7155,6822,7050,7078,7536,6924
6643,0.5667,5718,6340,6927,6604,6853,6858,7276,6740
6415,0.64,5594,6138,6722,6467,6644,6689,7073,6610
6218,0.6125,5431,6011,6497,6358,6569,6512,6924,6414
5942,0.7416,5348,5829,6363,6144,6384,6348,6693,6296
5837,0.673,5224,5725,6227,6009,6190,6201,6529,6145
5589,0.7955,5075,5550,6060,5882,6019,6084,6442,6000
5450,0.7686,5004,5430,5928,5710,5935,5953,6244,5841
5326,0.7487,4873,5310,5798,5597,5808,5840,6131,5677
5153,0.759,4827,5170,5640,5479,5675,5655,5951,5559
4956,0.8547,4759,5078,5527,5347,5535,5510,5852,5418
4828,0.8183,4643,4975,5392,5271,5444,5422,5660,5319
4670,0.9132,4575,4843,5314,5095,5321,5354,5561,5187
4578,0.8548,4452,4792,5157,5093,5193,5154,5429,5065
4433,0.8623,4391,4654,5020,4905,5056,5060,5306,4942
4308,0.9162,4311,4612,4925,4874,4987,4964,5182,4865
4209,0.8745,4260,4535,4901,4715,4867,4814,5092,4748
4072,0.9805,4181,4429,4785,4680,4772,4804,4979,4657
4021,0.8305,4124,4377,4651,4563,4655,4671,4879,4525
3873,1,4080,4321,4579,4468,4611,4559,4809,4490
3768,0.9212,4023,4241,4520,4455,4531,4503,4666,4396
3687,0.9307,3965,4191,4424,4316,4387,4443,4590,4308
3623,0.8828,3892,4103,4403,4272,4344,4348,4547,4268
3534,0.9255,3801,4038,4289,4170,4275,4262,4439,4226
3460,0.9227,3721,3994,4211,4090,4218,4209,4323,4107
3414,0.7851,3747,3906,4133,4061,4131,4145,4247,4058
3288,0.9254,3673,3869,4172,3995,4064,4020,4230,3988
3273,0.8114,3669,3812,4103,3942,4054,4038,4145,3930
3167,0.8832,3557,3742,4029,3880,3968,3930,4069,3871
3120,0.8411,3569,3693,3948,3821,3861,3861,3968,3783
3069,0.7581,3511,3642,3955,3789,3834,3807,3963,3761
2957,0.9017,3430,3576,3855,3710,3805,3770,3917,3707
2940,0.8044,3400,3536,3821,3658,3745,3674,3816,3652
2883,0.7865,3416,3493,3791,3657,3716,3644,3794,3580
2805,0.7958,3297,3497,3703,3567,3613,3595,3715,3522
2825,0.6717,3318,3459,3710,3568,3630,3595,3701,3541
2738,0.728,3274,3405,3670,3518,3611,3508,3666,3444
2696,0.7529,3279,3380,3606,3464,3499,3405,3611,3374
2648,0.6415,3208,3359,3573,3457,3523,3398,3567,3337
2614,0.6685,3167,3305,3565,3394,3457,3385,3512,3298
2555,0.6626,3172,3211,3489,3407,3459,3347,3483,3268
2533,0.6007,3146,3193,3478,3430,3429,3307,3449,3235
2491,0.5804,3089,3199,3459,3291,3377,3314,3387,3218
2474,0.5792,3071,3150,3384,3324,3350,3212,3413,3166
2413,0.5169,3089,3158,3412,3272,3339,3189,3388,3137
2411,0.3694,3022,3126,3362,3274,3344,3217,3334,3133
2364,0.4867,3013,3048,3348,3251,3333,3162,3309,3088
2301,0.5049,2977,3098,3249,3217,3276,3129,3274,3065
2294,0.4926,2972,3042,3297,3215,3290,3110,3279,3044
2308,0.28,2975,3037,3244,3206,3249,3121,3199,2990
2215,0.388,2923,3010,3246,3143,3234,3069,3230,3002
2208,0.441,2927,3004,3231,3174,3201,3059,3155,2979
2175,0.3791,2866,3030,3231,3123,3178,3047,3152,2957
2169,0.2113,2883,2994,3206,3137,3162,2969,3110,2935
2135,0.3015,2846,2933,3235,3149,3181,2967,3133,2879
2113,0.2331,2860,2912,3141,3080,3169,2996,3125,2871
2083,0.2736,2833,2967,3128,3095,3128,2925,3052,2893
2064,0.1927,2821,2898,3149,3072,3152,2955,3071,2853
2046,0.1583,2845,2888,3162,3093,3098,2910,3022,2828
2013,0.1066,2757,2895,3090,3073,3087,2924,3060,2868
2006,0.0988,2761,2861,3110,3062,3113,2882,3038,2798
1932,0.1476,2781,2910,3105,2998,3120,2900,2977,2765
1964,0.0139,2784,2915,3089,2998,3075,2884,2953,2840
1922,0.0533,2731,2861,3040,2990,3098,2860,2973,2780
1924,0,2756,2843,3049,3000,3076,2817,2948,2746
1864,0.1556,2695,2821,3082,3006,3048,2842,2918,2755
60084,0.1023,,,,,,,,
57757,0.0788,,,,,,,,
55771,0.0437,,,,,,,,
53691,0.0235,,,,,,,,
51637,0.0113,,,,,,,,
49609,0.0067,,,,,,,,
47660,0.0032,,,,,,,,
45848,0,,,,,,,,
43911,0.0105,,,,,,,,
42163,0.0142,,,,,,,,
40600,0.012,,,,,,,,
38929,0.0259,,,,,,,,
37254,0.0442,,,,,,,,
35812,0.0521,,,,,,,,
34367,0.0627,,,,,,,,
32903,0.083,,,,,,,,
31743,0.0806,,,,,,,,
30418,0.1042,,,,,,,,
29145,0.1182,,,,,,,,
27976,0.1422,,,,,,,,
27010,0.1426,,,,,,,,
25830,0.1745,,,,,,,,
24772,0.1954,,,,,,,,
23842,0.2102,,,,,,,,
22814,0.2339,,,,,,,,
21874,0.2597,,,,,,,,
21087,0.2662,,,,,,,,
20171,0.3064,,,,,,,,
19518,0.3036,,,,,,,,
18675,0.3307,,,,,,,,
17818,0.374,,,,,,,,
17131,0.3964,,,,,,,,
16369,0.4362,,,,,,,,
15781,0.4517,,,,,,,,
15183,0.46,,,,,,,,
14571,0.4917,,,,,,,,
14042,0.511,,,,,,,,
13496,0.5332,,,,,,,,
13220,0.5003,,,,,,,,
12367,0.6131,,,,,,,,
11961,0.6179,,,,,,,,
11466,0.6452,,,,,,,,
11011,0.6796,,,,,,,,
10680,0.6806,,,,,,,,
10241,0.7153,,,,,,,,
