intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,62288,58651,58378,57678,60942,60903,57637,57158,60967
59827,0.2654,59234,56428,55973,55625,58535,58523,55368,55061,58293
57844,0.2654,56921,54160,53970,53507,56575,56450,53274,53006,55928
55736,0.2654,54827,52100,52034,51777,54736,54608,51363,51005,53935
53660,0.2654,52526,49928,49870,49608,52691,52578,49296,48926,51657
51755,0.2654,50451,47846,47751,47745,50827,50641,47358,47098,49534
49887,0.2654,48449,45889,45842,46157,49051,48781,45485,45286,47744
48131,0.2654,46402,44048,43845,44228,47421,46963,43536,43364,45851
46295,0.2654,44423,42120,42018,42504,45485,45093,41780,41685,43841
44680,0.2654,42478,40398,40235,40959,43812,43371,40045,39971,42164
43007,0.2654,40869,38906,38622,39432,42419,41748,38548,38483,40535
41319,0.2654,39127,37327,36953,37862,40726,40147,36918,36939,38908
39715,0.2654,37438,35720,35358,36458,39290,38531,35546,35524,37194
38314,0.2654,35922,34184,33852,35142,37871,37033,33974,34270,36001
36967,0.2654,34453,33039,32455,33791,36508,35603,32689,33089,34402
35450,0.2654,33015,31771,31101,32419,35113,34098,31275,31584,33095
34143,0.2654,31539,30477,29680,31221,33859,32775,30034,30481,31724
32981,0.2654,30391,29322,28585,30117,32782,31550,28879,29314,30553
31735,0.2654,29159,28294,27327,28994,31672,30297,27743,28193,29358
30638,0.2654,27983,27324,26138,27962,30501,29150,26491,27170,28232
29632,0.2654,27001,26308,25202,27020,29467,28092,25553,26195,27172
28487,0.2654,25771,25326,24147,25893,28441,26953,24454,25058,26051
27379,0.2654,24814,24538,23158,24967,27494,25819,23512,24158,25202
26454,0.2654,23737,23663,22238,24093,26459,24784,22469,23203,24214
25477,0.2654,22883,22894,21429,23255,25603,23882,21615,22233,23356
24609,0.2654,22004,22175,20573,22413,24785,22973,20708,21403,22428
23740,0.2654,21164,21389,19867,21606,23981,21975,19890,20521,21550
22822,0.2654,20345,20746,19182,20827,23144,21224,18999,19781,20740
22083,0.4807,19695,20203,18416,20168,22453,20348,18283,19028,20168
21247,0.4905,19016,19570,17861,19507,21719,19659,17545,18344,19477
20479,0.5008,18240,18887,17239,18791,20947,18777,16803,17464,18555
19755,0.4572,17563,18402,16705,18129,20302,18113,16228,16958,18019
19075,0.4351,16882,17823,16202,17434,19652,17406,15545,16199,17328
18361,0.4492,16247,17190,15581,16896,18910,16662,14871,15531,16683
17791,0.3957,15810,16976,15325,16465,18457,16204,14366,15118,16238
17076,0.4381,15216,16308,14668,15843,17820,15518,13670,14478,15523
16594,0.3612,14797,15900,14286,15410,17257,14961,13153,13900,15111
15949,0.3969,14162,15559,13939,14876,16758,14355,12715,13435,14642
15730,0.2221,14055,15329,13837,14758,16527,14194,12439,13155,14466
14815,0.4207,13183,14616,13183,13953,15629,13263,11690,12390,13605
14316,0.4025,12797,14276,12745,13556,15145,12769,11138,11880,13066
13756,0.4416,12349,13832,12475,13179,14698,12326,10869,11454,12701
13234,0.472,11939,13491,12114,12795,14199,11885,10409,11085,12367
12847,0.4428,11567,13215,11879,12435,13704,11474,9947,10681,11991
12400,0.4556,11201,12884,11621,12036,13372,11055,9606,10343,11568
11982,0.4268,10764,12474,11287,11756,12906,10638,9286,9878,11243
11561,0.444,10527,12279,11099,11389,12514,10316,8870,9566,10892
11115,0.5083,10244,11996,10772,11081,12119,9941,8592,9257,10499
10825,0.4665,9923,11755,10623,10884,11798,9649,8265,8921,10263
10443,0.4611,9620,11498,10398,10589,11511,9292,8003,8605,9977
10178,0.4066,9319,11243,10152,10326,11158,9060,7712,8405,9653
9780,0.4817,9086,10971,9920,10111,10787,8803,7447,8128,9430
9448,0.501,8811,10808,9698,9924,10521,8481,7172,7806,9124
9153,0.5124,8671,10524,9578,9689,10218,8282,6966,7580,8957
