intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9
62114,0.2654,,,63953,60939,63725,,59212,64120,64095
59827,0.2654,,,61806,58481,60551,,57289,64127,64251
57844,0.2654,,,58201,56267,57606,,55298,59272,60492
55736,0.2654,,,56222,54210,55560,,53668,57208,57730
53660,0.2654,,,53990,51917,53144,,51619,55053,55767
51755,0.2654,,,52133,49925,51151,,49871,53143,53909
49887,0.2654,,,50344,47849,49286,,48181,51347,52266
48131,0.2654,,,48600,45935,47240,,46513,49561,50463
46295,0.2654,,,46763,43972,45252,,44636,47773,48666
44680,0.2654,,,45007,42084,43478,,43079,46014,46975
43007,0.2654,,,43545,40358,41747,,41409,44531,45566
41319,0.2654,,,41703,38509,40038,,39911,42828,43955
39715,0.2654,,,40258,36984,38338,,38521,41204,42330
38314,0.2654,,,38672,35306,36752,,37097,39884,40963
36967,0.2654,,,37397,33871,35380,,35888,38454,39516
35450,0.2654,,,35909,32383,33838,,34407,37097,38142
34143,0.2654,,,34622,30956,32537,,33227,35701,36748
32981,0.2654,,,33359,29752,31218,,31885,34481,35566
31735,0.2654,,,32121,28459,29967,,30947,33327,34373
30638,0.2654,,,30937,27225,28703,,29804,32232,33169
29632,0.2654,,,29931,26209,27645,,28790,31183,32052
28487,0.2654,,,28704,25012,26438,,27638,29957,30848
27379,0.2654,,,27666,23986,25389,,26615,29037,29804
26454,0.2654,,,26634,23006,24412,,25639,28085,28719
25477,0.2654,,,25534,22011,23442,,24784,27041,27625
24609,0.2654,,,24714,21082,22558,,23982,26168,26894
23740,0.2654,,,23667,20295,21599,,23158,25233,25763
22822,0.2654,,,22834,19446,20742,,22330,24397,24834
22083,0.4807,,,22035,18698,19937,,21645,23724,24098
21247,0.4905,,,21270,17952,19288,,20858,22951,23277
20479,0.5008,,,20368,17149,18457,,20092,22157,22447
19755,0.4572,,,19627,16432,17736,,19410,21470,21732
19075,0.4351,,,18918,15729,17057,,18780,20732,20922
18361,0.4492,,,18223,15153,16306,,18127,20036,20204
17791,0.3957,,,17624,14660,15831,,17545,19544,19713
17076,0.4381,,,16934,14019,15093,,16893,18781,18903
16594,0.3612,,,16257,13448,14548,,16377,18215,18399
15949,0.3969,,,15756,13021,14052,,15858,17703,17712
15730,0.2221,,,15483,12699,13747,,15708,17520,17603
14815,0.4207,,,14465,11909,12859,,14711,16490,16561
14316,0.4025,,,13997,11412,12348,,14323,16005,16092
13756,0.4416,,,13492,11025,11941,,13804,15417,15594
13234,0.472,,,12959,10640,11432,,13330,15104,15033
12847,0.4428,,,12509,10175,11004,,12967,14511,14562
12400,0.4556,,,12051,9806,10685,,12505,14057,14175
11982,0.4268,,,11603,9455,10263,,12188,13608,13770
11561,0.444,,,11190,9057,9925,,11792,13199,13276
11115,0.5083,,,10794,8691,9465,,11283,12724,12863
10825,0.4665,,,10422,8352,9106,,11069,12365,12492
10443,0.4611,,,10059,8089,8790,,10729,11966,12071
10178,0.4066,,,9666,7805,8486,,10386,11625,11798
9780,0.4817,,,9337,7509,8192,,10018,11233,11341
9448,0.501,,,9035,7260,7914,,9716,10948,11024
9153,0.5124,,,8709,6936,7686,,9410,10667,10723
