intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
62114,0.2654,42845,30373,39872,45832,55794,55524,53192,53413,54716,59026,62741,60612
59827,0.2654,40712,28716,37794,43090,53257,53162,50880,50927,52637,56538,59241,58294
57844,0.2654,38768,27205,35792,40696,50708,50671,48829,48683,50429,54349,57076,56047
55736,0.2654,37017,25808,33967,38391,48226,48626,46860,46546,48558,52168,54905,54029
53660,0.2654,35037,24273,32088,36201,45873,46348,44578,44429,46436,49771,52818,52059
51755,0.2654,33338,22927,30434,34149,43488,44183,42556,42346,44447,47695,50825,49917
49887,0.2654,31741,21790,28817,32258,41365,42340,40829,40370,42575,45640,49023,48102
48131,0.2654,30169,20571,27251,30409,39215,40252,39025,38459,40822,43722,47113,46230
46295,0.2654,28654,19543,25889,28683,37207,38506,37080,36699,39123,41804,45238,44444
44680,0.2654,27251,18568,24562,27151,35253,36654,35608,34913,37435,40184,43511,42624
43007,0.2654,25981,17507,23298,25809,33431,35096,33980,33466,35929,38463,41833,41013
41319,0.2654,24637,16493,22085,24333,31632,33405,32553,31838,34253,36713,40138,39508
39715,0.2654,23468,15699,20924,23020,30001,31888,31064,30300,32766,35235,38541,37893
38314,0.2654,22236,14847,19837,21885,28521,30417,29670,28914,31449,33765,37091,36428
36967,0.2654,21211,13992,18878,20754,27159,29081,28456,27598,30107,32467,35698,34954
35450,0.2654,20183,13273,17860,19782,25704,27612,27128,26267,28812,31084,34180,33619
34143,0.2654,19245,12461,16933,18767,24400,26365,26049,25104,27526,29750,32936,32308
32981,0.2654,18182,11930,16046,17918,23270,25137,25048,23990,26285,28626,31589,31053
31735,0.2654,17282,11358,15288,17062,22154,23948,23925,22999,25203,27595,30487,29886
30638,0.2654,16487,10725,14394,16234,21111,22861,23057,21874,24138,26483,29185,28588
29632,0.2654,15679,10165,13730,15583,20248,21840,22051,21042,23157,25519,28238,27585
28487,0.2654,14887,9698,13072,14775,19188,20714,21083,20033,22158,24511,27038,26423
27379,0.2654,14181,9094,12347,14075,18461,19822,20285,19216,21246,23532,26011,25473
26454,0.2654,13400,8713,11645,13484,17524,18841,19494,18385,20382,22625,24968,24473
25477,0.2654,12762,8275,11104,12792,16740,17941,18692,17654,19512,21797,24068,23468
24609,0.2654,12119,7856,10651,12239,16066,17162,18057,16931,18783,21051,23137,22659
23740,0.2654,11522,7451,10010,11752,15349,16331,17209,16252,17944,20286,22265,21807
