intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
62114,0.2654,64503,64448,64436,64404,63369,60152,64309,59929,60789,58879,58071,58249
59827,0.2654,64620,64570,64552,64530,60172,57911,64422,57678,58610,56944,56511,56283
57844,0.2654,61009,62188,64410,63427,58116,55707,61725,55512,56491,55232,54774,54535
55736,0.2654,57652,58397,60232,59186,56335,53863,58279,53650,54660,53587,53386,52922
53660,0.2654,55365,56114,57411,57230,54432,51633,56101,51610,52533,51670,51635,51025
51755,0.2654,53076,54052,55476,55407,52727,49609,54345,49559,50602,49853,50109,49333
49887,0.2654,51025,52223,53459,53700,51055,47751,52626,47800,49047,48205,48499,47841
48131,0.2654,49137,50312,51721,52200,49516,45883,50955,45927,47106,46620,47153,46361
46295,0.2654,47053,48443,49651,50274,47863,43886,49173,44129,45438,44927,45446,44746
44680,0.2654,45185,46506,47903,48825,46370,42167,47648,42443,43899,43321,44099,43276
43007,0.2654,43524,44792,46132,47279,45027,40362,46122,40904,42298,41923,42802,41849
41319,0.2654,41751,43030,44503,45777,43496,38754,44405,39300,40797,40448,41384,40617
39715,0.2654,40146,41333,42883,44292,42212,37153,43028,37867,39298,39067,40176,39300
38314,0.2654,38352,39775,41246,42935,40809,35657,41506,36372,38068,37677,38795,38051
36967,0.2654,36907,38325,39774,41572,39572,34202,40278,35087,36695,36486,37575,36923
35450,0.2654,35511,36728,38128,40161,38238,32788,38855,33763,35428,35137,36442,35614
34143,0.2654,34112,35320,36865,38908,37132,31456,37501,32532,34338,33805,35184,34612
32981,0.2654,32964,33942,35502,37678,36038,30229,36359,31283,33153,32846,34066,33546
31735,0.2654,31628,32694,34251,36503,34912,29039,35172,30272,32056,31664,32953,32493
30638,0.2654,30350,31384,32877,35386,33703,27852,33949,29115,31026,30547,31882,31446
29632,0.2654,29330,30337,31777,34259,32831,26760,32823,28236,30048,29671,30945,30611
