intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,,,,64062,63762,,,,,
59827,0.2654,,,,61669,60560,,,,,
57844,0.2654,,,,59453,58619,,,,,
55736,0.2654,,,,57720,56865,,,,,
53660,0.2654,,,,55995,54896,,,,,
51755,0.2654,,,,54248,53018,,,,,
49887,0.2654,,,,52624,51324,,,,,
48131,0.2654,,,,51075,49681,,,,,
46295,0.2654,,,,49352,47789,,,,,
44680,0.2654,,,,47788,46319,,,,,
43007,0.2654,,,,46382,44751,,,,,
41319,0.2654,,,,44923,43081,,,,,
39715,0.2654,,,,43694,41559,,,,,
38314,0.2654,,,,42222,40186,,,,,
36967,0.2654,,,,40918,38806,,,,,
35450,0.2654,,,,39475,37423,,,,,
34143,0.2654,,,,38285,36185,,,,,
32981,0.2654,,,,37145,35017,,,,,
31735,0.2654,,,,35993,33723,,,,,
30638,0.2654,,,,34906,32696,,,,,
29632,0.2654,,,,33786,31513,,,,,
28487,0.2654,,,,32641,30418,,,,,
27379,0.2654,,,,31678,29277,,,,,
26454,0.2654,,,,30618,28428,,,,,
25477,0.2654,,,,29611,27239,,,,,
24609,0.2654,,,,28737,26526,,,,,
23740,0.2654,,,,27754,25432,,,,,
22822,0.2654,,,,26893,24615,,,,,
22083,0.4807,,,,26127,23907,,,,,
21247,0.4905,,,,25346,23087,,,,,
20479,0.5008,,,,24496,22104,,,,,
19755,0.4572,,,,23802,21392,,,,,
19075,0.4351,,,,23028,20759,,,,,
18361,0.4492,,,,22236,19985,,,,,
17791,0.3957,,,,21781,19418,,,,,
17076,0.4381,,,,20911,18674,,,,,
16594,0.3612,,,,20307,18136,,,,,
15949,0.3969,,,,19692,17507,,,,,
15730,0.2221,,,,19475,17273,,,,,
14815,0.4207,,,,18372,16248,,,,,
14316,0.4025,,,,17855,15740,,,,,
13756,0.4416,,,,17343,15151,,,,,
13234,0.472,,,,16792,14710,,,,,
12847,0.4428,,,,16280,14158,,,,,
12400,0.4556,,,,15728,13762,,,,,
11982,0.4268,,,,15303,13344,,,,,
11561,0.444,,,,14925,12940,,,,,
11115,0.5083,,,,14450,12474,,,,,
10825,0.4665,,,,14025,12093,,,,,
10443,0.4611,,,,13588,11735,,,,,
10178,0.4066,,,,13229,11344,,,,,
9780,0.4817,,,,12797,11030,,,,,
9448,0.501,,,,12456,10698,,,,,
9153,0.5124,,,,12022,10480,,,,,
8891,0.4762,,,,11678,10088,,,,,
8503,0.5691,,,,11343,9802,,,,,
8299,0.4988,,,,10988,9492,,,,,
8025,0.5476,,,,10684,9204,,,,,
7765,0.5595,,,,10300,9061,,,,,
7517,0.5498,,,,10007,8714,,,,,
7276,0.5866,,,,9769,8531,,,,,
7054,0.5755,,,,9468,8266,,,,,
6876,0.5767,,,,9215,8070,,,,,
6643,0.5667,,,,8898,7921,,,,,
6415,0.64,,,,8632,7617,,,,,
6218,0.6125,,,,8358,7442,,,,,
5942,0.7416,,,,8102,7261,,,,,
5837,0.673,,,,7866,7092,,,,,
5589,0.7955,,,,7588,6840,,,,,
5450,0.7686,,,,7451,6681,,,,,
5326,0.7487,,,,7215,6538,,,,,
5153,0.759,,,,7007,6388,,,,,
4956,0.8547,,,,6819,6178,,,,,
4828,0.8183,,,,6585,6035,,,,,
4670,0.9132,,,,6447,5907,,,,,
4578,0.8548,,,,6205,5748,,,,,
4433,0.8623,,,,6099,5519,,,,,
4308,0.9162,,,,5936,5408,,,,,
4209,0.8745,,,,5686,5331,,,,,
4072,0.9805,,,,5574,5149,,,,,
4021,0.8305,,,,5438,5036,,,,,
3873,1,,,,5268,4954,,,,,
3768,0.9212,,,,5110,4779,,,,,
3687,0.9307,,,,4988,4708,,,,,
3623,0.8828,,,,4865,4555,,,,,
3534,0.9255,,,,4695,4464,,,,,
3460,0.9227,,,,4576,4323,,,,,
3414,0.7851,,,,4534,4227,,,,,
3288,0.9254,,,,4390,4126,,,,,
3273,0.8114,,,,4239,4105,,,,,
3167,0.8832,,,,4150,3901,,,,,
3120,0.8411,,,,4043,3856,,,,,
3069,0.7581,,,,3954,3781,,,,,
2957,0.9017,,,,3870,3638,,,,,
2940,0.8044,,,,3749,3574,,,,,
2883,0.7865,,,,3709,3514,,,,,
2805,0.7958,,,,3591,3458,,,,,
2825,0.6717,,,,3531,3379,,,,,
2738,0.728,,,,3472,3310,,,,,
2696,0.7529,,,,3336,3312,,,,,
2648,0.6415,,,,3291,3142,,,,,
2614,0.6685,,,,3221,3079,,,,,
2555,0.6626,,,,3156,3024,,,,,
2533,0.6007,,,,3017,2913,,,,,
2491,0.5804,,,,3015,2951,,,,,
2474,0.5792,,,,2945,2870,,,,,
2413,0.5169,,,,2869,2783,,,,,
2411,0.3694,,,,2845,2797,,,,,
2364,0.4867,,,,2760,2686,,,,,
2301,0.5049,,,,2720,2637,,,,,
2294,0.4926,,,,2682,2626,,,,,
2308,0.28,,,,2631,2571,,,,,
2215,0.388,,,,2541,2492,,,,,
2208,0.441,,,,2535,2502,,,,,
2175,0.3791,,,,2491,2395,,,,,
2169,0.2113,,,,2442,2381,,,,,
2135,0.3015,,,,2406,2318,,,,,
2113,0.2331,,,,2351,2291,,,,,
2083,0.2736,,,,2317,2289,,,,,
2064,0.1927,,,,2344,2214,,,,,
2046,0.1583,,,,2227,2193,,,,,
2013,0.1066,,,,2203,2146,,,,,
2006,0.0988,,,,2177,2145,,,,,
1932,0.1476,,,,2126,2082,,,,,
1964,0.0139,,,,2139,2068,,,,,
1922,0.0533,,,,2088,2031,,,,,
1924,0,,,,2051,2041,,,,,
1864,0.1556,,,,2027,1977,,,,,
60084,0.1023,,,,,,,,,,
57757,0.0788,,,,,,,,,,
55771,0.0437,,,,,,,,,,
53691,0.0235,,,,,,,,,,
51637,0.0113,,,,,,,,,,
49609,0.0067,,,,,,,,,,
47660,0.0032,,,,,,,,,,
45848,0,,,,,,,,,,
43911,0.0105,,,,,,,,,,
42163,0.0142,,,,,,,,,,
40600,0.012,,,,,,,,,,
38929,0.0259,,,,,,,,,,
37254,0.0442,,,,,,,,,,
35812,0.0521,,,,,,,,,,
34367,0.0627,,,,,,,,,,
32903,0.083,,,,,,,,,,
31743,0.0806,,,,,,,,,,
30418,0.1042,,,,,,,,,,
29145,0.1182,,,,,,,,,,
27976,0.1422,,,,,,,,,,
27010,0.1426,,,,,,,,,,
25830,0.1745,,,,,,,,,,
24772,0.1954,,,,,,,,,,
23842,0.2102,,,,,,,,,,
22814,0.2339,,,,,,,,,,
21874,0.2597,,,,,,,,,,
21087,0.2662,,,,,,,,,,
20171,0.3064,,,,,,,,,,
19518,0.3036,,,,,,,,,,
18675,0.3307,,,,,,,,,,
17818,0.374,,,,,,,,,,
17131,0.3964,,,,,,,,,,
16369,0.4362,,,,,,,,,,
15781,0.4517,,,,,,,,,,
15183,0.46,,,,,,,,,,
14571,0.4917,,,,,,,,,,
14042,0.511,,,,,,,,,,
13496,0.5332,,,,,,,,,,
13220,0.5003,,,,,,,,,,
12367,0.6131,,,,,,,,,,
11961,0.6179,,,,,,,,,,
11466,0.6452,,,,,,,,,,
11011,0.6796,,,,,,,,,,
10680,0.6806,,,,,,,,,,
10241,0.7153,,,,,,,,,,
9824,0.7448,,,,,,,,,,
9584,0.7357,,,,,,,,,,
9144,0.7767,,,,,,,,,,
8885,0.7847,,,,,,,,,,
8529,0.8131,,,,,,,,,,
8199,0.8422,,,,,,,,,,
7993,0.8455,,,,,,,,,,
7750,0.8521,,,,,,,,,,
7466,0.8671,,,,,,,,,,
7248,0.8773,,,,,,,,,,
7022,0.8759,,,,,,,,,,
6832,0.8818,,,,,,,,,,
6590,0.9121,,,,,,,,,,
6386,0.9269,,,,,,,,,,
6182,0.9436,,,,,,,,,,
6020,0.9383,,,,,,,,,,
5865,0.9398,,,,,,,,,,
5675,0.9479,,,,,,,,,,
5557,0.9304,,,,,,,,,,
5410,0.9438,,,,,,,,,,
5282,0.9367,,,,,,,,,,
5094,0.9719,,,,,,,,,,
4998,0.9689,,,,,,,,,,
4862,0.9833,,,,,,,,,,
4747,0.9817,,,,,,,,,,
4591,0.973,,,,,,,,,,
4477,0.9657,,,,,,,,,,
4358,1,,,,,,,,,,
4332,0.9606,,,,,,,,,,
4196,0.9896,,,,,,,,,,
4166,0.9696,,,,,,,,,,
4015,0.9706,,,,,,,,,,
3971,0.9431,,,,,,,,,,
3881,0.9644,,,,,,,,,,
3788,0.9624,,,,,,,,,,
3710,0.9608,,,,,,,,,,
3611,0.9719,,,,,,,,,,
3576,0.9376,,,,,,,,,,
3586,0.9031,,,,,,,,,,
3454,0.9141,,,,,,,,,,
3368,0.9534,,,,,,,,,,
3312,0.9336,,,,,,,,,,
3246,0.9189,,,,,,,,,,
3190,0.9125,,,,,,,,,,
3125,0.9221,,,,,,,,,,
3115,0.8851,,,,,,,,,,
3073,0.8932,,,,,,,,,,
3006,0.8738,,,,,,,,,,
2969,0.8815,,,,,,,,,,
2931,0.8703,,,,,,,,,,
2892,0.8574,,,,,,,,,,
2814,0.8703,,,,,,,,,,
2785,0.8428,,,,,,,,,,
2791,0.8092,,,,,,,,,,
2682,0.8631,,,,,,,,,,
2679,0.8314,,,,,,,,,,
2638,0.8287,,,,,,,,,,
2628,0.795,,,,,,,,,,
2599,0.778,,,,,,,,,,
2513,0.8193,,,,,,,,,,
2496,0.821,,,,,,,,,,
2481,0.7748,,,,,,,,,,
2444,0.7661,,,,,,,,,,
2417,0.7721,,,,,,,,,,
2357,0.7672,,,,,,,,,,
2366,0.7355,,,,,,,,,,
2329,0.7402,,,,,,,,,,
2300,0.7355,,,,,,,,,,
2258,0.7456,,,,,,,,,,
2227,0.7483,,,,,,,,,,
2182,0.7702,,,,,,,,,,
2180,0.7535,,,,,,,,,,
2142,0.7583,,,,,,,,,,
2175,0.6507,,,,,,,,,,
2107,0.7177,,,,,,,,,,
2081,0.7305,,,,,,,,,,
2056,0.7158,,,,,,,,,,
2052,0.6956,,,,,,,,,,
2022,0.7001,,,,,,,,,,
1977,0.6822,,,,,,,,,,
1989,0.6795,,,,,,,,,,
1947,0.7144,,,,,,,,,,
1940,0.6724,,,,,,,,,,
65108,0.2995,,,,,,,,,,
64706,0.2027,,,,,,,,,,
59862,0.545,,,,,,,,,,
58095,0.3283,,,,,,,,,,
55892,0.4629,,,,,,,,,,
53976,0.3337,,,,,,,,,,
52187,0.6106,,,,,,,,,,
50362,0.5095,,,,,,,,,,
48566,0.4398,,,,,,,,,,
46774,0.3794,,,,,,,,,,
45253,0.4659,,,,,,,,,,
43621,0.4271,,,,,,,,,,
42116,0.3645,,,,,,,,,,
40650,0.3164,,,,,,,,,,
39310,0.2447,,,,,,,,,,
37852,0.2564,,,,,,,,,,
36556,0.2176,,,,,,,,,,
35376,0.1578,,,,,,,,,,
34115,0.1601,,,,,,,,,,
32882,0.1556,,,,,,,,,,
31821,0.1317,,,,,,,,,,
30653,0.1429,,,,,,,,,,
29672,0.1194,,,,,,,,,,
28679,0.1212,,,,,,,,,,
27631,0.1432,,,,,,,,,,
26824,0.0943,,,,,,,,,,
25888,0.1022,,,,,,,,,,
24905,0.1742,,,,,,,,,,
24143,0.141,,,,,,,,,,
23497,0.0841,,,,,,,,,,
22487,0.2002,,,,,,,,,,
21887,0.1401,,,,,,,,,,
21190,0.1392,,,,,,,,,,
20416,0.2225,,,,,,,,,,
19831,0.174,,,,,,,,,,
19259,0.1558,,,,,,,,,,
18628,0.1795,,,,,,,,,,
18093,0.1748,,,,,,,,,,
17901,0,,,,,,,,,,
16967,0.2138,,,,,,,,,,
16435,0.2333,,,,,,,,,,
15892,0.2523,,,,,,,,,,
15478,0.2294,,,,,,,,,,
14942,0.2802,,,,,,,,,,
14566,0.2582,,,,,,,,,,
14088,0.2896,,,,,,,,,,
13723,0.2851,,,,,,,,,,
13215,0.3613,,,,,,,,,,
12975,0.2971,,,,,,,,,,
12620,0.2688,,,,,,,,,,
12227,0.3236,,,,,,,,,,
11897,0.317,,,,,,,,,,
11501,0.3798,,,,,,,,,,
11210,0.3455,,,,,,,,,,
10909,0.3767,,,,,,,,,,
10595,0.383,,,,,,,,,,
10287,0.432,,,,,,,,,,
10065,0.3636,,,,,,,,,,
9752,0.4061,,,,,,,,,,
9523,0.3981,,,,,,,,,,
9214,0.1815,,,,,,,,,,
8959,0.23,,,,,,,,,,
8795,0.1685,,,,,,,,,,
8513,0.2372,,,,,,,,,,
8284,0.2677,,,,,,,,,,
8053,0.1505,,,,,,,,,,
7813,0.1579,,,,,,,,,,
7635,0.1955,,,,,,,,,,
7413,0.2365,,,,,,,,,,
