intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,S10,S11,S12,S13
62114,0.2654,62430,60404,60997,57223,60155,62240,60858,61464,63333,61476,62220,63501,62668
59827,0.2654,59610,58282,58338,55046,57424,58861,58182,58851,60519,58702,59019,60328,59274
57844,0.2654,57455,56227,56126,53059,55170,56620,56022,56497,57840,56430,56728,57599,56956
55736,0.2654,55695,54359,54045,51038,53110,54622,53912,54598,55936,54572,54622,55690,54876
53660,0.2654,53715,52300,51948,48800,50734,52231,51764,52448,53890,52302,52307,53554,52652
51755,0.2654,52007,50333,49959,46913,48697,50084,49712,50527,51973,50383,50198,51666,50642
49887,0.2654,50049,48618,47971,44976,46845,48260,47810,48426,50024,48512,48184,49803,48693
48131,0.2654,48520,46943,46159,43120,44755,46288,46042,46773,48365,46737,46141,47907,46842
46295,0.2654,46785,45014,44272,41265,42874,44277,44234,44783,46518,44727,44391,46129,44984
44680,0.2654,45256,43522,42369,39677,41091,42506,42364,42959,44801,43016,42478,44471,43124
43007,0.2654,43645,41952,40708,38160,39505,40716,40754,41520,43158,41419,40799,42830,41468
41319,0.2654,42164,40276,39093,36503,37716,39001,39095,39719,41480,39707,39063,41158,39790
39715,0.2654,40680,38777,37431,34913,36286,37431,37538,38171,40013,38167,37500,39621,38221
38314,0.2654,39284,37387,36011,33505,34674,35896,36060,36818,38323,36689,35882,38081,36739
36967,0.2654,37960,36071,34628,32172,33337,34373,34697,35309,36828,35261,34383,36773,35381
35450,0.2654,36634,34750,33092,30818,31915,32819,33229,34046,35463,33842,33081,35362,33956
34143,0.2654,35404,33539,31744,29458,30616,31650,32020,32769,33999,32437,31760,33995,32614
32981,0.2654,34181,32309,30530,28311,29414,30324,30693,31476,32742,31210,30437,32688,31410
31735,0.2654,33125,31027,29275,27124,28279,29047,29531,30430,31515,29992,29256,31609,30199
30638,0.2654,31985,30004,28031,26150,27123,27897,28396,29201,30280,28799,28022,30390,29028
29632,0.2654,30905,28916,27021,25054,26061,26859,27331,28210,29242,27848,27072,29347,27896
28487,0.2654,29879,27924,25835,23916,24939,25720,26136,27100,27961,26659,25898,28210,26872
27379,0.2654,28829,26814,24776,23048,24080,24765,25153,25987,26981,25629,24742,27076,25858
26454,0.2654,27842,25809,23899,22197,23008,23732,24210,25074,25900,24605,23869,26176,24819
25477,0.2654,26912,24927,22918,21161,22163,22888,23341,24170,24828,23497,22987,25223,23893
24609,0.2654,25942,24166,22009,20423,21306,21930,22290,23342,23919,22579,22140,24131,23036
23740,0.2654,25082,23152,21054,19521,20520,21119,21446,22416,22891,21805,21193,23285,22271
22822,0.2654,24340,22422,20235,18758,19704,20292,20606,21556,22044,20887,20368,22444,21304
22083,0.4807,23575,21652,19447,17995,19100,19598,19892,20957,21320,20155,19648,21692,20659
21247,0.4905,22803,20870,18868,17350,18313,18822,19207,20145,20458,19352,18962,20944,19874
20479,0.5008,21971,20076,18085,16595,17615,18104,18413,19372,19645,18653,18117,20008,19095
19755,0.4572,21345,19476,17295,15960,17027,17393,17720,18631,18841,17876,17468,19272,18389
19075,0.4351,20706,18805,16644,15311,16301,16745,17120,17955,18169,17223,16756,18559,17825
18361,0.4492,20049,18050,15994,14683,15742,16012,16420,17224,17494,16453,16110,17805,17117
17791,0.3957,19516,17537,15438,14202,15261,15528,15824,16790,16852,15960,15642,17228,16553
17076,0.4381,18741,16824,14786,13579,14680,14948,15216,16043,16131,15348,14920,16530,15919
16594,0.3612,18259,16311,14239,13116,14155,14502,14797,15490,15616,14702,14312,15976,15443
15949,0.3969,17696,15682,13674,12572,13635,13833,14245,14916,14947,14097,13815,15373,14858
15730,0.2221,17547,15513,13490,12390,13488,13644,14043,14660,14701,13896,13613,15148,14668
14815,0.4207,16611,14563,12607,11650,12727,12870,13257,13798,13730,13052,12791,14203,13790
14316,0.4025,16044,14120,12161,11220,12234,12367,12766,13274,13239,12594,12220,13692,13332
13756,0.4416,15579,13675,11619,10756,11852,11996,12293,12760,12707,12086,11736,13171,12726
13234,0.472,15050,13189,11235,10371,11497,11474,11879,12250,12264,11565,11350,12668,12401
12847,0.4428,14640,12738,10799,10033,11115,11118,11560,11802,11786,11243,10860,12220,12012
12400,0.4556,14166,12316,10434,9641,10688,10701,11233,11421,11362,10758,10440,11791,11552
11982,0.4268,13882,11826,10091,9364,10440,10318,10793,10981,10945,10434,10080,11324,11140
11561,0.444,13411,11442,9685,9042,10071,9976,10436,10536,10536,10032,9732,10998,10799
11115,0.5083,13006,11082,9325,8684,9673,9647,10146,10192,10060,9617,9347,10531,10329
10825,0.4665,12661,10766,8963,8442,9375,9299,9769,9857,9758,9319,9040,10104,10034
10443,0.4611,12207,10351,8613,8147,9152,8992,9400,9494,9428,9000,8629,9714,9697
10178,0.4066,11853,9935,8296,7836,8782,8708,9193,9149,9080,8650,8397,9375,9343
