intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
62114,0.2654,62228,55967,55969,51617,54012,62656,60845,60530,57866,61431,56508,49258,59798
59827,0.2654,59825,54111,54007,49752,52125,59719,58543,58125,55835,58637,54622,47369,57398
57844,0.2654,57789,52439,51987,47723,50363,57435,56610,56201,53788,56629,52629,45606,55281
55736,0.2654,56184,50643,50346,45826,48601,55705,54713,54185,52085,54523,50727,43999,53406
53660,0.2654,54173,48967,48266,43819,46791,53696,52853,52244,49826,52239,48745,42150,51154
51755,0.2654,52493,47300,46406,42001,45025,51733,50896,50307,48030,50290,46903,40482,49098
49887,0.2654,50804,45545,44713,40253,43459,49881,49174,48401,46255,48379,44985,38952,47345
48131,0.2654,49227,43989,43034,38420,41888,48091,47425,46577,44489,46507,43417,37390,45401
46295,0.2654,47668,42415,41423,36822,40311,46295,45478,44911,42554,44591,41637,35828,43528
44680,0.2654,46114,41014,39800,35246,38679,44572,43999,43217,41133,42822,40017,34493,41858
43007,0.2654,44571,39567,38169,33659,37383,42942,42316,41695,39494,41182,38434,33220,40319
41319,0.2654,43083,38081,36730,32343,35992,41509,40799,40071,37904,39564,36977,31818,38683
39715,0.2654,41810,36751,35205,30847,34529,39927,39381,38516,36458,37980,35548,30530,37240
38314,0.2654,40451,35489,33908,29610,33286,38494,37949,37044,35055,36429,34069,29319,35813
36967,0.2654,39236,34339,32779,28318,32073,37220,36453,35667,33781,35127,32955,28218,34432
35450,0.2654,37985,33238,31475,27085,30885,35807,35203,34369,32451,33718,31535,27121,33072
34143,0.2654,36701,32031,30243,26078,29740,34449,33801,33035,31181,32391,30399,26053,31798
32981,0.2654,35549,30849,29169,24977,28584,33130,32666,31907,30072,31157,29169,25137,30626
31735,0.2654,34541,29944,28048,23903,27567,32135,31479,30857,28892,29974,28102,24176,29431
30638,0.2654,33446,28880,26977,22874,26532,30990,30299,29667,27791,28790,26925,23265,28387
29632,0.2654,32369,27903,26112,22047,25683,29916,29313,28702,26816,27717,26039,22496,27405
28487,0.2654,31307,26879,25140,21118,24721,28714,28186,27561,25719,26631,24953,21576,26367
27379,0.2654,30413,26061,24184,20165,23845,27710,27143,26496,24651,25576,24061,20842,25381
26454,0.2654,29493,25135,23292,19463,22929,26650,26204,25626,23870,24571,23175,20084,24495
25477,0.2654,28514,24395,22497,18656,21961,25724,25206,24728,22907,23746,22165,19292,23549
24609,0.2654,27601,23461,21692,17956,21296,24846,24320,23859,22086,22694,21394,18631,22738
23740,0.2654,26780,22766,20900,17201,20408,23982,23413,22922,21163,21904,20581,17986,21922
22822,0.2654,25872,21959,20197,16516,19665,23033,22464,22183,20416,21007,19902,17312,21115
22083,0.4807,25188,21340,19514,15996,19060,22387,21828,21379,19716,20310,19128,16766,20419
21247,0.4905,24350,20651,18853,15366,18404,21546,21115,20702,19020,19566,18465,16199,19810
