intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13
62114,0.2654,57710,51184,51172,64558,64091,64384,64293,63917,62685,64314,62328,60895,64273
59827,0.2654,55890,49581,49424,64626,61386,64044,62625,61034,59764,63795,59586,58626,63261
57844,0.2654,54154,47801,47901,61243,58292,59188,58681,58372,57728,58861,57512,56625,58166
55736,0.2654,52385,46323,46363,58229,56418,57439,56850,56589,55884,56920,55747,54695,55984
53660,0.2654,50374,44557,44730,56098,54297,55481,54869,54615,53736,54719,53606,52820,53653
51755,0.2654,48700,42990,43093,54098,52273,53704,52900,52796,51953,53109,51568,50879,51380
49887,0.2654,47037,41508,41677,52235,50383,51782,51195,51032,50299,51313,49778,48992,49362
48131,0.2654,45653,39938,40150,50468,48487,50181,49524,49293,48537,49619,47930,47129,47422
46295,0.2654,43758,38495,38927,48596,46685,48415,47637,47571,46882,47858,46135,45547,45433
44680,0.2654,42287,37012,37500,46951,44900,46765,46000,45931,45169,46166,44287,43771,43431
43007,0.2654,40857,35668,36183,45148,43278,45127,44302,44284,43746,44640,42664,42219,41667
41319,0.2654,39320,34478,34955,43466,41576,43704,42745,42751,42160,43033,40884,40641,40009
39715,0.2654,37983,33067,33665,41806,39980,42168,41212,41343,40618,41599,39434,39209,38309
38314,0.2654,36513,31941,32522,40339,38465,40834,39806,39842,39178,40285,37817,37784,36897
36967,0.2654,35233,30727,31476,38917,37000,39369,38555,38516,37933,39019,36445,36420,35425
35450,0.2654,33967,29778,30341,37349,35689,38176,36997,37186,36595,37563,34938,35069,33891
34143,0.2654,32755,28702,29290,35998,34275,36954,35770,35841,35336,36373,33638,33750,32688
32981,0.2654,31543,27625,28384,34850,33091,35659,34578,34733,34179,35273,32325,32580,31337
31735,0.2654,30507,26651,27393,33475,31835,34570,33489,33428,32938,33977,31158,31426,30192
30638,0.2654,29356,25788,26594,32233,30791,33422,32360,32342,31746,32917,29864,30381,29077
29632,0.2654,28408,24923,25742,31068,29743,32447,31334,31270,30864,31965,28778,29302,27970
28487,0.2654,27290,23981,24756,29842,28595,31215,30257,30036,29658,30833,27520,28189,26932
27379,0.2654,26412,23093,23971,28842,27592,30188,29252,29144,28541,29795,26470,27175,25886
26454,0.2654,25486,22337,23141,27814,26637,29217,28288,28152,27612,28931,25519,26270,24904
25477,0.2654,24569,21562,22392,26762,25734,28250,27285,27251,26636,27997,24562,25317,24052
24609,0.2654,23615,20875,21707,25834,24868,27259,26471,26251,25784,27032,23696,24535,23179
23740,0.2654,22809,20103,20955,24811,24009,26287,25666,25307,24921,26229,22741,23530,22351
22822,0.2654,22046,19474,20251,23989,23177,25484,24624,24467,24111,25334,21854,22713,21476
22083,0.4807,21347,18846,19659,23156,22464,24731,24021,23717,23263,24615,21142,22035,20812
21247,0.4905,20625,18240,19065,22444,21770,23972,23287,22968,22620,23837,20382,21255,20023
20479,0.5008,19897,17460,18254,21516,20991,23018,22442,22114,21780,23071,19606,20472,19241
19755,0.4572,19209,17030,17720,20816,20408,22452,21741,21502,21004,22280,18902,19871,18599
19075,0.4351,18561,16406,17097,20090,19683,21703,21002,20653,20296,21539,18157,19114,17881
18361,0.4492,17905,15936,16477,19383,19060,20927,20269,19992,19708,20817,17503,18447,17264
17791,0.3957,17308,15404,16091,18890,18613,20430,19785,19524,19172,20241,16922,17944,16856
17076,0.4381,16763,14890,15469,18125,17956,19652,19034,18758,18440,19458,16357,17236,16191
16594,0.3612,16247,14462,15064,17527,17519,19132,18455,18174,17876,18923,15779,16741,15541
15949,0.3969,15707,14056,14529,16923,16930,18497,17901,17621,17208,18317,15268,16133,15144
15730,0.2221,15572,13939,14377,16801,16886,18371,17700,17399,17083,18076,15033,15904,14927
14815,0.4207,14604,13156,13511,15819,15798,17358,16754,16484,16112,17110,14198,15062,14106
14316,0.4025,14184,12750,13129,15282,15403,16731,16265,15978,15638,16570,13688,14500,13592
