intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,64240,61977,63737,64317,64200,64603,63774,61392
59827,0.2654,61503,59380,60591,62237,62211,64703,60477,59050
57844,0.2654,58467,57045,58016,58630,58546,64346,58058,57030
55736,0.2654,56491,55054,56063,56684,56887,59290,56297,55272
53660,0.2654,54286,52956,53869,54599,54785,57069,54186,53247
51755,0.2654,52255,50840,51856,52613,52821,55112,52160,51462
49887,0.2654,50390,49026,49903,50810,50991,53143,50297,49720
48131,0.2654,48718,47166,47980,48968,49237,51420,48461,48101
46295,0.2654,46742,45415,45974,47049,47254,49439,46614,46251
44680,0.2654,45157,43611,44332,45422,45535,47760,44978,44665
43007,0.2654,43614,42163,42660,43769,44026,45935,43396,43059
41319,0.2654,41786,40606,40940,42050,42513,44211,41864,41479
39715,0.2654,40462,39053,39316,40588,40994,42663,40216,40175
38314,0.2654,39020,37698,37846,39084,39428,41155,38750,38736
36967,0.2654,37810,36369,36546,37664,38043,39665,37491,37455
35450,0.2654,36499,35099,35090,36347,36801,38144,36150,36104
34143,0.2654,35318,33833,33690,35021,35510,36892,34814,34854
32981,0.2654,34154,32671,32541,33724,34326,35580,33648,33706
31735,0.2654,33057,31599,31432,32649,33154,34362,32495,32640
30638,0.2654,31967,30527,30193,31436,31941,33101,31408,31490
29632,0.2654,31085,29516,29147,30385,31031,32074,30444,30591
28487,0.2654,30029,28383,28084,29343,29884,30955,29370,29436
27379,0.2654,29113,27442,27066,28327,28878,29781,28277,28505
26454,0.2654,28348,26571,26087,27334,28046,28875,27493,27564
25477,0.2654,27333,25632,25130,26354,27053,27924,26470,26667
24609,0.2654,26434,24724,24368,25661,26235,26942,25638,25776
23740,0.2654,25594,23947,23445,24791,25332,25959,24847,24931
22822,0.2654,24830,23078,22626,23914,24580,25115,24082,24069
22083,0.4807,24043,22338,21905,23214,23748,24292,23278,23445
21247,0.4905,23385,21660,21194,22540,23009,23562,22687,22752
20479,0.5008,22650,20812,20309,21694,22202,22732,21915,21869
19755,0.4572,21906,20205,19632,21064,21591,22004,21115,21246
19075,0.4351,21248,19499,18924,20412,20781,21306,20500,20524
18361,0.4492,20547,18828,18346,19698,20251,20468,19773,19908
17791,0.3957,20013,18362,17810,19303,19596,19983,19325,19361
17076,0.4381,19410,17609,17176,18579,18975,19309,18683,18850
16594,0.3612,18992,17148,16672,18066,18428,18745,18142,18360
15949,0.3969,18278,16519,16090,17550,17791,18136,17619,17717
15730,0.2221,18221,16377,16004,17403,17643,17969,17532,17658
14815,0.4207,17291,15472,14985,16418,16723,16962,16597,16637
14316,0.4025,16693,14887,14428,15914,16188,16443,16083,16080
13756,0.4416,16309,14508,14054,15392,15799,15978,15460,15709
13234,0.472,15766,13938,13577,15067,15175,15425,15140,15251
12847,0.4428,15265,13537,13143,14570,14805,15031,14697,14816
12400,0.4556,14843,13127,12721,14150,14317,14552,14296,14344
11982,0.4268,14513,12689,12325,13750,13957,14088,13846,13882
11561,0.444,14024,12357,11937,13311,13597,13645,13510,13545
11115,0.5083,13637,11900,11555,12988,13067,13218,13093,13062
10825,0.4665,13320,11620,11223,12662,12789,12891,12748,12758
10443,0.4611,12941,11192,10876,12256,12404,12494,12299,12375
10178,0.4066,12567,10879,10540,11942,12016,12204,12044,12062
9780,0.4817,12227,10582,10259,11591,11687,11855,11702,11658
9448,0.501,11926,10255,9922,11325,11350,11503,11379,11360
9153,0.5124,11593,9965,9574,11012,11069,11172,11041,10977
8891,0.4762,11284,9699,9310,10717,10785,10801,10715,10665
8503,0.5691,10933,9327,9013,10417,10457,10504,10414,10365
8299,0.4988,10617,9072,8747,10111,10206,10201,10165,10074
8025,0.5476,10406,8768,8522,9842,9944,9949,9856,9782
7765,0.5595,10123,8571,8268,9533,9606,9654,9598,9448
7517,0.5498,9882,8265,8047,9348,9390,9409,9314,9228
7276,0.5866,9586,8045,7814,9078,9097,9194,9032,8909
7054,0.5755,9268,7819,7605,8862,8851,8830,8804,8702
6876,0.5767,9123,7614,7366,8684,8683,8656,8643,8518
6643,0.5667,8892,7418,7196,8394,8435,8485,8379,8168
6415,0.64,8626,7209,6952,8169,8186,8232,8170,7992
6218,0.6125,8381,6979,6773,7958,7968,7998,7932,7732
5942,0.7416,8158,6850,6588,7720,7768,7758,7743,7529
5837,0.673,7977,6614,6449,7573,7603,7602,7563,7307
5589,0.7955,7742,6445,6267,7353,7370,7334,7373,7108
5450,0.7686,7540,6309,6147,7092,7224,7202,7183,6958
5326,0.7487,7349,6111,5952,7008,7024,7031,6996,6775
5153,0.759,7139,5951,5741,6813,6856,6913,6818,6575
4956,0.8547,6920,5803,5687,6655,6686,6684,6595,6369
4828,0.8183,6811,5635,5532,6489,6508,6498,6519,6222
4670,0.9132,6578,5520,5391,6338,6280,6342,6373,6035
4578,0.8548,6390,5346,5206,6156,6215,6208,6128,5882
4433,0.8623,6227,5258,5143,5992,6118,6048,5959,5720
4308,0.9162,6048,5137,4985,5800,5909,5913,5844,5578
4209,0.8745,5865,4995,4885,5739,5795,5784,5689,5469
4072,0.9805,5726,4858,4753,5595,5664,5604,5534,5317
4021,0.8305,5551,4778,4663,5424,5504,5480,5399,5176
3873,1,5377,4680,4556,5320,5373,5322,5260,4986
3768,0.9212,5218,4544,4387,5113,5250,5245,5181,4924
3687,0.9307,5117,4453,4353,5051,5125,5129,5060,4793
3623,0.8828,4927,4370,4280,4916,5017,5017,4933,4689
3534,0.9255,4801,4200,4129,4778,4913,4859,4805,4566
3460,0.9227,4611,4114,4034,4675,4777,4768,4650,4480
3414,0.7851,4464,4041,3954,4550,4704,4685,4582,4369
3288,0.9254,4381,3978,3899,4465,4579,4604,4486,4279
3273,0.8114,4232,3845,3816,4381,4529,4553,4452,4202
3167,0.8832,4079,3767,3733,4214,4374,4321,4267,4081
3120,0.8411,3990,3655,3624,4106,4290,4272,4184,4011
3069,0.7581,3932,3607,3594,4032,4165,4183,4103,3932
2957,0.9017,3762,3487,3454,3906,4082,4040,4012,3819
2940,0.8044,3698,3391,3412,3837,3986,4017,3924,3714
2883,0.7865,3563,3326,3310,3751,3890,3870,3874,3646
2805,0.7958,3442,3211,3251,3662,3822,3803,3729,3569
2825,0.6717,3355,3158,3231,3642,3749,3776,3696,3513
2738,0.728,3276,3112,3117,3536,3677,3674,3659,3457
2696,0.7529,3145,3007,3031,3404,3578,3576,3485,3419
2648,0.6415,3069,2985,2997,3321,3470,3507,3446,3261
2614,0.6685,3036,2862,2927,3259,3420,3443,3389,3226
2555,0.6626,2994,2797,2825,3181,3324,3343,3295,3174
2533,0.6007,2873,2718,2791,3100,3216,3275,3245,3096
2491,0.5804,2779,2742,2699,3047,3248,3210,3143,3052
2474,0.5792,2744,2622,2671,2956,3121,3189,3121,2995
2413,0.5169,2610,2545,2632,2900,3048,3136,3073,2923
2411,0.3694,2606,2512,2608,2876,2989,3067,3049,2903
2364,0.4867,2583,2428,2539,2768,2969,3033,2938,2785
2301,0.5049,2541,2401,2472,2764,2887,2987,2866,2763
2294,0.4926,2453,2365,2422,2716,2834,2910,2848,2705
2308,0.28,2434,2312,2387,2617,2786,2839,2790,2683
2215,0.388,2359,2268,2359,2603,2706,2774,2718,2605
2208,0.441,2311,2221,2312,2522,2655,2724,2705,2566
2175,0.3791,2292,2216,2263,2464,2605,2730,2589,2549
2169,0.2113,2237,2143,2191,2431,2573,2667,2602,2477
2135,0.3015,2231,2163,2166,2413,2511,2585,2554,2417
2113,0.2331,2226,2056,2136,2351,2499,2565,2511,2402
2083,0.2736,2181,2060,2131,2282,2427,2538,2472,2320
2064,0.1927,2130,2023,2049,2292,2373,2496,2407,2324
2046,0.1583,2122,1986,1988,2152,2333,2429,2398,2243
2013,0.1066,2044,1917,1989,2168,2278,2411,2359,2271
2006,0.0988,2008,1870,1968,2129,2220,2393,2322,2179
1932,0.1476,2020,1930,1943,2091,2221,2330,2289,2160
1964,0.0139,1955,1888,1877,2042,2138,2291,2221,2126
1922,0.0533,1995,1838,1870,2077,2136,2235,2183,2090
1924,0,1921,1840,1817,1963,2081,2214,2143,2059
1864,0.1556,1913,1770,1762,1983,2070,2212,2118,2015
60084,0.1023,,,,,,,,
57757,0.0788,,,,,,,,
55771,0.0437,,,,,,,,
53691,0.0235,,,,,,,,
51637,0.0113,,,,,,,,
49609,0.0067,,,,,,,,
47660,0.0032,,,,,,,,
45848,0,,,,,,,,
43911,0.0105,,,,,,,,
42163,0.0142,,,,,,,,
40600,0.012,,,,,,,,
38929,0.0259,,,,,,,,
37254,0.0442,,,,,,,,
35812,0.0521,,,,,,,,
34367,0.0627,,,,,,,,
32903,0.083,,,,,,,,
31743,0.0806,,,,,,,,
30418,0.1042,,,,,,,,
29145,0.1182,,,,,,,,
27976,0.1422,,,,,,,,
27010,0.1426,,,,,,,,
25830,0.1745,,,,,,,,
24772,0.1954,,,,,,,,
23842,0.2102,,,,,,,,
22814,0.2339,,,,,,,,
21874,0.2597,,,,,,,,
21087,0.2662,,,,,,,,
20171,0.3064,,,,,,,,
19518,0.3036,,,,,,,,
18675,0.3307,,,,,,,,
17818,0.374,,,,,,,,
17131,0.3964,,,,,,,,
16369,0.4362,,,,,,,,
15781,0.4517,,,,,,,,
15183,0.46,,,,,,,,
14571,0.4917,,,,,,,,
14042,0.511,,,,,,,,
13496,0.5332,,,,,,,,
13220,0.5003,,,,,,,,
12367,0.6131,,,,,,,,
11961,0.6179,,,,,,,,
11466,0.6452,,,,,,,,
11011,0.6796,,,,,,,,
10680,0.6806,,,,,,,,
10241,0.7153,,,,,,,,
9824,0.7448,,,,,,,,
9584,0.7357,,,,,,,,
9144,0.7767,,,,,,,,
8885,0.7847,,,,,,,,
8529,0.8131,,,,,,,,
8199,0.8422,,,,,,,,
7993,0.8455,,,,,,,,
7750,0.8521,,,,,,,,
7466,0.8671,,,,,,,,
7248,0.8773,,,,,,,,
7022,0.8759,,,,,,,,
6832,0.8818,,,,,,,,
6590,0.9121,,,,,,,,
6386,0.9269,,,,,,,,
6182,0.9436,,,,,,,,
6020,0.9383,,,,,,,,
5865,0.9398,,,,,,,,
5675,0.9479,,,,,,,,
5557,0.9304,,,,,,,,
5410,0.9438,,,,,,,,
5282,0.9367,,,,,,,,
5094,0.9719,,,,,,,,
4998,0.9689,,,,,,,,
4862,0.9833,,,,,,,,
4747,0.9817,,,,,,,,
4591,0.973,,,,,,,,
4477,0.9657,,,,,,,,
4358,1,,,,,,,,
4332,0.9606,,,,,,,,
4196,0.9896,,,,,,,,
4166,0.9696,,,,,,,,
4015,0.9706,,,,,,,,
3971,0.9431,,,,,,,,
3881,0.9644,,,,,,,,
3788,0.9624,,,,,,,,
3710,0.9608,,,,,,,,
3611,0.9719,,,,,,,,
3576,0.9376,,,,,,,,
3586,0.9031,,,,,,,,
3454,0.9141,,,,,,,,
3368,0.9534,,,,,,,,
3312,0.9336,,,,,,,,
3246,0.9189,,,,,,,,
3190,0.9125,,,,,,,,
3125,0.9221,,,,,,,,
3115,0.8851,,,,,,,,
3073,0.8932,,,,,,,,
3006,0.8738,,,,,,,,
2969,0.8815,,,,,,,,
2931,0.8703,,,,,,,,
2892,0.8574,,,,,,,,
2814,0.8703,,,,,,,,
2785,0.8428,,,,,,,,
2791,0.8092,,,,,,,,
2682,0.8631,,,,,,,,
2679,0.8314,,,,,,,,
2638,0.8287,,,,,,,,
2628,0.795,,,,,,,,
2599,0.778,,,,,,,,
2513,0.8193,,,,,,,,
2496,0.821,,,,,,,,
2481,0.7748,,,,,,,,
2444,0.7661,,,,,,,,
2417,0.7721,,,,,,,,
2357,0.7672,,,,,,,,
2366,0.7355,,,,,,,,
2329,0.7402,,,,,,,,
2300,0.7355,,,,,,,,
2258,0.7456,,,,,,,,
2227,0.7483,,,,,,,,
2182,0.7702,,,,,,,,
2180,0.7535,,,,,,,,
2142,0.7583,,,,,,,,
2175,0.6507,,,,,,,,
2107,0.7177,,,,,,,,
2081,0.7305,,,,,,,,
2056,0.7158,,,,,,,,
2052,0.6956,,,,,,,,
2022,0.7001,,,,,,,,
1977,0.6822,,,,,,,,
1989,0.6795,,,,,,,,
1947,0.7144,,,,,,,,
1940,0.6724,,,,,,,,
65108,0.2995,,,,,,,,
64706,0.2027,,,,,,,,
59862,0.545,,,,,,,,
58095,0.3283,,,,,,,,
55892,0.4629,,,,,,,,
53976,0.3337,,,,,,,,
52187,0.6106,,,,,,,,
50362,0.5095,,,,,,,,
48566,0.4398,,,,,,,,
46774,0.3794,,,,,,,,
45253,0.4659,,,,,,,,
43621,0.4271,,,,,,,,
42116,0.3645,,,,,,,,
40650,0.3164,,,,,,,,
39310,0.2447,,,,,,,,
37852,0.2564,,,,,,,,
36556,0.2176,,,,,,,,
35376,0.1578,,,,,,,,
34115,0.1601,,,,,,,,
32882,0.1556,,,,,,,,
31821,0.1317,,,,,,,,
30653,0.1429,,,,,,,,
29672,0.1194,,,,,,,,
28679,0.1212,,,,,,,,
27631,0.1432,,,,,,,,
26824,0.0943,,,,,,,,
25888,0.1022,,,,,,,,
24905,0.1742,,,,,,,,
24143,0.141,,,,,,,,
23497,0.0841,,,,,,,,
22487,0.2002,,,,,,,,
21887,0.1401,,,,,,,,
21190,0.1392,,,,,,,,
20416,0.2225,,,,,,,,
19831,0.174,,,,,,,,
19259,0.1558,,,,,,,,
18628,0.1795,,,,,,,,
18093,0.1748,,,,,,,,
17901,0,,,,,,,,
16967,0.2138,,,,,,,,
16435,0.2333,,,,,,,,
15892,0.2523,,,,,,,,
15478,0.2294,,,,,,,,
14942,0.2802,,,,,,,,
14566,0.2582,,,,,,,,
14088,0.2896,,,,,,,,
13723,0.2851,,,,,,,,
13215,0.3613,,,,,,,,
12975,0.2971,,,,,,,,
12620,0.2688,,,,,,,,
12227,0.3236,,,,,,,,
11897,0.317,,,,,,,,
11501,0.3798,,,,,,,,
11210,0.3455,,,,,,,,
10909,0.3767,,,,,,,,
10595,0.383,,,,,,,,
10287,0.432,,,,,,,,
10065,0.3636,,,,,,,,
9752,0.4061,,,,,,,,
9523,0.3981,,,,,,,,
9214,0.1815,,,,,,,,
8959,0.23,,,,,,,,
8795,0.1685,,,,,,,,
8513,0.2372,,,,,,,,
8284,0.2677,,,,,,,,
8053,0.1505,,,,,,,,
7813,0.1579,,,,,,,,
7635,0.1955,,,,,,,,
7413,0.2365,,,,,,,,
7228,0.2382,,,,,,,,
7026,0.2807,,,,,,,,
6836,0.3007,,,,,,,,
6653,0.1442,,,,,,,,
6495,0.1552,,,,,,,,
6347,0.1816,,,,,,,,
6171,0.1926,,,,,,,,
5997,0.2785,,,,,,,,
5813,0.2858,,,,,,,,
5680,0.2964,,,,,,,,
5514,0.3389,,,,,,,,
5401,0.1639,,,,,,,,
5264,0.2012,,,,,,,,
5088,0.2725,,,,,,,,
4977,0.2937,,,,,,,,
4897,0.2683,,,,,,,,
4723,0.3748,,,,,,,,
4588,0.2527,,,,,,,,
4518,0.2505,,,,,,,,
4415,0.2515,,,,,,,,
4366,0.1696,,,,,,,,
4191,0.354,,,,,,,,
4114,0.3337,,,,,,,,
3971,0.4334,,,,,,,,
3895,0.4268,,,,,,,,
3803,0.438,,,,,,,,
3710,0.1806,,,,,,,,
3617,0.2195,,,,,,,,
3555,0.2436,,,,,,,,
3493,0.2047,,,,,,,,
3344,0.3639,,,,,,,,
3305,0.3016,,,,,,,,
3233,0.3606,,,,,,,,
3141,0.424,,,,,,,,
3105,0.4255,,,,,,,,
3004,0.5217,,,,,,,,
2940,0.5055,,,,,,,,
2895,0.4762,,,,,,,,
2793,0.6374,,,,,,,,
