intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,58966,63817,63856,62944,64004,63579,62210,64229
59827,0.2654,56934,60542,60323,60100,60986,60444,59492,62987
57844,0.2654,55051,58585,57932,57716,58155,58216,57329,58501
55736,0.2654,53412,56778,55718,55685,56072,56257,55365,56674
53660,0.2654,51482,54852,53585,53472,53867,54132,53361,54525
51755,0.2654,49598,53118,51490,51592,51897,52288,51391,52656
49887,0.2654,48025,51377,49587,49577,50049,50407,49538,50827
48131,0.2654,46369,49806,47695,47705,48013,48516,47837,48968
46295,0.2654,44731,48145,45792,45848,46282,46785,46001,47204
44680,0.2654,43165,46610,43939,44130,44558,45148,44344,45675
43007,0.2654,41795,45042,42273,42491,42925,43471,42758,44034
41319,0.2654,40169,43619,40720,40746,41281,41923,41115,42396
39715,0.2654,38875,42097,39242,39220,39718,40376,39723,40910
38314,0.2654,37488,40779,37732,37679,38222,38835,38123,39404
36967,0.2654,36218,39398,36378,36286,36811,37562,36739,38154
35450,0.2654,35032,38095,35008,34766,35309,36104,35430,36781
34143,0.2654,33938,36898,33719,33553,33988,34785,34132,35454
32981,0.2654,32757,35711,32541,32285,32883,33619,32919,34252
31735,0.2654,31682,34572,31368,30964,31673,32378,31732,33143
30638,0.2654,30586,33480,30351,29916,30433,31249,30547,32131
29632,0.2654,29614,32349,29218,28960,29334,30131,29610,30967
28487,0.2654,28651,31326,28114,27892,28297,29002,28499,29897
27379,0.2654,27667,30168,27287,26935,27323,28006,27506,28870
26454,0.2654,26808,29188,26419,25931,26361,27045,26587,27938
25477,0.2654,25949,28276,25499,25088,25393,25992,25594,27026
24609,0.2654,25203,27231,24650,24250,24589,25155,24724,26175
23740,0.2654,24405,26341,23906,23433,23640,24319,23887,25244
22822,0.2654,23619,25386,23002,22717,22812,23403,23012,24421
22083,0.4807,23088,24619,22322,22089,22197,22632,22307,23694
21247,0.4905,22252,23910,21723,21422,21362,22007,21638,22942
20479,0.5008,21614,23034,20921,20642,20651,21069,20802,22016
19755,0.4572,20967,22198,20400,20063,19882,20424,20126,21379
19075,0.4351,20317,21434,19754,19460,19318,19780,19424,20610
18361,0.4492,19763,20810,19091,18840,18712,19066,18879,19968
17791,0.3957,19226,20203,18619,18393,18168,18525,18347,19412
17076,0.4381,18608,19470,18101,17780,17621,17800,17638,18725
16594,0.3612,18086,18808,17569,17317,17154,17341,17090,18096
15949,0.3969,17493,18325,17024,16906,16567,16839,16583,17700
15730,0.2221,17420,18047,16900,16733,16487,16566,16459,17445
14815,0.4207,16401,16937,15903,15888,15667,15679,15479,16472
14316,0.4025,15866,16422,15444,15365,15170,15162,15039,15947
13756,0.4416,15338,15892,14959,14915,14751,14734,14486,15473
13234,0.472,14855,15431,14491,14591,14294,14297,14113,15041
12847,0.4428,14488,14926,14104,14055,13958,13853,13680,14532
12400,0.4556,14008,14439,13613,13639,13555,13466,13222,14140
11982,0.4268,13599,14094,13164,13274,13251,13048,12887,13737
11561,0.444,13135,13535,12849,12894,12912,12666,12498,13251
11115,0.5083,12727,13159,12393,12589,12520,12255,12061,12844
10825,0.4665,12328,12824,12097,12229,12236,11897,11781,12473
10443,0.4611,12001,12418,11625,11868,11889,11506,11356,12102
10178,0.4066,11664,11978,11343,11487,11591,11264,11116,11819
9780,0.4817,11248,11667,11031,11223,11357,10884,10751,11485
9448,0.501,10927,11340,10763,10829,11034,10572,10499,11158
9153,0.5124,10642,11008,10422,10532,10800,10316,10237,10792
8891,0.4762,10322,10675,10156,10201,10473,9985,9865,10536
8503,0.5691,9954,10442,9841,9997,10244,9691,9584,10285
