intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8
62114,0.2654,60157,61422,61079,64017,62076,61383,63469,62823
59827,0.2654,57731,58636,58409,61663,59054,58794,60771,59507
57844,0.2654,55536,56379,56288,57816,56775,56787,57877,57159
55736,0.2654,53499,54516,54282,55839,54758,54841,55961,55233
53660,0.2654,51322,52294,52032,53558,52500,52777,53962,53003
51755,0.2654,49349,50395,49919,51399,50485,50870,52166,51137
49887,0.2654,47446,48385,48146,49420,48767,49192,50434,49192
48131,0.2654,45463,46606,46221,47485,46816,47436,48729,47354
46295,0.2654,43727,44916,44388,45548,44974,45662,46831,45577
44680,0.2654,42043,43167,42514,43869,43210,43944,45169,43937
43007,0.2654,40420,41570,40845,42032,41494,42418,43715,42304
41319,0.2654,38829,39860,39291,40373,39998,40780,42170,40557
39715,0.2654,37317,38393,37683,38726,38474,39439,40575,39060
38314,0.2654,35860,36910,36198,37196,36985,37992,39167,37618
36967,0.2654,34522,35552,34843,35815,35625,36696,37831,36327
35450,0.2654,33151,34305,33476,34441,34262,35257,36482,34940
34143,0.2654,31861,32950,32372,33025,33013,34015,35213,33625
32981,0.2654,30719,31737,31205,31867,31839,32855,34054,32362
31735,0.2654,29519,30563,30045,30669,30663,31593,32854,31243
30638,0.2654,28434,29365,29038,29649,29558,30500,31708,30072
29632,0.2654,27417,28335,27865,28669,28509,29535,30617,29053
28487,0.2654,26432,27313,26923,27617,27407,28300,29544,27926
27379,0.2654,25426,26278,26024,26673,26426,27442,28610,27002
26454,0.2654,24524,25298,25281,25821,25529,26514,27563,26165
25477,0.2654,23642,24191,24317,24954,24524,25466,26594,25178
24609,0.2654,22771,23384,23532,24175,23765,24667,25690,24242
23740,0.2654,21910,22493,22640,23319,22788,23710,24815,23449
22822,0.2654,21229,21576,21976,22580,21969,22863,23915,22660
22083,0.4807,20483,20783,21201,21933,21282,22180,23201,21940
21247,0.4905,19884,20149,20579,21265,20553,21442,22411,21267
20479,0.5008,18916,19281,19866,20497,19612,20602,21597,20594
19755,0.4572,18369,18529,19319,19875,18900,19946,20836,19945
19075,0.4351,17699,17793,18602,19271,18165,19229,20154,19284
18361,0.4492,17067,17185,17891,18604,17577,18565,19422,18614
17791,0.3957,16582,16560,17485,18149,17008,18005,18945,18169
17076,0.4381,15955,15907,16808,17407,16244,17310,18206,17536
16594,0.3612,15494,15385,16250,16942,15775,16797,17659,17140
15949,0.3969,14915,14796,15753,16324,15156,16270,17053,16553
15730,0.2221,14743,14609,15587,16268,14947,15985,16887,16458
14815,0.4207,13871,13877,14816,15300,14077,15067,15906,15468
14316,0.4025,13316,13258,14178,14703,13570,14605,15393,15110
13756,0.4416,12888,12852,13731,14369,13113,14131,14909,14610
13234,0.472,12530,12403,13295,13871,12648,13602,14476,14279
12847,0.4428,12063,11913,12820,13352,12292,13150,14003,13789
12400,0.4556,11671,11580,12413,12925,11872,12776,13575,13487
11982,0.4268,11337,11183,12030,12539,11466,12302,13118,13112
11561,0.444,10957,10868,11575,12163,11049,11942,12795,12724
11115,0.5083,10602,10504,11165,11702,10759,11517,12313,12352
10825,0.4665,10273,10252,10877,11402,10480,11251,11976,12074
10443,0.4611,9988,9916,10465,11067,10095,10929,11581,11711
10178,0.4066,9714,9609,10115,10775,9900,10526,11324,11389
9780,0.4817,9341,9334,9792,10534,9552,10226,11000,11089
9448,0.501,9043,8958,9504,10177,9356,9886,10687,10750
9153,0.5124,8861,8704,9153,9930,9060,9691,10333,10522
8891,0.4762,8518,8518,8876,9643,8841,9327,10076,10169
8503,0.5691,8329,8254,8577,9403,8564,9056,9747,9907
8299,0.4988,8122,7947,8316,9188,8399,8757,9452,9600
8025,0.5476,7863,7729,8061,8961,8128,8557,9207,9384
7765,0.5595,7685,7498,7845,8745,7952,8349,8937,9085
7517,0.5498,7440,7304,7539,8518,7753,8046,8691,8900
7276,0.5866,7178,7066,7313,8285,7538,7810,8444,8627
7054,0.5755,7010,6859,7094,8044,7340,7630,8189,8341
6876,0.5767,6829,6688,6946,7858,7191,7440,8054,8248
6643,0.5667,6680,6458,6698,7671,6985,7267,7792,7986
6415,0.64,6512,6246,6503,7415,6785,6934,7558,7722
6218,0.6125,6353,6101,6338,7214,6575,6775,7373,7506
5942,0.7416,6150,5914,6191,7009,6414,6648,7140,7356
5837,0.673,6018,5697,5928,6817,6254,6439,6965,7183
5589,0.7955,5830,5636,5781,6669,6138,6269,6723,6909
5450,0.7686,5690,5416,5652,6445,5913,6119,6628,6761
5326,0.7487,5609,5314,5482,6325,5798,5983,6413,6538
5153,0.759,5437,5120,5340,6112,5630,5819,6290,6415
4956,0.8547,5293,5025,5178,5965,5523,5599,6087,6280
4828,0.8183,5158,4841,5050,5811,5333,5530,5932,6115
4670,0.9132,5080,4696,4867,5687,5168,5334,5806,5937
4578,0.8548,4956,4624,4699,5524,5018,5200,5620,5806
4433,0.8623,4844,4480,4610,5361,4941,5076,5528,5644
4308,0.9162,4726,4398,4469,5233,4814,4948,5349,5532
4209,0.8745,4556,4277,4360,5041,4693,4836,5250,5321
4072,0.9805,4488,4179,4198,4949,4544,4672,5148,5244
4021,0.8305,4375,4125,4114,4848,4438,4591,4985,5120
3873,1,4262,3986,3994,4763,4329,4457,4842,4989
3768,0.9212,4200,3879,3883,4621,4198,4320,4752,4930
3687,0.9307,4091,3827,3744,4466,4107,4275,4685,4822
3623,0.8828,4005,3753,3653,4388,4022,4148,4579,4686
3534,0.9255,3920,3684,3577,4271,3884,4040,4413,4565
3460,0.9227,3775,3568,3526,4195,3823,3917,4352,4447
3414,0.7851,3733,3490,3433,4045,3704,3881,4231,4416
3288,0.9254,3680,3459,3374,4007,3620,3818,4130,4325
3273,0.8114,3548,3360,3298,3918,3536,3717,4059,4283
3167,0.8832,3416,3273,3232,3782,3473,3582,3985,4150
3120,0.8411,3401,3225,3139,3746,3332,3563,3883,4066
3069,0.7581,3292,3205,3090,3636,3320,3477,3786,3990
2957,0.9017,3237,3058,3019,3521,3230,3374,3685,3866
2940,0.8044,3183,2988,2923,3422,3176,3310,3647,3826
2883,0.7865,3069,2994,2874,3362,3123,3256,3566,3713
2805,0.7958,3009,2919,2851,3289,3025,3199,3496,3626
2825,0.6717,2943,2892,2780,3251,2963,3110,3433,3603
2738,0.728,2867,2815,2722,3192,2913,3078,3331,3448
2696,0.7529,2831,2727,2673,3079,2835,2940,3258,3424
2648,0.6415,2750,2665,2653,3106,2760,2883,3172,3358
2614,0.6685,2678,2652,2558,3003,2741,2833,3118,3342
2555,0.6626,2657,2583,2534,2938,2660,2811,3075,3228
2533,0.6007,2573,2519,2497,2899,2634,2681,3007,3131
2491,0.5804,2530,2471,2425,2875,2549,2680,2972,3111
2474,0.5792,2473,2460,2412,2835,2515,2616,2891,3070
2413,0.5169,2434,2409,2329,2827,2484,2570,2855,3025
2411,0.3694,2396,2376,2284,2743,2434,2539,2804,2956
2364,0.4867,2333,2337,2299,2725,2420,2516,2755,2904
2301,0.5049,2323,2320,2259,2681,2348,2469,2724,2796
2294,0.4926,2246,2273,2218,2647,2332,2442,2678,2804
2308,0.28,2174,2215,2192,2594,2261,2364,2602,2784
2215,0.388,2163,2198,2143,2621,2292,2352,2604,2692
2208,0.441,2160,2177,2114,2535,2243,2261,2562,2632
2175,0.3791,2134,2107,2066,2521,2212,2253,2485,2563
2169,0.2113,2028,2056,2016,2491,2175,2225,2450,2539
2135,0.3015,2031,2063,2018,2469,2126,2219,2400,2514
2113,0.2331,1941,2031,1998,2405,2112,2124,2344,2485
2083,0.2736,1936,2025,1942,2403,2126,2092,2308,2396
2064,0.1927,1873,2030,1938,2324,2086,2082,2287,2358
2046,0.1583,1896,1945,1925,2326,2073,2069,2244,2362
2013,0.1066,1803,1932,1862,2310,2010,2034,2208,2352
2006,0.0988,1792,1861,1863,2280,1984,1993,2198,2275
1932,0.1476,1783,1871,1818,2195,1993,1978,2157,2241
1964,0.0139,1745,1805,1830,2182,1937,1927,2101,2235
1922,0.0533,1719,1795,1786,2176,1926,1931,2123,2204
1924,0,1702,1788,1759,2105,1921,1903,2072,2159
1864,0.1556,1700,1762,1767,2143,1889,1907,2029,2114
60084,0.1023,,,,,,,,
57757,0.0788,,,,,,,,
55771,0.0437,,,,,,,,
53691,0.0235,,,,,,,,
