intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,1120,1098,973,1049,1011,1011,1116,902,916,50418
59827,0.2654,1125,1064,960,1003,1009,1010,1112,935,907,48205
57844,0.2654,1121,1105,1016,1068,1054,998,1125,920,948,46171
55736,0.2654,1107,1104,1000,1020,1038,1017,1125,925,946,44314
53660,0.2654,1142,1070,941,1075,1067,1063,1165,903,937,42350
51755,0.2654,1149,1122,1005,1099,1043,1054,1194,989,925,40516
49887,0.2654,1127,1123,1018,1075,1092,1035,1194,956,975,38918
48131,0.2654,1145,1145,989,1088,1088,1085,1183,978,1003,37297
46295,0.2654,1158,1137,1014,1091,1050,1076,1214,959,1003,35773
44680,0.2654,1170,1166,1030,1093,1121,1090,1228,992,998,34193
43007,0.2654,1186,1143,1036,1089,1140,1086,1227,979,1057,32864
41319,0.2654,1156,1176,1046,1133,1112,1081,1297,1046,1029,31598
39715,0.2654,1192,1182,1063,1114,1150,1095,1289,1042,1038,30351
38314,0.2654,1193,1187,1084,1160,1137,1126,1341,1034,1078,29253
36967,0.2654,1209,1198,1058,1157,1137,1116,1315,1052,1082,28139
35450,0.2654,1244,1236,1072,1157,1171,1152,1332,1088,1135,26926
34143,0.2654,1272,1214,1045,1202,1189,1151,1370,1089,1126,25961
32981,0.2654,1265,1239,1100,1212,1233,1175,1398,1115,1129,24879
31735,0.2654,1249,1266,1117,1219,1227,1221,1380,1115,1191,23975
30638,0.2654,1297,1270,1121,1211,1222,1215,1418,1132,1205,23068
29632,0.2654,1294,1287,1147,1226,1251,1236,1462,1160,1180,22242
28487,0.2654,1320,1297,1136,1265,1273,1229,1491,1183,1249,21301
27379,0.2654,1321,1294,1204,1273,1274,1245,1534,1182,1221,20508
26454,0.2654,1338,1308,1161,1299,1279,1282,1546,1213,1268,19723
25477,0.2654,1372,1346,1200,1337,1312,1290,1577,1234,1304,18946
24609,0.2654,1366,1376,1215,1343,1351,1325,1574,1253,1344,18240
23740,0.2654,1341,1375,1205,1361,1359,1318,1630,1259,1335,17448
22822,0.2654,1408,1357,1276,1385,1361,1373,1667,1255,1349,16807
22083,0.4807,1413,1420,1301,1431,1421,1349,1751,1300,1360,16235
21247,0.4905,1403,1440,1304,1434,1428,1371,1755,1377,1423,15641
20479,0.5008,1476,1445,1337,1443,1437,1422,1794,1358,1437,15008
19755,0.4572,1494,1499,1276,1471,1454,1433,1814,1379,1494,14464
19075,0.4351,1534,1471,1343,1536,1505,1435,1862,1413,1525,13970
18361,0.4492,1557,1518,1391,1549,1497,1469,1907,1455,1563,13410
17791,0.3957,1543,1541,1340,1555,1538,1507,1937,1459,1561,13007
17076,0.4381,1551,1587,1428,1580,1607,1527,2042,1499,1575,12503
16594,0.3612,1592,1609,1481,1640,1602,1583,2036,1491,1639,12019
15949,0.3969,1605,1630,1437,1645,1656,1570,2124,1586,1654,11608
15730,0.2221,1660,1688,1561,1721,1729,1623,2130,1602,1729,11420
14815,0.4207,1686,1711,1537,1744,1750,1643,2171,1598,1732,10659
14316,0.4025,1688,1770,1516,1777,1791,1696,2218,1653,1766,10283
13756,0.4416,1723,1794,1558,1813,1832,1657,2227,1674,1818,9955
13234,0.472,1769,1818,1625,1828,1860,1717,2326,1709,1846,9552
