intensity,ua,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
62114,0.2654,64382,62483,61792,62754,62209,63054,60017,63481,62651,46167
59827,0.2654,64465,59744,59376,59681,59693,59851,58089,60728,59632,44653
57844,0.2654,60880,57848,57339,57444,57628,57371,56313,58191,57546,43270
55736,0.2654,57788,56087,55579,55695,55827,55473,54675,56476,55984,42007
53660,0.2654,55718,54120,53810,53836,53945,53418,52793,54647,54064,40447
51755,0.2654,53699,52430,51994,51912,52260,51463,51156,52922,52252,38942
49887,0.2654,51866,50676,50283,50203,50637,49597,49605,51231,50466,37661
48131,0.2654,50115,49146,48709,48498,49060,47674,47942,49558,48694,36528
46295,0.2654,48251,47443,46947,46719,47274,45920,46309,47812,47017,35130
44680,0.2654,46474,45809,45441,45083,45918,44267,44889,46312,45447,33912
43007,0.2654,44943,44275,43939,43547,44367,42640,43425,44962,43831,32807
41319,0.2654,43293,42767,42340,42120,42768,41020,41991,43137,42265,31644
39715,0.2654,41748,41212,41014,40476,41454,39467,40539,41773,40673,30479
38314,0.2654,40409,39964,39621,39177,40060,37987,39283,40372,39283,29515
36967,0.2654,38999,38672,38364,37773,38712,36509,38038,39012,37879,28450
35450,0.2654,37621,37205,37071,36495,37376,35190,36787,37747,36459,27537
34143,0.2654,36401,35978,35728,35329,36161,33785,35519,36500,35172,26475
32981,0.2654,35192,34790,34527,34115,35008,32580,34402,35279,33915,25689
31735,0.2654,33923,33552,33457,33001,33940,31400,33253,34088,32661,24898
30638,0.2654,32862,32481,32238,31917,32752,30285,32190,32903,31643,24096
29632,0.2654,31774,31340,31269,30881,31955,29381,31149,31981,30499,23298
28487,0.2654,30596,30188,29912,29860,30716,28153,30111,30925,29398,22505
27379,0.2654,29668,29157,28917,28786,29677,27228,29053,29912,28463,21722
26454,0.2654,28808,28118,27905,27860,28733,26417,28192,28823,27388,21066
25477,0.2654,27604,27155,26896,26786,27835,25417,27242,27912,26543,20334
24609,0.2654,26739,26196,26180,25925,26955,24642,26223,27201,25730,19650
23740,0.2654,25878,25217,25136,25164,26099,23870,25436,26217,24840,19046
22822,0.2654,24925,24351,24270,24340,25268,23039,24688,25463,24025,18419
22083,0.4807,24251,23455,23459,23611,24439,22287,23931,24745,23316,17925
21247,0.4905,23385,22689,22692,22793,23743,21718,23182,23891,22803,17371
20479,0.5008,22526,21864,21851,21909,22945,20992,22338,23180,21921,16796
19755,0.4572,21794,21051,21009,21214,22160,20363,21550,22388,21285,16229
19075,0.4351,21142,20251,20322,20565,21435,19743,20836,21802,20680,15712
18361,0.4492,20355,19472,19513,19760,20744,19154,20177,21026,20144,15149
17791,0.3957,19843,18953,19054,19245,20215,18703,19630,20491,19616,14862
17076,0.4381,19068,18200,18269,18503,19421,18014,18977,19823,18988,14309
16594,0.3612,18534,17608,17650,17988,18879,17542,18428,19324,18689,13890
15949,0.3969,17847,16943,17118,17358,18273,17063,17916,18728,18211,13459
15730,0.2221,17729,16738,16953,17152,18060,16928,17675,18572,18099,13300
14815,0.4207,16638,15829,15942,16179,17026,16023,16719,17585,17121,12586
14316,0.4025,16142,15209,15419,15628,16505,15615,16239,17043,16622,12207
13756,0.4416,15602,14802,14974,15121,15913,15153,15751,16580,16230,11804
13234,0.472,15130,14205,14426,14627,15421,14757,15284,16052,15860,11495
12847,0.4428,14580,13715,13904,14178,14951,14234,14733,15566,15432,11142
12400,0.4556,14100,13235,13509,13772,14488,13814,14298,15134,14927,10808
11982,0.4268,13639,12878,13136,13265,14009,13495,13873,14740,14651,10449
11561,0.444,13227,12376,12701,12925,13516,13089,13403,14326,14260,10139
11115,0.5083,12767,11904,12279,12444,13093,12745,12979,13826,13834,9815
10825,0.4665,12389,11526,11941,12068,12706,12266,12617,13592,13528,9576
10443,0.4611,12068,11152,11587,11760,12387,11963,12202,13223,13150,9271
10178,0.4066,11674,10770,11178,11359,11949,11638,11913,12833,12795,9013
9780,0.4817,11303,10409,10875,11084,11561,11292,11552,12484,12529,8699
9448,0.501,10926,10110,10555,10769,11280,10941,11258,12192,12191,8412
9153,0.5124,10640,9698,10197,10422,10902,10750,10918,11783,11834,8184
8891,0.4762,10303,9431,9913,10123,10568,10304,10597,11576,11474,7910
8503,0.5691,10027,9051,9634,9805,10246,10049,10248,11195,11235,7748
8299,0.4988,9727,8812,9350,9528,9967,9765,10029,10845,10982,7507
