intensity,750,800,850,ua,ctr
62114,62670,60711,60525,0.2654,2979
59827,60250,58493,58663,0.2654,3031
57844,58269,56349,56790,0.2654,3104
55736,56540,54466,55076,0.2654,3168
53660,54368,52587,52926,0.2654,3241
51755,52299,50558,50967,0.2654,3179
49887,50448,48893,49138,0.2654,3340
48131,48578,46900,47238,0.2654,3247
46295,46804,45247,45370,0.2654,3330
44680,44986,43567,43789,0.2654,3385
43007,43362,41920,42259,0.2654,3464
41319,41678,40349,40523,0.2654,3446
39715,39979,38924,39050,0.2654,3481
38314,38508,37403,37422,0.2654,3650
36967,37148,36067,36053,0.2654,3633
35450,35676,34611,34792,0.2654,3633
34143,34333,33250,33482,0.2654,3691
32981,33192,32123,32316,0.2654,3741
31735,31860,30788,31111,0.2654,3840
30638,30676,29805,29834,0.2654,3811
29632,29661,28671,28817,0.2654,3939
28487,28560,27645,27707,0.2654,3899
27379,27438,26507,26625,0.2654,3945
26454,26451,25646,25716,0.2654,4108
25477,25432,24680,24755,0.2654,4075
24609,24545,23740,23889,0.2654,4187
23740,23617,22868,23041,0.2654,4222
22822,22803,21982,22166,0.2654,4264
22083,22033,21312,21530,0.4807,4347
21247,21247,20503,20698,0.4905,4387
20479,20423,19756,19980,0.5008,4428
19755,19675,19117,19210,0.4572,4563
19075,18908,18391,18462,0.4351,4614
18361,18233,17728,17786,0.4492,4684
17791,17712,17084,17310,0.3957,4699
17076,17014,16507,16543,0.4381,4776
16594,16444,16068,16063,0.3612,4823
15949,15810,15310,15533,0.3969,4893
15730,15468,14939,15237,0.2221,5069
14815,14621,14236,14342,0.4207,5121
14316,14107,13809,13738,0.4025,5112
13756,13526,13297,13263,0.4416,5236
13234,13141,12796,12859,0.472,5322
12847,12651,12427,12396,0.4428,5364
12400,12234,11962,11968,0.4556,5562
11982,11793,11629,11555,0.4268,5613
11561,11427,11234,11140,0.444,5686
11115,11022,10767,10784,0.5083,5709
10825,10658,10462,10428,0.4665,5850
10443,10275,10112,10110,0.4611,5961
10178,9942,9821,9785,0.4066,6161
9780,9603,9502,9428,0.4817,6214
9448,9248,9169,9178,0.501,6356
9153,8969,8876,8861,0.5124,6411
8891,8671,8488,8541,0.4762,6559
8503,8374,8323,8245,0.5691,6536
8299,8110,8021,7976,0.4988,6809
8025,7814,7752,7742,0.5476,6858
7765,7577,7474,7496,0.5595,7119
7517,7295,7242,7262,0.5498,7196
7276,7086,7051,6989,0.5866,7453
7054,6857,6791,6798,0.5755,7468
6876,6660,6616,6611,0.5767,7786
6643,6369,6450,6337,0.5667,7908
6415,6181,6228,6162,0.64,8009
6218,5996,6023,5919,0.6125,8262
5942,5789,5813,5776,0.7416,8470
5837,5643,5658,5537,0.673,8592
5589,5429,5410,5410,0.7955,8910
5450,5278,5269,5244,0.7686,9028
5326,5105,5137,5072,0.7487,9241
5153,4932,5017,4934,0.759,9499
4956,4802,4831,4814,0.8547,9750
4828,4669,4674,4641,0.8183,9856
4670,4512,4541,4524,0.9132,10256
