690,750,800,850,ua,690n,750n,800n,850n,690i,750i,800i,850i,uaa,690ni,750ni,800ni,850ni
62114,62670,60711,60525,0.2654,39236,52846,55624,56612,1539,1821,1916,1584,0.1264,2979,3413,3557,3256
59827,60250,58493,58663,0.2654,38123,51132,53785,54220,1539,1851,1958,1579,0,3031,3497,3637,3325
57844,58269,56349,56790,0.2654,37463,49899,52513,52561,1533,1886,1964,1595,0.3734,3104,3526,3695,3449
55736,56540,54466,55076,0.2654,36683,48773,51080,51096,1573,1902,2007,1581,0.0488,3168,3640,3776,3420
53660,54368,52587,52926,0.2654,35892,47457,49982,49288,1577,1934,1999,1619,0.397,3241,3605,3771,3392
51755,52299,50558,50967,0.2654,35277,46000,48783,47785,1593,1961,1990,1604,0.1378,3179,3702,3825,3480
49887,50448,48893,49138,0.2654,34594,44912,47599,46384,1603,1994,2044,1636,0.4256,3340,3708,3909,3663
48131,48578,46900,47238,0.2654,33842,43780,46363,44827,1623,1994,2082,1656,0.2846,3247,3807,3933,3612
46295,46804,45247,45370,0.2654,33076,42453,45130,43685,1592,2014,2117,1687,0.6316,3330,3818,4058,3711
44680,44986,43567,43789,0.2654,32382,41214,43980,42202,1641,2043,2112,1698,0.3291,3385,3901,3972,3755
43007,43362,41920,42259,0.2654,31649,40145,42787,41012,1655,2025,2142,1728,0.3644,3464,4040,4200,3753
41319,41678,40349,40523,0.2654,30764,38983,41482,39834,1686,2071,2191,1711,0.2124,3446,3953,4209,3864
39715,39979,38924,39050,0.2654,30139,37994,40385,38636,1645,2098,2213,1731,0.7958,3481,4044,4291,3902
38314,38508,37403,37422,0.2654,29045,37093,39319,37319,1704,2135,2232,1784,0.5862,3650,4089,4301,3854
36967,37148,36067,36053,0.2654,28474,35975,37991,36302,1728,2147,2207,1789,0.3352,3633,4244,4377,4007
35450,35676,34611,34792,0.2654,27395,35028,36931,35291,1763,2182,2287,1831,0.4835,3633,4217,4451,4076
34143,34333,33250,33482,0.2654,26584,34100,35834,34200,1743,2223,2363,1817,0.6532,3691,4317,4501,4106
32981,33192,32123,32316,0.2654,26055,33214,34918,33055,1762,2263,2393,1872,0.6613,3741,4365,4554,4102
31735,31860,30788,31111,0.2654,25186,32172,33659,32311,1789,2316,2368,1883,0.624,3840,4509,4689,4227
30638,30676,29805,29834,0.2654,24523,31326,32622,31100,1814,2351,2410,1898,0.6512,3811,4432,4610,4263
29632,29661,28671,28817,0.2654,23830,30407,31838,30342,1821,2352,2448,1864,0.6871,3939,4589,4802,4371
28487,28560,27645,27707,0.2654,23012,29610,30889,29604,1879,2400,2479,1925,0.5378,3899,4513,4846,4298
27379,27438,26507,26625,0.2654,22425,28751,29800,28623,1863,2449,2515,1953,0.7579,3945,4707,5047,4470
26454,26451,25646,25716,0.2654,21739,27851,28971,27574,1882,2508,2570,1987,0.8238,4108,4794,5079,4431
25477,25432,24680,24755,0.2654,21089,26978,28077,26873,1953,2529,2633,2084,0.6599,4075,4937,5081,4530
24609,24545,23740,23889,0.2654,20499,26252,27198,26047,1947,2546,2690,2096,0.7902,4187,4892,5249,4638
23740,23617,22868,23041,0.2654,19919,25542,26536,25213,1985,2611,2731,2134,0.8078,4222,5093,5255,4635
22822,22803,21982,22166,0.2654,19318,24759,25706,24398,2015,2655,2775,2119,0.7781,4264,5135,5398,4843
22083,22033,21312,21530,0.4807,18746,24117,25056,23731,2053,2691,2838,2200,0.6617,4347,5144,5449,4782
21247,21247,20503,20698,0.4905,18310,23360,24176,22910,2087,2807,2886,2235,0.7728,4387,5272,5501,4961
20479,20423,19756,19980,0.5008,17672,22657,23542,22333,2126,2809,2919,2263,1,4428,5316,5596,5084
19755,19675,19117,19210,0.4572,17254,22118,22964,21614,2142,2887,3005,2326,0.8128,4563,5475,5634,5044
19075,18908,18391,18462,0.4351,16696,21432,22286,20965,2177,2897,3034,2314,0.8266,4614,5572,5817,5167
18361,18233,17728,17786,0.4492,16161,20797,21593,20460,2208,2997,3108,2316,0.9281,4684,5579,5845,5136
