intensity,750,800,850,uaa,left,right,ctr,,,
1.64E-06,,,,0.0040481,1.54E-06,1.67E-06,1.64E-06,,,
1.74E-06,,,,0.0039374,1.76E-06,1.74E-06,1.74E-06,,,
1.63E-06,,,,0.0042647,1.75E-06,1.83E-06,1.63E-06,,,
1.81E-06,,,,0.0039801,1.91E-06,1.65E-06,1.81E-06,,,
1.71E-06,,,,0.0042854,1.92E-06,1.67E-06,1.71E-06,,,
1.87E-06,,,,0.0040582,1.91E-06,1.81E-06,1.87E-06,,,
1.80E-06,,,,0.0043105,2.05E-06,1.78E-06,1.80E-06,,,`
1.91E-06,,,,0.0041869,2.03E-06,1.99E-06,1.91E-06,,,
1.81E-06,,,,0.0044911,2.14E-06,1.78E-06,1.81E-06,,,
2.00E-06,,,,0.0042258,2.25E-06,2.12E-06,2.00E-06,,,
2.04E-06,,,,0.0042568,2.23E-06,2.01E-06,2.04E-06,,,
2.18E-06,,,,0.0041236,2.29E-06,2.10E-06,2.18E-06,,,
1.96E-06,,,,0.0046351,2.32E-06,2.13E-06,1.96E-06,,,
2.11E-06,,,,0.0044513,2.48E-06,2.14E-06,2.11E-06,,,
2.30E-06,,,,0.0042312,2.60E-06,2.26E-06,2.30E-06,,,
2.29E-06,,,,0.0043612,2.72E-06,2.16E-06,2.29E-06,,,
2.27E-06,,,,0.00451,2.75E-06,2.32E-06,2.27E-06,,,
2.34E-06,,,,0.0045171,2.80E-06,2.31E-06,2.34E-06,,,
2.42E-06,,,,0.0044844,3.13E-06,2.36E-06,2.42E-06,,,
2.48E-06,,,,0.0045083,3.03E-06,2.46E-06,2.48E-06,,,
2.54E-06,,,,0.0045397,3.02E-06,2.48E-06,2.54E-06,,,
2.70E-06,,,,0.0044089,3.26E-06,2.50E-06,2.70E-06,,,
2.65E-06,,,,0.0046018,3.34E-06,2.64E-06,2.65E-06,,,
2.70E-06,,,,0.0046596,3.31E-06,2.54E-06,2.70E-06,,,
2.87E-06,,,,0.0045159,3.68E-06,2.72E-06,2.87E-06,,,
2.88E-06,,,,0.0046302,3.71E-06,2.81E-06,2.88E-06,,,
2.96E-06,,,,0.0046455,3.89E-06,2.89E-06,2.96E-06,,,
3.07E-06,,,,0.0046196,3.90E-06,2.90E-06,3.07E-06,,,
3.24E-06,,,,0.0045175,4.03E-06,3.07E-06,3.24E-06,,,
3.27E-06,,,,0.0046149,4.31E-06,3.24E-06,3.27E-06,,,
3.22E-06,,,,0.0048141,4.53E-06,3.13E-06,3.22E-06,,,
3.45E-06,,,,0.0046499,4.60E-06,3.23E-06,3.45E-06,,,
3.54E-06,,,,0.0046621,4.62E-06,3.25E-06,3.54E-06,,,
3.58E-06,,,,0.0047511,4.90E-06,3.24E-06,3.58E-06,,,
3.78E-06,,,,0.004653,5.17E-06,3.44E-06,3.78E-06,,,
3.86E-06,,,,0.0046951,5.25E-06,3.47E-06,3.86E-06,,,
3.98E-06,,,,0.0046932,5.37E-06,3.63E-06,3.98E-06,,,
4.18E-06,,,,0.0046148,5.43E-06,3.72E-06,4.18E-06,,,
4.33E-06,,,,0.0045992,6.02E-06,3.89E-06,4.33E-06,,,
4.38E-06,,,,0.0046913,5.86E-06,3.86E-06,4.38E-06,,,
4.45E-06,,,,0.0047648,6.07E-06,4.03E-06,4.45E-06,,,
4.72E-06,,,,0.0046324,6.41E-06,4.00E-06,4.72E-06,,,
4.79E-06,,,,0.0047129,6.46E-06,4.13E-06,4.79E-06,,,
5.07E-06,,,,0.0045995,6.68E-06,4.22E-06,5.07E-06,,,
5.13E-06,,,,0.0046926,6.94E-06,4.28E-06,5.13E-06,,,
5.55E-06,,,,0.0044604,7.07E-06,4.50E-06,5.55E-06,,,
5.51E-06,,,,0.004661,7.33E-06,4.56E-06,5.51E-06,,,
5.75E-06,,,,0.0046061,7.71E-06,4.59E-06,5.75E-06,,,
5.91E-06,,,,0.0046343,7.82E-06,4.77E-06,5.91E-06,,,
6.46E-06,,,,0.0043424,8.11E-06,4.91E-06,6.46E-06,,,
6.60E-06,,,,0.0043974,8.48E-06,5.05E-06,6.60E-06,,,
6.61E-06,,,,0.0045509,8.66E-06,5.24E-06,6.61E-06,,,
6.92E-06,,,,0.004487,8.82E-06,5.28E-06,6.92E-06,,,
7.10E-06,,,,0.0045244,9.21E-06,5.66E-06,7.10E-06,,,
7.28E-06,,,,0.0045646,9.48E-06,5.55E-06,7.28E-06,,,
7.59E-06,,,,0.0045183,9.82E-06,5.86E-06,7.59E-06,,,
8.06E-06,,,,0.0043715,1.01E-05,5.93E-06,8.06E-06,,,
8.22E-06,,,,0.0044386,1.04E-05,6.26E-06,8.22E-06,,,
8.60E-06,,,,0.0043737,1.06E-05,6.38E-06,8.60E-06,,,
8.98E-06,,,,0.0043192,1.09E-05,6.71E-06,8.98E-06,,,
9.26E-06,,,,0.0043313,1.14E-05,6.80E-06,9.26E-06,,,
9.57E-06,,,,0.004336,1.18E-05,7.11E-06,9.57E-06,,,
9.90E-06,,,,0.004334,1.22E-05,7.22E-06,9.90E-06,,,
1.04E-05,,,,0.0042654,1.26E-05,7.38E-06,1.04E-05,,,
1.05E-05,,,,0.0043639,1.28E-05,7.53E-06,1.05E-05,,,
1.10E-05,,,,0.0043006,1.33E-05,7.90E-06,1.10E-05,,,
1.14E-05,,,,0.004272,1.38E-05,8.13E-06,1.14E-05,,,
1.20E-05,,,,0.0041739,1.40E-05,8.32E-06,1.20E-05,,,
1.22E-05,,,,0.0043147,1.43E-05,8.54E-06,1.22E-05,,,
1.28E-05,,,,0.0042259,1.49E-05,8.95E-06,1.28E-05,,,
1.31E-05,,,,0.0042835,1.54E-05,9.16E-06,1.31E-05,,,
1.36E-05,,,,0.0042704,1.62E-05,9.46E-06,1.36E-05,,,
1.40E-05,,,,0.0042944,1.64E-05,9.79E-06,1.40E-05,,,
1.47E-05,,,,0.0042207,1.68E-05,1.01E-05,1.47E-05,,,
1.50E-05,,,,0.0042941,1.75E-05,1.04E-05,1.50E-05,,,
1.56E-05,,,,0.0042764,1.77E-05,1.08E-05,1.56E-05,,,
1.64E-05,,,,0.0041981,1.87E-05,1.12E-05,1.64E-05,,,
1.70E-05,,,,0.0042024,1.92E-05,1.18E-05,1.70E-05,,,
1.75E-05,,,,0.0042398,1.97E-05,1.21E-05,1.75E-05,,,
1.80E-05,,,,0.0042711,2.04E-05,1.25E-05,1.80E-05,,,
1.88E-05,,,,0.0042193,2.09E-05,1.29E-05,1.88E-05,,,
1.94E-05,,,,0.00428,2.18E-05,1.35E-05,1.94E-05,,,
2.01E-05,,,,0.0042831,2.23E-05,1.39E-05,2.01E-05,,,
2.10E-05,,,,0.0042115,2.31E-05,1.45E-05,2.10E-05,,,
2.18E-05,,,,0.0042299,2.40E-05,1.52E-05,2.18E-05,,,
2.24E-05,,,,0.0042861,2.45E-05,1.56E-05,2.24E-05,,,
2.31E-05,,,,0.0043348,2.54E-05,1.64E-05,2.31E-05,,,
2.42E-05,,,,0.0042571,2.63E-05,1.69E-05,2.42E-05,,,
2.52E-05,,,,0.0042333,2.73E-05,1.78E-05,2.52E-05,,,
2.62E-05,,,,0.0042301,2.83E-05,1.88E-05,2.62E-05,,,
2.71E-05,,,,0.0042579,2.91E-05,1.92E-05,2.71E-05,,,
2.82E-05,,,,0.0042657,3.01E-05,2.01E-05,2.82E-05,,,
2.94E-05,,,,0.004,3.11E-05,2.12E-05,2.94E-05,,,
3.03E-05,,,,0.004,3.21E-05,2.19E-05,3.03E-05,,,
