intensity,750,800,850,uaa,left,right,ctr,,,
1.64E-06,,,,0.1264,1.54E-06,1.67E-06,1.64E-06,,,
1.74E-06,,,,0,1.76E-06,1.74E-06,1.74E-06,,,
1.63E-06,,,,0.3734,1.75E-06,1.83E-06,1.63E-06,,,
1.81E-06,,,,0.0488,1.91E-06,1.65E-06,1.81E-06,,,
1.71E-06,,,,0.397,1.92E-06,1.67E-06,1.71E-06,,,
1.87E-06,,,,0.1378,1.91E-06,1.81E-06,1.87E-06,,,
1.80E-06,,,,0.4256,2.05E-06,1.78E-06,1.80E-06,,,`
1.91E-06,,,,0.2846,2.03E-06,1.99E-06,1.91E-06,,,
1.81E-06,,,,0.6316,2.14E-06,1.78E-06,1.81E-06,,,
2.00E-06,,,,0.3291,2.25E-06,2.12E-06,2.00E-06,,,
2.04E-06,,,,0.3644,2.23E-06,2.01E-06,2.04E-06,,,
2.18E-06,,,,0.2124,2.29E-06,2.10E-06,2.18E-06,,,
1.96E-06,,,,0.7958,2.32E-06,2.13E-06,1.96E-06,,,
2.11E-06,,,,0.5862,2.48E-06,2.14E-06,2.11E-06,,,
2.30E-06,,,,0.3352,2.60E-06,2.26E-06,2.30E-06,,,
2.29E-06,,,,0.4835,2.72E-06,2.16E-06,2.29E-06,,,
2.27E-06,,,,0.6532,2.75E-06,2.32E-06,2.27E-06,,,
2.34E-06,,,,0.6613,2.80E-06,2.31E-06,2.34E-06,,,
2.42E-06,,,,0.624,3.13E-06,2.36E-06,2.42E-06,,,
2.48E-06,,,,0.6512,3.03E-06,2.46E-06,2.48E-06,,,
2.54E-06,,,,0.6871,3.02E-06,2.48E-06,2.54E-06,,,
2.70E-06,,,,0.5378,3.26E-06,2.50E-06,2.70E-06,,,
2.65E-06,,,,0.7579,3.34E-06,2.64E-06,2.65E-06,,,
2.70E-06,,,,0.8238,3.31E-06,2.54E-06,2.70E-06,,,
2.87E-06,,,,0.6599,3.68E-06,2.72E-06,2.87E-06,,,
2.88E-06,,,,0.7902,3.71E-06,2.81E-06,2.88E-06,,,
2.96E-06,,,,0.8078,3.89E-06,2.89E-06,2.96E-06,,,
3.07E-06,,,,0.7781,3.90E-06,2.90E-06,3.07E-06,,,
3.24E-06,,,,0.6617,4.03E-06,3.07E-06,3.24E-06,,,
3.27E-06,,,,0.7728,4.31E-06,3.24E-06,3.27E-06,,,
3.22E-06,,,,1,4.53E-06,3.13E-06,3.22E-06,,,
3.45E-06,,,,0.8128,4.60E-06,3.23E-06,3.45E-06,,,
3.54E-06,,,,0.8266,4.62E-06,3.25E-06,3.54E-06,,,
3.58E-06,,,,0.9281,4.90E-06,3.24E-06,3.58E-06,,,
3.78E-06,,,,0.8162,5.17E-06,3.44E-06,3.78E-06,,,
3.86E-06,,,,0.8643,5.25E-06,3.47E-06,3.86E-06,,,
3.98E-06,,,,0.8621,5.37E-06,3.63E-06,3.98E-06,,,
4.18E-06,,,,0.7727,5.43E-06,3.72E-06,4.18E-06,,,
4.33E-06,,,,0.7549,6.02E-06,3.89E-06,4.33E-06,,,
4.38E-06,,,,0.86,5.86E-06,3.86E-06,4.38E-06,,,
4.45E-06,,,,0.9438,6.07E-06,4.03E-06,4.45E-06,,,
4.72E-06,,,,0.7927,6.41E-06,4.00E-06,4.72E-06,,,
4.79E-06,,,,0.8846,6.46E-06,4.13E-06,4.79E-06,,,
5.07E-06,,,,0.7552,6.68E-06,4.22E-06,5.07E-06,,,
5.13E-06,,,,0.8614,6.94E-06,4.28E-06,5.13E-06,,,
5.55E-06,,,,0.5966,7.07E-06,4.50E-06,5.55E-06,,,
5.51E-06,,,,0.8254,7.33E-06,4.56E-06,5.51E-06,,,
5.75E-06,,,,0.7628,7.71E-06,4.59E-06,5.75E-06,,,
5.91E-06,,,,0.7949,7.82E-06,4.77E-06,5.91E-06,,,
6.46E-06,,,,0.462,8.11E-06,4.91E-06,6.46E-06,,,
6.60E-06,,,,0.5248,8.48E-06,5.05E-06,6.60E-06,,,
6.61E-06,,,,0.6998,8.66E-06,5.24E-06,6.61E-06,,,
6.92E-06,,,,0.6269,8.82E-06,5.28E-06,6.92E-06,,,
7.10E-06,,,,0.6696,9.21E-06,5.66E-06,7.10E-06,,,
7.28E-06,,,,0.7154,9.48E-06,5.55E-06,7.28E-06,,,
7.59E-06,,,,0.6626,9.82E-06,5.86E-06,7.59E-06,,,
8.06E-06,,,,0.4952,1.01E-05,5.93E-06,8.06E-06,,,
8.22E-06,,,,0.5717,1.04E-05,6.26E-06,8.22E-06,,,
8.60E-06,,,,0.4977,1.06E-05,6.38E-06,8.60E-06,,,
8.98E-06,,,,0.4356,1.09E-05,6.71E-06,8.98E-06,,,
9.26E-06,,,,0.4493,1.14E-05,6.80E-06,9.26E-06,,,
9.57E-06,,,,0.4547,1.18E-05,7.11E-06,9.57E-06,,,
9.90E-06,,,,0.4525,1.22E-05,7.22E-06,9.90E-06,,,
1.04E-05,,,,0.3742,1.26E-05,7.38E-06,1.04E-05,,,
1.05E-05,,,,0.4865,1.28E-05,7.53E-06,1.05E-05,,,
1.10E-05,,,,0.4143,1.33E-05,7.90E-06,1.10E-05,,,
1.14E-05,,,,0.3817,1.38E-05,8.13E-06,1.14E-05,,,
1.20E-05,,,,0.2698,1.40E-05,8.32E-06,1.20E-05,,,
1.22E-05,,,,0.4303,1.43E-05,8.54E-06,1.22E-05,,,
1.28E-05,,,,0.3291,1.49E-05,8.95E-06,1.28E-05,,,
1.31E-05,,,,0.3948,1.54E-05,9.16E-06,1.31E-05,,,
1.36E-05,,,,0.3799,1.62E-05,9.46E-06,1.36E-05,,,
1.40E-05,,,,0.4073,1.64E-05,9.79E-06,1.40E-05,,,
1.47E-05,,,,0.3232,1.68E-05,1.01E-05,1.47E-05,,,
1.50E-05,,,,0.407,1.75E-05,1.04E-05,1.50E-05,,,
1.56E-05,,,,0.3867,1.77E-05,1.08E-05,1.56E-05,,,
1.64E-05,,,,0.2974,1.87E-05,1.12E-05,1.64E-05,,,
1.70E-05,,,,0.3023,1.92E-05,1.18E-05,1.70E-05,,,
1.75E-05,,,,0.3449,1.97E-05,1.21E-05,1.75E-05,,,
1.80E-05,,,,0.3806,2.04E-05,1.25E-05,1.80E-05,,,
1.88E-05,,,,0.3215,2.09E-05,1.29E-05,1.88E-05,,,
1.94E-05,,,,0.3909,2.18E-05,1.35E-05,1.94E-05,,,
2.01E-05,,,,0.3943,2.23E-05,1.39E-05,2.01E-05,,,
2.10E-05,,,,0.3127,2.31E-05,1.45E-05,2.10E-05,,,
2.18E-05,,,,0.3336,2.40E-05,1.52E-05,2.18E-05,,,
2.24E-05,,,,0.3977,2.45E-05,1.56E-05,2.24E-05,,,
2.31E-05,,,,0.4533,2.54E-05,1.64E-05,2.31E-05,,,
2.42E-05,,,,0.3647,2.63E-05,1.69E-05,2.42E-05,,,
2.52E-05,,,,0.3376,2.73E-05,1.78E-05,2.52E-05,,,
2.62E-05,,,,0.3339,2.83E-05,1.88E-05,2.62E-05,,,
2.71E-05,,,,0.3656,2.91E-05,1.92E-05,2.71E-05,,,
2.82E-05,,,,0.3745,3.01E-05,2.01E-05,2.82E-05,,,
2.94E-05,,,,0.0715,3.11E-05,2.12E-05,2.94E-05,,,
3.03E-05,,,,0.0715,3.21E-05,2.19E-05,3.03E-05,,,
3.11E-05,,,,0.0715,3.32E-05,2.29E-05,3.11E-05,,,
3.24E-05,,,,0.0715,3.43E-05,2.38E-05,3.24E-05,,,
3.35E-05,,,,0.0715,3.56E-05,2.50E-05,3.35E-05,,,
3.48E-05,,,,0.0715,3.73E-05,2.62E-05,3.48E-05,,,
3.63E-05,,,,0.0715,3.86E-05,2.77E-05,3.63E-05,,,
3.73E-05,,,,0.0715,3.97E-05,2.86E-05,3.73E-05,,,
3.87E-05,,,,0.0715,4.10E-05,2.98E-05,3.87E-05,,,
4.01E-05,,,,0.0715,4.22E-05,3.11E-05,4.01E-05,,,
4.15E-05,,,,0.0715,4.37E-05,3.25E-05,4.15E-05,,,
4.32E-05,,,,0.0715,4.55E-05,3.41E-05,4.32E-05,,,
