intensity,uaa,intenL
1539,0.1264,1540
1539,0,1573
1533,0.3734,1584
1573,0.0488,1625
1577,0.397,1626
1593,0.1378,1630
1603,0.4256,1670
1623,0.2846,1694
1592,0.6316,1709
1641,0.3291,1736
1655,0.3644,1753
1686,0.2124,1786
1645,0.7958,1771
1704,0.5862,1847
1728,0.3352,1864
1763,0.4835,1887
1743,0.6532,1902
1762,0.6613,1946
1789,0.624,1985
1814,0.6512,2015
1821,0.6871,2023
1879,0.5378,2115
1863,0.7579,2134
1882,0.8238,2150
1953,0.6599,2226
1947,0.7902,2243
1985,0.8078,2291
2015,0.7781,2341
2053,0.6617,2375
2087,0.7728,2432
2126,1,2511
2142,0.8128,2549
2177,0.8266,2560
2208,0.9281,2673
2258,0.8162,2708
2303,0.8643,2756
2318,0.8621,2816
2402,0.7727,2827
2449,0.7549,3020
2483,0.86,3001
2490,0.9438,3062
2588,0.7927,3153
2615,0.8846,3188
2723,0.7552,3267
2753,0.8614,3353
2849,0.5966,3385
2838,0.8254,3491
2956,0.7628,3589
3022,0.7949,3657
3175,0.462,3739
3217,0.5248,3860
3255,0.6998,3956
3364,0.6269,4011
3443,0.6696,4112
3483,0.7154,4218
3592,0.6626,4301
3728,0.4952,4413
3823,0.5717,4518
3950,0.4977,4616
4055,0.4356,4706
4176,0.4493,4848
4263,0.4547,4992
4407,0.4525,5119
4523,0.3742,5235
4618,0.4865,5327
4745,0.4143,5498
4914,0.3817,5659
5122,0.2698,5758
5185,0.4303,5894
5390,0.3291,6083
5511,0.3948,6205
5660,0.3799,6431
5822,0.4073,6542
6031,0.3232,6721
6189,0.407,6947
6380,0.3867,7067
6621,0.2974,7342
6846,0.3023,7508
7008,0.3449,7716
7234,0.3806,7929
7471,0.3215,8116
7703,0.3909,8417
7892,0.3943,8576
8240,0.3127,8870
8490,0.3336,9124
8732,0.3977,9336
8979,0.4533,9645
9333,0.3647,9908
9705,0.3376,10275
10047,0.3339,10621
10365,0.3656,10889
10723,0.3745,11240
11145,0.0715,11569
11457,0.0715,11943
11754,0.0715,12317
12188,0.0715,12670
12552,0.0715,13099
13019,0.0715,13685
13557,0.0715,14144
13916,0.0715,14495
14376,0.0715,14951
14859,0.0715,15373
15360,0.0715,15896
15926,0.0715,16499
16525,0.0715,16999
17102,0.0715,17628
17639,0.0715,18278
18374,0.0715,18844
18936,0.0715,19474
19605,0.0715,20188
20333,0.0715,20967
21100,0.0715,21576
21842,0.0715,22365
22651,0.0715,23048
23406,0.0715,23857
24263,0.0715,24798
25174,0.0715,25656
25998,0.0715,26464
26958,0.0715,27449
27954,0.0715,28476
28996,0.0715,29329
30017,0.0715,30415
31219,0.0715,31570
32349,0.0715,32700
33395,0.0715,33797
34536,0.0715,34997
35904,0.0715,36218
36917,0.0715,37528
