intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,4428,6164,4638,2817,3011,5001,6239,4102,3729
1539,0,4505,6242,4602,2811,3019,4944,6241,4121,3683
1533,0.3734,4464,6262,4588,2788,3014,4965,6289,4113,3702
1573,0.0488,4534,6334,4638,2802,3047,4966,6284,4170,3731
1577,0.397,4538,6254,4611,2852,3028,5025,6242,4159,3749
1593,0.1378,4544,6353,4622,2829,3088,5032,6268,4178,3724
1603,0.4256,4570,6373,4623,2835,3084,5036,6245,4096,3774
1623,0.2846,4590,6367,4623,2858,3110,5064,6269,4196,3780
1592,0.6316,4581,6371,4646,2845,3071,5035,6279,4127,3821
1641,0.3291,4593,6371,4538,2867,3062,5094,6307,4172,3844
1655,0.3644,4646,6443,4627,2840,3138,5067,6284,4198,3821
1686,0.2124,4637,6428,4622,2929,3128,5123,6256,4179,3887
1645,0.7958,4639,6454,4590,2965,3125,5093,6215,4189,3856
1704,0.5862,4684,6487,4593,2953,3165,5072,6319,4240,3922
1728,0.3352,4670,6492,4596,2995,3169,5069,6272,4148,3947
1763,0.4835,4721,6582,4595,2983,3186,5088,6286,4193,3917
1743,0.6532,4744,6570,4649,3001,3195,5125,6309,4229,3978
1762,0.6613,4715,6619,4628,3037,3177,5130,6300,4228,4049
1789,0.624,4731,6653,4646,3020,3199,5089,6350,4248,4034
1814,0.6512,4738,6625,4697,3072,3183,5143,6297,4304,4062
1821,0.6871,4774,6678,4686,3090,3207,5179,6315,4330,4122
1879,0.5378,4841,6701,4686,3127,3244,5172,6326,4285,4122
1863,0.7579,4796,6689,4727,3145,3217,5140,6247,4298,4199
1882,0.8238,4841,6720,4762,3153,3276,5195,6343,4367,4185
1953,0.6599,4835,6753,4727,3179,3291,5146,6332,4364,4182
1947,0.7902,4904,6743,4770,3221,3293,5193,6317,4339,4214
1985,0.8078,4862,6778,4802,3242,3271,5216,6286,4360,4249
2015,0.7781,4872,6820,4833,3276,3302,5230,6352,4396,4292
2053,0.6617,4989,6856,4887,3296,3348,5295,6335,4392,4343
2087,0.7728,4980,6872,4876,3289,3344,5257,6389,4480,4365
2126,1,5031,6802,4907,3380,3391,5264,6353,4456,4355
2142,0.8128,5049,6915,4885,3373,3404,5303,6409,4482,4382
2177,0.8266,5090,6897,4955,3387,3418,5304,6328,4504,4426
2208,0.9281,5153,6948,4966,3419,3404,5337,6417,4510,4394
2258,0.8162,5196,6982,5031,3448,3474,5378,6425,4609,4465
2303,0.8643,5196,6995,5000,3474,3505,5323,6450,4581,4469
2318,0.8621,5266,6957,5059,3550,3583,5422,6455,4614,4457
2402,0.7727,5290,7024,5066,3580,3569,5395,6461,4671,4531
2449,0.7549,5399,7151,5244,3689,3645,5507,6535,4739,4602
2483,0.86,5363,7092,5110,3640,3618,5427,6461,4722,4536
