intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9
1539,0.1264,1476,1546,1717,1653,1707,1747,1598,1663,1536
1539,0,1491,1544,1694,1722,1729,1751,1617,1679,1559
1533,0.3734,1515,1576,1764,1695,1750,1733,1630,1696,1567
1573,0.0488,1542,1565,1759,1709,1776,1797,1647,1719,1597
1577,0.397,1573,1601,1768,1744,1831,1790,1651,1746,1642
1593,0.1378,1597,1638,1835,1787,1822,1811,1710,1735,1649
1603,0.4256,1589,1641,1863,1771,1868,1861,1703,1770,1661
1623,0.2846,1595,1609,1846,1765,1863,1850,1722,1801,1681
1592,0.6316,1560,1647,1835,1805,1938,1903,1726,1800,1694
1641,0.3291,1644,1661,1898,1843,1952,1904,1748,1822,1765
1655,0.3644,1645,1714,1954,1857,2010,1998,1810,1843,1740
1686,0.2124,1644,1701,1963,1891,1975,1969,1798,1921,1773
1645,0.7958,1647,1700,2001,1880,2031,2011,1847,1896,1792
1704,0.5862,1673,1741,1992,1919,2083,2044,1838,1950,1785
1728,0.3352,1693,1734,2035,1909,2110,2073,1894,1966,1876
1763,0.4835,1743,1769,2069,1993,2107,2117,1896,2004,1894
1743,0.6532,1787,1771,2077,2000,2128,2161,1934,1992,1933
1762,0.6613,1805,1798,2084,2021,2155,2134,1973,2078,1984
1789,0.624,1837,1813,2139,2054,2237,2237,1999,2071,2006
1814,0.6512,1843,1828,2174,2101,2260,2261,2011,2137,2060
1821,0.6871,1859,1864,2195,2131,2283,2333,2079,2155,2109
1879,0.5378,1891,1902,2257,2176,2289,2341,2097,2190,2076
1863,0.7579,1868,1920,2297,2193,2315,2370,2112,2223,2147
1882,0.8238,1910,1855,2319,2206,2414,2418,2195,2284,2142
1953,0.6599,1973,1933,2343,2252,2440,2473,2158,2288,2175
1947,0.7902,2016,1972,2361,2311,2402,2495,2197,2361,2278
1985,0.8078,2025,1978,2414,2288,2484,2571,2251,2369,2276
2015,0.7781,2073,2009,2473,2368,2517,2589,2290,2420,2436
2053,0.6617,2066,2044,2537,2460,2579,2662,2322,2470,2373
2087,0.7728,2138,2112,2604,2497,2627,2685,2391,2503,2490
2126,1,2158,2089,2649,2497,2662,2741,2370,2556,2498
2142,0.8128,2181,2146,2658,2569,2739,2802,2392,2568,2525
2177,0.8266,2259,2172,2719,2595,2753,2841,2454,2646,2575
2208,0.9281,2268,2186,2715,2656,2771,2865,2465,2709,2652
2258,0.8162,2336,2255,2839,2742,2845,2972,2595,2786,2726
2303,0.8643,2334,2238,2880,2785,2866,3057,2615,2821,2759
2318,0.8621,2418,2303,2919,2853,2917,3073,2667,2861,2865
2402,0.7727,2466,2379,2960,2900,3012,3180,2739,2913,2861
2449,0.7549,2546,2414,3102,3002,3089,3234,2791,3039,3003
2483,0.86,2555,2384,3128,3025,3090,3279,2807,3011,3047
2490,0.9438,2587,2457,3144,3082,3161,3342,2872,3112,3087
2588,0.7927,2629,2522,3239,3123,3189,3377,2941,3144,3162
2615,0.8846,2674,2535,3281,3239,3239,3440,2948,3240,3218
2723,0.7552,2713,2613,3389,3293,3341,3529,3059,3291,3337
2753,0.8614,2832,2684,3446,3368,3362,3643,3094,3373,3367
2849,0.5966,2856,2742,3504,3458,3480,3691,3220,3428,3449
2838,0.8254,2902,2771,3607,3534,3531,3748,3241,3519,3569
2956,0.7628,2960,2840,3640,3633,3613,3840,3373,3593,3630
3022,0.7949,3026,2927,3725,3772,3671,3910,3426,3638,3701
3175,0.462,3095,2996,3836,3827,3728,4059,3567,3716,3795
3217,0.5248,3177,3064,3904,3932,3783,4061,3602,3841,3895
3255,0.6998,3204,3169,4000,3995,3916,4174,3744,3925,3944
3364,0.6269,3293,3264,4114,4093,3961,4248,3831,4007,4068
3443,0.6696,3327,3373,4199,4243,4080,4382,3913,4093,4148
3483,0.7154,3421,3469,4297,4301,4158,4477,4098,4221,4247
3592,0.6626,3510,3553,4365,4444,4236,4554,4222,4328,4364
3728,0.4952,3547,3658,4477,4576,4350,4632,4327,4430,4445
3823,0.5717,3671,3752,4595,4685,4500,4775,4448,4475,4579
3950,0.4977,3696,3833,4692,4809,4572,4867,4598,4611,4658
4055,0.4356,3759,3947,4810,4897,4691,4980,4762,4766,4764
4176,0.4493,3897,4107,4909,5107,4772,5099,4914,4834,4920
4263,0.4547,3936,4230,4976,5187,4935,5257,5025,4984,4949
4407,0.4525,4083,4369,5097,5355,5053,5408,5151,5112,5156
4523,0.3742,4140,4428,5238,5454,5204,5482,5367,5222,5219
4618,0.4865,4214,4646,5360,5586,5288,5541,5541,5331,5360
4745,0.4143,4310,4795,5432,5773,5505,5731,5673,5464,5512
4914,0.3817,4413,4926,5575,5873,5637,5862,5846,5611,5672
5122,0.2698,4496,5030,5703,6065,5736,5989,6043,5743,5775
5185,0.4303,4657,5231,5850,6219,5914,6130,6216,5922,5928
5390,0.3291,4698,5423,5990,6395,6075,6310,6446,6091,6070
5511,0.3948,4827,5502,6106,6585,6300,6460,6606,6204,6188
5660,0.3799,4924,5773,6273,6793,6470,6606,6798,6402,6346
5822,0.4073,5063,5899,6506,6953,6651,6799,7001,6578,6482
6031,0.3232,5138,6144,6611,7143,6849,6944,7278,6798,6667
6189,0.407,5244,6338,6766,7395,6999,7157,7513,6924,6807
6380,0.3867,5347,6569,6975,7659,7246,7312,7680,7075,7020
6621,0.2974,5486,6769,7155,7819,7490,7557,7952,7340,7214
6846,0.3023,5590,7001,7318,8083,7626,7759,8165,7502,7343
7008,0.3449,5719,7217,7544,8349,7911,7935,8443,7709,7514
7234,0.3806,5896,7473,7722,8531,8144,8093,8643,8006,7745
7471,0.3215,6039,7685,7982,8842,8353,8356,8919,8160,7928
7703,0.3909,6191,7973,8124,9039,8576,8637,9176,8438,8142
7892,0.3943,6326,8201,8427,9345,8851,8822,9390,8675,8348
8240,0.3127,6519,8472,8648,9691,9130,9022,9656,8946,8546
8490,0.3336,6746,8814,8903,9988,9361,9317,9971,9188,8751
8732,0.3977,6866,9156,9182,10375,9629,9503,10258,9468,8953
8979,0.4533,7022,9275,9387,10634,9929,9767,10473,9733,9192
9333,0.3647,7239,9653,9694,10908,10196,10001,10794,9984,9469
9705,0.3376,7448,10022,9997,11370,10444,10431,11186,10368,9754
10047,0.3339,7727,10422,10388,11872,10843,10689,11505,10680,10064
10365,0.3656,7908,10726,10583,12142,11053,10963,11739,10946,10305
10723,0.3745,8091,11102,10900,12490,11356,11223,12057,11343,10505
11145,0.0715,8342,11464,11254,12962,11728,11645,12563,11686,10951
11457,0.0715,8575,11760,11516,13253,11987,11941,12689,11978,11164
11754,0.0715,8852,12151,11940,13780,12432,12300,13082,12428,11511
12188,0.0715,9184,12549,12303,14192,12661,12659,13548,12721,11872
12552,0.0715,9382,13034,12736,14638,13148,12999,13976,13169,12224
13019,0.0715,9831,13540,13223,15269,13629,13528,14462,13676,12663
13557,0.0715,10101,14079,13768,15777,14087,14021,14978,14100,13077
13916,0.0715,10374,14383,14035,16197,14397,14363,15321,14427,13405
14376,0.0715,10643,14895,14451,16615,14864,14818,15780,14860,13856
14859,0.0715,11061,15334,14916,17243,15300,15281,16187,15228,14325
15360,0.0715,11368,15894,15395,17796,15762,15900,16724,15779,14812
15926,0.0715,11844,16453,15946,18276,16311,16462,17313,16217,15341
16525,0.0715,12128,17057,16475,18867,16810,17001,17874,16759,15867
17102,0.0715,12577,17584,17074,19418,17383,17594,18424,17251,16495
17639,0.0715,13068,18264,17692,20205,18062,18337,19039,17928,17016
18374,0.0715,13632,19002,18336,20810,18774,18999,19741,18442,17741
18936,0.0715,14045,19677,18987,21380,19375,19780,20349,19097,18335
19605,0.0715,14488,20227,19628,22075,19991,20461,21054,19718,18935
20333,0.0715,15095,21154,20408,22867,20738,21312,21799,20409,19719
21100,0.0715,15680,21785,21109,23552,21442,22093,22363,21019,20370
21842,0.0715,16237,22556,21738,24210,22109,22895,23093,21601,21089
22651,0.0715,16906,23380,22528,24813,22903,23698,23859,22393,21876
23406,0.0715,17431,24227,23256,25721,23720,24618,24561,23077,22715
24263,0.0715,18190,25143,24147,26451,24503,25613,25349,23907,23581
25174,0.0715,18945,26090,25002,27401,25509,26586,26248,24827,24404
25998,0.0715,19655,27124,25953,28254,26425,27569,27111,25611,25360
26958,0.0715,20521,28084,26850,29184,27411,28679,27935,26417,26328
27954,0.0715,21300,29247,27912,30218,28421,29620,28897,27506,27345
28996,0.0715,22225,30349,28937,31284,29377,30719,29822,28381,28315
30017,0.0715,23278,31516,30084,32443,30498,32038,30939,29481,29407
31219,0.0715,24251,32820,31312,33648,31705,33214,32076,30593,30652
32349,0.0715,25371,33958,32548,34639,32859,34324,32983,31670,31649
33395,0.0715,26475,35314,33662,35891,33961,35513,34121,32865,32913
34536,0.0715,27613,36754,34877,37117,35241,36933,35279,34004,34138
35904,0.0715,28807,38102,36321,38417,36526,38050,36487,35217,35413
36917,0.0715,30012,39593,37743,39878,37925,39391,37608,36477,36702
1540,0.6233,,,,,,,,,
1573,0.2331,,,,,,,,,
1584,0.3282,,,,,,,,,
1625,0.1073,,,,,,,,,
1626,0.1738,,,,,,,,,
1630,0.275,,,,,,,,,
1670,0.106,,,,,,,,,
1694,0.238,,,,,,,,,
1709,0.1257,,,,,,,,,
1736,0.0333,,,,,,,,,
1753,0.1485,,,,,,,,,
1786,0.1463,,,,,,,,,
1771,0.1889,,,,,,,,,
1847,0.0283,,,,,,,,,
1864,0.9924,,,,,,,,,
1887,0.9067,,,,,,,,,
1902,0.9629,,,,,,,,,
1946,0.9912,,,,,,,,,
1985,0.5944,,,,,,,,,
2015,0.864,,,,,,,,,
2023,1,,,,,,,,,
2115,0.7536,,,,,,,,,
2134,0.754,,,,,,,,,
2150,0.917,,,,,,,,,
2226,0.518,,,,,,,,,
2243,0.6045,,,,,,,,,
2291,0.4928,,,,,,,,,
2341,0.6054,,,,,,,,,
2375,0.5726,,,,,,,,,
2432,0.5595,,,,,,,,,
2511,0.4365,,,,,,,,,
2549,0.4899,,,,,,,,,
2560,0.5996,,,,,,,,,
2673,0.4156,,,,,,,,,
2708,0.268,,,,,,,,,
2756,0.3237,,,,,,,,,
2816,0.3356,,,,,,,,,
2827,0.4148,,,,,,,,,
3020,0,,,,,,,,,
3001,0.2795,,,,,,,,,
3062,0.7828,,,,,,,,,
3153,0.6075,,,,,,,,,
3188,0.7257,,,,,,,,,
3267,0.676,,,,,,,,,
3353,0.6098,,,,,,,,,
3385,0.6522,,,,,,,,,
3491,0.5937,,,,,,,,,
3589,0.4438,,,,,,,,,
3657,0.5213,,,,,,,,,
3739,0.459,,,,,,,,,
3860,0.3469,,,,,,,,,
3956,0.3849,,,,,,,,,
4011,0.4361,,,,,,,,,
4112,0.2178,,,,,,,,,
4218,0.2056,,,,,,,,,
4301,0.6432,,,,,,,,,
4413,0.6359,,,,,,,,,
4518,0.6457,,,,,,,,,
