intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,1521,1604,1657,1760,1782,1862,1807,1749
1539,0,1529,1595,1700,1805,1819,1872,1777,1772
1533,0.3734,1528,1626,1687,1801,1795,1886,1806,1815
1573,0.0488,1545,1669,1712,1815,1890,1945,1819,1827
1577,0.397,1546,1623,1756,1845,1857,1943,1864,1853
1593,0.1378,1586,1689,1793,1870,1856,1975,1857,1859
1603,0.4256,1605,1693,1792,1857,1918,2002,1895,1920
1623,0.2846,1571,1725,1844,1900,1905,2019,2003,1940
1592,0.6316,1572,1702,1787,1915,1909,2075,1935,1940
1641,0.3291,1557,1773,1873,1971,1924,2118,2010,1975
1655,0.3644,1636,1716,1854,1976,1990,2126,1993,2023
1686,0.2124,1661,1795,1849,2014,2032,2160,2024,2038
1645,0.7958,1639,1770,1918,2034,1996,2194,2060,2051
1704,0.5862,1690,1811,1927,2017,2029,2221,2076,2101
1728,0.3352,1695,1856,1950,2053,2077,2264,2169,2143
1763,0.4835,1678,1889,1990,2078,2104,2306,2175,2105
1743,0.6532,1738,1890,1998,2107,2101,2321,2180,2167
1762,0.6613,1721,1921,2032,2141,2143,2326,2235,2221
1789,0.624,1763,1932,2055,2206,2163,2402,2254,2236
1814,0.6512,1795,1979,2062,2194,2176,2429,2284,2276
1821,0.6871,1771,1986,2098,2266,2221,2476,2348,2334
1879,0.5378,1846,2023,2119,2257,2208,2482,2370,2352
1863,0.7579,1859,2020,2135,2292,2275,2519,2382,2392
1882,0.8238,1834,2061,2180,2292,2248,2574,2427,2424
1953,0.6599,1880,2090,2198,2392,2300,2642,2498,2464
1947,0.7902,1908,2110,2190,2381,2333,2650,2523,2538
1985,0.8078,1912,2153,2209,2431,2339,2715,2555,2542
2015,0.7781,1984,2185,2232,2464,2392,2751,2601,2616
2053,0.6617,2044,2211,2312,2516,2433,2802,2633,2620
2087,0.7728,2012,2238,2326,2506,2437,2885,2696,2716
2126,1,2069,2269,2367,2565,2499,2887,2764,2763
2142,0.8128,2065,2247,2384,2554,2490,3000,2816,2742
2177,0.8266,2101,2349,2393,2633,2537,3012,2862,2825
2208,0.9281,2106,2334,2412,2656,2622,3064,2896,2877
2258,0.8162,2184,2423,2493,2727,2647,3174,2931,2951
2303,0.8643,2237,2427,2495,2745,2671,3187,2991,2991
2318,0.8621,2233,2435,2522,2837,2715,3256,3029,3039
2402,0.7727,2289,2461,2569,2836,2728,3309,3132,3115
2449,0.7549,2330,2558,2650,2954,2840,3441,3182,3187
2483,0.86,2355,2599,2586,2963,2872,3416,3229,3184
2490,0.9438,2414,2601,2699,2963,2892,3525,3285,3263
2588,0.7927,2471,2642,2703,3051,2945,3625,3323,3311
2615,0.8846,2464,2711,2741,3123,2976,3672,3361,3355
2723,0.7552,2517,2796,2774,3156,3052,3711,3481,3445
2753,0.8614,2608,2747,2844,3195,3115,3780,3528,3492
2849,0.5966,2621,2827,2859,3316,3150,3913,3581,3595
2838,0.8254,2668,2827,2940,3325,3245,3951,3695,3623
2956,0.7628,2734,2894,2940,3395,3286,4007,3741,3676
3022,0.7949,2786,2936,3005,3547,3342,4155,3838,3795
3175,0.462,2852,2984,3107,3583,3417,4212,3920,3918
3217,0.5248,2907,3055,3124,3673,3460,4312,3959,3951
3255,0.6998,2937,3117,3196,3729,3563,4376,4038,4055
3364,0.6269,3053,3144,3236,3838,3629,4401,4125,4165
3443,0.6696,3075,3197,3337,3948,3732,4579,4212,4236
3483,0.7154,3148,3276,3399,3999,3778,4645,4311,4294
3592,0.6626,3206,3348,3418,4112,3885,4695,4356,4440
3728,0.4952,3301,3420,3553,4209,3940,4802,4471,4568
3823,0.5717,3384,3451,3565,4336,4066,4914,4556,4648
3950,0.4977,3498,3559,3659,4465,4129,5042,4660,4734
4055,0.4356,3551,3626,3732,4484,4215,5106,4748,4885
4176,0.4493,3629,3692,3847,4608,4321,5247,4852,4975
4263,0.4547,3707,3745,3914,4722,4383,5333,4944,5146
4407,0.4525,3824,3866,4019,4847,4502,5463,5078,5243
4523,0.3742,3924,3919,4165,4965,4589,5592,5160,5338
4618,0.4865,3999,4063,4213,5119,4694,5695,5256,5511
4745,0.4143,4087,4159,4354,5206,4813,5789,5401,5636
4914,0.3817,4185,4231,4434,5313,4920,5936,5525,5753
5122,0.2698,4263,4332,4560,5498,5021,6082,5577,5923
5185,0.4303,4390,4441,4708,5645,5141,6224,5761,6082
5390,0.3291,4503,4522,4823,5777,5266,6351,5882,6227
5511,0.3948,4610,4649,4945,5917,5351,6513,6038,6404
5660,0.3799,4739,4764,5120,6077,5544,6622,6151,6476
5822,0.4073,4834,4918,5279,6174,5645,6838,6298,6662
6031,0.3232,4984,5018,5426,6325,5752,6992,6503,6843
6189,0.407,5070,5165,5560,6561,5929,7189,6607,6987
6380,0.3867,5206,5273,5706,6678,6041,7391,6778,7160
6621,0.2974,5363,5438,5910,6859,6132,7586,6925,7369
6846,0.3023,5440,5562,6060,7045,6377,7713,7144,7501
7008,0.3449,5632,5717,6309,7211,6491,7971,7339,7784
7234,0.3806,5783,5917,6443,7422,6683,8171,7518,7949
7471,0.3215,5943,6010,6677,7584,6877,8330,7748,8124
7703,0.3909,6073,6180,6891,7842,7041,8554,7907,8298
7892,0.3943,6279,6369,7081,8072,7207,8763,8128,8484
8240,0.3127,6455,6609,7351,8304,7474,9086,8409,8744
8490,0.3336,6675,6744,7648,8552,7718,9334,8681,8951
8732,0.3977,6808,6973,7903,8769,7874,9625,8812,9202
8979,0.4533,7015,7148,8091,8974,8135,9837,9123,9419
9333,0.3647,7180,7350,8375,9248,8340,10136,9354,9654
