intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8
1539,0.1264,921,786,836,802,900,830,889,948
1539,0,894,838,849,815,936,802,861,973
1533,0.3734,928,788,843,880,973,804,872,979
1573,0.0488,918,777,850,850,934,827,881,992
1577,0.397,924,801,855,829,934,824,898,1007
1593,0.1378,925,833,855,834,937,849,896,1023
1603,0.4256,938,823,892,874,940,851,954,1011
1623,0.2846,951,851,882,818,938,840,929,1006
1592,0.6316,969,800,861,823,958,834,940,1038
1641,0.3291,934,819,874,837,949,820,954,1058
1655,0.3644,945,843,874,888,967,901,974,1058
1686,0.2124,962,825,875,857,974,842,985,1066
1645,0.7958,962,829,867,908,1001,889,975,1089
1704,0.5862,949,827,885,882,965,907,1046,1121
1728,0.3352,946,838,911,893,999,856,1020,1114
1763,0.4835,979,856,883,884,992,901,1016,1157
1743,0.6532,958,839,911,906,1017,897,1063,1142
1762,0.6613,999,865,884,914,1068,881,1023,1152
1789,0.624,995,871,911,932,1031,910,1059,1151
1814,0.6512,1024,883,930,924,1038,898,1111,1191
1821,0.6871,1002,889,950,955,1045,943,1090,1189
1879,0.5378,1031,869,951,961,1091,942,1158,1204
1863,0.7579,1061,884,950,975,1085,943,1137,1249
1882,0.8238,1056,884,967,979,1089,940,1141,1233
1953,0.6599,1042,915,954,1005,1105,961,1140,1295
1947,0.7902,1037,893,997,1022,1143,974,1169,1266
1985,0.8078,1044,917,970,992,1136,979,1220,1326
2015,0.7781,1043,914,1007,1003,1158,992,1206,1331
2053,0.6617,1095,927,1004,1021,1157,1003,1280,1360
2087,0.7728,1074,958,1042,1056,1202,1003,1268,1377
2126,1,1104,973,1072,1046,1196,1010,1263,1401
2142,0.8128,1149,963,1053,1061,1209,1084,1281,1409
2177,0.8266,1119,946,1051,1059,1244,1058,1301,1421
2208,0.9281,1139,966,1091,1083,1209,1080,1320,1489
2258,0.8162,1163,1015,1108,1136,1290,1088,1329,1464
2303,0.8643,1193,1004,1104,1118,1296,1084,1375,1537
2318,0.8621,1190,1017,1089,1153,1310,1110,1383,1557
2402,0.7727,1193,1030,1140,1160,1344,1163,1390,1578
2449,0.7549,1213,1069,1184,1166,1343,1150,1468,1581
2483,0.86,1258,1087,1172,1191,1390,1166,1457,1632
2490,0.9438,1241,1076,1197,1200,1366,1218,1469,1681
2588,0.7927,1246,1081,1217,1242,1419,1201,1547,1718
2615,0.8846,1290,1078,1234,1249,1477,1269,1557,1756
2723,0.7552,1286,1155,1265,1254,1444,1247,1568,1764
2753,0.8614,1327,1184,1201,1303,1470,1293,1611,1801
2849,0.5966,1320,1152,1288,1272,1527,1291,1654,1827
2838,0.8254,1350,1150,1337,1302,1512,1365,1669,1884
2956,0.7628,1389,1166,1317,1314,1559,1331,1711,1897
3022,0.7949,1392,1211,1380,1352,1560,1367,1749,1965
3175,0.462,1455,1207,1370,1387,1608,1404,1787,1993
3217,0.5248,1458,1260,1458,1401,1611,1457,1814,2025
3255,0.6998,1492,1275,1463,1445,1696,1414,1882,2069
3364,0.6269,1527,1295,1494,1467,1737,1476,1911,2135
3443,0.6696,1549,1344,1557,1477,1765,1503,1969,2152
3483,0.7154,1588,1361,1568,1514,1781,1569,2022,2214
3592,0.6626,1595,1326,1599,1554,1818,1554,2094,2285
3728,0.4952,1667,1398,1637,1564,1847,1619,2093,2333
