intensity,uaa,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12
1539,0.1264,882,789,846,890,902,905,938,1030,992,1096,1125,1257
1539,0,859,819,845,952,874,922,985,1001,1032,1128,1113,1244
1533,0.3734,891,833,871,936,921,917,968,1048,977,1113,1138,1278
1573,0.0488,867,829,878,903,904,940,1006,1025,1030,1137,1193,1292
1577,0.397,907,826,870,941,944,945,1013,1026,1042,1145,1153,1298
1593,0.1378,911,847,855,1015,944,981,982,1037,1045,1159,1187,1323
1603,0.4256,949,880,866,975,965,977,1049,1089,1068,1213,1232,1375
1623,0.2846,943,864,863,992,938,1004,1014,1054,1047,1201,1217,1364
1592,0.6316,932,840,896,993,957,1025,1056,1083,1053,1205,1221,1359
1641,0.3291,939,857,882,984,983,1040,1044,1083,1091,1244,1246,1406
1655,0.3644,945,891,900,1028,978,1020,1072,1134,1118,1262,1237,1417
1686,0.2124,966,872,917,1028,1008,1063,1082,1128,1111,1262,1247,1455
1645,0.7958,1002,893,891,1033,1038,1075,1092,1148,1108,1250,1283,1474
1704,0.5862,1032,878,928,1062,1010,1076,1098,1187,1144,1289,1296,1481
1728,0.3352,982,901,942,1066,1063,1079,1126,1213,1131,1340,1326,1535
1763,0.4835,1006,886,942,1072,1017,1085,1106,1195,1132,1294,1347,1510
1743,0.6532,1009,907,945,1102,1078,1108,1147,1224,1167,1322,1374,1546
1762,0.6613,1055,906,972,1128,1063,1121,1184,1240,1171,1370,1374,1568
1789,0.624,1058,942,971,1156,1066,1155,1163,1260,1186,1386,1376,1621
1814,0.6512,1031,939,973,1146,1122,1167,1199,1245,1216,1386,1413,1626
1821,0.6871,1077,946,1021,1136,1147,1220,1214,1290,1217,1403,1426,1652
1879,0.5378,1111,1001,992,1191,1179,1215,1227,1331,1224,1423,1469,1667
1863,0.7579,1119,928,1015,1193,1164,1239,1251,1323,1246,1446,1435,1735
1882,0.8238,1109,958,1021,1225,1166,1244,1318,1360,1293,1455,1488,1720
1953,0.6599,1093,965,1054,1202,1189,1286,1316,1342,1288,1466,1486,1747
